,,I.,,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7046,7047,706,7060,71,710,7100,7101,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,7210,7211,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,74,740,7400,7401,7402,7403
,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70+71+72+73+73,,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI
,,,,,DAVKI NA DOHODEK IN DOBIČEK,DAVKI NA DOHODEK IN DOBIČEK,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,DENARNE KAZNI ,DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ
,- v EUR,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve ,Dovoljenja za poslovanje in za opravljanje dejavnosti ,Pristojbine za motorna vozila,Drugi davki na uporabo blaga ali opravljanje storitev,,Drugi davki,,,Udeležba na dobičku javnih podjetij in javnih finančnih institucij,Prihodki od udeležbe na dobič. drugih podjetij in finančnih institucij,Prihodki od obresti,Prihodki od premoženja ,,Upravne in druge takse in pristojbine,,Denarne kazni,,Prihodki od prodaje blaga in storitev (prihodki upravnih organov),,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje prevoznih sredstev,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,Prihodki od prodaje blagovnih rezerv,Prihodki od prodaje drugih zalog,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje nematerialnega premoženja,,,Prejete donacije iz domačih virov za tekočo porabo,Prejete donacije iz domačih virov za investicije,,Prejete donacije iz tujine za tekočo porabo,Prejete donacije iz tujine za investicije,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz proračunov lokalnih skupnosti,Prejeta sredstva iz skladov socialnega zavarovanja ,Prejeta sredstva iz drugih javnih skladov
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,6.657.248,4.844.300,4.321.399,3.319.834,3.319.834,412.702,309.598,0,21.620,81.485,588.862,442.009,0,0,146.854,0,0,522.901,339.234,0,0,199.608,139.626,39.622,39.622,1.990,1.990,8.271,8.271,133.784,133.784,218.841,203.368,203.017,0,0,351,0,0,0,15.473,0,15.473,0,534.852,483.922,69.688,414.234,50.931,50.931,0,1.059.256,1.059.256,1.036.346,22.909,0,0
2.,BELTINCI,3.633.091,1.598.932,1.065.782,956.706,956.706,16.191,284,0,680,15.227,92.885,8.663,0,0,84.222,0,0,533.150,20.381,0,0,7.261,13.120,10.073,10.073,4.173,4.173,105.554,105.554,392.969,392.969,49.850,40.119,40.119,0,0,0,0,0,0,9.731,0,9.731,0,2.086,2.086,0,2.086,0,0,0,1.982.223,1.982.223,1.678.472,303.751,0,0
3.,BENEDIKT,964.146,390.448,189.843,133.855,133.855,4.745,826,0,8,3.910,51.244,305,0,0,50.939,0,0,200.605,10.787,0,522,3.263,7.002,1.506,1.506,29,29,53.476,53.476,134.806,134.806,6.597,5.149,5.149,0,0,0,0,0,0,1.448,0,1.448,0,0,0,0,0,0,0,0,567.101,567.101,565.836,1.264,0,0
4.,BISTRICA OB SOTLI,668.373,183.104,143.820,114.138,114.138,23.114,17.631,0,1.965,3.518,6.568,0,0,0,6.568,0,0,39.284,5.746,0,0,2.458,3.288,3.639,3.639,138,138,0,0,29.761,29.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.270,485.270,435.194,0,0,50.075
5.,BLED,4.419.492,4.206.643,3.662.640,2.381.710,2.381.710,748.439,622.613,0,15.778,110.048,532.490,30.166,0,0,502.324,0,0,544.004,201.615,0,5.003,26.252,170.360,22.304,22.304,58.592,58.592,117.063,117.063,144.429,144.429,109.418,108.417,108.417,0,0,0,0,0,0,1.002,1.002,0,0,209,209,209,0,0,0,0,103.222,103.222,103.222,0,0,0
6.,BLOKE,704.407,299.215,268.941,201.728,201.728,55.575,53.768,0,0,1.807,11.638,0,0,0,11.638,0,0,30.275,6.564,0,0,4.244,2.320,2.016,2.016,0,0,0,0,21.695,21.695,851,851,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.340,404.340,370.956,0,0,33.383
