5.,BLED,6.214.096 ,5.460.315 ,4.523.297 ,2.719.471 ,2.719.471 ,961.914 ,697.763 ,0 ,52.550 ,211.601 ,841.913 ,52.450 ,0 ,0 ,789.463 ,0 ,0 ,937.018 ,258.446 ,4.407 ,2.120 ,30.500 ,221.420 ,35.345 ,35.345 ,74.357 ,74.357 ,99.120 ,99.120 ,469.750 ,469.750 ,256.948 ,225.880 ,223.898 ,1.982 ,0 ,0 ,0 ,31.067 ,12.990 ,18.077 ,0 ,1.623 ,1.623 ,1.623 ,0 ,0 ,0 ,0 ,495.209 ,495.209 ,401.557 ,0 ,0 ,93.653 
6.,BLOKE,935.741 ,469.671 ,395.051 ,297.968 ,297.968 ,69.851 ,65.507 ,0 ,759 ,3.585 ,27.233 ,0 ,0 ,0 ,27.233 ,0 ,0 ,74.620 ,12.652 ,0 ,2.082 ,4.373 ,6.197 ,4.845 ,4.845 ,134 ,134 ,19.079 ,19.079 ,37.911 ,37.911 ,601 ,601 ,0 ,0 ,0 ,601 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,465.469 ,465.469 ,386.872 ,0 ,0 ,78.597 
7.,BOHINJ,3.481.668 ,2.793.115 ,1.604.849 ,935.407 ,935.407 ,310.549 ,226.369 ,0 ,15.340 ,68.841 ,358.893 ,1.661 ,0 ,0 ,357.232 ,0 ,0 ,1.188.266 ,416.320 ,0 ,2.650 ,7.774 ,405.896 ,16.804 ,16.804 ,23.035 ,23.035 ,623.385 ,623.385 ,108.721 ,108.721 ,73.022 ,67.693 ,67.693 ,0 ,0 ,0 ,0 ,5.329 ,0 ,5.329 ,0 ,13.157 ,12.815 ,12.815 ,0 ,342 ,342 ,0 ,602.374 ,602.374 ,580.558 ,0 ,21.816 ,0 
8.,BOROVNICA ,1.562.752 ,1.251.114 ,1.109.823 ,875.259 ,875.259 ,126.840 ,93.031 ,0 ,9.139 ,24.670 ,107.724 ,3.831 ,0 ,0 ,103.893 ,0 ,0 ,141.291 ,49.190 ,3.230 ,0 ,18.812 ,27.149 ,8.050 ,8.050 ,576 ,576 ,2.929 ,2.929 ,80.546 ,80.546 ,10.278 ,8.943 ,8.943 ,0 ,0 ,0 ,0 ,1.335 ,0 ,1.335 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,301.360 ,301.360 ,216.971 ,84.389 ,0 ,0 
9.,BOVEC,2.272.818 ,1.379.866 ,984.681 ,642.092 ,642.092 ,146.207 ,85.190 ,0 ,33.784 ,27.233 ,196.382 ,680 ,0 ,96 ,195.606 ,0 ,0 ,395.184 ,347.388 ,0 ,0 ,13.241 ,334.147 ,18.791 ,18.791 ,83 ,83 ,0 ,0 ,28.923 ,28.923 ,14.405 ,0 ,0 ,0 ,0 ,0 ,0 ,14.405 ,2.600 ,11.805 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,878.547 ,878.547 ,862.953 ,0 ,0 ,15.594 
10.,BRASLOVČE,1.994.008 ,1.240.206 ,1.169.892 ,926.544 ,926.544 ,81.919 ,41.437 ,138 ,9.902 ,30.442 ,161.430 ,1.502 ,0 ,0 ,159.927 ,0 ,0 ,70.314 ,29.778 ,0 ,1.799 ,2.929 ,25.050 ,11.647 ,11.647 ,868 ,868 ,6.155 ,6.155 ,21.866 ,21.866 ,172.959 ,172.959 ,172.959 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,580.842 ,580.842 ,568.895 ,0 ,0 ,11.947 
11.,BRDA,2.730.045 ,2.260.528 ,1.666.846 ,1.262.744 ,1.262.744 ,218.094 ,178.601 ,0 ,15.511 ,23.982 ,186.008 ,734 ,0 ,0 ,185.274 ,0 ,0 ,593.682 ,496.728 ,3.201 ,0 ,2.170 ,491.358 ,13.829 ,13.829 ,196 ,196 ,16.491 ,16.491 ,66.437 ,66.437 ,79.390 ,70.956 ,70.956 ,0 ,0 ,0 ,0 ,8.433 ,0 ,8.433 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,390.127 ,390.127 ,314.505 ,65.853 ,0 ,9.769 
12.,BREZOVICA,3.773.022 ,3.368.465 ,2.770.639 ,2.220.990 ,2.220.990 ,354.711 ,227.207 ,0 ,26.932 ,100.572 ,194.938 ,6.643 ,0 ,0 ,188.295 ,0 ,0 ,597.826 ,71.728 ,0 ,0 ,52.942 ,18.787 ,17.013 ,17.013 ,1.486 ,1.486 ,9.990 ,9.990 ,497.609 ,497.609 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,404.557 ,404.557 ,369.696 ,29.436 ,0 ,5.425 
13.,BREŽICE,14.437.460 ,9.406.518 ,8.144.083 ,4.146.829 ,4.146.829 ,828.226 ,630.938 ,0 ,23.928 ,173.360 ,3.169.029 ,35.462 ,0 ,0 ,3.133.567 ,0 ,0 ,1.262.435 ,363.963 ,0 ,334 ,108.242 ,255.387 ,262.381 ,262.381 ,6.768 ,6.768 ,52.203 ,52.203 ,577.120 ,577.120 ,786.509 ,464.071 ,462.611 ,0 ,0 ,1.461 ,0 ,322.438 ,109.114 ,213.324 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.244.433 ,4.244.433 ,4.244.433 ,0 ,0 ,0 
14.,CANKOVA,918.912 ,329.665 ,282.302 ,208.908 ,208.908 ,59.392 ,54.619 ,0 ,459 ,4.313 ,14.002 ,432 ,0 ,0 ,13.570 ,0 ,0 ,47.363 ,5.483 ,0 ,0 ,785 ,4.698 ,6.159 ,6.159 ,0 ,0 ,0 ,0 ,35.721 ,35.721 ,3.575 ,3.575 ,3.436 ,0 ,139 ,0 ,0 ,0 ,0 ,0 ,0 ,609 ,609 ,609 ,0 ,0 ,0 ,0 ,585.063 ,585.063 ,557.979 ,22.657 ,0 ,4.428 
15.,MESTNA OBČINA CELJE,30.685.595 ,25.179.240 ,20.113.595 ,12.581.293 ,12.581.293 ,5.240.356 ,3.909.614 ,313 ,71.390 ,1.259.039 ,2.291.946 ,161.597 ,0 ,0 ,2.130.350 ,0 ,0 ,5.065.644 ,1.523.222 ,0 ,23.986 ,106.994 ,1.392.243 ,158.037 ,158.037 ,95.694 ,95.694 ,55.341 ,55.341 ,3.233.350 ,3.233.350 ,3.260.186 ,1.424.846 ,1.424.846 ,0 ,0 ,0 ,0 ,1.835.341 ,3.242 ,1.832.098 ,0 ,3.672 ,3.672 ,3.672 ,0 ,0 ,0 ,0 ,2.242.497 ,2.242.497 ,2.225.705 ,0 ,16.792 ,0 
