26.,DOBREPOLJE,1.905.358 ,1.071.436 ,763.671 ,544.634 ,544.634 ,125.029 ,108.079 ,0 ,643 ,16.308 ,94.008 ,1.565 ,0 ,0 ,92.443 ,0 ,0 ,307.766 ,121.495 ,0 ,0 ,70.134 ,51.360 ,10.149 ,10.149 ,104 ,104 ,3.205 ,3.205 ,172.813 ,172.813 ,3.380 ,0 ,0 ,0 ,0 ,0 ,0 ,3.380 ,0 ,3.380 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,830.542 ,830.542 ,830.542 ,0 ,0 ,0 
27.,DOBRNA,1.431.839 ,924.633 ,435.357 ,309.623 ,309.623 ,59.606 ,44.892 ,0 ,8.609 ,6.105 ,66.128 ,175 ,0 ,0 ,65.953 ,0 ,0 ,489.276 ,36.167 ,33 ,0 ,14.493 ,21.641 ,5.550 ,5.550 ,0 ,0 ,22.513 ,22.513 ,425.046 ,425.046 ,66.767 ,0 ,0 ,0 ,0 ,0 ,0 ,66.767 ,0 ,66.767 ,0 ,522 ,522 ,522 ,0 ,0 ,0 ,0 ,439.918 ,439.918 ,439.918 ,0 ,0 ,0 
28.,DOBROVA - POLHOV GRADEC,2.474.170 ,1.623.648 ,1.526.557 ,1.307.983 ,1.307.983 ,175.584 ,116.074 ,0 ,8.638 ,50.872 ,42.989 ,1.423 ,0 ,0 ,41.567 ,0 ,0 ,97.091 ,26.924 ,0 ,0 ,13.428 ,13.495 ,14.981 ,14.981 ,2.450 ,2.450 ,814 ,814 ,51.924 ,51.924 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,850.522 ,850.522 ,844.876 ,0 ,0 ,5.646 
29.,DOBROVNIK,1.315.007 ,397.277 ,263.546 ,163.338 ,163.338 ,35.153 ,9.450 ,0 ,860 ,24.843 ,65.056 ,0 ,0 ,0 ,65.056 ,0 ,0 ,133.731 ,2.121 ,0 ,367 ,756 ,998 ,4.235 ,4.235 ,0 ,0 ,897 ,897 ,126.477 ,126.477 ,6.430 ,120 ,120 ,0 ,0 ,0 ,0 ,6.309 ,0 ,6.309 ,0 ,8.935 ,4.370 ,3.118 ,1.252 ,4.565 ,4.565 ,0 ,902.364 ,902.364 ,844.836 ,2.561 ,0 ,54.967 
30.,DOL PRI LJUBLJANI,1.955.629 ,1.953.543 ,1.690.265 ,1.093.015 ,1.093.015 ,382.315 ,319.221 ,33 ,4.720 ,58.342 ,214.935 ,960 ,0 ,0 ,213.975 ,0 ,0 ,263.278 ,54.999 ,0 ,0 ,22.425 ,32.574 ,13.892 ,13.892 ,1.052 ,1.052 ,0 ,0 ,193.336 ,193.336 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,2.086 ,2.086 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,1.523.585 ,956.572 ,860.482 ,676.607 ,676.607 ,51.039 ,36.138 ,0 ,5.295 ,9.606 ,132.837 ,0 ,0 ,0 ,132.837 ,0 ,0 ,96.090 ,49.937 ,0 ,0 ,28.831 ,21.107 ,8.137 ,8.137 ,401 ,401 ,16.525 ,16.525 ,21.090 ,21.090 ,376 ,376 ,0 ,0 ,376 ,0 ,0 ,0 ,0 ,0 ,0 ,3.459 ,3.459 ,2.909 ,551 ,0 ,0 ,0 ,563.178 ,563.178 ,456.885 ,106.293 ,0 ,0 
32.,DOMŽALE,15.474.785 ,15.101.752 ,11.323.931 ,8.340.754 ,8.340.754 ,2.233.887 ,1.335.064 ,4 ,124.063 ,774.756 ,749.290 ,82.878 ,0 ,0 ,666.412 ,0 ,0 ,3.777.821 ,2.915.007 ,13.339 ,32.455 ,414.185 ,2.455.028 ,68.666 ,68.666 ,36.116 ,36.116 ,32.388 ,32.388 ,725.644 ,725.644 ,231.452 ,104.377 ,104.377 ,0 ,0 ,0 ,0 ,127.075 ,0 ,127.075 ,0 ,3.425 ,0 ,0 ,0 ,3.425 ,0 ,3.425 ,138.156 ,138.156 ,138.156 ,0 ,0 ,0 
33.,DORNAVA,993.378 ,423.873 ,355.283 ,298.431 ,298.431 ,10.445 ,142 ,0 ,255 ,10.048 ,46.407 ,421 ,0 ,0 ,45.986 ,0 ,0 ,68.590 ,14.059 ,0 ,0 ,584 ,13.474 ,9.176 ,9.176 ,0 ,0 ,0 ,0 ,45.356 ,45.356 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,569.504 ,569.504 ,569.504 ,0 ,0 ,0 
34.,DRAVOGRAD,3.965.439 ,2.745.644 ,2.395.318 ,1.576.093 ,1.576.093 ,526.295 ,468.475 ,0 ,7.088 ,50.732 ,292.930 ,22.193 ,0 ,0 ,270.737 ,0 ,0 ,350.326 ,210.987 ,0 ,2.977 ,37.768 ,170.242 ,27.641 ,27.641 ,25 ,25 ,0 ,0 ,111.674 ,111.674 ,89.969 ,54.414 ,54.414 ,0 ,0 ,0 ,0 ,35.555 ,1.634 ,33.921 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.129.826 ,1.129.826 ,1.030.042 ,0 ,0 ,99.784 
35.,DUPLEK,2.175.033 ,1.165.744 ,1.041.112 ,850.997 ,850.997 ,70.147 ,42.422 ,0 ,2.608 ,25.117 ,119.967 ,396 ,0 ,0 ,119.571 ,0 ,0 ,124.633 ,25.004 ,7.253 ,0 ,4.148 ,13.604 ,15.515 ,15.515 ,184 ,184 ,759 ,759 ,83.171 ,83.171 ,25.622 ,417 ,0 ,417 ,0 ,0 ,0 ,25.204 ,0 ,25.204 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,983.667 ,983.667 ,983.667 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,3.408.988 ,1.557.399 ,1.210.336 ,929.336 ,929.336 ,173.126 ,134.272 ,0 ,3.067 ,35.787 ,107.874 ,3.401 ,0 ,0 ,104.473 ,0 ,0 ,347.062 ,145.869 ,0 ,2.959 ,76.056 ,66.854 ,20.059 ,20.059 ,530 ,530 ,147.484 ,147.484 ,33.121 ,33.121 ,50.230 ,163 ,0 ,0 ,163 ,0 ,0 ,50.067 ,167 ,49.900 ,0 ,82.202 ,82.202 ,0 ,82.202 ,0 ,0 ,0 ,1.719.158 ,1.719.158 ,1.710.628 ,8.529 ,0 ,0 
37.,GORIŠNICA,4.009.260 ,2.063.182 ,1.578.050 ,669.617 ,669.617 ,753.059 ,741.892 ,0 ,1.961 ,9.205 ,155.375 ,997 ,0 ,0 ,154.377 ,0 ,0 ,485.132 ,136.939 ,0 ,0 ,99.946 ,36.993 ,19.166 ,19.166 ,426 ,426 ,0 ,0 ,328.601 ,328.601 ,10.378 ,0 ,0 ,0 ,0 ,0 ,0 ,10.378 ,0 ,10.378 ,0 ,16.692 ,16.692 ,0 ,16.692 ,0 ,0 ,0 ,1.919.008 ,1.919.008 ,1.919.008 ,0 ,0 ,0 
38.,GORNJA RADGONA,6.839.860 ,3.310.683 ,2.444.037 ,1.717.393 ,1.717.393 ,403.409 ,353.589 ,0 ,4.690 ,45.130 ,323.235 ,11.884 ,0 ,0 ,311.350 ,0 ,0 ,866.646 ,328.025 ,0 ,0 ,26.824 ,301.202 ,38.065 ,38.065 ,28.188 ,28.188 ,33.550 ,33.550 ,438.817 ,438.817 ,55.608 ,20.193 ,20.193 ,0 ,0 ,0 ,0 ,35.416 ,0 ,35.416 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.473.569 ,3.473.569 ,3.031.176 ,366.429 ,0 ,75.964 
39.,GORNJI GRAD,1.778.343 ,494.888 ,425.092 ,303.564 ,303.564 ,40.277 ,36.430 ,0 ,480 ,3.368 ,81.251 ,3.668 ,0 ,0 ,77.583 ,0 ,0 ,69.796 ,43.394 ,0 ,0 ,175 ,43.219 ,7.703 ,7.703 ,50 ,50 ,4.394 ,4.394 ,14.255 ,14.255 ,11.167 ,5.350 ,5.350 ,0 ,0 ,0 ,0 ,5.817 ,0 ,5.817 ,0 ,1.085 ,1.085 ,1.085 ,0 ,0 ,0 ,0 ,1.271.203 ,1.271.203 ,1.267.864 ,3.338 ,0 ,0 
40.,GORNJI PETROVCI,1.604.336 ,487.193 ,217.848 ,201.448 ,201.448 ,3.355 ,3.021 ,0 ,238 ,96 ,13.045 ,584 ,0 ,0 ,12.460 ,0 ,0 ,269.346 ,20.018 ,0 ,0 ,643 ,19.375 ,7.883 ,7.883 ,63 ,63 ,0 ,0 ,241.383 ,241.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.703 ,1.703 ,0 ,1.703 ,0 ,0 ,0 ,1.115.440 ,1.115.440 ,1.082.228 ,0 ,0 ,33.212 
41.,GRAD,1.580.805 ,711.922 ,171.925 ,138.491 ,138.491 ,26.965 ,23.702 ,0 ,939 ,2.324 ,6.468 ,1.932 ,0 ,0 ,4.536 ,0 ,0 ,539.998 ,208.738 ,0 ,0 ,1.965 ,206.773 ,9.485 ,9.485 ,4 ,4 ,268.770 ,268.770 ,53.000 ,53.000 ,48.514 ,48.514 ,48.514 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,820.368 ,820.368 ,789.730 ,0 ,0 ,30.638 
42.,GROSUPLJE,7.541.433 ,6.744.659 ,5.661.405 ,4.009.264 ,4.009.264 ,883.104 ,585.779 ,0 ,17.226 ,280.099 ,769.037 ,9.506 ,0 ,0 ,759.531 ,0 ,0 ,1.083.254 ,173.327 ,0 ,0 ,49.295 ,124.032 ,52.049 ,52.049 ,413 ,413 ,100.109 ,100.109 ,757.357 ,757.357 ,69.659 ,388 ,0 ,0 ,388 ,0 ,0 ,69.271 ,0 ,69.271 ,0 ,26.611 ,26.611 ,0 ,26.611 ,0 ,0 ,0 ,700.505 ,700.505 ,663.316 ,37.189 ,0 ,0 
43.,HAJDINA,1.792.055 ,1.700.714 ,1.614.872 ,699.453 ,699.453 ,837.865 ,821.115 ,0 ,1.143 ,15.607 ,77.554 ,9.927 ,0 ,0 ,67.626 ,0 ,0 ,85.841 ,26.348 ,0 ,0 ,21.841 ,4.507 ,10.745 ,10.745 ,134 ,134 ,359 ,359 ,48.256 ,48.256 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,91.341 ,91.341 ,43.628 ,47.713 ,0 ,0 
44.,HOČE - SLIVNICA,4.682.253 ,3.439.251 ,2.852.583 ,1.926.769 ,1.926.769 ,599.115 ,511.972 ,0 ,7.511 ,79.632 ,326.698 ,76.773 ,0 ,0 ,249.925 ,0 ,0 ,586.668 ,151.373 ,23.702 ,0 ,1.043 ,126.627 ,21.244 ,21.244 ,463 ,463 ,108.826 ,108.826 ,304.761 ,304.761 ,280.400 ,0 ,0 ,0 ,0 ,0 ,0 ,280.400 ,0 ,280.400 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,962.602 ,962.602 ,962.602 ,0 ,0 ,0 
45.,HODOŠ,381.940 ,42.401 ,30.308 ,17.263 ,17.263 ,4.023 ,4.023 ,0 ,0 ,0 ,9.022 ,0 ,0 ,0 ,9.022 ,0 ,0 ,12.093 ,1.052 ,0 ,0 ,801 ,250 ,2.132 ,2.132 ,21 ,21 ,0 ,0 ,8.888 ,8.888 ,1.648 ,1.648 ,1.648 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45.823 ,45.823 ,2.721 ,43.102 ,0 ,0 ,0 ,292.067 ,292.067 ,192.576 ,0 ,0 ,99.491 
46.,HORJUL,1.583.379 ,759.573 ,665.415 ,538.107 ,538.107 ,59.318 ,39.196 ,0 ,10.528 ,9.594 ,67.989 ,1.786 ,0 ,0 ,66.203 ,0 ,0 ,94.158 ,46.077 ,0 ,0 ,17.505 ,28.572 ,8.968 ,8.968 ,672 ,672 ,0 ,0 ,38.441 ,38.441 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,823.807 ,823.807 ,822.137 ,0 ,0 ,1.669 
47.,HRASTNIK,6.279.937 ,3.771.887 ,3.336.033 ,2.016.291 ,2.016.291 ,790.878 ,732.190 ,0 ,13.499 ,45.189 ,528.864 ,32.403 ,0 ,0 ,496.461 ,0 ,0 ,435.854 ,302.979 ,0 ,4.774 ,11.480 ,286.726 ,27.316 ,27.316 ,96 ,96 ,2.550 ,2.550 ,102.913 ,102.913 ,242.080 ,158.763 ,158.763 ,0 ,0 ,0 ,0 ,83.317 ,0 ,83.317 ,0 ,56.960 ,56.960 ,0 ,56.960 ,0 ,0 ,0 ,2.209.009 ,2.209.009 ,2.136.096 ,72.914 ,0 ,0 
48.,HRPELJE - KOZINA,2.375.384 ,1.585.941 ,1.261.989 ,892.964 ,892.964 ,227.775 ,157.453 ,0 ,17.418 ,52.904 ,141.249 ,20.614 ,0 ,0 ,120.635 ,0 ,0 ,323.953 ,236.722 ,455 ,2.867 ,39.321 ,194.079 ,14.175 ,14.175 ,275 ,275 ,0 ,0 ,72.780 ,72.780 ,321.415 ,11.530 ,11.530 ,0 ,0 ,0 ,0 ,309.886 ,0 ,309.886 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,468.027 ,468.027 ,211.200 ,256.827 ,0 ,0 
49.,IDRIJA,5.660.107 ,4.971.111 ,4.249.779 ,3.432.453 ,3.432.453 ,448.957 ,351.652 ,0 ,11.271 ,86.033 ,368.369 ,8.112 ,0 ,0 ,360.257 ,0 ,0 ,721.332 ,619.379 ,0 ,163 ,56.447 ,562.769 ,32.770 ,32.770 ,10.845 ,10.845 ,4.094 ,4.094 ,54.244 ,54.244 ,161.108 ,157.294 ,47.951 ,0 ,0 ,109.343 ,0 ,3.814 ,0 ,3.814 ,0 ,37.485 ,0 ,0 ,0 ,37.485 ,37.485 ,0 ,490.402 ,490.402 ,430.095 ,60.307 ,0 ,0 
50.,IG,3.976.640 ,3.315.077 ,1.762.815 ,1.207.712 ,1.207.712 ,258.805 ,194.375 ,0 ,11.121 ,53.309 ,296.299 ,1.131 ,0 ,0 ,295.168 ,0 ,0 ,1.552.262 ,248.610 ,0 ,0 ,226.035 ,22.576 ,13.253 ,13.253 ,3.564 ,3.564 ,4.411 ,4.411 ,1.282.424 ,1.282.424 ,200 ,188 ,0 ,0 ,188 ,0 ,0 ,13 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,661.363 ,661.363 ,619.634 ,0 ,0 ,41.729 
51.,ILIRSKA BISTRICA,6.655.980 ,4.301.410 ,3.610.566 ,2.686.822 ,2.686.822 ,435.303 ,360.795 ,0 ,28.772 ,45.735 ,488.441 ,44.120 ,0 ,0 ,444.321 ,0 ,0 ,690.845 ,466.754 ,0 ,25 ,138.950 ,327.779 ,49.028 ,49.028 ,2.817 ,2.817 ,6.539 ,6.539 ,165.707 ,165.707 ,70.460 ,57.916 ,55.830 ,0 ,0 ,2.086 ,0 ,12.544 ,1.423 ,11.121 ,0 ,28.601 ,28.601 ,28.601 ,0 ,0 ,0 ,0 ,2.255.508 ,2.255.508 ,2.255.508 ,0 ,0 ,0 
52.,IVANČNA GORICA,6.584.218 ,3.756.785 ,3.071.157 ,2.492.843 ,2.492.843 ,217.772 ,114.705 ,0 ,5.208 ,97.859 ,360.541 ,4.369 ,0 ,0 ,356.172 ,0 ,0 ,685.628 ,283.062 ,0 ,0 ,249.286 ,33.776 ,32.853 ,32.853 ,714 ,714 ,15.995 ,15.995 ,353.005 ,353.005 ,49.145 ,38.992 ,38.992 ,0 ,0 ,0 ,0 ,10.153 ,5.233 ,4.920 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.778.288 ,2.778.288 ,2.778.288 ,0 ,0 ,0 
53.,IZOLA,11.058.321 ,8.054.732 ,6.137.360 ,3.721.557 ,3.721.557 ,1.260.270 ,733.317 ,1.327 ,27.333 ,498.293 ,1.155.033 ,146.791 ,0 ,0 ,1.008.242 ,501 ,501 ,1.917.372 ,990.715 ,0 ,159 ,246.599 ,743.958 ,48.143 ,48.143 ,77.249 ,77.249 ,168.311 ,168.311 ,632.954 ,632.954 ,2.292.101 ,789.835 ,789.835 ,0 ,0 ,0 ,0 ,1.502.266 ,0 ,1.502.266 ,0 ,8.346 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,703.142 ,703.142 ,688.191 ,0 ,0 ,14.952 
54.,JESENICE,12.246.774 ,7.980.500 ,5.564.234 ,3.985.482 ,3.985.482 ,1.046.098 ,676.156 ,21 ,12.398 ,357.524 ,532.653 ,72.450 ,0 ,0 ,460.203 ,0 ,0 ,2.416.266 ,1.950.522 ,0 ,8.676 ,96.820 ,1.845.026 ,49.508 ,49.508 ,3.209 ,3.209 ,22.997 ,22.997 ,390.031 ,390.031 ,788.191 ,311.985 ,311.037 ,0 ,79 ,868 ,0 ,476.206 ,0 ,476.206 ,0 ,104 ,104 ,104 ,0 ,0 ,0 ,0 ,3.477.979 ,3.477.979 ,3.465.836 ,0 ,0 ,12.143 
55.,JEZERSKO,450.346 ,227.103 ,195.493 ,138.487 ,138.487 ,28.117 ,24.345 ,0 ,0 ,3.772 ,28.843 ,0 ,0 ,0 ,28.843 ,46 ,46 ,31.610 ,20.347 ,0 ,480 ,5.241 ,14.626 ,2.462 ,2.462 ,58 ,58 ,138 ,138 ,8.605 ,8.605 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,223.243 ,223.243 ,177.370 ,45.873 ,0 ,0 
56.,JURŠINCI,1.210.737 ,271.211 ,208.083 ,145.961 ,145.961 ,33.838 ,29.123 ,0 ,100 ,4.615 ,28.284 ,142 ,0 ,0 ,28.142 ,0 ,0 ,63.128 ,4.978 ,0 ,0 ,2.579 ,2.399 ,7.349 ,7.349 ,92 ,92 ,25 ,25 ,50.684 ,50.684 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,939.526 ,939.526 ,939.334 ,0 ,0 ,192 
57.,KAMNIK,11.717.347 ,8.668.770 ,7.474.224 ,5.728.981 ,5.728.981 ,908.943 ,549.345 ,0 ,12.682 ,346.916 ,836.300 ,31.856 ,0 ,0 ,804.444 ,0 ,0 ,1.194.546 ,362.239 ,0 ,12.586 ,116.921 ,232.732 ,69.955 ,69.955 ,31.639 ,31.639 ,72.233 ,72.233 ,658.479 ,658.479 ,747.354 ,161.204 ,161.096 ,0 ,109 ,0 ,0 ,586.150 ,3.130 ,583.020 ,0 ,71.632 ,55.095 ,2.370 ,52.725 ,16.537 ,16.537 ,0 ,2.229.590 ,2.229.590 ,2.185.637 ,43.953 ,0 ,0 
58.,KANAL,3.164.949 ,2.605.036 ,1.857.277 ,1.312.636 ,1.312.636 ,409.369 ,370.557 ,0 ,16.942 ,21.871 ,135.272 ,4.338 ,0 ,0 ,130.934 ,0 ,0 ,747.758 ,663.886 ,3.615 ,0 ,4.883 ,655.388 ,19.257 ,19.257 ,378 ,378 ,50.913 ,50.913 ,13.325 ,13.325 ,23.659 ,20.233 ,19.800 ,433 ,0 ,0 ,0 ,3.426 ,2.074 ,1.352 ,0 ,168.738 ,122.207 ,435 ,121.772 ,46.530 ,46.530 ,0 ,367.517 ,367.517 ,359.108 ,5.322 ,0 ,3.087 
59.,KIDRIČEVO,2.865.803 ,1.599.892 ,1.351.214 ,1.015.607 ,1.015.607 ,184.139 ,160.478 ,0 ,2.742 ,20.919 ,151.469 ,1.632 ,0 ,0 ,149.837 ,0 ,0 ,248.677 ,208.016 ,0 ,0 ,151.736 ,56.280 ,17.814 ,17.814 ,0 ,0 ,0 ,0 ,22.847 ,22.847 ,26.536 ,0 ,0 ,0 ,0 ,0 ,0 ,26.536 ,0 ,26.536 ,0 ,313 ,313 ,313 ,0 ,0 ,0 ,0 ,1.239.063 ,1.239.063 ,1.231.873 ,5.250 ,0 ,1.940 
60.,KOBARID,4.052.967 ,1.409.122 ,1.034.464 ,800.638 ,800.638 ,64.493 ,30.496 ,0 ,12.661 ,21.336 ,169.333 ,697 ,0 ,284 ,168.353 ,0 ,0 ,374.658 ,348.635 ,497 ,0 ,1.210 ,346.929 ,18.970 ,18.970 ,71 ,71 ,0 ,0 ,6.981 ,6.981 ,97.041 ,51.373 ,51.373 ,0 ,0 ,0 ,0 ,45.669 ,0 ,45.669 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.546.804 ,2.546.804 ,2.528.126 ,0 ,0 ,18.678 
61.,KOBILJE,318.861 ,123.713 ,69.791 ,61.553 ,61.553 ,4.862 ,3.392 ,0 ,0 ,1.470 ,3.375 ,163 ,0 ,0 ,3.212 ,0 ,0 ,53.922 ,3.993 ,0 ,0 ,107 ,3.886 ,1.285 ,1.285 ,142 ,142 ,531 ,531 ,47.971 ,47.971 ,1.141 ,0 ,0 ,0 ,0 ,0 ,0 ,1.141 ,1.141 ,0 ,0 ,4.016 ,4.016 ,4.016 ,0 ,0 ,0 ,0 ,189.991 ,189.991 ,176.853 ,0 ,0 ,13.139 
62.,KOČEVJE,7.768.778 ,4.783.408 ,3.839.972 ,2.857.031 ,2.857.031 ,375.480 ,276.239 ,0 ,11.738 ,87.502 ,607.461 ,47.133 ,0 ,0 ,560.328 ,0 ,0 ,943.436 ,464.743 ,0 ,0 ,60.545 ,404.198 ,48.089 ,48.089 ,246 ,246 ,34.122 ,34.122 ,396.236 ,396.236 ,159.235 ,136.058 ,136.058 ,0 ,0 ,0 ,0 ,23.176 ,0 ,23.176 ,0 ,11.163 ,11.163 ,11.163 ,0 ,0 ,0 ,0 ,2.814.972 ,2.814.972 ,2.800.484 ,0 ,0 ,14.488 
63.,KOMEN,1.712.014 ,1.391.700 ,1.020.397 ,853.802 ,853.802 ,78.923 ,37.160 ,0 ,10.395 ,31.368 ,87.673 ,1.456 ,0 ,0 ,86.217 ,0 ,0 ,371.303 ,341.266 ,0 ,2.662 ,2.124 ,336.480 ,10.787 ,10.787 ,75 ,75 ,4.724 ,4.724 ,14.451 ,14.451 ,141.984 ,85.107 ,85.107 ,0 ,0 ,0 ,0 ,56.877 ,0 ,56.877 ,0 ,61.234 ,15.970 ,15.970 ,0 ,45.264 ,45.264 ,0 ,117.096 ,117.096 ,117.096 ,0 ,0 ,0 
64.,KOMENDA,2.179.970 ,1.590.548 ,1.306.076 ,996.958 ,996.958 ,135.078 ,69.433 ,0 ,3.113 ,62.531 ,174.040 ,3.100 ,0 ,0 ,170.940 ,0 ,0 ,284.473 ,186.797 ,0 ,0 ,626 ,186.171 ,14.968 ,14.968 ,910 ,910 ,7.445 ,7.445 ,74.353 ,74.353 ,386.058 ,125.221 ,125.188 ,0 ,33 ,0 ,0 ,260.837 ,0 ,260.837 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,203.363 ,203.363 ,199.791 ,0 ,0 ,3.572 
65.,MESTNA OBČINA KOPER,32.523.452 ,26.379.290 ,21.318.432 ,13.232.257 ,13.232.257 ,5.740.657 ,4.422.208 ,125 ,33.300 ,1.285.023 ,2.345.518 ,451.874 ,0 ,0 ,1.893.645 ,0 ,0 ,5.060.858 ,2.771.524 ,0 ,736.221 ,496.365 ,1.538.938 ,163.725 ,163.725 ,75.451 ,75.451 ,2.533 ,2.533 ,2.047.626 ,2.047.626 ,5.206.827 ,738.391 ,717.931 ,20.460 ,0 ,0 ,0 ,4.468.436 ,0 ,4.468.436 ,0 ,142.088 ,0 ,0 ,0 ,142.088 ,93.428 ,48.660 ,795.247 ,795.247 ,710.720 ,58.521 ,0 ,26.006 
66.,KOSTEL,704.135 ,183.342 ,136.309 ,108.550 ,108.550 ,6.414 ,2.804 ,0 ,163 ,3.447 ,21.345 ,150 ,0 ,0 ,21.194 ,0 ,0 ,47.033 ,7.382 ,0 ,0 ,50 ,7.332 ,4.615 ,4.615 ,100 ,100 ,3.430 ,3.430 ,31.506 ,31.506 ,655 ,0 ,0 ,0 ,0 ,0 ,0 ,655 ,0 ,655 ,0 ,19.404 ,19.404 ,19.404 ,0 ,0 ,0 ,0 ,500.734 ,500.734 ,500.734 ,0 ,0 ,0 
67.,KOZJE,1.736.058 ,647.513 ,543.010 ,393.561 ,393.561 ,42.798 ,35.653 ,25 ,1.252 ,5.867 ,106.652 ,79 ,0 ,0 ,106.572 ,0 ,0 ,104.503 ,27.883 ,0 ,0 ,755 ,27.128 ,12.581 ,12.581 ,976 ,976 ,0 ,0 ,63.061 ,63.061 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.088.545 ,1.088.545 ,1.088.545 ,0 ,0 ,0 
68.,MESTNA OBČINA KRANJ,25.510.119 ,23.180.250 ,19.789.171 ,14.418.978 ,14.418.978 ,3.792.626 ,2.486.980 ,0 ,87.235 ,1.218.411 ,1.577.566 ,199.796 ,0 ,0 ,1.377.771 ,0 ,0 ,3.391.078 ,1.703.009 ,0 ,21.261 ,573.076 ,1.108.671 ,124.249 ,124.249 ,127.483 ,127.483 ,168.912 ,168.912 ,1.267.426 ,1.267.426 ,2.095.005 ,1.017.464 ,1.015.728 ,1.202 ,534 ,0 ,0 ,1.077.541 ,659 ,1.076.882 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,234.865 ,234.865 ,184.402 ,50.463 ,0 ,0 
69.,KRANJSKA GORA,5.267.806 ,5.191.291 ,2.610.620 ,1.421.282 ,1.421.282 ,619.909 ,438.604 ,0 ,21.532 ,159.773 ,569.429 ,163.224 ,0 ,0 ,406.205 ,0 ,0 ,2.580.671 ,1.703.167 ,0 ,22.137 ,63.307 ,1.617.722 ,24.691 ,24.691 ,1.218 ,1.218 ,138.420 ,138.420 ,713.174 ,713.174 ,46.353 ,40.457 ,40.457 ,0 ,0 ,0 ,0 ,5.896 ,0 ,5.896 ,0 ,4.027 ,4.027 ,0 ,4.027 ,0 ,0 ,0 ,26.135 ,26.135 ,26.135 ,0 ,0 ,0 
70.,KRIŽEVCI,1.479.751 ,767.347 ,595.889 ,482.152 ,482.152 ,32.558 ,16.125 ,0 ,4.890 ,11.542 ,81.180 ,360 ,0 ,0 ,80.820 ,0 ,0 ,171.458 ,56.704 ,0 ,0 ,28.378 ,28.326 ,10.737 ,10.737 ,62 ,62 ,6.871 ,6.871 ,97.084 ,97.084 ,1.564 ,1.564 ,1.564 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,710.840 ,710.840 ,637.848 ,71.769 ,0 ,1.223 
71.,KRŠKO,19.625.926 ,13.316.053 ,8.364.226 ,5.416.558 ,5.416.558 ,1.971.528 ,1.834.969 ,0 ,34.318 ,102.241 ,950.872 ,30.563 ,0 ,3.113 ,917.197 ,25.267 ,25.267 ,4.951.828 ,509.827 ,22.738 ,0 ,7.415 ,479.674 ,91.379 ,91.379 ,3.171 ,3.171 ,16.662 ,16.662 ,4.330.788 ,4.330.788 ,2.566.662 ,2.244.204 ,1.318.177 ,1.836 ,0 ,924.190 ,0 ,322.459 ,86.488 ,235.971 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.743.211 ,3.743.211 ,3.698.886 ,0 ,0 ,44.325 
