,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,- V EUR,,,,,,,- V EUR
,,,II.,40,400,4000,4001,4002,4003,4004,4005,4009,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4031,4032,4033,4035,405,4050,409,4090,4091,4092,4093,4098,41,410,4100,4101,4102,411,4110,4111,4112,4115,4117,4119,412,4120,413,4130,4131,4132,4133,4135,4136,414,4142,4143,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,431,4310,4311,4312,4313,4314,4315,4316,432,4320,4321,4322,4323,III.,III/1.,III/2.
,,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)","PRIMARNI PRESEŽEK (PRIMANJKLJAJ)
(I. - 7102) - (II. - 403 - 404)","TEKOČI PRESEŽEK (PRIMANJKLJAJ)
(70 + 71) - (40 + 41)"
,,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,,
,,,,"400+401+402
+403+405+409",PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,"410+411+412
+413+414",SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,431+432,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI),(SKUPAJ PRIHODKI BREZ PRIHODKOV OD OBRESTI MINUS SKUPAJ ODHODKI BREZ PLAČIL OBRESTI),(TEKOČI PRIHODKI MINUS TEKOČI ODHODKI IN TEKOČI TRANSFERI)
,,,,,,Plače in dodatki,Regres za letni dopust,Povračila in nadomestila,Sredstva za delovno uspešnost,Sredstva za nadurno delo,Plače za delo nerezidentov po pogodbi,Drugi izdatki zaposlenim,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Poslovne najemnine in zakupnine,Kazni in odškodnine,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti subjektom, vključenim v sistem EZR",,Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta,,Splošna proračunska rezervacija,Proračunska rezerva,Druge rezerve,Sredstva za posebne namene,Rezervacije za kreditna tveganja v javnih skladih,,,Subvencije javnim podjetjem,Subvencije finančnim institucijam,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,Nadomestila plač,Štipendije,Drugi transferi posameznikom,,Tekoči transferi nepridobitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,Tekoči transferi neprofitnim organizacijam v tujini,Drugi tekoči transferi v tujino,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",,,Investicijski transferi nepridobitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"18.862.629,73 ","3.719.308,69 ","725.785,58 ","652.751,90 ","22.759,88 ","46.134,19 ","0,00 ","2.407,08 ","0,00 ","1.732,53 ","122.352,06 ","60.657,51 ","48.594,53 ","411,29 ","685,47 ","12.003,26 ","2.009.211,01 ","130.479,07 ","134.497,68 ","298.093,94 ","13.182,70 ","1.164,49 ","843.775,21 ","17.031,43 ","31.031,59 ","539.954,90 ","33.184,14 ","33.184,14 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","828.775,90 ","0,00 ","610.706,18 ","218.069,72 ","0,00 ","0,00 ","6.171.731,13 ","167.820,86 ","6.241,27 ","0,00 ","161.579,59 ","3.244.384,28 ","0,00 ","0,00 ","21.484,45 ","0,00 ","0,00 ","3.222.899,83 ","725.688,85 ","725.688,85 ","2.033.837,14 ","18.899,45 ","89.125,92 ","8.885,20 ","1.916.926,57 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.097.137,35 ","8.097.137,35 ","373.200,00 ","140.000,00 ","360.292,12 ","0,00 ","5.384.639,82 ","1.156.248,84 ","164.338,72 ","8.281,58 ","510.136,27 ","874.452,56 ","206.315,29 ","196.245,15 ","0,00 ","0,00 ","0,00 ","10.070,14 ","0,00 ","0,00 ","668.137,27 ","0,00 ","0,00 ","0,00 ","668.137,27 ","-508.390,08 ","-493.115,24 ","4.764.639,01 "
2.,195 ,OBČINA APAČE,"4.811.388,53 ","813.740,69 ","271.888,14 ","229.654,81 ","9.584,20 ","15.776,65 ","6.286,03 ","0,00 ","0,00 ","10.586,45 ","43.371,41 ","22.592,34 ","16.728,27 ","146,00 ","242,98 ","3.661,82 ","479.217,55 ","118.762,15 ","10.616,24 ","56.050,34 ","4.365,47 ","1.640,00 ","181.593,62 ","0,00 ","0,00 ","106.189,73 ","5.335,08 ","5.335,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13.928,51 ","0,00 ","13.928,51 ","0,00 ","0,00 ","0,00 ","1.122.847,41 ","6.000,00 ","0,00 ","0,00 ","6.000,00 ","605.547,43 ","0,00 ","0,00 ","0,00 ","0,00 ","1.625,00 ","603.922,43 ","144.506,32 ","144.506,32 ","366.793,66 ","18.838,37 ","18.484,32 ","3.729,57 ","321.727,36 ","4.014,04 ","0,00 ","0,00 ","0,00 ","0,00 ","2.832.939,04 ","2.832.939,04 ","0,00 ","0,00 ","5.920,20 ","0,00 ","2.640.717,61 ","13.267,15 ","23.542,40 ","0,00 ","149.491,68 ","41.861,39 ","7.669,00 ","7.669,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","34.192,39 ","29.362,66 ","0,00 ","0,00 ","4.829,73 ","-677.701,08 ","-685.142,43 ","731.855,33 "
3.,2 ,OBČINA BELTINCI,"7.590.868,34 ","1.456.184,60 ","297.075,01 ","268.466,94 ","10.034,00 ","17.470,19 ","0,00 ","815,12 ","0,00 ","288,76 ","48.758,09 ","23.806,83 ","19.072,60 ","161,45 ","269,06 ","5.448,15 ","1.066.876,44 ","69.907,63 ","53.078,74 ","253.415,16 ","8.192,63 ","3.202,73 ","442.725,59 ","0,00 ","0,00 ","236.353,96 ","43.475,06 ","43.475,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.723.482,74 ","108.795,96 ","66.263,33 ","0,00 ","42.532,63 ","1.570.439,11 ","0,00 ","10.779,15 ","12.235,00 ","0,00 ","0,00 ","1.547.424,96 ","199.262,54 ","199.262,54 ","844.985,13 ","0,00 ","78.164,48 ","1.740,67 ","675.694,39 ","89.385,59 ","0,00 ","0,00 ","0,00 ","0,00 ","3.252.855,79 ","3.252.855,79 ","1.426,06 ","0,00 ","91.914,22 ","0,00 ","2.926.393,08 ","19.058,13 ","55.822,00 ","0,00 ","158.242,30 ","158.345,21 ","36.677,70 ","36.677,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","121.667,51 ","81.894,77 ","0,00 ","0,00 ","39.772,74 ","-297.852,76 ","-316.656,43 ","1.779.098,27 "
4.,148 ,OBČINA BENEDIKT,"2.004.757,60 ","797.766,75 ","153.866,61 ","136.091,01 ","4.152,00 ","9.427,49 ","2.817,11 ","0,00 ","0,00 ","1.379,00 ","23.347,88 ","12.684,21 ","8.442,88 ","71,38 ","119,01 ","2.030,40 ","553.841,03 ","59.792,44 ","14.964,46 ","159.364,95 ","2.342,09 ","2.145,27 ","177.985,96 ","84.565,14 ","0,00 ","52.680,72 ","66.711,23 ","66.711,23 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","661.591,04 ","17.293,00 ","0,00 ","0,00 ","17.293,00 ","377.124,76 ","0,00 ","3.970,00 ","0,00 ","0,00 ","0,00 ","373.154,76 ","92.924,68 ","92.924,68 ","174.248,60 ","4.044,00 ","8.970,72 ","0,00 ","160.241,78 ","992,10 ","0,00 ","0,00 ","0,00 ","0,00 ","538.366,18 ","538.366,18 ","0,00 ","0,00 ","3.308,90 ","0,00 ","456.453,12 ","2.272,27 ","17.660,00 ","0,00 ","58.671,89 ","7.033,63 ","493,25 ","0,00 ","493,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.540,38 ","6.540,38 ","0,00 ","0,00 ","0,00 ","107.683,48 ","174.365,16 ","318.700,83 "
