28.,DOBROVA - POLHOV GRADEC,3.112.214 ,927.408 ,123.406 ,75.401 ,726.903 ,98.807 ,17.322 ,46.019 ,1.732 ,150 ,458.233 ,14.743 ,6.869 ,8.233 ,74.796 ,1.698 ,0 ,0 ,1.698 ,0 ,0 ,0 ,0 ,0 ,1.459.201 ,60.991 ,0 ,60.991 ,945.702 ,0 ,19.375 ,11.530 ,0 ,1.252 ,913.545 ,152.141 ,152.141 ,300.367 ,34.748 ,31.464 ,0 ,234.155 ,0 ,606.481 ,606.481 ,0 ,35.491 ,30.700 ,976 ,0 ,491.441 ,0 ,0 ,47.872 ,119.125 ,119.125 ,0 ,0 ,0 ,49.541 ,0 ,0 ,0 ,69.584 ,0 ,13 
29.,DOBROVNIK,2.510.830 ,442.384 ,152.046 ,21.015 ,266.364 ,59.335 ,8.912 ,61.766 ,4.960 ,7.899 ,59.368 ,1.439 ,0 ,3.723 ,58.963 ,2.959 ,0 ,0 ,2.959 ,0 ,0 ,0 ,0 ,0 ,619.951 ,16.064 ,0 ,16.064 ,21.059 ,417 ,0 ,0 ,0 ,0 ,20.641 ,112.957 ,112.957 ,469.872 ,318.564 ,18.196 ,5.005 ,128.106 ,0 ,1.448.495 ,1.448.495 ,0 ,0 ,51.877 ,9.199 ,1.048.077 ,178.446 ,6.677 ,0 ,154.219 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-582.867 
30.,DOL PRI LJUBLJANI,2.513.558 ,683.705 ,119.049 ,17.339 ,524.549 ,99.399 ,2.120 ,58.659 ,3.109 ,1.636 ,246.674 ,2.162 ,0 ,6.180 ,104.611 ,0 ,0 ,0 ,0 ,0 ,22.767 ,8.759 ,14.009 ,0 ,935.683 ,31.985 ,0 ,31.985 ,505.951 ,0 ,0 ,2.704 ,0 ,3.564 ,499.683 ,113.161 ,113.161 ,284.585 ,0 ,25.509 ,0 ,259.076 ,0 ,619.120 ,619.120 ,184.890 ,0 ,13.303 ,0 ,960 ,288.812 ,76.010 ,0 ,55.145 ,275.050 ,275.050 ,0 ,0 ,111.630 ,0 ,0 ,0 ,0 ,163.420 ,0 ,288.307 
31.,DOLENJSKE TOPLICE,2.145.827 ,470.639 ,76.719 ,11.296 ,379.703 ,60.495 ,13 ,30.500 ,1.473 ,743 ,177.604 ,9.489 ,0 ,3.534 ,95.852 ,0 ,0 ,0 ,0 ,0 ,2.921 ,2.921 ,0 ,0 ,535.641 ,67.046 ,0 ,67.046 ,167.530 ,0 ,2.220 ,1.753 ,0 ,0 ,163.558 ,74.879 ,74.879 ,226.185 ,0 ,15.189 ,0 ,210.996 ,0 ,760.950 ,760.950 ,0 ,0 ,10.499 ,434 ,671.762 ,0 ,26.285 ,0 ,51.970 ,378.597 ,378.597 ,0 ,0 ,12.936 ,148.126 ,0 ,203.276 ,0 ,14.259 ,0 ,-39.555 
32.,DOMŽALE,15.795.266 ,4.017.210 ,1.027.671 ,148.054 ,2.712.057 ,256.207 ,5.369 ,99.944 ,3.752 ,6.573 ,1.650.770 ,4.181 ,99.481 ,0 ,585.778 ,73.493 ,51.132 ,0 ,22.360 ,0 ,55.936 ,24.052 ,31.883 ,0 ,6.214.499 ,194.307 ,0 ,194.307 ,3.054.681 ,0 ,0 ,73.409 ,0 ,70.677 ,2.910.594 ,820.848 ,820.848 ,2.144.663 ,280.672 ,0 ,19.718 ,1.844.273 ,0 ,4.079.105 ,4.079.105 ,986.350 ,0 ,92.765 ,0 ,2.079.588 ,191.190 ,332.979 ,0 ,396.233 ,1.484.451 ,1.484.451 ,10.622 ,0 ,232.960 ,421.870 ,0 ,0 ,0 ,818.999 ,0 ,-632.685 
33.,DORNAVA,1.187.147 ,310.937 ,62.135 ,8.742 ,240.006 ,11.576 ,0 ,35.240 ,1.381 ,1.369 ,75.376 ,0 ,15.511 ,2.045 ,97.509 ,54 ,0 ,54 ,0 ,0 ,0 ,0 ,0 ,0 ,390.678 ,9.681 ,0 ,9.681 ,172.300 ,0 ,0 ,0 ,0 ,0 ,172.300 ,68.561 ,68.561 ,140.135 ,31.881 ,30.746 ,0 ,77.508 ,0 ,421.582 ,421.582 ,0 ,0 ,49.286 ,0 ,361.234 ,0 ,242 ,0 ,10.820 ,63.950 ,63.950 ,63.950 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,310.090 
34.,DRAVOGRAD,4.510.818 ,1.103.761 ,262.319 ,37.333 ,782.827 ,59.922 ,7.874 ,63.111 ,10.089 ,2.347 ,453.697 ,2.613 ,2.086 ,12.556 ,168.532 ,0 ,0 ,0 ,0 ,0 ,21.282 ,0 ,21.282 ,0 ,1.608.597 ,23.214 ,0 ,23.214 ,348.050 ,0 ,0 ,0 ,0 ,0 ,348.050 ,274.416 ,274.416 ,962.917 ,57.857 ,54.173 ,11.796 ,839.092 ,0 ,1.482.951 ,1.482.951 ,30.565 ,10.227 ,33.708 ,423 ,1.064.899 ,75.579 ,68.623 ,0 ,198.928 ,315.508 ,315.508 ,0 ,0 ,27.178 ,167.187 ,0 ,0 ,0 ,121.143 ,0 ,-35.954 
35.,DUPLEK,3.107.411 ,854.131 ,234.372 ,33.696 ,570.564 ,86.663 ,41.274 ,95.739 ,9.848 ,4.482 ,257.716 ,501 ,0 ,11.425 ,62.915 ,0 ,0 ,0 ,0 ,0 ,15.498 ,0 ,15.498 ,0 ,964.113 ,29.094 ,0 ,29.094 ,330.462 ,0 ,4.548 ,25.851 ,0 ,0 ,300.063 ,89.146 ,89.146 ,515.411 ,0 ,55.667 ,2.416 ,457.328 ,0 ,943.620 ,943.620 ,0 ,0 ,105.521 ,0 ,685.061 ,2.984 ,120.527 ,0 ,29.528 ,345.547 ,345.547 ,0 ,0 ,0 ,145.635 ,0 ,0 ,0 ,199.912 ,0 ,-7.470 
36.,GORENJA VAS - POLJANE,4.290.573 ,716.120 ,161.275 ,23.260 ,510.094 ,56.577 ,9.347 ,151.828 ,3.000 ,3.831 ,44.221 ,14.138 ,11.530 ,7.052 ,208.571 ,0 ,0 ,0 ,0 ,0 ,21.491 ,0 ,21.491 ,0 ,1.327.583 ,48.978 ,0 ,48.978 ,757.207 ,0 ,0 ,12.844 ,0 ,0 ,744.362 ,94.892 ,94.892 ,426.506 ,208.029 ,27.917 ,0 ,190.561 ,0 ,1.804.081 ,1.804.081 ,24.303 ,0 ,128.413 ,0 ,1.107.849 ,395.460 ,50.355 ,0 ,97.701 ,442.789 ,442.789 ,356.318 ,0 ,32.015 ,0 ,0 ,0 ,45.902 ,8.555 ,0 ,-324.666 
37.,GORIŠNICA,2.981.915 ,544.834 ,118.244 ,16.729 ,408.609 ,99.637 ,0 ,87.552 ,0 ,1.849 ,3.088 ,0 ,0 ,6.560 ,209.923 ,0 ,0 ,0 ,0 ,0 ,1.252 ,1.252 ,0 ,0 ,1.089.668 ,147.897 ,0 ,147.897 ,500.292 ,0 ,0 ,0 ,0 ,0 ,500.292 ,225.242 ,225.242 ,216.237 ,12.636 ,71.294 ,0 ,132.307 ,0 ,1.347.079 ,1.347.079 ,12.519 ,0 ,7.636 ,4.019 ,1.174.554 ,66.717 ,526 ,0 ,81.109 ,334 ,334 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,334 ,0 ,80.487 
38.,GORNJA RADGONA,6.459.009 ,1.975.910 ,673.819 ,87.961 ,1.148.690 ,39.063 ,172.576 ,510.144 ,11.517 ,3.313 ,264.889 ,0 ,0 ,22.371 ,124.816 ,33.292 ,33.292 ,0 ,0 ,0 ,32.148 ,0 ,32.148 ,0 ,2.600.430 ,87.490 ,0 ,87.490 ,287.156 ,0 ,0 ,0 ,0 ,0 ,287.156 ,386.029 ,386.029 ,1.839.755 ,470.735 ,151.085 ,35.491 ,1.182.445 ,0 ,1.660.929 ,1.660.929 ,0 ,0 ,25.701 ,0 ,1.487.177 ,0 ,20.660 ,0 ,127.391 ,221.741 ,221.741 ,0 ,0 ,0 ,0 ,0 ,5.341 ,0 ,216.400 ,0 ,464.305 
39.,GORNJI GRAD,1.322.642 ,564.764 ,102.646 ,15.035 ,437.264 ,40.323 ,1.953 ,63.466 ,2.854 ,3.489 ,187.339 ,8.926 ,41.454 ,4.427 ,83.033 ,8.684 ,4.286 ,4.398 ,0 ,0 ,1.135 ,1.135 ,0 ,0 ,426.260 ,29.699 ,0 ,29.699 ,282.595 ,0 ,2.754 ,6.176 ,0 ,0 ,273.665 ,57.862 ,57.862 ,56.105 ,0 ,13.821 ,1.632 ,40.653 ,0 ,273.360 ,273.360 ,0 ,0 ,10.048 ,0 ,205.992 ,4.402 ,0 ,0 ,52.917 ,58.258 ,58.258 ,0 ,0 ,47.884 ,1.269 ,1.611 ,0 ,7.495 ,0 ,0 ,48.848 
40.,GORNJI PETROVCI,1.352.996 ,273.114 ,91.763 ,12.836 ,168.515 ,30.951 ,3.964 ,39.564 ,20.969 ,3.080 ,38.207 ,0 ,96 ,3.539 ,28.146 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,330.041 ,8.454 ,0 ,8.454 ,145.376 ,58.287 ,0 ,4.432 ,0 ,0 ,82.657 ,45.581 ,45.581 ,130.629 ,2.462 ,0 ,4.361 ,123.807 ,0 ,749.841 ,749.841 ,4.899 ,11.000 ,8.171 ,0 ,194.125 ,501.698 ,0 ,0 ,29.949 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.212 
41.,GRAD,1.565.340 ,680.976 ,168.486 ,54.286 ,441.512 ,77.074 ,51.089 ,49.491 ,2.675 ,3.918 ,185.841 ,8.171 ,0 ,2.942 ,60.311 ,0 ,0 ,0 ,0 ,0 ,16.692 ,16.692 ,0 ,0 ,303.030 ,16.483 ,0 ,16.483 ,139.543 ,0 ,0 ,0 ,0 ,0 ,139.543 ,38.954 ,38.954 ,108.050 ,0 ,8.746 ,1.828 ,97.475 ,0 ,575.455 ,575.455 ,0 ,19.212 ,5.738 ,8.930 ,400.855 ,7.265 ,0 ,0 ,133.454 ,5.880 ,5.880 ,5.880 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-14.388 
42.,GROSUPLJE,9.563.015 ,1.878.063 ,483.166 ,68.227 ,1.269.688 ,143.962 ,71.528 ,168.394 ,4.361 ,830 ,548.598 ,48.953 ,0 ,22.801 ,260.261 ,45.714 ,28.493 ,0 ,17.222 ,0 ,11.267 ,2.921 ,8.346 ,0 ,3.341.062 ,46.482 ,44.187 ,2.295 ,1.860.749 ,0 ,13.604 ,8.016 ,0 ,17.626 ,1.821.503 ,527.817 ,527.817 ,906.013 ,8.513 ,98.097 ,6.401 ,793.002 ,0 ,3.372.705 ,3.372.705 ,586.688 ,0 ,90.857 ,522 ,2.022.125 ,130.759 ,362.702 ,0 ,179.052 ,971.186 ,971.186 ,2.091 ,0 ,111.183 ,566.358 ,0 ,4.749 ,9.160 ,277.646 ,0 ,194.129 
43.,HAJDINA,2.010.069 ,543.632 ,115.344 ,16.738 ,407.378 ,32.490 ,346 ,64.000 ,2.587 ,2.758 ,128.701 ,2.354 ,0 ,5.784 ,168.357 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,4.173 ,0 ,643.027 ,19.646 ,0 ,19.646 ,291.959 ,0 ,0 ,0 ,0 ,1.740 ,290.219 ,160.937 ,160.937 ,170.485 ,7.511 ,34.043 ,288 ,128.643 ,0 ,715.840 ,715.840 ,14.897 ,0 ,17.989 ,4.594 ,472.183 ,93.398 ,1.673 ,0 ,111.104 ,107.570 ,107.570 ,17.326 ,0 ,36.722 ,22.893 ,0 ,0 ,0 ,30.629 ,0 ,-120.860 
44.,HOČE - SLIVNICA,5.370.819 ,1.502.303 ,343.169 ,47.404 ,1.075.968 ,184.493 ,0 ,239.259 ,7.273 ,5.813 ,489.392 ,2.116 ,0 ,12.097 ,135.524 ,35.762 ,150 ,0 ,35.612 ,0 ,0 ,0 ,0 ,0 ,1.906.289 ,81.468 ,0 ,81.468 ,264.017 ,0 ,0 ,0 ,0 ,0 ,264.017 ,240.615 ,240.615 ,1.320.189 ,16.637 ,53.543 ,0 ,1.250.008 ,0 ,947.651 ,947.651 ,0 ,0 ,27.024 ,0 ,14.614 ,712.752 ,152.988 ,0 ,40.273 ,1.014.576 ,1.014.576 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.014.576 ,0 ,-57.582 
45.,HODOŠ,339.643 ,96.908 ,41.934 ,5.909 ,46.674 ,11.413 ,6.864 ,7.820 ,4.811 ,1.753 ,3.681 ,0 ,0 ,1.189 ,9.143 ,2.391 ,2.391 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,93.307 ,1.865 ,0 ,1.865 ,38.282 ,29.941 ,401 ,2.883 ,0 ,0 ,5.058 ,22.809 ,22.809 ,30.350 ,10.224 ,0 ,509 ,19.617 ,0 ,131.276 ,131.276 ,0 ,0 ,2.925 ,4.469 ,94.947 ,25.088 ,3.059 ,0 ,789 ,18.152 ,18.152 ,1.461 ,0 ,16.692 ,0 ,0 ,0 ,0 ,0 ,0 ,5.103 
46.,HORJUL,1.061.964 ,278.877 ,45.885 ,6.589 ,219.308 ,29.269 ,100 ,40.386 ,622 ,2.162 ,119.229 ,0 ,196 ,1.690 ,25.655 ,0 ,0 ,0 ,0 ,0 ,7.094 ,0 ,7.094 ,0 ,429.941 ,8.575 ,0 ,8.575 ,261.271 ,0 ,6.259 ,10.958 ,0 ,0 ,244.054 ,54.315 ,54.315 ,105.780 ,0 ,8.646 ,0 ,97.133 ,0 ,283.959 ,283.959 ,0 ,0 ,2.333 ,1.390 ,206.685 ,23.748 ,0 ,0 ,49.804 ,69.187 ,69.187 ,0 ,0 ,19.796 ,0 ,0 ,0 ,0 ,49.391 ,0 ,91.387 
47.,HRASTNIK,5.416.934 ,1.463.428 ,342.948 ,49.345 ,1.023.243 ,295.856 ,2.078 ,105.909 ,2.967 ,3.217 ,489.931 ,11.129 ,3.580 ,15.098 ,93.478 ,27.036 ,0 ,0 ,27.036 ,0 ,20.856 ,8.338 ,12.519 ,0 ,2.142.606 ,18.010 ,0 ,18.010 ,910.407 ,0 ,0 ,11.100 ,0 ,26.060 ,873.247 ,200.638 ,200.638 ,1.013.549 ,0 ,110.566 ,12.899 ,890.085 ,0 ,1.222.229 ,1.222.229 ,6.389 ,0 ,17.096 ,3.810 ,904.156 ,69.045 ,122.062 ,0 ,99.670 ,588.671 ,588.671 ,0 ,0 ,9.614 ,243.390 ,0 ,0 ,0 ,335.666 ,0 ,473.135 
48.,HRPELJE - KOZINA,2.199.524 ,417.956 ,160.883 ,23.427 ,233.646 ,31.047 ,4.665 ,21.578 ,0 ,6.714 ,41.028 ,246 ,0 ,7.695 ,120.673 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.063.904 ,15.194 ,5.471 ,9.723 ,223.218 ,918 ,0 ,0 ,0 ,0 ,222.300 ,62.961 ,62.961 ,762.531 ,140.719 ,24.896 ,8.137 ,588.779 ,0 ,651.352 ,651.352 ,0 ,0 ,13.691 ,0 ,549.649 ,14.455 ,0 ,0 ,73.556 ,66.312 ,66.312 ,2.967 ,0 ,0 ,0 ,0 ,0 ,0 ,63.345 ,0 ,16.458 
49.,IDRIJA,6.305.412 ,1.634.531 ,391.800 ,57.887 ,1.111.087 ,493.194 ,171 ,65.920 ,6.839 ,2.950 ,361.834 ,346 ,23.423 ,23.932 ,132.478 ,6.435 ,3.555 ,0 ,2.879 ,0 ,67.322 ,20.677 ,0 ,46.645 ,2.723.314 ,61.922 ,0 ,61.922 ,804.740 ,0 ,0 ,0 ,0 ,2.345 ,802.395 ,374.170 ,374.170 ,1.482.482 ,527.078 ,33.004 ,4.415 ,917.985 ,0 ,1.141.433 ,1.141.433 ,0 ,10.073 ,64.639 ,0 ,578.167 ,294.963 ,39.998 ,0 ,153.593 ,806.134 ,806.134 ,154.707 ,0 ,72.617 ,354.611 ,4.069 ,0 ,19.275 ,200.855 ,0 ,-150.004 
50.,IG,4.003.251 ,821.353 ,138.437 ,19.479 ,657.966 ,132.820 ,7.394 ,58.025 ,2.813 ,3.468 ,315.123 ,497 ,1.043 ,6.330 ,130.454 ,0 ,0 ,0 ,0 ,0 ,5.471 ,0 ,5.471 ,0 ,1.103.347 ,21.520 ,0 ,21.520 ,560.499 ,0 ,0 ,70.798 ,0 ,0 ,489.701 ,141.074 ,141.074 ,380.254 ,0 ,44.563 ,0 ,335.691 ,0 ,1.854.590 ,1.854.590 ,0 ,0 ,306.143 ,0 ,1.161.313 ,2.016 ,320.410 ,0 ,64.710 ,223.961 ,223.961 ,0 ,0 ,66.587 ,56.364 ,0 ,0 ,2.086 ,98.923 ,0 ,608.354 
51.,ILIRSKA BISTRICA,5.654.557 ,1.738.316 ,352.387 ,51.327 ,1.280.341 ,145.518 ,8.638 ,233.129 ,6.927 ,3.810 ,676.352 ,22.371 ,36.738 ,16.337 ,130.521 ,48.001 ,41.571 ,0 ,6.430 ,0 ,6.259 ,0 ,6.259 ,0 ,2.808.179 ,33.943 ,0 ,33.943 ,1.291.562 ,0 ,16.274 ,0 ,0 ,27.174 ,1.248.114 ,494.759 ,494.759 ,987.915 ,144.120 ,99.666 ,13.116 ,731.013 ,0 ,784.823 ,784.823 ,155.245 ,0 ,11.726 ,789 ,461.158 ,15.619 ,0 ,0 ,140.285 ,323.239 ,323.239 ,107.248 ,0 ,36.889 ,153.134 ,0 ,18.048 ,835 ,7.086 ,0 ,1.294.922 
52.,IVANČNA GORICA,7.374.003 ,1.268.974 ,271.916 ,40.644 ,956.055 ,80.074 ,2.224 ,32.165 ,7.157 ,584 ,472.713 ,11.329 ,125 ,11.772 ,337.911 ,359 ,0 ,0 ,359 ,0 ,0 ,0 ,0 ,0 ,2.638.157 ,68.595 ,0 ,68.595 ,1.550.109 ,0 ,0 ,12.402 ,0 ,0 ,1.537.707 ,374.161 ,374.161 ,645.293 ,176.465 ,80.170 ,0 ,388.658 ,0 ,2.897.200 ,2.897.200 ,4.532 ,12.798 ,423.464 ,6.439 ,2.058.826 ,187.218 ,107.119 ,0 ,96.804 ,569.671 ,569.671 ,37.969 ,0 ,96.632 ,349.503 ,0 ,0 ,0 ,85.566 ,0 ,614.964 
53.,IZOLA,12.402.103 ,4.146.553 ,1.059.886 ,153.726 ,2.870.898 ,505.383 ,16.483 ,1.050.204 ,26.511 ,28.334 ,454.736 ,18.757 ,217.021 ,54.799 ,498.669 ,20.314 ,5.767 ,0 ,14.547 ,0 ,41.729 ,0 ,41.729 ,0 ,3.407.666 ,84.731 ,0 ,84.731 ,232.374 ,0 ,3.839 ,43.816 ,0 ,0 ,184.719 ,485.228 ,485.228 ,2.605.333 ,48.944 ,146.111 ,40.269 ,2.370.009 ,0 ,3.497.922 ,3.497.922 ,51.644 ,5.729 ,134.957 ,8.041 ,2.160.983 ,679.261 ,209.652 ,0 ,247.655 ,1.349.962 ,1.349.962 ,109.556 ,0 ,56.335 ,732.945 ,0 ,84.168 ,7.566 ,359.393 ,0 ,-723.506 
54.,JESENICE,12.389.956 ,3.056.710 ,823.673 ,117.205 ,2.079.319 ,327.779 ,4.636 ,204.390 ,9.594 ,9.819 ,1.001.544 ,21.253 ,522 ,35.662 ,464.121 ,0 ,0 ,0 ,0 ,0 ,36.513 ,0 ,36.513 ,0 ,4.259.047 ,85.966 ,0 ,85.966 ,1.661.613 ,16.688 ,0 ,121.908 ,0 ,1.127 ,1.521.891 ,128.188 ,128.188 ,2.383.279 ,40.440 ,194.859 ,42.380 ,2.105.600 ,0 ,4.184.289 ,4.184.289 ,33.438 ,0 ,242.430 ,2.166 ,2.861.830 ,686.192 ,57.478 ,0 ,300.755 ,889.910 ,889.910 ,0 ,0 ,0 ,678.084 ,0 ,0 ,26.164 ,185.662 ,0 ,361.188 
55.,JEZERSKO,427.879 ,145.806 ,12.327 ,1.181 ,129.657 ,33.075 ,968 ,16.683 ,3.309 ,1.494 ,29.023 ,0 ,0 ,242 ,44.863 ,0 ,0 ,0 ,0 ,0 ,2.641 ,2.629 ,13 ,0 ,139.338 ,5.525 ,0 ,5.525 ,55.901 ,0 ,751 ,0 ,0 ,0 ,55.149 ,16.675 ,16.675 ,61.238 ,0 ,3.192 ,0 ,58.045 ,0 ,130.817 ,130.817 ,0 ,23.677 ,13.049 ,1.648 ,75.935 ,13.583 ,2.925 ,0 ,0 ,11.918 ,11.918 ,0 ,0 ,0 ,5.254 ,0 ,0 ,0 ,6.664 ,0 ,-10.578 
56.,JURŠINCI,1.143.945 ,218.749 ,49.670 ,6.877 ,161.576 ,15.907 ,3.009 ,18.653 ,0 ,3.509 ,73.748 ,0 ,0 ,1.427 ,45.322 ,0 ,0 ,0 ,0 ,0 ,626 ,0 ,626 ,0 ,374.370 ,22.471 ,0 ,22.471 ,195.927 ,0 ,0 ,0 ,0 ,0 ,195.927 ,33.809 ,33.809 ,122.162 ,8.150 ,37.218 ,0 ,76.794 ,0 ,510.916 ,510.916 ,0 ,0 ,4.624 ,0 ,476.615 ,7.607 ,0 ,0 ,22.071 ,39.910 ,39.910 ,7.261 ,0 ,20.865 ,0 ,0 ,0 ,0 ,11.784 ,0 ,75.275 
57.,KAMNIK,12.152.858 ,1.844.379 ,735.946 ,106.339 ,952.938 ,254.498 ,161.071 ,107.186 ,9.973 ,3.484 ,137.594 ,18.903 ,664 ,37.122 ,222.442 ,0 ,0 ,0 ,0 ,0 ,49.157 ,0 ,49.157 ,0 ,6.072.037 ,262.840 ,0 ,262.840 ,2.407.949 ,0 ,0 ,0 ,0 ,0 ,2.407.949 ,720.209 ,720.209 ,2.681.038 ,41.304 ,182.440 ,27.224 ,2.430.070 ,0 ,3.528.301 ,3.528.301 ,154.778 ,150 ,238.712 ,0 ,2.253.868 ,449.595 ,179.836 ,0 ,251.360 ,708.141 ,708.141 ,52.099 ,0 ,133.534 ,148.431 ,0 ,5.830 ,643 ,367.606 ,0 ,487.861 
58.,KANAL,3.368.612 ,1.100.099 ,225.002 ,32.238 ,825.392 ,45.499 ,5.559 ,90.398 ,5.442 ,2.708 ,455.304 ,4.219 ,797 ,11.064 ,204.402 ,0 ,0 ,0 ,0 ,0 ,17.467 ,0 ,17.467 ,0 ,1.345.979 ,22.036 ,0 ,22.036 ,323.125 ,0 ,0 ,0 ,0 ,784 ,322.341 ,304.182 ,304.182 ,696.636 ,57.972 ,41.140 ,17.663 ,579.861 ,0 ,810.575 ,810.575 ,1.098 ,12.423 ,33.924 ,0 ,420.027 ,108.894 ,51.642 ,0 ,182.567 ,111.959 ,111.959 ,27.244 ,0 ,58.776 ,0 ,0 ,0 ,0 ,25.939 ,0 ,389.975 
59.,KIDRIČEVO,3.764.781 ,948.660 ,186.876 ,27.846 ,731.852 ,58.367 ,1.022 ,186.814 ,2.237 ,4.912 ,345.522 ,5.508 ,1.461 ,11.246 ,114.764 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,2.086 ,0 ,1.079.724 ,67.814 ,0 ,67.814 ,543.707 ,0 ,0 ,0 ,0 ,0 ,543.707 ,128.610 ,128.610 ,339.593 ,835 ,61.872 ,1.753 ,275.134 ,0 ,1.538.132 ,1.538.132 ,0 ,0 ,180.496 ,44.212 ,1.144.667 ,100.380 ,709 ,0 ,67.668 ,198.264 ,198.264 ,58.020 ,0 ,82.428 ,814 ,0 ,0 ,0 ,57.002 ,0 ,-550.134 
60.,KOBARID,3.758.079 ,755.074 ,263.620 ,37.519 ,416.116 ,64.822 ,0 ,173.076 ,3.263 ,8.463 ,94.696 ,30.800 ,0 ,12.602 ,28.393 ,33.963 ,33.963 ,0 ,0 ,0 ,3.856 ,3.856 ,0 ,0 ,943.144 ,45.752 ,39.142 ,6.610 ,304.190 ,0 ,1.544 ,14.885 ,0 ,0 ,287.761 ,64.664 ,64.664 ,528.539 ,10.745 ,18.298 ,0 ,499.495 ,0 ,1.708.129 ,1.708.129 ,41.729 ,0 ,3.756 ,14.605 ,160.449 ,1.121.812 ,336.350 ,0 ,29.427 ,351.732 ,351.732 ,0 ,0 ,0 ,198.156 ,0 ,0 ,0 ,153.576 ,0 ,-82.332 
61.,KOBILJE,478.452 ,128.333 ,33.791 ,5.645 ,80.209 ,8.389 ,5.221 ,25.408 ,1.911 ,2.713 ,14.891 ,110 ,417 ,0 ,21.148 ,6.212 ,6.212 ,0 ,0 ,0 ,2.476 ,2.476 ,0 ,0 ,125.221 ,0 ,0 ,0 ,11.714 ,0 ,835 ,0 ,0 ,2.679 ,8.201 ,19.050 ,19.050 ,94.457 ,0 ,2.971 ,2.863 ,88.622 ,0 ,211.603 ,211.603 ,18.778 ,0 ,1.442 ,0 ,5.510 ,182.701 ,1.107 ,0 ,2.065 ,13.294 ,13.294 ,3.710 ,0 ,0 ,378 ,0 ,0 ,0 ,9.206 ,0 ,16.665 
62.,KOČEVJE,9.530.316 ,2.017.376 ,466.178 ,67.793 ,1.403.192 ,192.076 ,93.094 ,189.296 ,10.482 ,3.230 ,698.957 ,2.650 ,309 ,23.844 ,189.255 ,80.212 ,73.448 ,0 ,6.764 ,0 ,0 ,0 ,0 ,0 ,2.890.164 ,8.317 ,0 ,8.317 ,1.782.720 ,0 ,21.970 ,0 ,125 ,11.267 ,1.749.357 ,238.971 ,238.971 ,859.552 ,4.215 ,150.530 ,27.191 ,677.616 ,605 ,4.083.730 ,4.083.730 ,3.835 ,9.786 ,353.802 ,0 ,3.272.342 ,285.708 ,53.459 ,0 ,104.799 ,539.046 ,539.046 ,0 ,0 ,65.436 ,402.758 ,0 ,0 ,0 ,70.852 ,0 ,50.434 
63.,KOMEN,2.685.779 ,924.670 ,110.741 ,15.648 ,496.883 ,63.349 ,2.174 ,113.320 ,0 ,5.500 ,77.011 ,75.747 ,0 ,5.784 ,153.998 ,295.139 ,0 ,0 ,295.139 ,0 ,6.259 ,0 ,6.259 ,0 ,671.482 ,2.671 ,2.671 ,0 ,418.290 ,0 ,0 ,0 ,0 ,0 ,418.290 ,80.976 ,80.976 ,169.546 ,32.307 ,17.931 ,0 ,119.308 ,0 ,946.491 ,946.491 ,15.857 ,0 ,2.737 ,0 ,705.684 ,211.067 ,0 ,0 ,11.146 ,143.136 ,143.136 ,0 ,0 ,4.173 ,20.289 ,0 ,0 ,0 ,118.674 ,0 ,77.445 
64.,KOMENDA,2.296.879 ,419.225 ,144.087 ,20.452 ,226.306 ,47.980 ,10.474 ,56.105 ,6.410 ,1.239 ,7.307 ,6.985 ,0 ,7.236 ,82.570 ,13.554 ,13.554 ,0 ,0 ,0 ,14.826 ,3.885 ,10.941 ,0 ,904.177 ,46.966 ,0 ,46.966 ,433.463 ,0 ,0 ,0 ,0 ,0 ,433.463 ,99.128 ,99.128 ,324.620 ,0 ,32.407 ,0 ,292.213 ,0 ,925.797 ,925.797 ,0 ,0 ,37.264 ,0 ,688.862 ,11.142 ,73.827 ,0 ,114.701 ,47.680 ,47.680 ,0 ,0 ,27.959 ,0 ,0 ,0 ,0 ,19.721 ,0 ,-108.976 
