5.,BLED,7.430.713 ,2.142.159 ,489.906 ,71.708 ,1.580.421 ,218.787 ,28.731 ,128.213 ,11.509 ,7.490 ,748.051 ,135.115 ,5.091 ,28.263 ,269.170 ,125 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.039.559 ,31.030 ,5.166 ,25.864 ,90.891 ,2.712 ,17.944 ,0 ,0 ,0 ,70.235 ,281.005 ,281.005 ,1.636.634 ,0 ,32.661 ,8.045 ,1.595.927 ,0 ,2.986.926 ,2.986.926 ,596.866 ,11.663 ,8.805 ,0 ,1.593.682 ,71.870 ,25.075 ,0 ,678.964 ,262.068 ,262.068 ,0 ,0 ,54.152 ,141.809 ,0 ,50.075 ,0 ,16.032 ,0 ,79.636 
6.,BLOKE,1.196.733 ,165.874 ,45.719 ,6.702 ,110.182 ,28.042 ,0 ,27.646 ,0 ,3.977 ,13.399 ,0 ,3.222 ,1.548 ,32.349 ,79 ,79 ,0 ,0 ,0 ,3.192 ,0 ,3.192 ,0 ,429.619 ,15.978 ,15.978 ,0 ,135.424 ,0 ,1.390 ,15.135 ,0 ,0 ,118.899 ,30.579 ,30.579 ,247.638 ,668 ,8.075 ,200 ,238.696 ,0 ,538.746 ,538.746 ,0 ,0 ,9.410 ,0 ,477.258 ,36.138 ,0 ,0 ,15.941 ,62.494 ,62.494 ,0 ,0 ,16.274 ,26.235 ,0 ,0 ,0 ,19.984 ,0 ,30.817 
7.,BOHINJ,3.408.767 ,1.615.502 ,387.460 ,54.740 ,1.126.953 ,84.911 ,162.715 ,537.715 ,164.764 ,8.968 ,51.995 ,6.948 ,0 ,13.666 ,95.272 ,15.928 ,0 ,10.136 ,5.792 ,0 ,30.421 ,11.346 ,19.074 ,0 ,1.113.533 ,218.878 ,26.423 ,192.455 ,83.104 ,1.461 ,7.582 ,0 ,0 ,15.277 ,58.784 ,108.976 ,108.976 ,702.575 ,26.294 ,9.039 ,27.533 ,639.710 ,0 ,497.363 ,497.363 ,0 ,0 ,79.156 ,3.230 ,213.625 ,133.421 ,1.498 ,0 ,66.433 ,182.369 ,182.369 ,75.192 ,0 ,63.704 ,0 ,0 ,0 ,0 ,43.474 ,0 ,193.181 
8.,BOROVNICA ,1.512.669 ,414.605 ,76.615 ,12.715 ,320.088 ,17.026 ,0 ,65.473 ,213 ,0 ,172.763 ,4.782 ,417 ,3.489 ,55.926 ,0 ,0 ,0 ,0 ,0 ,5.187 ,3.134 ,2.053 ,0 ,742.898 ,21.645 ,0 ,21.645 ,428.313 ,0 ,0 ,0 ,0 ,0 ,428.313 ,77.287 ,77.287 ,215.653 ,0 ,13.449 ,0 ,202.203 ,0 ,189.434 ,189.434 ,0 ,0 ,3.276 ,0 ,78.756 ,17.651 ,1.189 ,0 ,88.562 ,165.732 ,165.732 ,0 ,0 ,22.492 ,86.208 ,0 ,0 ,0 ,57.031 ,0 ,155.692 
9.,BOVEC,2.707.937 ,485.595 ,189.438 ,27.462 ,268.695 ,36.880 ,0 ,60.962 ,0 ,5.437 ,24.796 ,72.317 ,0 ,7.198 ,61.104 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.140.515 ,5.525 ,0 ,5.525 ,137.068 ,0 ,0 ,7.511 ,0 ,0 ,129.557 ,105.713 ,105.713 ,892.209 ,7.924 ,13.850 ,0 ,870.435 ,0 ,739.150 ,739.150 ,175.785 ,0 ,22.288 ,0 ,44.713 ,422.613 ,35.933 ,0 ,37.819 ,342.677 ,342.677 ,0 ,0 ,0 ,260.966 ,0 ,0 ,0 ,81.710 ,0 ,249.470 
10.,BRASLOVČE,2.293.031 ,496.420 ,125.480 ,18.461 ,342.944 ,67.935 ,2.470 ,38.896 ,4.039 ,1.435 ,152.433 ,421 ,0 ,7.123 ,68.190 ,0 ,0 ,0 ,0 ,0 ,9.535 ,1.189 ,8.346 ,0 ,816.283 ,31.147 ,0 ,31.147 ,561.250 ,0 ,5.926 ,0 ,0 ,0 ,555.325 ,86.138 ,86.138 ,137.748 ,0 ,30.771 ,0 ,106.977 ,0 ,757.874 ,757.874 ,0 ,0 ,84.043 ,947 ,581.389 ,37.886 ,1.394 ,0 ,52.216 ,222.455 ,222.455 ,0 ,0 ,15.899 ,199.203 ,0 ,5.508 ,0 ,1.844 ,0 ,21.612 
11.,BRDA,2.956.973 ,689.317 ,165.832 ,24.132 ,476.022 ,115.252 ,0 ,45.760 ,9.410 ,4.369 ,199.341 ,9.193 ,142 ,8.183 ,84.372 ,23.331 ,23.331 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.394.087 ,56.489 ,0 ,56.489 ,792.931 ,0 ,0 ,2.679 ,0 ,0 ,790.252 ,171.011 ,171.011 ,373.656 ,1.461 ,0 ,14.605 ,357.591 ,0 ,682.157 ,682.157 ,584 ,0 ,10.194 ,125 ,200.839 ,431.764 ,522 ,0 ,38.128 ,191.412 ,191.412 ,73.840 ,0 ,618 ,35.457 ,0 ,0 ,0 ,81.497 ,0 ,-32.349 
12.,BREZOVICA,4.833.851 ,796.336 ,149.424 ,21.345 ,618.891 ,185.028 ,0 ,30.563 ,5.241 ,0 ,319.446 ,751 ,0 ,7.261 ,70.602 ,0 ,0 ,0 ,0 ,0 ,6.677 ,0 ,6.677 ,0 ,1.851.406 ,71.190 ,0 ,71.190 ,198.539 ,0 ,0 ,2.374 ,0 ,0 ,196.165 ,151.824 ,151.824 ,1.429.853 ,71.315 ,50.117 ,0 ,1.308.421 ,0 ,1.668.215 ,1.668.215 ,0 ,0 ,109.715 ,0 ,1.457.795 ,39.968 ,3.188 ,0 ,57.549 ,517.894 ,517.894 ,375.868 ,0 ,0 ,107.173 ,0 ,0 ,0 ,34.852 ,0 ,-498.961 
13.,BREŽICE,14.417.672 ,4.083.158 ,698.143 ,100.221 ,3.264.676 ,734.009 ,5.971 ,382.424 ,24.391 ,10.395 ,1.854.332 ,8.225 ,28.597 ,31.535 ,184.798 ,11.772 ,0 ,0 ,11.772 ,0 ,8.346 ,0 ,8.346 ,0 ,6.225.709 ,153.380 ,29.357 ,124.024 ,2.478.217 ,9.201 ,0 ,3.192 ,0 ,1.832 ,2.463.992 ,585.649 ,585.649 ,3.008.463 ,1.310.315 ,181.577 ,14.004 ,1.502.566 ,0 ,2.740.240 ,2.740.240 ,440.757 ,22.784 ,82.553 ,125 ,1.056.785 ,753.818 ,107.507 ,588 ,275.321 ,1.368.565 ,1.368.565 ,119.446 ,0 ,17.389 ,1.215.786 ,0 ,4.173 ,0 ,11.772 ,0 ,-1.342.034 
14.,CANKOVA,1.903.542 ,279.422 ,95.406 ,11.200 ,166.653 ,22.167 ,5.249 ,33.808 ,4.985 ,763 ,56.695 ,461 ,0 ,3.580 ,38.946 ,6.163 ,6.163 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,337.065 ,14.784 ,0 ,14.784 ,89.803 ,3.662 ,0 ,0 ,0 ,0 ,86.141 ,35.983 ,35.983 ,196.495 ,1.393 ,41.229 ,1.495 ,152.377 ,0 ,1.271.988 ,1.271.988 ,0 ,0 ,10.157 ,0 ,1.199.475 ,1.897 ,52.848 ,0 ,7.611 ,15.067 ,15.067 ,12.981 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,71.991 
