,,VIII.  50,500,5001,5002,5003,5004,IX.  55,550,5501,5502,5503,5504,X.,XI.,ST.,FI.
,,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,NETO ZADOLŽEVANJE  ,POVEČANJE (ZMANJŠANJE)  SREDSTEV NA RAČUNIH                                                                  ,STANJE SREDSTEV NA RAČUNIH OB KONCU                   PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE  IZRAVNAVE IZ PRETEKLEGA LETA
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,(VIII.-IX.),(III.+VI.+X) = (I.+IV.+VIII.) - (II.+V.+IX.),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,Odplačila glavnice vrednostnih papirjev,,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,3.368 ,3.368 ,3.368 ,0 ,0 ,0 ,-3.368 ,-493.832 ,2.051.227 ,0 
2.,BELTINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-241.537 ,344.796 ,0 
3.,BENEDIKT,62.594 ,62.594 ,62.594 ,0 ,0 ,0 ,15.648 ,15.648 ,15.648 ,0 ,0 ,0 ,46.945 ,-38.600 ,50.096 ,0 
4.,BISTRICA OB SOTLI,6.259 ,6.259 ,0 ,0 ,6.259 ,0 ,6.259 ,6.259 ,0 ,0 ,6.259 ,0 ,0 ,122.976 ,-121.741 ,0 
5.,BLED,0 ,0 ,0 ,0 ,0 ,0 ,26.657 ,26.657 ,26.657 ,0 ,0 ,0 ,-26.657 ,31.802 ,0 ,0 
6.,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,2.942 ,2.942 ,0 ,0 ,2.942 ,0 ,-2.942 ,-3.614 ,1.874 ,8.767 
7.,BOHINJ,0 ,0 ,0 ,0 ,0 ,0 ,3.618 ,3.618 ,3.618 ,0 ,0 ,0 ,-3.618 ,-46.178 ,0 ,0 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,11.930 ,11.930 ,0 ,0 ,11.930 ,0 ,-11.930 ,-47.797 ,129.912 ,0 
9.,BOVEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17.151 ,40.991 ,0 
10.,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-194.663 ,0 ,0 
11.,BRDA,59.548 ,59.548 ,59.548 ,0 ,0 ,0 ,55.375 ,55.375 ,47.279 ,0 ,8.095 ,0 ,4.173 ,10.124 ,18.578 ,36.605 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,58.421 ,58.421 ,58.421 ,0 ,0 ,0 ,-58.421 ,492.330 ,26.427 ,0 
13.,BREŽICE,0 ,0 ,0 ,0 ,0 ,0 ,33.984 ,33.984 ,0 ,0 ,33.984 ,0 ,-33.984 ,174.554 ,0 ,0 
14.,CANKOVA,0 ,0 ,0 ,0 ,0 ,0 ,29.102 ,29.102 ,29.102 ,0 ,0 ,0 ,-29.102 ,-80.613 ,87.661 ,0 
15.,CELJE (M),14.359 ,14.359 ,0 ,0 ,14.359 ,0 ,380.375 ,380.375 ,220.230 ,0 ,160.144 ,0 ,-366.016 ,2.238.658 ,-9.748 ,0 
16.,CERKLJE NA GORENJSKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-996.524 ,1.036.238 ,0 
17.,CERKNICA,208.646 ,208.646 ,208.646 ,0 ,0 ,0 ,162.406 ,162.406 ,85.712 ,0 ,76.694 ,0 ,46.240 ,15.494 ,10.474 ,-66.596 
18.,CERKNO,0 ,0 ,0 ,0 ,0 ,0 ,2.921 ,2.921 ,0 ,0 ,2.921 ,0 ,-2.921 ,-18.365 ,0 ,0 
19.,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-210.808 ,228.993 ,0 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,281.481 ,0 ,0 
21.,ČRNA NA KOROŠKEM,86.409 ,86.409 ,86.409 ,0 ,0 ,0 ,9.427 ,9.427 ,9.427 ,0 ,0 ,0 ,76.982 ,-8.475 ,0 ,0 
22.,ČRNOMELJ,129.361 ,129.361 ,0 ,129.361 ,0 ,0 ,207.924 ,207.924 ,0 ,0 ,91.145 ,116.779 ,-78.564 ,1.189 ,33.730 ,0 
23.,DESTRNIK,187.782 ,187.782 ,187.782 ,0 ,0 ,0 ,252.879 ,252.879 ,252.879 ,0 ,0 ,0 ,-65.098 ,-22.788 ,0 ,0 
24.,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,16.191 ,16.191 ,16.191 ,0 ,0 ,0 ,-16.191 ,26.260 ,126.569 ,0 
25.,DOBJE,3.130 ,3.130 ,0 ,0 ,3.130 ,0 ,3.130 ,3.130 ,0 ,0 ,3.130 ,0 ,0 ,401 ,31.468 ,0 
26.,DOBREPOLJE,0 ,0 ,0 ,0 ,0 ,0 ,534 ,534 ,0 ,0 ,534 ,0 ,-534 ,-36.705 ,647.329 ,0 
27.,DOBRNA,65.181 ,65.181 ,62.051 ,0 ,3.130 ,0 ,3.130 ,3.130 ,0 ,0 ,3.130 ,0 ,62.051 ,17.268 ,1.210 ,0 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27.737 ,9.614 ,0 
29.,DOBROVNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.095 ,65.690 ,0 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,472.905 ,126.177 ,0 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.604 ,94.162 ,0 
32.,DOMŽALE,202.804 ,202.804 ,202.804 ,0 ,0 ,0 ,149.332 ,149.332 ,78.810 ,0 ,70.522 ,0 ,53.472 ,173.886 ,0 ,0 
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,13.458 ,13.458 ,0 ,13.458 ,0 ,0 ,-13.458 ,-8.045 ,40.648 ,0 
34.,DRAVOGRAD,133.534 ,133.534 ,133.534 ,0 ,0 ,0 ,81.372 ,81.372 ,81.372 ,0 ,0 ,0 ,52.162 ,164.985 ,400.067 ,0 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,27.821 ,27.821 ,27.821 ,0 ,0 ,0 ,-27.821 ,34.139 ,567.197 ,0 
36.,GORENJA VAS - POLJANE,0 ,0 ,0 ,0 ,0 ,0 ,207.307 ,207.307 ,207.307 ,0 ,0 ,0 ,-207.307 ,322.955 ,4.202 ,0 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.048 ,2.016 ,0 
38.,GORNJA RADGONA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,426.707 ,467.430 ,0 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,11.868 ,11.868 ,11.868 ,0 ,0 ,0 ,-11.868 ,175 ,2.103 ,0 
40.,GORNJI PETROVCI,2.086 ,2.086 ,2.086 ,0 ,0 ,0 ,2.086 ,2.086 ,2.086 ,0 ,0 ,0 ,0 ,6.013 ,4.632 ,0 
41.,GRAD,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,-4.173 ,67.656 ,689 ,0 
42.,GROSUPLJE,505.817 ,505.817 ,486.146 ,0 ,19.671 ,0 ,32.307 ,32.307 ,0 ,0 ,32.307 ,0 ,473.510 ,157.540 ,59.402 ,0 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,91.099 ,43.812 ,0 
