5.,BLED,178.814 ,50.526 ,50.526 ,0 ,0 ,0 ,0 ,0 ,0 ,128.288 ,128.288 ,0 ,0 ,0 ,0 ,128.288 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,128.288 ,128.288 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,50.526 
6.,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.594 ,0 ,0 ,0 ,4.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4.594 
7.,BOHINJ,15.523 ,15.523 ,15.523 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.295 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.432 ,2.086 ,0 ,8.346 ,0 ,0 ,0 ,5.863 ,0 ,5.863 ,0 ,0 ,0 ,-772 
8.,BOROVNICA ,10.487 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.487 ,10.487 ,3.405 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.405 ,0 ,3.405 ,0 ,0 ,0 ,7.081 
9.,BOVEC,10.879 ,10.879 ,10.879 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-72.580 
10.,BRASLOVČE,14.059 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.848 ,0 ,9.848 ,0 ,4.210 ,4.210 ,10.224 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.224 ,0 ,0 ,0 ,0 ,0 ,10.224 ,0 ,0 ,0 ,0 ,0 ,0 ,3.835 
11.,BRDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.462 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.462 ,2.462 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.462 
12.,BREZOVICA,8.759 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.759 ,0 ,8.759 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.759 
13.,BREŽICE,58 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58 ,0 ,58 ,0 ,0 ,0 ,31.151 ,31.151 ,31.151 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-31.092 
14.,CANKOVA,7.701 ,7.701 ,7.701 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.701 
15.,MESTNA OBČINA CELJE,483.317 ,1.010 ,1.010 ,0 ,0 ,0 ,0 ,0 ,0 ,482.307 ,0 ,0 ,482.307 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,483.317 
16.,CERKLJE NA GORENJSKEM,35.858 ,35.858 ,35.858 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.292 ,36.292 ,36.292 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-434 
17.,CERKNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.328 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.328 ,0 ,0 ,1.328 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.328 
18.,CERKNO,27.788 ,27.788 ,27.788 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,65.932 ,65.932 ,65.932 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-38.145 
19.,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
21.,ČRNA NA KOROŠKEM,893 ,893 ,893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,893 
22.,ČRNOMELJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39.505 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39.505 ,0 ,0 ,0 ,39.505 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-39.505 
23.,DESTRNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
24.,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
25.,DOBJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46.808 ,46.808 ,0 ,0 ,0 ,46.808 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-46.808 
26.,DOBREPOLJE,5.688 ,4.945 ,4.945 ,0 ,0 ,0 ,0 ,0 ,0 ,743 ,0 ,743 ,0 ,0 ,0 ,16.692 ,16.692 ,0 ,0 ,0 ,0 ,16.692 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-11.004 
27.,DOBRNA,479.887 ,479.887 ,0 ,0 ,479.887 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,400.601 ,400.601 ,0 ,0 ,0 ,400.601 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79.286 
28.,DOBROVA - POLHOV GRADEC,6.635 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.635 ,6.635 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.635 
29.,DOBROVNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.267 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.267 ,11.267 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-11.267 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,822 ,822 ,0 ,0 ,0 ,0 ,822 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-822 
32.,DOMŽALE,250.851 ,250.851 ,250.851 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,250.851 
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,7.737 ,7.737 ,0 ,0 ,0 ,0 ,7.737 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.038 ,8.346 ,0 ,0 ,0 ,0 ,8.346 ,0 ,16.692 ,0 ,0 ,16.692 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17.301 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
38.,GORNJA RADGONA,120.356 ,120.356 ,120.356 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.338 ,11.338 ,0 ,0 ,0 ,0 ,11.338 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,109.018 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40.,GORNJI PETROVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
41.,GRAD,7.724 ,7.724 ,7.724 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,835 ,0 ,0 ,0 ,0 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,6.472 
42.,GROSUPLJE,103.514 ,77.107 ,30.846 ,0 ,0 ,0 ,46.261 ,0 ,0 ,6.259 ,0 ,0 ,6.259 ,20.147 ,20.147 ,78.484 ,78.484 ,78.484 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.029 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
45.,HODOŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
46.,HORJUL,12.519 ,12.519 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 
47.,HRASTNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
49.,IDRIJA,102.934 ,99.203 ,35.775 ,0 ,3.551 ,28.159 ,29.073 ,2.646 ,0 ,3.731 ,0 ,0 ,3.731 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,102.934 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
51.,ILIRSKA BISTRICA,78.297 ,78.297 ,25.092 ,0 ,0 ,53.205 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,78.297 
52.,IVANČNA GORICA,692.677 ,40.991 ,0 ,0 ,0 ,0 ,40.991 ,0 ,0 ,629.160 ,0 ,629.160 ,0 ,22.525 ,22.525 ,1.224.637 ,50.075 ,0 ,0 ,0 ,0 ,50.075 ,0 ,1.174.562 ,0 ,0 ,0 ,0 ,0 ,1.174.562 ,0 ,0 ,0 ,0 ,0 ,0 ,-531.960 
53.,IZOLA,293.327 ,293.327 ,252.070 ,0 ,0 ,41.258 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,293.327 
54.,JESENICE,1.986 ,1.986 ,0 ,0 ,0 ,0 ,1.986 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.986 
55.,JEZERSKO,1.728 ,1.728 ,1.728 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.728 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
57.,KAMNIK,3.025 ,3.025 ,3.025 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.025 
58.,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
59.,KIDRIČEVO,12.519 ,12.519 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.914 ,14.914 ,0 ,0 ,0 ,14.914 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.395 
60.,KOBARID,2.520 ,2.520 ,2.520 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.520 
61.,KOBILJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
62.,KOČEVJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
63.,KOMEN,30.003 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.003 ,0 ,0 ,30.003 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.003 
