,,II.,40,400,401,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4031,4032,4033,4034,409,41,410,4100,4102,411,4110,4111,4112,4113,4117,4119,412,4120,413,4130,4131,4132,4133,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,430,4300,4301,4302,4303,4304,4305,4306,4307,4308,III.
,,SKUPAJ ODHODKI,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,PRORAČUNSKI PRESEŽEK (PRIMANKLJAJ) I.-II.
,,40+41+42+43,400+401+402+403+409,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,SREDSTVA IZLOČENA V REZERVE,(410+411+412+413),SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI NEPROFITNIM ORGANIZACIJAM IN USTANOVAM,TRANSFERI NEPROFITNIM ORGANIZACIJAM IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,430,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI)
,- v EUR,,,,,,Pisarniški in splošni material in storitve,Posebni materiali in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdržavanje,Najemnine in zakupnine,Kazni in odškodnine,Drugi operativni stroški,,Plačila obresti od kreditov poslovnim bankam,Plačila obresti od kreditov drugim finančnim institucijam,Plačila obresti od kreditov drugim domačim kreditodajalcem,Plačila obresti od vrednostnih papirjev,,,,Subvencije javnim podjetjem,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,"Transf. vojn. invalid., vojnim veter. in žrtvam vojnega nasilja",Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,"Tekoči transferi drugim ravnem države, drugim lokalnim skupnostim in ožjim delom lokalnih skupnosti",Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v druge javne sklade in agencije,Tekoči transferi v javne zavode in dr. izvajalce javnih služb,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,Študije o izvedljivosti projektov in projektna dokumentacija,,,"Investicijski transferi drugim ravnem države, drugim lokalnim skupnostim in ožjim delom lokalnih skupnosti",Kapitalski transferi javnim skladom in agencijam,Investicijski transferi neprofitnim organizacijam ,Investicijski transferi javnim podjetjem,Kapitalski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem in zasebnikom,Investicijski transferi posameznikom ,Investicijski transferi javnim zavodom in drugim izvajalcem javnih služb,Investicijski transferi v tujino,
Zap. št.,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AJDOVŠČINA,6.326.415 ,562.535 ,238.445 ,28.601 ,254.640 ,35.466 ,371 ,81.610 ,4.035 ,2.408 ,2.996 ,18.165 ,0 ,109.589 ,2.166 ,2.166 ,0 ,0 ,0 ,38.683 ,2.737.364 ,223.982 ,0 ,223.982 ,1.021.453 ,0 ,0 ,0 ,0 ,0 ,1.021.453 ,159.310 ,159.310 ,1.332.620 ,187.719 ,47.517 ,9.347 ,1.088.036 ,2.832.574 ,2.832.574 ,0 ,10.808 ,222.275 ,0 ,1.990.799 ,235.357 ,170.431 ,0 ,202.904 ,193.941 ,193.941 ,186.430 ,0 ,5.425 ,0 ,0 ,0 ,0 ,2.086 ,0 ,113.729 
2,BELTINCI,2.921.649 ,956.526 ,120.906 ,17.113 ,795.577 ,56.706 ,58.020 ,216.208 ,3.426 ,5.308 ,311.951 ,209 ,0 ,143.749 ,280 ,280 ,0 ,0 ,0 ,22.651 ,1.305.212 ,124.445 ,0 ,124.445 ,819.379 ,2.504 ,0 ,0 ,0 ,0 ,816.875 ,150.150 ,150.150 ,211.238 ,108.863 ,0 ,13.867 ,88.508 ,111.609 ,111.609 ,0 ,0 ,38.817 ,1.757 ,64.130 ,0 ,3.305 ,0 ,3.601 ,548.302 ,548.302 ,40.999 ,7.290 ,0 ,0 ,0 ,25.814 ,0 ,474.199 ,0 ,368.857 
3,BENEDIKT,773.364 ,128.355 ,44.930 ,6.426 ,67.568 ,27.450 ,0 ,8.121 ,1.502 ,3.259 ,5.008 ,0 ,0 ,22.229 ,42 ,38 ,0 ,4 ,0 ,9.389 ,394.187 ,12.644 ,438 ,12.206 ,64.952 ,0 ,0 ,0 ,0 ,0 ,64.952 ,25.956 ,25.956 ,290.636 ,1.314 ,8.951 ,0 ,280.371 ,222.388 ,222.388 ,0 ,14.605 ,15.369 ,0 ,176.899 ,0 ,325 ,0 ,15.189 ,28.434 ,28.434 ,0 ,0 ,0 ,0 ,0 ,0 ,28.434 ,0 ,0 ,62.310 
4,BISTRICA OB SOTLI,549.295 ,123.494 ,27.825 ,3.706 ,85.466 ,15.419 ,2.066 ,4.557 ,0 ,2.082 ,51.390 ,488 ,0 ,9.464 ,238 ,238 ,0 ,0 ,0 ,6.259 ,236.684 ,10.887 ,0 ,10.887 ,75.213 ,0 ,960 ,0 ,0 ,0 ,74.253 ,13.775 ,13.775 ,136.809 ,0 ,8.847 ,0 ,127.963 ,172.167 ,172.167 ,0 ,0 ,22.738 ,2.433 ,133.993 ,3.242 ,0 ,0 ,9.760 ,16.950 ,16.950 ,0 ,0 ,1.648 ,0 ,0 ,0 ,0 ,15.302 ,0 ,-11.384 
5,BLED,3.651.415 ,1.358.300 ,230.846 ,36.459 ,1.040.774 ,135.775 ,7.741 ,35.466 ,7.228 ,8.087 ,545.506 ,99.712 ,63 ,201.198 ,4.311 ,4.311 ,0 ,0 ,0 ,45.911 ,1.551.673 ,36.709 ,0 ,36.709 ,41.053 ,2.909 ,814 ,0 ,0 ,0 ,37.331 ,314.543 ,314.543 ,1.159.368 ,44.074 ,14.618 ,18.649 ,1.082.027 ,575.497 ,575.497 ,29.503 ,24.587 ,60.896 ,0 ,331.610 ,110.149 ,1.281 ,0 ,17.472 ,165.945 ,165.945 ,0 ,0 ,29.332 ,0 ,0 ,0 ,0 ,136.613 ,0 ,296.824 
