,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,- V EUR
6.,3 ,OBČINA BLED,"11.821.476,72 ","8.576.922,21 ","6.518.589,27 ","4.448.723,00 ","4.448.723,00 ","1.320.233,51 ","944.246,45 ","4.006,77 ","168.650,92 ","203.329,37 ","749.632,76 ","6.519,65 ","0,00 ","743.113,11 ","0,00 ","0,00 ","2.058.332,94 ","513.497,72 ","0,00 ","24.060,99 ","489.436,73 ","5.363,86 ","5.363,86 ","118.965,19 ","118.965,19 ","230.832,00 ","230.832,00 ","1.189.674,17 ","1.189.674,17 ","225.325,22 ","23.370,72 ","23.139,23 ","0,00 ","231,49 ","0,00 ","0,00 ","0,00 ","0,00 ","201.954,50 ","0,00 ","201.954,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.019.229,29 ","3.019.229,29 ","443.902,16 ","209.181,94 ","0,00 ","2.366.145,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
7.,150 ,OBČINA BLOKE,"2.093.204,24 ","1.543.669,10 ","1.447.974,26 ","1.285.835,00 ","1.285.835,00 ","114.393,05 ","82.259,98 ","0,00 ","26.553,54 ","5.579,53 ","47.746,21 ","555,02 ","0,00 ","47.191,19 ","0,00 ","0,00 ","95.694,84 ","21.955,06 ","0,00 ","5.018,20 ","16.936,86 ","77,97 ","77,97 ","1.192,28 ","1.192,28 ","49.231,44 ","49.231,44 ","23.238,09 ","23.238,09 ","12.300,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.300,00 ","800,00 ","11.500,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","537.235,14 ","216.486,02 ","200.141,36 ","15.244,66 ","0,00 ","1.100,00 ","0,00 ","320.749,12 ","0,00 ","0,00 ","320.749,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
8.,4 ,OBČINA BOHINJ,"7.767.268,01 ","6.322.345,07 ","4.863.972,35 ","3.767.092,00 ","3.767.092,00 ","522.775,17 ","379.891,77 ","28,34 ","28.476,54 ","114.378,52 ","574.105,18 ","3.366,72 ","0,00 ","570.738,46 ","0,00 ","0,00 ","1.458.372,72 ","360.666,85 ","10.168,76 ","1.058,66 ","349.439,43 ","4.139,54 ","4.139,54 ","75.922,80 ","75.922,80 ","830.453,40 ","830.453,40 ","187.190,13 ","187.190,13 ","30.409,73 ","9.460,83 ","9.460,83 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","20.948,90 ","0,00 ","20.948,90 ","0,00 ","16.445,00 ","16.445,00 ","13.990,00 ","2.455,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.398.068,21 ","664.946,61 ","619.577,95 ","0,00 ","45.368,66 ","0,00 ","0,00 ","733.121,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","733.121,60 ","0,00 ","0,00 ","0,00 "
9.,5 ,OBČINA BOROVNICA,"2.780.577,93 ","2.609.787,28 ","2.348.352,97 ","2.092.058,00 ","2.092.058,00 ","156.988,34 ","121.759,29 ","1.080,61 ","8.808,00 ","25.340,44 ","99.306,63 ","1.574,65 ","0,00 ","97.731,98 ","0,00 ","0,00 ","261.434,31 ","195.125,59 ","88.534,61 ","5.340,15 ","101.250,83 ","1.152,60 ","1.152,60 ","2.673,43 ","2.673,43 ","4.510,65 ","4.510,65 ","57.972,04 ","57.972,04 ","64.057,28 ","10.000,00 ","10.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","54.057,28 ","650,00 ","53.407,28 ","0,00 ","7.434,00 ","7.434,00 ","7.434,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","99.299,37 ","99.299,37 ","99.299,37 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
10.,6 ,OBČINA BOVEC,"6.068.473,53 ","4.628.140,68 ","3.390.266,60 ","2.853.411,00 ","2.853.411,00 ","270.282,36 ","157.853,04 ","0,00 ","32.120,51 ","80.308,81 ","266.573,24 ","673,17 ","0,00 ","265.900,07 ","0,00 ","0,00 ","1.237.874,08 ","880.010,05 ","0,00 ","625,50 ","879.384,55 ","1.893,18 ","1.893,18 ","5.950,15 ","5.950,15 ","145.617,19 ","145.617,19 ","204.403,51 ","204.403,51 ","70.556,00 ","354,36 ","0,00 ","0,00 ","354,36 ","0,00 ","0,00 ","0,00 ","0,00 ","70.201,64 ","31.092,22 ","39.109,42 ","0,00 ","1.867,54 ","1.867,54 ","1.867,54 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.367.909,31 ","972.888,81 ","857.569,17 ","112.286,39 ","0,00 ","3.033,25 ","0,00 ","395.020,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","395.020,50 ","0,00 ","0,00 ","0,00 ","0,00 "
11.,151 ,OBČINA BRASLOVČE,"3.701.851,86 ","3.482.995,12 ","3.278.347,53 ","2.934.977,00 ","2.934.977,00 ","205.446,01 ","103.813,36 ","642,74 ","39.092,57 ","61.897,34 ","137.924,52 ","953,98 ","0,00 ","136.970,54 ","0,00 ","0,00 ","204.647,59 ","89.633,34 ","1.390,30 ","2.156,46 ","86.086,58 ","10.886,70 ","10.886,70 ","5.876,59 ","5.876,59 ","4.570,98 ","4.570,98 ","93.679,98 ","93.679,98 ","92.982,25 ","34.513,08 ","34.513,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","58.469,17 ","1.302,50 ","57.166,67 ","0,00 ","17.556,00 ","17.556,00 ","17.556,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","108.318,49 ","108.318,49 ","98.300,92 ","0,00 ","0,00 ","10.017,57 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
12.,7 ,OBČINA BRDA,"7.944.263,36 ","4.716.480,83 ","4.028.345,31 ","3.436.643,00 ","3.436.643,00 ","383.249,87 ","294.031,11 ","1.170,24 ","49.116,03 ","38.932,49 ","208.452,44 ","2.606,84 ","0,00 ","205.845,60 ","0,00 ","0,00 ","688.135,52 ","559.923,37 ","6.016,00 ","425,49 ","553.481,88 ","1.774,77 ","1.774,77 ","2.799,89 ","2.799,89 ","26.620,08 ","26.620,08 ","97.017,41 ","97.017,41 ","134.645,00 ","133.000,00 ","133.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.645,00 ","0,00 ","1.645,00 ","0,00 ","37.208,00 ","37.208,00 ","32.208,00 ","5.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.055.929,53 ","925.996,58 ","904.464,27 ","0,00 ","0,00 ","21.532,31 ","0,00 ","2.129.932,95 ","0,00 ","0,00 ","354.696,25 ","1.775.236,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
13.,8 ,OBČINA BREZOVICA,"7.792.195,50 ","7.460.147,13 ","6.417.604,55 ","5.530.931,00 ","5.530.931,00 ","521.344,65 ","325.179,81 ","3.788,27 ","73.146,32 ","119.230,25 ","365.328,90 ","5.693,55 ","0,00 ","359.635,35 ","0,00 ","0,00 ","1.042.542,58 ","297.715,45 ","0,00 ","117.115,78 ","180.599,67 ","4.334,73 ","4.334,73 ","53.548,75 ","53.548,75 ","35.364,64 ","35.364,64 ","651.579,01 ","651.579,01 ","16.050,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.050,00 ","0,00 ","16.050,00 ","0,00 ","18.245,00 ","18.245,00 ","11.490,00 ","6.755,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","297.753,37 ","297.753,37 ","296.447,55 ","1.305,82 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
14.,9 ,OBČINA BREŽICE,"25.387.152,49 ","20.752.747,79 ","17.130.328,26 ","14.849.403,00 ","14.849.403,00 ","1.261.130,16 ","901.560,78 ","990,21 ","143.472,18 ","215.106,99 ","1.019.795,10 ","42.931,70 ","0,00 ","976.863,40 ","0,00 ","0,00 ","3.622.419,53 ","814.167,21 ","602,50 ","22.641,98 ","790.922,73 ","170.580,09 ","170.580,09 ","45.162,12 ","45.162,12 ","151.386,74 ","151.386,74 ","2.441.123,37 ","2.441.123,37 ","378.350,74 ","265.975,88 ","265.934,63 ","41,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","112.374,86 ","17.353,00 ","95.021,86 ","0,00 ","43.123,51 ","43.123,51 ","21.412,22 ","21.711,29 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.212.930,45 ","3.911.161,04 ","3.772.281,57 ","134.804,47 ","0,00 ","4.075,00 ","0,00 ","301.769,41 ","0,00 ","0,00 ","0,00 ","301.769,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
15.,152 ,OBČINA CANKOVA,"1.562.027,78 ","1.395.739,56 ","1.317.639,51 ","1.217.539,00 ","1.217.539,00 ","61.639,12 ","43.763,97 ","0,00 ","13.354,01 ","4.521,14 ","38.461,39 ","699,38 ","0,00 ","37.762,01 ","0,00 ","0,00 ","78.100,05 ","8.364,92 ","2.462,85 ","37,04 ","5.865,03 ","564,36 ","564,36 ","0,00 ","0,00 ","825,64 ","825,64 ","68.345,13 ","68.345,13 ","17.025,52 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.025,52 ","14.185,52 ","2.840,00 ","0,00 ","4.724,75 ","4.724,75 ","4.724,75 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","144.537,95 ","144.537,95 ","127.276,55 ","12.530,82 ","0,00 ","4.730,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
