,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,- V EUR,,,,,,,- V EUR,,- V EUR
,,,I.,7,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7047,706,7060,71,710,7100,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,7210,7211,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,7312,7313,732,7320,74,740,7400,7401,7402,7403,7404,741,7410,7411,7412,7413,7414,7415,7416,7417,78,782,7821,787,7870
,,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.,161 ,OBČINA HODOŠ,"752.069,05 ","352.398,99 ","304.694,65 ","288.959,00 ","288.959,00 ","10.200,14 ","8.665,96 ","0,00 ","0,00 ","1.534,18 ","5.535,51 ","147,81 ","0,00 ","5.387,70 ","0,00 ","0,00 ","47.704,34 ","134,23 ","0,00 ","134,23 ","0,00 ","50,05 ","50,05 ","0,00 ","0,00 ","0,00 ","0,00 ","47.520,06 ","47.520,06 ","417,24 ","417,24 ","417,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","399.252,82 ","379.501,72 ","349.318,06 ","0,00 ","0,00 ","30.183,66 ","0,00 ","19.751,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.751,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
49.,162 ,OBČINA HORJUL,"2.785.194,06 ","2.353.424,22 ","1.801.468,12 ","1.620.285,00 ","1.620.285,00 ","136.674,25 ","98.476,26 ","184,06 ","7.105,99 ","30.907,94 ","44.508,87 ","426,41 ","0,00 ","44.082,46 ","0,00 ","0,00 ","551.956,10 ","157.740,98 ","0,00 ","36.471,43 ","121.269,55 ","1.097,20 ","1.097,20 ","43.693,41 ","43.693,41 ","0,00 ","0,00 ","349.424,51 ","349.424,51 ","1.478,95 ","1.478,95 ","0,00 ","0,00 ","1.478,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","430.290,89 ","194.465,01 ","193.515,54 ","619,31 ","330,16 ","0,00 ","0,00 ","235.825,88 ","0,00 ","235.825,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
50.,34 ,OBČINA HRASTNIK,"10.669.595,11 ","7.825.109,08 ","6.484.012,14 ","5.350.552,00 ","5.350.552,00 ","897.465,14 ","821.744,01 ","0,00 ","14.347,71 ","61.373,42 ","235.857,57 ","6.444,62 ","0,00 ","229.412,95 ","137,43 ","137,43 ","1.341.096,94 ","892.624,95 ","5.828,92 ","13.447,94 ","873.348,09 ","2.657,89 ","2.657,89 ","4.198,73 ","4.198,73 ","0,00 ","0,00 ","441.615,37 ","441.615,37 ","38.335,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","38.335,58 ","0,00 ","38.335,58 ","0,00 ","21.000,00 ","21.000,00 ","21.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.785.150,45 ","1.769.182,21 ","1.769.182,21 ","0,00 ","0,00 ","0,00 ","0,00 ","1.015.968,24 ","0,00 ","0,00 ","274.446,95 ","741.521,29 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
51.,35 ,OBČINA HRPELJE-KOZINA,"5.068.295,90 ","4.376.014,23 ","3.362.468,68 ","2.785.303,00 ","2.785.303,00 ","403.521,54 ","230.601,07 ","2.136,36 ","92.186,64 ","78.597,47 ","173.343,33 ","1.069,61 ","0,00 ","172.273,72 ","300,81 ","300,81 ","1.013.545,55 ","671.276,73 ","2.432,02 ","861,16 ","667.983,55 ","2.860,76 ","2.860,76 ","3.826,21 ","3.826,21 ","51.819,32 ","51.819,32 ","283.762,53 ","283.762,53 ","56.093,21 ","3.955,56 ","3.955,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","52.137,65 ","0,00 ","52.137,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","636.188,46 ","636.188,46 ","518.741,06 ","117.447,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
52.,36 ,OBČINA IDRIJA,"12.962.141,98 ","10.508.305,72 ","8.865.250,85 ","7.674.286,00 ","7.674.286,00 ","925.673,21 ","813.262,11 ","388,70 ","38.168,21 ","73.854,19 ","265.291,64 ","5.779,75 ","0,00 ","259.511,89 ","0,00 ","0,00 ","1.643.054,87 ","1.523.514,31 ","0,00 ","8.792,02 ","1.514.722,29 ","5.781,93 ","5.781,93 ","13.682,34 ","13.682,34 ","67.439,41 ","67.439,41 ","32.636,88 ","32.636,88 ","39.831,72 ","28.818,51 ","18.918,51 ","0,00 ","0,00 ","9.900,00 ","0,00 ","0,00 ","0,00 ","11.013,21 ","0,00 ","11.013,21 ","0,00 ","19.250,15 ","19.250,15 ","19.250,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.394.577,92 ","1.701.377,92 ","1.696.377,92 ","0,00 ","0,00 ","5.000,00 ","0,00 ","693.200,00 ","0,00 ","45.703,74 ","647.496,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","176,47 ","0,00 ","0,00 ","176,47 ","176,47 "
53.,37 ,OBČINA IG,"5.522.141,55 ","5.081.683,44 ","4.207.035,75 ","3.626.763,00 ","3.626.763,00 ","372.237,60 ","245.781,04 ","435,29 ","30.417,13 ","95.604,14 ","208.035,15 ","2.032,19 ","0,00 ","206.002,96 ","0,00 ","0,00 ","874.647,69 ","178.329,81 ","0,00 ","62.170,72 ","116.159,09 ","3.323,59 ","3.323,59 ","1.918,08 ","1.918,08 ","41.194,72 ","41.194,72 ","649.881,49 ","649.881,49 ","139.143,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","139.143,40 ","17.733,40 ","121.410,00 ","0,00 ","200,00 ","200,00 ","200,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","301.114,71 ","301.114,71 ","301.114,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
54.,38 ,OBČINA ILIRSKA BISTRICA,"14.117.755,99 ","10.577.459,30 ","9.424.841,95 ","8.536.302,00 ","8.536.302,00 ","614.474,42 ","420.689,60 ","253,19 ","103.637,48 ","89.894,15 ","274.065,53 ","4.347,01 ","0,00 ","269.718,52 ","0,00 ","0,00 ","1.152.617,35 ","897.734,42 ","130.493,41 ","37.723,61 ","729.517,40 ","8.217,44 ","8.217,44 ","5.360,10 ","5.360,10 ","9.478,90 ","9.478,90 ","231.826,49 ","231.826,49 ","73.104,06 ","21.041,89 ","21.041,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","52.062,17 ","583,18 ","51.478,99 ","0,00 ","800,00 ","800,00 ","500,00 ","300,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.466.392,63 ","1.328.867,31 ","1.328.867,31 ","0,00 ","0,00 ","0,00 ","0,00 ","2.137.525,32 ","0,00 ","0,00 ","2.137.525,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
55.,39 ,OBČINA IVANČNA GORICA,"12.364.011,96 ","11.204.622,14 ","9.763.594,80 ","8.989.855,00 ","8.989.855,00 ","364.167,90 ","131.047,83 ","1.336,63 ","45.548,46 ","186.234,98 ","409.504,94 ","9.085,32 ","0,00 ","400.419,62 ","66,96 ","66,96 ","1.441.027,34 ","940.537,13 ","100.818,88 ","72.247,20 ","767.471,05 ","9.232,10 ","9.232,10 ","3.446,31 ","3.446,31 ","21.479,21 ","21.479,21 ","466.332,59 ","466.332,59 ","202.837,85 ","21.588,85 ","20.422,18 ","1.166,67 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","181.249,00 ","1.168,00 ","180.081,00 ","0,00 ","306,00 ","306,00 ","136,00 ","170,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","956.245,97 ","956.245,97 ","945.692,26 ","10.553,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
56.,40 ,OBČINA IZOLA,"16.050.364,45 ","14.622.896,45 ","10.476.317,00 ","7.793.003,00 ","7.793.003,00 ","2.076.646,00 ","1.332.612,00 ","13.281,00 ","338.927,00 ","391.826,00 ","594.741,00 ","25.040,00 ","0,00 ","569.701,00 ","11.927,00 ","11.927,00 ","4.146.579,45 ","3.096.045,00 ","0,00 ","10.616,00 ","3.085.429,00 ","17.398,00 ","17.398,00 ","286.182,00 ","286.182,00 ","63.746,00 ","63.746,00 ","683.208,45 ","683.208,45 ","761.684,00 ","450.334,00 ","398.413,00 ","0,00 ","0,00 ","51.921,00 ","0,00 ","0,00 ","0,00 ","311.350,00 ","0,00 ","311.350,00 ","0,00 ","797,00 ","797,00 ","797,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","664.987,00 ","493.587,00 ","469.087,00 ","17.290,00 ","7.210,00 ","0,00 ","0,00 ","171.400,00 ","0,00 ","0,00 ","171.400,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
57.,41 ,OBČINA JESENICE,"20.027.351,49 ","17.035.377,31 ","13.248.951,74 ","10.876.048,00 ","10.876.048,00 ","1.942.370,44 ","1.651.231,54 ","3.053,85 ","41.182,92 ","246.902,13 ","430.277,15 ","176.590,89 ","0,00 ","253.686,26 ","256,15 ","256,15 ","3.786.425,57 ","2.800.176,65 ","43.992,00 ","99.221,44 ","2.656.963,21 ","6.022,52 ","6.022,52 ","81.088,75 ","81.088,75 ","7.481,83 ","7.481,83 ","891.655,82 ","891.655,82 ","714.582,77 ","642.653,09 ","642.117,54 ","80,00 ","308,35 ","147,20 ","0,00 ","0,00 ","0,00 ","71.929,68 ","0,00 ","71.929,68 ","0,00 ","3.840,00 ","3.840,00 ","3.740,00 ","100,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.273.551,41 ","614.552,49 ","415.820,00 ","198.732,49 ","0,00 ","0,00 ","0,00 ","1.658.998,92 ","0,00 ","0,00 ","1.658.998,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
58.,163 ,OBČINA JEZERSKO,"1.021.122,43 ","810.654,21 ","710.717,15 ","603.205,00 ","603.205,00 ","37.023,59 ","30.949,05 ","1.247,15 ","36,40 ","4.790,99 ","70.488,56 ","34.275,91 ","0,00 ","36.212,65 ","0,00 ","0,00 ","99.937,06 ","87.956,65 ","3.783,27 ","9.551,13 ","74.622,25 ","0,00 ","0,00 ","915,00 ","915,00 ","0,00 ","0,00 ","11.065,41 ","11.065,41 ","4.768,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.768,00 ","4.768,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","205.700,22 ","203.892,47 ","203.892,47 ","0,00 ","0,00 ","0,00 ","0,00 ","1.807,75 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.807,75 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
59.,42 ,OBČINA JURŠINCI,"1.964.800,57 ","1.654.466,09 ","1.585.204,82 ","1.467.410,00 ","1.467.410,00 ","62.718,33 ","46.642,88 ","182,45 ","5.958,66 ","9.934,34 ","55.076,49 ","573,12 ","0,00 ","54.503,37 ","0,00 ","0,00 ","69.261,27 ","23.459,00 ","0,00 ","187,51 ","23.271,49 ","2.136,66 ","2.136,66 ","607,90 ","607,90 ","0,00 ","0,00 ","43.057,71 ","43.057,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","310.334,48 ","186.510,05 ","186.510,05 ","0,00 ","0,00 ","0,00 ","0,00 ","123.824,43 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","123.824,43 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
60.,43 ,OBČINA KAMNIK,"21.650.761,34 ","20.390.770,22 ","17.846.598,01 ","15.550.952,00 ","15.550.952,00 ","1.911.722,09 ","1.346.269,19 ","3.659,77 ","76.643,19 ","485.149,94 ","383.030,93 ","13.863,62 ","0,00 ","369.167,31 ","892,99 ","892,99 ","2.544.172,21 ","1.489.912,65 ","0,00 ","29.603,48 ","1.460.309,17 ","15.077,08 ","15.077,08 ","88.689,54 ","88.689,54 ","123.009,80 ","123.009,80 ","827.483,14 ","827.483,14 ","117.485,24 ","32.260,24 ","31.893,56 ","0,00 ","366,68 ","0,00 ","0,00 ","0,00 ","0,00 ","85.225,00 ","12.450,00 ","72.775,00 ","0,00 ","4.950,00 ","4.950,00 ","4.950,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.120.107,08 ","1.120.107,08 ","1.120.107,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.448,80 ","0,00 ","0,00 ","17.448,80 ","17.448,80 "
61.,44 ,OBČINA KANAL,"7.259.577,74 ","6.208.517,97 ","4.623.866,11 ","3.945.335,00 ","3.945.335,00 ","616.124,72 ","532.844,02 ","8,66 ","28.374,63 ","54.897,41 ","62.406,39 ","915,84 ","0,00 ","61.490,55 ","0,00 ","0,00 ","1.584.651,86 ","1.434.181,81 ","7.319,00 ","15.076,50 ","1.411.786,31 ","824,45 ","824,45 ","2.118,98 ","2.118,98 ","36.756,16 ","36.756,16 ","110.770,46 ","110.770,46 ","124.859,00 ","122.500,00 ","122.500,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.359,00 ","2.359,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","926.200,77 ","540.444,10 ","529.433,20 ","0,00 ","0,00 ","11.010,90 ","0,00 ","385.756,67 ","0,00 ","0,00 ","385.756,67 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
62.,45 ,OBČINA KIDRIČEVO,"6.760.762,29 ","5.188.830,56 ","4.810.531,85 ","3.951.745,00 ","3.951.745,00 ","744.392,65 ","663.031,06 ","340,20 ","19.180,35 ","61.841,04 ","114.236,83 ","2.177,57 ","0,00 ","112.059,26 ","157,37 ","157,37 ","378.298,71 ","139.936,40 ","0,00 ","11.949,79 ","127.986,61 ","1.705,08 ","1.705,08 ","9.864,75 ","9.864,75 ","8.821,85 ","8.821,85 ","217.970,63 ","217.970,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.571.931,73 ","429.912,20 ","429.912,20 ","0,00 ","0,00 ","0,00 ","0,00 ","1.142.019,53 ","0,00 ","179.040,00 ","0,00 ","962.979,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
63.,46 ,OBČINA KOBARID,"4.638.012,68 ","3.914.314,68 ","3.116.221,00 ","2.797.578,00 ","2.797.578,00 ","162.017,00 ","105.371,00 ","32,00 ","35.720,00 ","20.894,00 ","156.626,00 ","265,00 ","0,00 ","156.361,00 ","0,00 ","0,00 ","798.093,68 ","640.483,61 ","238,00 ","5.569,00 ","634.676,61 ","732,00 ","732,00 ","11.605,00 ","11.605,00 ","16.429,00 ","16.429,00 ","128.844,07 ","128.844,07 ","95.344,00 ","77.855,00 ","77.855,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.489,00 ","1.341,00 ","16.148,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","628.354,00 ","616.739,00 ","608.362,00 ","0,00 ","0,00 ","8.377,00 ","0,00 ","11.615,00 ","0,00 ","0,00 ","11.615,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
64.,47 ,OBČINA KOBILJE,"791.796,48 ","473.787,46 ","425.066,93 ","405.123,00 ","405.123,00 ","13.573,85 ","8.827,81 ","0,00 ","2.711,35 ","2.034,69 ","6.370,08 ","266,80 ","0,00 ","6.103,28 ","0,00 ","0,00 ","48.720,53 ","29.222,99 ","0,00 ","104,66 ","29.118,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.497,54 ","19.497,54 ","5.262,47 ","2.352,44 ","2.352,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.910,03 ","0,00 ","2.910,03 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","312.746,55 ","137.460,68 ","105.884,90 ","568,10 ","0,00 ","31.007,68 ","0,00 ","175.285,87 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","175.285,87 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
65.,48 ,OBČINA KOČEVJE,"15.699.939,44 ","13.256.720,78 ","10.826.851,30 ","9.734.226,00 ","9.734.226,00 ","633.888,11 ","398.954,27 ","875,58 ","79.970,10 ","154.088,16 ","458.726,67 ","7.876,97 ","0,00 ","450.849,70 ","10,52 ","10,52 ","2.429.869,48 ","1.984.410,14 ","406,40 ","17.235,51 ","1.966.768,23 ","8.516,47 ","8.516,47 ","537,93 ","537,93 ","193.917,23 ","193.917,23 ","242.487,71 ","242.487,71 ","813.202,14 ","83,33 ","0,00 ","83,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","813.118,81 ","134.926,98 ","678.191,83 ","0,00 ","1.834,20 ","1.834,20 ","1.834,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.628.182,32 ","1.486.296,10 ","1.445.056,39 ","12.199,28 ","29.040,43 ","0,00 ","0,00 ","141.886,22 ","0,00 ","0,00 ","141.886,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
66.,49 ,OBČINA KOMEN,"4.199.426,60 ","3.269.234,14 ","2.492.319,60 ","2.241.331,00 ","2.241.331,00 ","174.393,77 ","102.821,43 ","385,28 ","30.824,39 ","40.362,67 ","75.610,60 ","303,93 ","0,00 ","75.306,67 ","984,23 ","984,23 ","776.914,54 ","613.606,05 ","1.919,98 ","2.669,59 ","609.016,48 ","4.062,95 ","4.062,95 ","1.572,35 ","1.572,35 ","44.574,61 ","44.574,61 ","113.098,58 ","113.098,58 ","50.890,27 ","1.522,27 ","1.354,67 ","0,00 ","167,60 ","0,00 ","0,00 ","0,00 ","0,00 ","49.368,00 ","0,00 ","49.368,00 ","0,00 ","11.199,75 ","6.910,00 ","6.910,00 ","0,00 ","4.289,75 ","0,00 ","0,00 ","4.289,75 ","0,00 ","0,00 ","0,00 ","868.102,44 ","402.188,31 ","402.188,31 ","0,00 ","0,00 ","0,00 ","0,00 ","465.914,13 ","0,00 ","0,00 ","454.832,13 ","0,00 ","0,00 ","0,00 ","0,00 ","11.082,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
67.,164 ,OBČINA KOMENDA,"5.269.501,29 ","4.595.456,75 ","3.371.064,66 ","2.836.772,00 ","2.836.772,00 ","420.753,36 ","323.477,49 ","1.836,29 ","880,61 ","94.558,97 ","113.539,30 ","325,91 ","0,00 ","113.213,39 ","0,00 ","0,00 ","1.224.392,09 ","92.062,58 ","0,00 ","950,72 ","91.111,86 ","1.824,62 ","1.824,62 ","2.304,90 ","2.304,90 ","416.624,48 ","416.624,48 ","711.575,51 ","711.575,51 ","624.080,96 ","100,00 ","0,00 ","100,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","623.980,96 ","0,00 ","623.980,96 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","49.963,58 ","49.963,58 ","49.963,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
68.,50 ,MESTNA OBČINA KOPER,"57.302.515,51 ","47.378.814,19 ","37.990.450,04 ","25.645.762,00 ","25.645.762,00 ","11.220.277,03 ","9.869.418,86 ","31.369,40 ","219.427,38 ","1.100.061,39 ","1.112.983,65 ","23.676,02 ","0,00 ","1.089.307,63 ","11.427,36 ","11.427,36 ","9.388.364,15 ","6.665.522,67 ","187,10 ","115.600,12 ","6.549.735,45 ","32.094,55 ","32.094,55 ","228.147,96 ","228.147,96 ","11.916,28 ","11.916,28 ","2.450.682,69 ","2.450.682,69 ","5.407.984,43 ","1.412.349,51 ","1.410.123,19 ","2.226,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.995.634,92 ","0,00 ","3.995.634,92 ","0,00 ","1.070,00 ","1.070,00 ","1.070,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.289.238,59 ","1.335.611,54 ","1.222.942,75 ","67.647,79 ","0,00 ","45.021,00 ","0,00 ","2.953.627,05 ","0,00 ","122.569,95 ","0,00 ","2.831.057,10 ","0,00 ","0,00 ","0,00 ","0,00 ","225.408,30 ","0,00 ","0,00 ","225.408,30 ","225.408,30 "
69.,197 ,OBČINA KOSTANJEVICA NA KRKI,"3.134.830,93 ","2.265.833,83 ","1.798.302,65 ","1.608.679,00 ","1.608.679,00 ","131.185,06 ","110.949,32 ","163,86 ","5.373,02 ","14.698,86 ","58.438,59 ","425,63 ","0,00 ","58.012,96 ","0,00 ","0,00 ","467.531,18 ","30.081,05 ","9,60 ","9.849,55 ","20.221,90 ","1.794,67 ","1.794,67 ","963,85 ","963,85 ","7.979,82 ","7.979,82 ","426.711,79 ","426.711,79 ","4.326,42 ","909,59 ","909,59 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.416,83 ","0,00 ","3.416,83 ","0,00 ","704,59 ","704,59 ","500,00 ","204,59 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","863.966,09 ","410.630,21 ","229.879,56 ","180.750,65 ","0,00 ","0,00 ","0,00 ","453.335,88 ","0,00 ","0,00 ","453.335,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
70.,165 ,OBČINA KOSTEL,"1.681.862,00 ","748.899,00 ","681.618,00 ","630.024,00 ","630.024,00 ","26.468,00 ","14.739,00 ","29,00 ","6.505,00 ","5.195,00 ","25.126,00 ","1.331,00 ","0,00 ","23.795,00 ","0,00 ","0,00 ","67.281,00 ","44.373,00 ","0,00 ","99,00 ","44.274,00 ","305,00 ","305,00 ","520,00 ","520,00 ","21.056,00 ","21.056,00 ","1.027,00 ","1.027,00 ","22.284,00 ","18.908,00 ","17.408,00 ","1.500,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.376,00 ","0,00 ","3.376,00 ","0,00 ","2.007,00 ","0,00 ","0,00 ","0,00 ","2.007,00 ","0,00 ","0,00 ","2.007,00 ","0,00 ","0,00 ","0,00 ","908.672,00 ","619.971,00 ","506.999,00 ","112.972,00 ","0,00 ","0,00 ","0,00 ","288.701,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","288.701,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
71.,51 ,OBČINA KOZJE,"4.514.955,86 ","3.089.764,93 ","2.574.392,56 ","2.378.098,00 ","2.378.098,00 ","110.585,64 ","84.810,30 ","101,38 ","8.169,52 ","17.504,44 ","84.057,76 ","1.692,12 ","0,00 ","82.365,64 ","1.651,16 ","1.651,16 ","515.372,37 ","216.196,94 ","0,00 ","820,82 ","215.376,12 ","734,42 ","734,42 ","1.234,39 ","1.234,39 ","0,00 ","0,00 ","297.206,62 ","297.206,62 ","73.845,62 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","73.845,62 ","2.160,62 ","71.685,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.351.345,31 ","643.616,36 ","641.016,36 ","0,00 ","0,00 ","2.600,00 ","0,00 ","707.728,95 ","0,00 ","0,00 ","707.728,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
