,,,,,,,,,,,- V EUR,,,,,- V EUR
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,
21.,196 ,OBČINA CIRKULANE,"520.000,00 ","520.000,00 ","520.000,00 ","0,00 ","0,00 ","422.184,16 ","422.184,16 ","422.184,16 ","0,00 ","0,00 ","-31.153,12 ","97.815,84 ","128.968,96 ","171.794,98 "
22.,15 ,OBČINA ČRENŠOVCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-155.239,49 ","0,00 ","155.239,49 ","272.092,39 "
23.,16 ,OBČINA ČRNA NA KOROŠKEM,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","194.310,29 ","194.310,29 ","186.744,80 ","0,00 ","7.565,49 ","101.428,74 ","-194.310,29 ","-295.739,03 ","4.206,83 "
24.,17 ,OBČINA ČRNOMELJ,"1.000.000,00 ","1.000.000,00 ","1.000.000,00 ","0,00 ","0,00 ","298.162,84 ","298.162,84 ","288.595,24 ","0,00 ","9.567,60 ","-61.083,06 ","701.837,16 ","762.920,22 ","232.558,83 "
25.,18 ,OBČINA DESTRNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","40.333,32 ","40.333,32 ","40.333,32 ","0,00 ","0,00 ","33.700,96 ","-40.333,32 ","-74.034,28 ","90.019,00 "
26.,19 ,OBČINA DIVAČA,"250.000,00 ","250.000,00 ","250.000,00 ","0,00 ","0,00 ","219.999,96 ","219.999,96 ","219.999,96 ","0,00 ","0,00 ","-182.975,34 ","30.000,04 ","212.975,38 ","4.618,83 "
27.,154 ,OBČINA DOBJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","101.647,29 ","0,00 ","-101.647,29 ","5.295,27 "
28.,20 ,OBČINA DOBREPOLJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","89.594,29 ","0,00 ","-89.120,87 ","1.734.263,84 "
29.,155 ,OBČINA DOBRNA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","86.997,56 ","86.997,56 ","0,00 ","0,00 ","86.997,56 ","481.584,67 ","-86.997,56 ","-568.582,23 ","241.185,00 "
30.,21 ,OBČINA DOBROVA-POLHOV GRADEC,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","242.400,11 ","242.400,11 ","105.263,16 ","0,00 ","137.136,95 ","554.099,53 ","-242.400,11 ","-796.499,64 ","230.274,15 "
