,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108.003 ,0 ,-108.003 ,196.683 ,196.683 
21.,ČRNA NA KOROŠKEM,166.917 ,166.917 ,166.917 ,0 ,0 ,0 ,37.056 ,37.056 ,37.056 ,0 ,0 ,0 ,-13.182 ,129.861 ,141.658 ,19.433 ,19.433 
22.,ČRNOMELJ,708.922 ,708.922 ,0 ,708.922 ,0 ,0 ,125.960 ,125.960 ,0 ,0 ,125.960 ,0 ,-327.007 ,582.962 ,981.902 ,412.769 ,412.769 
23.,DESTRNIK,291.884 ,291.884 ,291.884 ,0 ,0 ,0 ,15.124 ,15.124 ,8.179 ,0 ,6.945 ,0 ,98.338 ,276.760 ,178.422 ,231.656 ,231.656 
24.,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,12.744 ,12.744 ,12.744 ,0 ,0 ,0 ,-20.606 ,-12.744 ,7.862 ,800.705 ,800.705 
25.,DOBJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.034 ,0 ,-28.530 ,33.905 ,33.905 
26.,DOBREPOLJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,251.707 ,0 ,-234.389 ,814.134 ,814.134 
27.,DOBRNA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-71.052 ,0 ,101.932 ,171.703 ,171.703 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.219.399 ,0 ,1.219.399 ,730.054 ,730.054 
29.,DOBROVNIK,0 ,0 ,0 ,0 ,0 ,0 ,56.083 ,56.083 ,0 ,0 ,56.083 ,0 ,23.959 ,-56.083 ,-80.043 ,-49.770 ,-49.770 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-52.324 ,0 ,52.324 ,486.743 ,486.743 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63.700 ,0 ,-82.478 ,117.731 ,117.731 
32.,DOMŽALE,0 ,0 ,0 ,0 ,0 ,0 ,129.181 ,129.181 ,100.251 ,0 ,28.931 ,0 ,-157.682 ,-129.181 ,207.516 ,6.716.354 ,6.716.354 
