,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,71.090 ,0 ,-71.090 ,93.040 ,93.040 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.849 ,0 ,-54.849 ,475.605 ,475.605 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,4.248 ,4.248 ,1.965 ,0 ,2.283 ,0 ,-176.511 ,-4.248 ,171.724 ,430.517 ,430.517 
98.,MORAVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,315.356 ,0 ,-306.405 ,351.874 ,351.874 
99.,MORAVSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,144.387 ,144.387 ,144.387 ,0 ,0 ,0 ,-112.089 ,-144.387 ,-148.715 ,600.275 ,600.275 
100.,MOZIRJE,0 ,0 ,0 ,0 ,0 ,0 ,41.270 ,41.270 ,29.306 ,0 ,11.964 ,0 ,4.432 ,-41.270 ,-45.702 ,118.194 ,118.194 
101.,MESTNA OBČINA MURSKA SOBOTA,0 ,0 ,0 ,0 ,0 ,0 ,148.631 ,148.631 ,66.304 ,0 ,82.328 ,0 ,-479.461 ,-148.631 ,319.984 ,1.242.359 ,1.242.359 
102.,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,14.054 ,14.054 ,0 ,0 ,14.054 ,0 ,5.028 ,-14.054 ,-17.222 ,5.738 ,5.738 
103.,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.975 ,0 ,-62.672 ,7.423 ,7.423 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,-69.170 ,-54.248 ,14.922 ,62.961 ,62.961 
105.,MESTNA OBČINA NOVA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-935.507 ,0 ,820.752 ,1.724.883 ,1.724.883 
106.,MESTNA OBČINA NOVO MESTO,0 ,0 ,0 ,0 ,0 ,0 ,267.192 ,267.192 ,267.192 ,0 ,0 ,0 ,693.144 ,-267.192 ,-908.463 ,291.971 ,291.971 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,11.472 ,11.472 ,11.472 ,0 ,0 ,0 ,-406.810 ,-11.472 ,395.338 ,728.556 ,728.556 
108.,OPLOTNICA,0 ,0 ,0 ,0 ,0 ,0 ,47.292 ,47.292 ,47.292 ,0 ,0 ,0 ,-225.776 ,-47.292 ,178.484 ,261.805 ,261.805 
109.,ORMOŽ,1.468.870 ,1.468.870 ,1.468.870 ,0 ,0 ,0 ,270.635 ,270.635 ,208.475 ,0 ,62.160 ,0 ,-502.412 ,1.198.235 ,2.007.424 ,578.309 ,578.309 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-507.006 ,0 ,507.006 ,563.186 ,563.186 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,1.181 ,1.181 ,1.181 ,0 ,0 ,0 ,-621.173 ,-1.181 ,619.992 ,778.434 ,778.434 
112.,PIRAN,0 ,0 ,0 ,0 ,0 ,0 ,98.912 ,98.912 ,98.912 ,0 ,0 ,0 ,9.683.267 ,-98.912 ,-10.515.461 ,2.188.900 ,2.188.900 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,140.850 ,0 ,-140.850 ,24.758 ,24.758 
114.,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,2.120 ,2.120 ,0 ,2.120 ,0 ,0 ,-352.450 ,-2.120 ,350.330 ,439.910 ,439.910 
115.,PODLEHNIK,371.390 ,371.390 ,371.390 ,0 ,0 ,0 ,46.275 ,46.275 ,0 ,46.275 ,0 ,0 ,-28.822 ,325.116 ,353.938 ,0 ,0 
116.,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,2.045 ,2.045 ,2.045 ,0 ,0 ,0 ,284.493 ,-2.045 ,-239.889 ,194.646 ,194.646 
117.,POLZELA,207.845 ,207.845 ,207.845 ,0 ,0 ,0 ,25.300 ,25.300 ,21.908 ,0 ,3.393 ,0 ,23.898 ,182.545 ,159.973 ,48.857 ,48.857 
118.,POSTOJNA,0 ,0 ,0 ,0 ,0 ,0 ,162.065 ,162.065 ,63.103 ,0 ,98.962 ,0 ,465.872 ,-162.065 ,-610.678 ,460.595 ,460.595 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,8.388 ,8.388 ,8.388 ,0 ,0 ,0 ,-43.194 ,-8.388 ,34.806 ,64.530 ,64.530 
120.,PREDDVOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.123 ,0 ,-8.696 ,38.395 ,38.395 
121.,PREVALJE,116.842 ,116.842 ,116.842 ,0 ,0 ,0 ,22.914 ,22.914 ,12.982 ,0 ,9.932 ,0 ,-218.102 ,93.928 ,312.197 ,362.231 ,362.231 
122.,MESTNA OBČINA PTUJ,91.996 ,91.996 ,0 ,0 ,91.996 ,0 ,118.653 ,118.653 ,0 ,0 ,118.653 ,0 ,-191.604 ,-26.657 ,399.862 ,470.877 ,470.877 
123.,PUCONCI,521.616 ,521.616 ,521.616 ,0 ,0 ,0 ,567.297 ,567.297 ,0 ,0 ,567.297 ,0 ,-1.067.772 ,-45.681 ,1.032.804 ,887.485 ,887.485 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,292 ,292 ,292 ,0 ,0 ,0 ,1.333.400 ,-292 ,-1.333.692 ,1.395.840 ,1.395.840 
125.,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,3.451 ,-20.865 ,-24.316 ,0 ,0 
126.,RADENCI,0 ,0 ,0 ,0 ,0 ,0 ,37.100 ,37.100 ,37.100 ,0 ,0 ,0 ,-54.771 ,-37.100 ,-86.642 ,4.740 ,4.740 
127.,RADLJE OB DRAVI,149.862 ,149.862 ,149.862 ,0 ,0 ,0 ,6.706 ,6.706 ,0 ,6.706 ,0 ,0 ,116.037 ,143.156 ,22.947 ,263 ,263 
128.,RADOVLJICA,204.445 ,204.445 ,204.445 ,0 ,0 ,0 ,164.456 ,164.456 ,164.456 ,0 ,0 ,0 ,1.716.164 ,39.989 ,-956.284 ,955.221 ,955.221 
129.,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,95.777 ,95.777 ,95.777 ,0 ,0 ,0 ,-392.151 ,-95.777 ,296.374 ,792.009 ,792.009 
130.,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,6.155 ,6.155 ,0 ,0 ,6.155 ,0 ,-7.997 ,-6.155 ,1.842 ,26.803 ,26.803 
131.,RIBNICA,83.287 ,83.287 ,83.287 ,0 ,0 ,0 ,438.641 ,438.641 ,438.641 ,0 ,0 ,0 ,9.009 ,-355.354 ,-249.729 ,25.517 ,25.517 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,1.790 ,1.790 ,1.790 ,0 ,0 ,0 ,-60.203 ,-1.790 ,58.413 ,0 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,13.533 ,13.533 ,0 ,0 ,13.533 ,0 ,-135.203 ,-13.533 ,121.670 ,1.160.516 ,1.160.516 
134.,ROGAŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,11.215 ,11.215 ,0 ,0 ,11.215 ,0 ,161.765 ,-11.215 ,-169.708 ,174.900 ,174.900 
135.,ROGATEC,64.910 ,64.910 ,0 ,0 ,64.910 ,0 ,15.461 ,15.461 ,0 ,0 ,15.461 ,0 ,-194.158 ,49.449 ,243.607 ,393.891 ,393.891 
136.,RUŠE,626.248 ,626.248 ,0 ,0 ,626.248 ,0 ,30.383 ,30.383 ,0 ,0 ,30.383 ,0 ,-134.677 ,595.865 ,730.542 ,338.558 ,338.558 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,31.297 ,31.297 ,31.297 ,0 ,0 ,0 ,-7.286 ,-31.297 ,-24.011 ,182.198 ,182.198 
138.,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,80.487 ,80.487 ,45.401 ,0 ,35.086 ,0 ,-22.901 ,-80.487 ,-52.182 ,0 ,0 
139.,SEVNICA,1.293.607 ,1.293.607 ,1.293.607 ,0 ,0 ,0 ,102.399 ,102.399 ,89.960 ,12.439 ,0 ,0 ,335.353 ,1.191.208 ,855.855 ,214.814 ,214.814 
140.,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,103.401 ,103.401 ,41.704 ,0 ,61.697 ,0 ,601.665 ,-103.401 ,-683.283 ,1.853.251 ,1.853.251 
141.,MESTNA OBČINA SLOVENJ GRADEC,481.051 ,481.051 ,481.051 ,0 ,0 ,0 ,7.090 ,7.090 ,7.090 ,0 ,0 ,0 ,-892.226 ,473.961 ,1.310.950 ,2.475.376 ,2.475.376 
142.,SLOVENSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,188.366 ,188.366 ,188.366 ,0 ,0 ,0 ,246.069 ,-188.366 ,-434.435 ,144.287 ,144.287 
143.,SLOVENSKE KONJICE,0 ,0 ,0 ,0 ,0 ,0 ,17.885 ,17.885 ,17.885 ,0 ,0 ,0 ,171.883 ,-17.885 ,-174.950 ,421.140 ,421.140 
144.,SODRAŽICA,287.306 ,287.306 ,203.847 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79.144 ,287.306 ,208.162 ,24.099 ,24.099 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,2.604 ,2.604 ,2.604 ,0 ,0 ,0 ,-51.152 ,-2.604 ,48.548 ,0 ,0 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,2.913 ,2.913 ,0 ,2.913 ,0 ,0 ,-520.510 ,-2.913 ,517.597 ,1.534.151 ,1.534.151 
147.,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,31.610 ,31.610 ,0 ,0 ,31.610 ,0 ,-373.691 ,-31.610 ,350.427 ,570.063 ,570.063 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,304.574 ,304.574 ,304.574 ,0 ,0 ,0 ,8.375 ,8.375 ,8.375 ,0 ,0 ,0 ,-195.648 ,296.198 ,491.846 ,208.776 ,208.776 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.018 ,0 ,25.627 ,405.992 ,405.992 
150.,ŠALOVCI,83.459 ,83.459 ,83.459 ,0 ,0 ,0 ,66.435 ,66.435 ,0 ,0 ,66.435 ,0 ,-6.915 ,17.023 ,57.322 ,15.177 ,15.177 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,222 ,222 ,0 ,0 ,222 ,0 ,-995.531 ,-222 ,1.018.670 ,2.543.570 ,2.543.570 
152.,ŠENČUR,827.462 ,827.462 ,827.462 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-749.316 ,827.462 ,1.611.572 ,855.362 ,855.362 
153.,ŠENTILJ,0 ,0 ,0 ,0 ,0 ,0 ,135.028 ,135.028 ,135.028 ,0 ,0 ,0 ,27.389 ,-135.028 ,-119.611 ,81.635 ,81.635 
154.,ŠENTJERNEJ,2.113.220 ,2.113.220 ,2.113.220 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,452.078 ,2.113.220 ,1.669.041 ,0 ,0 
155.,ŠENTJUR,175.098 ,175.098 ,0 ,0 ,175.098 ,0 ,44.956 ,44.956 ,0 ,0 ,44.956 ,0 ,-128.325 ,130.142 ,244.484 ,284.631 ,284.631 
156.,ŠKOCJAN,416.975 ,416.975 ,416.975 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.546 ,416.975 ,414.367 ,41.763 ,41.763 
157.,ŠKOFJA LOKA,500.751 ,500.751 ,500.751 ,0 ,0 ,0 ,42.276 ,42.276 ,0 ,0 ,42.276 ,0 ,1.446.102 ,458.475 ,-1.117.626 ,272.137 ,272.137 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,564.692 ,0 ,-564.692 ,2.837.481 ,2.837.481 
159.,ŠMARJE PRI JELŠAH,0 ,0 ,0 ,0 ,0 ,0 ,47.834 ,47.834 ,0 ,0 ,47.834 ,0 ,11.200 ,-47.834 ,-22.050 ,713.725 ,713.725 
160.,ŠMARTNO OB PAKI,175.939 ,175.939 ,175.939 ,0 ,0 ,0 ,29.937 ,29.937 ,29.937 ,0 ,0 ,0 ,-1.385 ,146.002 ,147.388 ,14.726 ,14.726 
161.,ŠMARTNO PRI LITIJI,0 ,0 ,0 ,0 ,0 ,0 ,31.234 ,31.234 ,9.155 ,0 ,22.079 ,0 ,260.194 ,-31.234 ,-286.989 ,883.563 ,883.563 
162.,ŠOŠTANJ,0 ,0 ,0 ,0 ,0 ,0 ,77.103 ,77.103 ,34.297 ,0 ,42.806 ,0 ,307.724 ,-77.103 ,-384.827 ,221.132 ,221.132 
163.,ŠTORE,1.070.443 ,1.070.443 ,373.565 ,0 ,696.879 ,0 ,1.061.701 ,1.061.701 ,549.458 ,0 ,512.243 ,0 ,-142.497 ,8.742 ,201.385 ,167.735 ,167.735 
164.,TABOR,0 ,0 ,0 ,0 ,0 ,0 ,17.852 ,17.852 ,11.329 ,0 ,6.522 ,0 ,-14.004 ,-17.852 ,-3.847 ,0 ,0 
165.,TIŠINA,584.210 ,584.210 ,0 ,0 ,584.210 ,0 ,32.867 ,32.867 ,0 ,0 ,32.867 ,0 ,138.867 ,551.343 ,419.470 ,-146.370 ,-146.370 
166.,TOLMIN,0 ,0 ,0 ,0 ,0 ,0 ,29.628 ,29.628 ,29.628 ,0 ,0 ,0 ,-488.975 ,-29.628 ,447.943 ,567.013 ,567.013 
167.,TRBOVLJE,0 ,0 ,0 ,0 ,0 ,0 ,13.378 ,13.378 ,0 ,0 ,13.378 ,0 ,286.726 ,-13.378 ,-236.042 ,780.809 ,780.809 
168.,TREBNJE,0 ,0 ,0 ,0 ,0 ,0 ,42.622 ,42.622 ,41.333 ,0 ,1.289 ,0 ,584.990 ,-42.622 ,-630.116 ,3.238.954 ,3.238.954 
169.,TRNOVSKA VAS,75.054 ,75.054 ,75.054 ,0 ,0 ,0 ,18.778 ,18.778 ,18.778 ,0 ,0 ,0 ,-61.400 ,56.276 ,117.677 ,80.625 ,80.625 
170.,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,9.085 ,9.085 ,9.085 ,0 ,0 ,0 ,1.001.906 ,-9.085 ,-1.010.990 ,0 ,0 
171.,TRŽIČ,1.502.048 ,1.502.048 ,1.502.048 ,0 ,0 ,0 ,122.273 ,122.273 ,122.273 ,0 ,0 ,0 ,-278.453 ,1.379.774 ,1.658.228 ,379.640 ,379.640 
172.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.517 ,0 ,-3.517 ,22.246 ,22.246 
173.,MESTNA OBČINA VELENJE,388.083 ,388.083 ,388.083 ,0 ,0 ,0 ,113.683 ,113.683 ,0 ,0 ,113.683 ,0 ,-1.685.716 ,274.400 ,2.070.111 ,1.926.648 ,1.926.648 
174.,VELIKA POLANA,38.829 ,38.829 ,38.829 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.352 ,38.829 ,40.181 ,0 ,0 
175.,VELIKE LAŠČE,209.377 ,209.377 ,209.377 ,0 ,0 ,0 ,12.890 ,12.890 ,0 ,0 ,12.890 ,0 ,-179.724 ,196.486 ,376.210 ,206.038 ,206.038 
176.,VERŽEJ,0 ,0 ,0 ,0 ,0 ,0 ,19.386 ,19.386 ,7.742 ,0 ,11.643 ,0 ,-116.343 ,-19.386 ,96.957 ,160.770 ,160.770 
177.,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,65.098 ,65.098 ,65.098 ,0 ,0 ,0 ,-144.346 ,-65.098 ,79.248 ,330.638 ,330.638 
178.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,255.137 ,0 ,-186.718 ,828.568 ,828.568 
179.,VITANJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-123.268 ,0 ,123.694 ,0 ,0 
180.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-146.424 ,0 ,146.424 ,412.903 ,412.903 
181.,VOJNIK,1.449.024 ,1.449.024 ,1.449.024 ,0 ,0 ,0 ,18.269 ,18.269 ,18.269 ,0 ,0 ,0 ,-45.677 ,1.430.754 ,1.511.405 ,113.370 ,113.370 
182.,VRANSKO,0 ,0 ,0 ,0 ,0 ,0 ,28.589 ,28.589 ,17.117 ,0 ,11.471 ,0 ,-328.426 ,-28.589 ,-74.328 ,0 ,0 
183.,VRHNIKA,187.127 ,187.127 ,187.127 ,0 ,0 ,0 ,198.343 ,198.343 ,198.343 ,0 ,0 ,0 ,-85.399 ,-11.217 ,74.182 ,198.510 ,198.510 
184.,VUZENICA,229.511 ,229.511 ,229.511 ,0 ,0 ,0 ,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,46.753 ,187.782 ,179.603 ,62.648 ,62.648 
185.,ZAGORJE OB SAVI,417.293 ,417.293 ,417.293 ,0 ,0 ,0 ,47.659 ,47.659 ,46.733 ,0 ,926 ,0 ,-8.688 ,369.634 ,404.273 ,46.182 ,46.182 
186.,ZAVRČ,0 ,0 ,0 ,0 ,0 ,0 ,43.382 ,43.382 ,31.364 ,0 ,12.018 ,0 ,-159.877 ,-43.382 ,116.496 ,168.073 ,168.073 
187.,ZREČE,563.040 ,563.040 ,563.040 ,0 ,0 ,0 ,94.354 ,94.354 ,69.300 ,0 ,25.054 ,0 ,-12.694 ,468.686 ,481.380 ,55.892 ,55.892 
188.,ŽALEC,562.782 ,562.782 ,562.782 ,0 ,0 ,0 ,140.089 ,140.089 ,115.173 ,0 ,24.917 ,0 ,164.405 ,422.692 ,315.252 ,790.169 ,790.169 
189.,ŽELEZNIKI,0 ,0 ,0 ,0 ,0 ,0 ,107.812 ,107.812 ,63.401 ,0 ,44.411 ,0 ,-148.478 ,-107.812 ,-8.515 ,357.036 ,357.036 
190.,ŽETALE,0 ,0 ,0 ,0 ,0 ,0 ,18.787 ,18.787 ,0 ,0 ,18.787 ,0 ,-18.998 ,-18.787 ,211 ,29.361 ,29.361 
191.,ŽIRI,0 ,0 ,0 ,0 ,0 ,0 ,33.921 ,33.921 ,0 ,0 ,33.921 ,0 ,5.567 ,-33.921 ,-39.487 ,522.404 ,522.404 
192.,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,91.174 ,0 ,-88.938 ,823.415 ,823.415 
193.,ŽUŽEMBERK,533.216 ,533.216 ,533.216 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-252.032 ,533.216 ,785.562 ,215.824 ,215.824 
,SKUPAJ,35.690.918 ,35.690.918 ,29.950.692 ,708.922 ,5.031.304 ,0 ,13.423.142 ,13.423.142 ,9.203.093 ,169.272 ,4.050.777 ,0 ,14.863.575 ,22.267.775 ,32.529.837 ,180.230.092 ,180.230.092 
