,,,,,,,,,,,- V EUR,,,,,- V EUR
,,50,500,5001,5002,5003,55,550,5500,5501,5502,5503,IX.,X.,XI.,XII.
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov Banki Slovenije,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,
1.,OBČINA AJDOVŠČINA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.050,74 ","6.050,74 ","0,00 ","6.050,74 ","0,00 ","0,00 ","-235.510,43 ","-6.050,74 ","229.359,69 ","1.776.078,00 "
2.,OBČINA APAČE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","66.671,48 ","66.671,48 ","0,00 ","66.671,48 ","0,00 ","0,00 ","397.807,01 ","-66.671,48 ","-461.309,44 ","98.746,49 "
3.,OBČINA BELTINCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","584.867,10 ","0,00 ","-584.867,10 ","275.158,00 "
4.,OBČINA BENEDIKT,"333.800,00 ","333.800,00 ","333.800,00 ","0,00 ","0,00 ","405.394,00 ","405.394,00 ","0,00 ","405.394,00 ","0,00 ","0,00 ","8.190,00 ","-71.594,00 ","-67.265,00 ","39.439,00 "
5.,OBČINA BISTRICA OB SOTLI,"75.927,00 ","75.927,00 ","0,00 ","0,00 ","75.927,00 ","12.833,03 ","12.833,03 ","0,00 ","0,00 ","0,00 ","12.833,03 ","-77.260,63 ","63.093,97 ","140.354,60 ","128.257,00 "
6.,OBČINA BLED,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","87.099,81 ","87.099,81 ","0,00 ","87.099,81 ","0,00 ","0,00 ","-35.240,36 ","-87.099,81 ","10.926,76 ","187.144,50 "
7.,OBČINA BLOKE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","635,00 ","635,00 ","0,00 ","635,00 ","0,00 ","0,00 ","59.497,00 ","-635,00 ","-59.432,00 ","105.727,00 "
8.,OBČINA BOHINJ,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.126,00 ","19.126,00 ","0,00 ","0,00 ","19.126,00 ","0,00 ","-259.237,00 ","-19.126,00 ","275.566,00 ","622.964,00 "
9.,OBČINA BOROVNICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","313.113,57 ","0,00 ","-308.281,03 ","-11.806,00 "
10.,OBČINA BOVEC,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","340.564,00 ","0,00 ","-351.827,00 ","493.918,00 "
11.,OBČINA BRASLOVČE,"584.210,00 ","584.210,00 ","584.210,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-75.512,00 ","584.210,00 ","661.629,00 ","141.915,00 "
12.,OBČINA BRDA,"100.150,00 ","100.150,00 ","0,00 ","100.150,00 ","0,00 ","30.832,00 ","30.832,00 ","0,00 ","30.832,00 ","0,00 ","0,00 ","255.717,00 ","69.318,00 ","-212.471,00 ","232.121,00 "
13.,OBČINA BREZOVICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-849.647,28 ","0,00 ","849.647,28 ","3.083.017,00 "
14.,OBČINA BREŽICE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","142.979,00 ","142.979,00 ","0,00 ","93.394,00 ","0,00 ","49.585,00 ","-55.197,00 ","-142.979,00 ","-118.933,00 ","1.342.106,00 "
15.,OBČINA CANKOVA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.891,00 ","17.891,00 ","0,00 ","17.891,00 ","0,00 ","0,00 ","18.465,00 ","-17.891,00 ","-33.870,00 ","6.717,00 "
16.,MESTNA OBČINA CELJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.500.394,00 ","2.500.394,00 ","0,00 ","1.039.870,00 ","0,00 ","1.460.524,00 ","1.845.069,00 ","-2.500.394,00 ","-4.344.802,00 ","1.005.946,00 "
17.,OBČINA CERKLJE NA GORENJSKEM,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.032.694,00 ","0,00 ","-1.000.072,00 ","1.566.426,00 "
18.,OBČINA CERKNICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","241.181,00 ","0,00 ","-241.181,00 ","13.649,00 "
19.,OBČINA CERKNO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","24.001,00 ","24.001,00 ","0,00 ","18.215,00 ","0,00 ","5.786,00 ","603.316,00 ","-24.001,00 ","-589.926,00 ","245.872,78 "
20.,OBČINA CERKVENJAK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","28.716,00 ","28.716,00 ","0,00 ","28.716,00 ","0,00 ","0,00 ","237.630,00 ","-28.716,00 ","-266.346,00 ","123.607,00 "
21.,OBČINA CIRKULANE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","512.291,33 ","0,00 ","-512.291,33 ","0,00 "
22.,OBČINA ČRENŠOVCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-169.434,53 ","0,00 ","169.434,53 ","332.608,00 "
23.,OBČINA ČRNA NA KOROŠKEM,"761.733,00 ","761.733,00 ","620.511,00 ","0,00 ","141.222,00 ","40.543,00 ","40.543,00 ","0,00 ","40.543,00 ","0,00 ","0,00 ","18.120,00 ","721.190,00 ","734.423,00 ","1.830,00 "
24.,OBČINA ČRNOMELJ,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","117.339,47 ","117.339,47 ","0,00 ","0,00 ","0,00 ","117.339,47 ","-67.194,47 ","-117.339,47 ","-50.145,00 ","122.457,00 "
25.,OBČINA DESTRNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","60.012,00 ","60.012,00 ","0,00 ","46.122,00 ","0,00 ","13.890,00 ","604.508,00 ","-60.012,00 ","-669.283,00 ","317.978,00 "
26.,OBČINA DIVAČA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.743,82 ","12.743,82 ","0,00 ","12.743,82 ","0,00 ","0,00 ","-46.040,38 ","-12.743,82 ","33.296,56 ","780.100,32 "
27.,OBČINA DOBJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-2.702,00 ","0,00 ","239.528,00 ","64.940,00 "
28.,OBČINA DOBREPOLJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","558.752,83 ","0,00 ","-542.607,70 ","1.065.839,10 "
29.,OBČINA DOBRNA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","205.534,00 ","0,00 ","-205.534,00 ","100.654,00 "
30.,OBČINA DOBROVA-POLHOV GRADEC,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","97.840,44 ","0,00 ","-97.840,44 ","139.930,00 "
31.,OBČINA DOBROVNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","84.007,50 ","84.007,50 ","0,00 ","0,00 ","0,00 ","84.007,50 ","70.177,20 ","-84.007,50 ","-154.184,70 ","105.852,00 "
32.,OBČINA DOL PRI LJUBLJANI,"583.333,00 ","583.333,00 ","583.333,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","716.068,40 ","583.333,00 ","-132.735,40 ","434.300,00 "
33.,OBČINA DOLENJSKE TOPLICE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-200.301,00 ","0,00 ","200.301,00 ","118.289,00 "
34.,OBČINA DOMŽALE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","82.893,00 ","82.893,00 ","0,00 ","53.111,00 ","0,00 ","29.782,00 ","2.193.408,00 ","-82.893,00 ","-2.134.780,00 ","5.690.646,00 "
35.,OBČINA DORNAVA,"610.939,00 ","610.939,00 ","610.939,00 ","0,00 ","0,00 ","45.403,92 ","45.403,92 ","0,00 ","13.576,44 ","0,00 ","31.827,48 ","3.472,45 ","565.535,08 ","576.804,61 ","4.667,00 "
