,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,- V EUR
,,,I.,7,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7047,706,7060,71,710,7100,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,7210,7211,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,7312,7313,732,7320,74,740,7400,7401,7402,7403,7404,741,7410,7411,7412,7413,7414,7415,7416,7417,78,786,7860,787,7870
,,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70+71+72+73+74+78,70+71,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,"KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI",PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE
,,,,,"700+703+704
+706","DAVKI NA DOHODEK IN
DOBIČEK","DAVKI NA DOHODEK IN
DOBIČEK",DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,"710+711+712
+713+714",UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,GLOBE IN DRUGE DENARNE KAZNI ,GLOBE IN DRUGE DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,720+721+722,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,730+731+732,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,740+741,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,782+786+787,PREJETA SREDSTVA IZ PRORAČUNA EU IZ STRUKTURNIH SKLADOV,PREJETA SREDSTVA IZ PRORAČUNA EU IZ STRUKTURNIH SKLADOV,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ
"Zap.
št.",ID,OBČINA,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve,Dovoljenja za poslovanje in za opravljanje dejavnosti,Drugi davki na uporabo blaga in storitev,,Drugi davki,,,Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki,Prihodki od obresti,Prihodki od premoženja,,Upravne takse in pristojbine,,Globe in druge denarne kazni,,Prihodki od prodaje blaga in storitev,,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,Prihodki od prodaje blagovnih rezerv,Prihodki od prodaje drugih zalog,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje premoženjskih pravic in drugih neopredmetenih sredstev,,,Prejete donacije in darila od domačih pravnih oseb,Prejete donacije in darila od domačih fizičnih oseb,,Prejete donacije in darila od tujih nevladnih organizacij in fundacij,Prejete donacije in darila od tujih vlad in vladnih institucij,Prejete donacije in darila od tujih pravnih oseb,Prejete donacije in darila od tujih fizičnih oseb,,Donacije za odpravo posledic naravnih nesreč,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz občinskih proračunov,Prejeta sredstva iz skladov socialnega zavarovanja,Prejeta sredstva iz javnih skladov,Prejeta sredstva iz javnih agencij,,Prejeta sredstva iz državnega proračuna iz predpristopnih in popristopnih pomoči Evropske unije,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje skupne kmetijske politike,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz strukturnih skladov,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz kohezijskega sklada,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje centraliziranih in drugih programov EU,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz naslova pavšalnih povračil,Druga prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije,Prejeta sredstva iz državnega proračuna - iz sredstev drugih evropskih institucij,,,Ostala prejeta sredstva iz proračuna EU,,Prejeta sredstva od drugih evropskih institucij
1.,1 ,OBČINA AJDOVŠČINA,"16,354,289.74 ","14,510,030.58 ","12,112,979.42 ","10,351,155.00 ","10,351,155.00 ","1,404,491.49 ","1,196,040.36 ","1,286.71 ","95,397.10 ","111,767.32 ","354,434.11 ","3,349.21 ",0.00 ,"351,084.90 ","2,898.82 ","2,898.82 ","2,397,051.16 ","2,055,265.16 ","228,631.52 ","20,309.98 ","1,806,323.66 ","10,342.30 ","10,342.30 ","15,286.69 ","15,286.69 ","37,189.13 ","37,189.13 ","278,967.88 ","278,967.88 ","93,089.64 ","4,546.49 ","2,102.49 ",0.00 ,"2,444.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"88,543.15 ","6,873.00 ","81,670.15 ",0.00 ,"25,763.51 ","25,397.51 ","25,397.51 ",0.00 ,366.00 ,366.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,556,910.73 ","1,066,731.10 ","946,623.17 ","120,107.93 ",0.00 ,0.00 ,0.00 ,"490,179.63 ",0.00 ,0.00 ,"490,179.63 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"168,495.28 ",0.00 ,0.00 ,"168,495.28 ","168,495.28 "
2.,195 ,OBČINA APAČE,"5,231,686.02 ","2,678,183.44 ","2,431,114.04 ","2,238,992.00 ","2,238,992.00 ","103,788.52 ","81,883.43 ",471.12 ,"3,623.35 ","17,810.62 ","88,333.52 ","1,979.54 ",0.00 ,"86,353.98 ",0.00 ,0.00 ,"247,069.40 ","116,814.43 ",0.00 ,"3,608.92 ","113,205.51 ","1,593.96 ","1,593.96 ","2,059.73 ","2,059.73 ","26,290.33 ","26,290.33 ","100,310.95 ","100,310.95 ","8,998.41 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"8,998.41 ",0.00 ,"8,998.41 ",0.00 ,"3,280.29 ","3,280.29 ",0.00 ,"3,280.29 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,541,223.88 ","424,444.26 ","424,444.26 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,116,779.62 ",0.00 ,0.00 ,"337,575.62 ","1,779,204.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3.,2 ,OBČINA BELTINCI,"6,625,377.31 ","5,638,842.14 ","4,992,114.41 ","4,497,280.00 ","4,497,280.00 ","392,879.17 ","343,481.38 ",71.09 ,"3,833.33 ","45,493.37 ","102,036.01 ","11,265.84 ",0.00 ,"90,770.17 ",-80.77 ,-80.77 ,"646,727.73 ","358,412.38 ","13,193.89 ",-57.15 ,"345,275.64 ","3,844.73 ","3,844.73 ","2,927.46 ","2,927.46 ","7,627.36 ","7,627.36 ","273,915.80 ","273,915.80 ","14,616.40 ",530.86 ,0.00 ,0.00 ,530.86 ,0.00 ,0.00 ,0.00 ,0.00 ,"14,085.54 ","9,212.54 ","4,873.00 ",0.00 ,100.00 ,100.00 ,0.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"971,818.77 ","251,391.57 ","185,971.41 ",0.00 ,0.00 ,"65,420.16 ",0.00 ,"720,427.20 ",0.00 ,0.00 ,0.00 ,"698,061.57 ",0.00 ,0.00 ,"22,365.63 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
4.,148 ,OBČINA BENEDIKT,"2,024,211.17 ","1,706,578.58 ","1,581,433.54 ","1,472,866.00 ","1,472,866.00 ","56,529.85 ","39,978.30 ",54.53 ,"4,466.12 ","12,030.90 ","52,037.69 ",240.42 ,0.00 ,"51,797.27 ",0.00 ,0.00 ,"125,145.04 ","47,038.43 ",128.76 ,1.37 ,"46,908.30 ","2,029.36 ","2,029.36 ","2,515.26 ","2,515.26 ","52,060.08 ","52,060.08 ","21,501.91 ","21,501.91 ","2,117.34 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,117.34 ",0.00 ,"2,117.34 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"315,515.25 ","105,214.28 ","100,180.00 ","5,034.28 ",0.00 ,0.00 ,0.00 ,"210,300.97 ",0.00 ,0.00 ,"210,300.97 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5.,149 ,OBČINA BISTRICA OB SOTLI,"2,234,529.93 ","1,440,448.45 ","1,316,336.29 ","1,228,638.00 ","1,228,638.00 ","55,555.44 ","47,814.39 ",40.56 ,"3,048.66 ","4,651.83 ","32,142.85 ",150.00 ,0.00 ,"31,992.85 ",0.00 ,0.00 ,"124,112.16 ","70,941.35 ",0.00 ,110.43 ,"70,830.92 ",339.90 ,339.90 ,471.23 ,471.23 ,"6,705.80 ","6,705.80 ","45,653.88 ","45,653.88 ","29,085.16 ","29,085.16 ","29,085.16 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"764,996.32 ","91,280.83 ","91,280.83 ",0.00 ,0.00 ,0.00 ,0.00 ,"673,715.49 ",0.00 ,0.00 ,"673,513.09 ",0.00 ,0.00 ,0.00 ,0.00 ,202.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
