30.,DOL PRI LJUBLJANI,1.781.743 ,538.854 ,94.342 ,10.503 ,411.534 ,57.081 ,9.869 ,33.500 ,3.055 ,2.838 ,195.155 ,8.509 ,0 ,101.527 ,0 ,0 ,0 ,0 ,0 ,22.475 ,553.768 ,20.965 ,0 ,20.965 ,182.319 ,0 ,0 ,0 ,0 ,2.429 ,179.891 ,90.974 ,90.974 ,259.510 ,0 ,12.402 ,0 ,247.108 ,619.705 ,619.705 ,0 ,0 ,21.528 ,1.252 ,413.120 ,66.274 ,45.568 ,0 ,71.962 ,69.417 ,69.417 ,0 ,0 ,39.234 ,0 ,0 ,0 ,0 ,30.183 ,0 ,472.905 
31.,DOLENJSKE TOPLICE,1.260.240 ,230.784 ,78.706 ,10.474 ,133.258 ,25.505 ,0 ,34.619 ,1.582 ,534 ,34.527 ,6.092 ,2.086 ,28.313 ,0 ,0 ,0 ,0 ,0 ,8.346 ,490.119 ,80.446 ,20.260 ,60.186 ,75.092 ,0 ,0 ,0 ,0 ,1.778 ,73.314 ,79.390 ,79.390 ,255.191 ,0 ,9.957 ,0 ,245.235 ,357.566 ,357.566 ,8.834 ,0 ,15.185 ,1.723 ,132.073 ,61.396 ,7.891 ,0 ,130.462 ,181.773 ,181.773 ,0 ,0 ,0 ,152.041 ,0 ,0 ,0 ,29.732 ,0 ,74.604 
32.,DOMŽALE,11.228.397 ,2.553.676 ,662.965 ,93.361 ,1.703.585 ,299.554 ,6.556 ,76.757 ,6.510 ,7.482 ,840.144 ,13.779 ,45.906 ,406.898 ,57.490 ,29.194 ,0 ,28.297 ,0 ,36.275 ,4.612.302 ,205.525 ,0 ,205.525 ,2.024.862 ,0 ,0 ,45.481 ,0 ,62.164 ,1.917.217 ,543.866 ,543.866 ,1.838.049 ,711.563 ,0 ,0 ,1.126.486 ,3.438.270 ,3.438.270 ,0 ,0 ,115.548 ,0 ,3.016.433 ,4.974 ,81.873 ,0 ,219.442 ,624.149 ,624.149 ,94.162 ,0 ,127.650 ,29.791 ,0 ,0 ,0 ,372.546 ,0 ,33.705 
33.,DORNAVA,1.500.734 ,236.613 ,51.256 ,7.148 ,173.014 ,7.741 ,0 ,16.358 ,0 ,1.982 ,69.659 ,0 ,0 ,77.274 ,5.195 ,0 ,5.195 ,0 ,0 ,0 ,464.280 ,87.740 ,0 ,87.740 ,197.989 ,0 ,0 ,1.052 ,0 ,0 ,196.937 ,77.813 ,77.813 ,100.739 ,54.528 ,0 ,0 ,46.211 ,799.841 ,799.841 ,0 ,0 ,9.318 ,2.479 ,760.729 ,4.478 ,2.278 ,0 ,20.560 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.412 
34.,DRAVOGRAD,3.897.634 ,849.024 ,210.361 ,29.978 ,580.963 ,36.659 ,209 ,51.611 ,6.572 ,4.615 ,340.945 ,5.633 ,0 ,134.719 ,6.397 ,6.397 ,0 ,0 ,0 ,21.324 ,1.186.175 ,28.639 ,0 ,28.639 ,249.583 ,0 ,15.348 ,1.531 ,0 ,0 ,232.703 ,177.032 ,177.032 ,730.921 ,42.268 ,26.127 ,16.596 ,645.931 ,1.750.296 ,1.750.296 ,42.092 ,0 ,19.884 ,12.085 ,1.275.943 ,296.820 ,59.973 ,0 ,43.499 ,112.139 ,112.139 ,0 ,0 ,1.565 ,6.251 ,0 ,0 ,0 ,104.323 ,0 ,112.823 
35.,DUPLEK,2.368.444 ,321.157 ,122.429 ,17.510 ,161.922 ,58.354 ,5.892 ,52.625 ,3.055 ,5.371 ,3.977 ,0 ,0 ,32.649 ,7.286 ,7.286 ,0 ,0 ,0 ,12.010 ,966.854 ,49.908 ,0 ,49.908 ,225.747 ,0 ,0 ,0 ,0 ,0 ,225.747 ,75.797 ,75.797 ,615.402 ,0 ,36.989 ,2.086 ,576.327 ,1.006.276 ,1.006.276 ,0 ,32.006 ,23.239 ,0 ,803.176 ,110.199 ,3.810 ,0 ,33.847 ,74.157 ,74.157 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,65.811 ,0 ,61.960 
36.,GORENJA VAS - POLJANE,2.608.204 ,406.839 ,102.182 ,14.530 ,268.307 ,35.023 ,27.207 ,103.484 ,947 ,7.616 ,12.903 ,300 ,3.063 ,77.762 ,6.493 ,5.896 ,0 ,597 ,0 ,15.327 ,985.474 ,64.271 ,0 ,64.271 ,510.837 ,0 ,0 ,10.595 ,0 ,0 ,500.242 ,69.888 ,69.888 ,340.477 ,169.099 ,0 ,0 ,171.378 ,880.525 ,880.525 ,34.306 ,12.519 ,26.260 ,835 ,596.382 ,108.429 ,80.387 ,0 ,21.407 ,335.366 ,335.366 ,273.798 ,0 ,30.967 ,0 ,0 ,0 ,13.487 ,17.113 ,0 ,530.692 
37.,GORIŠNICA,2.674.165 ,449.654 ,99.921 ,13.779 ,333.867 ,68.411 ,0 ,23.252 ,0 ,10.566 ,1.915 ,0 ,0 ,229.724 ,0 ,0 ,0 ,0 ,0 ,2.086 ,1.008.262 ,333.705 ,0 ,333.705 ,326.223 ,0 ,0 ,0 ,0 ,0 ,326.223 ,157.219 ,157.219 ,191.116 ,6.710 ,54.891 ,0 ,129.515 ,1.187.456 ,1.187.456 ,0 ,0 ,7.549 ,1.160 ,1.053.585 ,106.823 ,0 ,0 ,18.340 ,28.793 ,28.793 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.793 ,0 ,90.048 
38.,GORNJA RADGONA,5.264.104 ,1.234.781 ,446.453 ,77.813 ,684.281 ,19.446 ,3.760 ,376.273 ,6.702 ,2.103 ,120.798 ,0 ,0 ,155.199 ,0 ,0 ,0 ,0 ,0 ,26.235 ,2.060.303 ,348.994 ,0 ,348.994 ,234.343 ,0 ,0 ,0 ,0 ,0 ,234.343 ,334.172 ,334.172 ,1.142.793 ,138.833 ,91.500 ,0 ,912.460 ,1.875.547 ,1.875.547 ,0 ,18.778 ,30.633 ,0 ,1.381.001 ,355.817 ,0 ,0 ,89.317 ,93.474 ,93.474 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,93.474 ,0 ,377.245 
39.,GORNJI GRAD,1.252.520 ,613.207 ,74.937 ,9.907 ,522.079 ,27.061 ,9.898 ,37.815 ,3.263 ,2.187 ,370.214 ,4.382 ,6.677 ,60.583 ,6.284 ,4.194 ,2.091 ,0 ,0 ,0 ,340.106 ,28.885 ,0 ,28.885 ,209.865 ,0 ,1.314 ,11.067 ,0 ,0 ,197.484 ,55.654 ,55.654 ,45.702 ,6.385 ,8.392 ,0 ,30.926 ,276.736 ,276.736 ,12.894 ,3.397 ,25.472 ,11.167 ,183.388 ,21.119 ,0 ,0 ,19.300 ,22.471 ,22.471 ,0 ,0 ,4.089 ,0 ,0 ,0 ,0 ,18.382 ,0 ,12.043 
40.,GORNJI PETROVCI,1.265.486 ,250.605 ,86.021 ,10.966 ,153.468 ,47.897 ,8.842 ,24.107 ,17.205 ,2.166 ,28.438 ,0 ,79 ,24.733 ,150 ,150 ,0 ,0 ,0 ,0 ,441.675 ,132.023 ,0 ,132.023 ,140.381 ,40.260 ,238 ,14.388 ,0 ,0 ,85.495 ,79.227 ,79.227 ,90.043 ,5.688 ,0 ,2.203 ,82.152 ,562.773 ,562.773 ,11.459 ,14.985 ,28.781 ,0 ,222.759 ,259.448 ,3.973 ,0 ,21.370 ,10.432 ,10.432 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.432 ,0 ,6.013 
41.,GRAD,1.242.831 ,760.758 ,56.760 ,29.636 ,657.549 ,34.765 ,12.769 ,36.814 ,2.500 ,3.893 ,545.072 ,4.402 ,584 ,16.750 ,121 ,121 ,0 ,0 ,0 ,16.692 ,310.870 ,98.414 ,0 ,98.414 ,115.077 ,0 ,480 ,417 ,0 ,0 ,114.180 ,37.452 ,37.452 ,59.927 ,0 ,14.981 ,1.698 ,43.248 ,162.481 ,162.481 ,0 ,0 ,50.467 ,2.074 ,29.219 ,65.590 ,0 ,0 ,15.131 ,8.721 ,8.721 ,0 ,0 ,4.912 ,0 ,0 ,0 ,0 ,3.810 ,0 ,37.844 
42.,GROSUPLJE,7.579.415 ,987.949 ,314.259 ,44.033 ,544.358 ,84.806 ,111.521 ,46.219 ,36.342 ,371 ,25.300 ,44.613 ,0 ,195.184 ,42.055 ,15.377 ,0 ,26.678 ,0 ,43.244 ,2.493.290 ,0 ,0 ,0 ,237.857 ,2.783 ,0 ,0 ,0 ,1.294 ,233.780 ,312.473 ,312.473 ,1.942.960 ,182.186 ,52.992 ,15.110 ,1.692.672 ,3.564.409 ,3.564.409 ,103.326 ,0 ,921.482 ,659 ,1.583.759 ,233.713 ,496.674 ,0 ,224.796 ,533.767 ,533.767 ,31.138 ,0 ,63.065 ,241.733 ,0 ,0 ,24.132 ,173.698 ,0 ,-267.868 
43.,HAJDINA,1.511.075 ,446.011 ,72.329 ,9.727 ,363.954 ,27.892 ,647 ,44.296 ,3.401 ,1.836 ,122.150 ,1.723 ,0 ,162.010 ,0 ,0 ,0 ,0 ,0 ,0 ,539.960 ,158.701 ,0 ,158.701 ,137.439 ,0 ,0 ,0 ,0 ,0 ,137.439 ,143.244 ,143.244 ,100.576 ,0 ,20.760 ,0 ,79.816 ,433.333 ,433.333 ,25.038 ,0 ,8.650 ,0 ,91.491 ,263.099 ,0 ,0 ,45.055 ,91.771 ,91.771 ,0 ,0 ,81.923 ,0 ,0 ,0 ,0 ,9.848 ,0 ,91.099 
44.,HOČE - SLIVNICA,4.016.471 ,452.650 ,185.541 ,27.170 ,221.620 ,64.004 ,0 ,52.066 ,3.434 ,4.832 ,7.052 ,1.590 ,0 ,88.641 ,997 ,997 ,0 ,0 ,0 ,17.322 ,1.965.189 ,273.135 ,0 ,273.135 ,139.902 ,0 ,0 ,0 ,0 ,0 ,139.902 ,172.751 ,172.751 ,1.379.402 ,0 ,40.515 ,0 ,1.338.888 ,1.322.759 ,1.322.759 ,0 ,0 ,0 ,10.482 ,12.398 ,1.050.159 ,0 ,0 ,249.720 ,275.872 ,275.872 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,275.872 ,0 ,-532.891 
45.,HODOŠ,322.129 ,83.893 ,22.146 ,3.005 ,58.742 ,33.429 ,6.823 ,4.991 ,3.230 ,2.233 ,805 ,0 ,0 ,7.232 ,0 ,0 ,0 ,0 ,0 ,0 ,96.436 ,34.059 ,0 ,34.059 ,19.116 ,10.157 ,92 ,2.391 ,0 ,0 ,6.476 ,18.599 ,18.599 ,24.662 ,5.800 ,0 ,351 ,18.511 ,129.281 ,129.281 ,0 ,0 ,6.965 ,334 ,50.075 ,52.491 ,11.709 ,0 ,7.707 ,12.519 ,12.519 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,2.850 
46.,HORJUL,1.206.752 ,235.528 ,36.972 ,5.129 ,185.499 ,22.851 ,317 ,28.334 ,1.089 ,2.007 ,96.670 ,0 ,0 ,34.231 ,0 ,0 ,0 ,0 ,0 ,7.929 ,334.414 ,14.806 ,0 ,14.806 ,215.895 ,0 ,7.303 ,0 ,0 ,0 ,208.592 ,43.398 ,43.398 ,60.315 ,0 ,4.757 ,0 ,55.558 ,616.646 ,616.646 ,0 ,0 ,7.344 ,0 ,476.223 ,129.244 ,0 ,0 ,3.835 ,20.164 ,20.164 ,0 ,0 ,20.164 ,0 ,0 ,0 ,0 ,0 ,0 ,264.810 
47.,HRASTNIK,4.217.326 ,1.133.671 ,306.134 ,40.961 ,758.943 ,195.890 ,7.340 ,84.089 ,4.006 ,9.043 ,365.194 ,5.404 ,6.464 ,81.514 ,19.287 ,8.171 ,0 ,11.117 ,0 ,8.346 ,1.625.025 ,31.485 ,0 ,31.485 ,713.428 ,0 ,0 ,3.130 ,0 ,20.109 ,690.189 ,180.688 ,180.688 ,699.424 ,230 ,0 ,95.652 ,603.543 ,1.310.282 ,1.310.282 ,62.715 ,0 ,24.203 ,2.212 ,679.945 ,380.045 ,15.982 ,0 ,145.180 ,148.348 ,148.348 ,0 ,0 ,0 ,22.509 ,0 ,5.592 ,0 ,120.247 ,0 ,26.448 
48.,HRPELJE - KOZINA,1.860.278 ,328.426 ,103.701 ,14.559 ,209.047 ,28.497 ,5.767 ,16.725 ,0 ,4.903 ,22.071 ,204 ,0 ,130.880 ,1.118 ,63 ,0 ,1.056 ,0 ,0 ,893.277 ,27.692 ,8.225 ,19.467 ,242.706 ,1.657 ,0 ,30.821 ,0 ,0 ,210.228 ,115.578 ,115.578 ,507.303 ,87.932 ,2.612 ,0 ,416.758 ,638.575 ,638.575 ,0 ,1.878 ,41.066 ,0 ,460.691 ,12.944 ,57.470 ,192 ,64.334 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,253.931 
49.,IDRIJA,4.251.465 ,835.086 ,234.431 ,34.084 ,531.343 ,111.304 ,242 ,50.801 ,6.610 ,5.642 ,42.505 ,227.487 ,0 ,86.751 ,6.268 ,6.268 ,0 ,0 ,0 ,28.960 ,2.871.440 ,1.636 ,0 ,1.636 ,37.268 ,497 ,0 ,0 ,0 ,4.206 ,32.566 ,9.452 ,9.452 ,2.823.085 ,484.210 ,15.632 ,0 ,2.323.243 ,419.700 ,419.700 ,29.861 ,0 ,10.979 ,0 ,0 ,378.860 ,0 ,0 ,0 ,125.238 ,125.238 ,67.213 ,0 ,0 ,0 ,2.032 ,0 ,0 ,55.992 ,0 ,405.112 
50.,IG,1.453.643 ,526.619 ,90.561 ,12.076 ,423.281 ,79.131 ,20.126 ,102.237 ,6.293 ,3.409 ,114.271 ,1.494 ,0 ,96.319 ,0 ,0 ,0 ,0 ,0 ,701 ,666.917 ,13.837 ,0 ,13.837 ,423.957 ,0 ,0 ,71.253 ,0 ,0 ,352.704 ,44.513 ,44.513 ,184.610 ,0 ,15.982 ,0 ,168.628 ,201.168 ,201.168 ,11.058 ,0 ,18.745 ,0 ,127.762 ,0 ,14.851 ,0 ,28.751 ,58.938 ,58.938 ,0 ,0 ,31.147 ,27.792 ,0 ,0 ,0 ,0 ,0 ,396.616 
51.,ILIRSKA BISTRICA,6.255.058 ,1.417.368 ,221.528 ,31.163 ,1.117.948 ,71.215 ,0 ,216.567 ,5.016 ,3.138 ,627.249 ,25.780 ,0 ,168.983 ,14.180 ,8.287 ,0 ,5.892 ,0 ,32.549 ,2.116.692 ,199.875 ,146.804 ,53.071 ,523.393 ,0 ,0 ,0 ,0 ,13.837 ,509.556 ,86.158 ,86.158 ,1.307.265 ,103.718 ,0 ,17.510 ,1.186.037 ,2.449.341 ,2.449.341 ,3.405 ,0 ,97.079 ,0 ,2.155.337 ,75.551 ,4.290 ,0 ,113.679 ,271.657 ,271.657 ,101.431 ,0 ,18.787 ,137.490 ,0 ,0 ,3.347 ,10.603 ,0 ,-163.846 
52.,IVANČNA GORICA,4.313.136 ,837.473 ,187.377 ,26.869 ,473.761 ,54.269 ,117 ,15.778 ,6.564 ,759 ,218.227 ,10.324 ,0 ,167.722 ,668 ,0 ,0 ,668 ,0 ,148.798 ,1.818.661 ,59.168 ,0 ,59.168 ,1.055.742 ,0 ,0 ,3.981 ,0 ,0 ,1.051.761 ,234.018 ,234.018 ,469.734 ,133.429 ,47.008 ,0 ,289.296 ,1.460.983 ,1.460.983 ,0 ,0 ,6.184 ,6.276 ,1.155.800 ,78.864 ,89.134 ,0 ,124.725 ,196.019 ,196.019 ,18.077 ,0 ,104.661 ,0 ,0 ,0 ,0 ,73.281 ,0 ,547.388 
53.,IZOLA,8.264.872 ,2.118.707 ,815.632 ,108.484 ,1.137.961 ,275.146 ,12.306 ,154.119 ,12.277 ,25.868 ,122.409 ,14.584 ,26.365 ,494.888 ,14.902 ,0 ,0 ,14.902 ,0 ,41.729 ,2.610.149 ,19.195 ,0 ,19.195 ,141.020 ,0 ,0 ,0 ,0 ,0 ,141.020 ,361.521 ,361.521 ,2.088.412 ,99.616 ,87.302 ,31.935 ,1.869.559 ,2.477.066 ,2.477.066 ,0 ,12.873 ,100.334 ,54.394 ,1.399.232 ,236.939 ,487.122 ,0 ,186.171 ,1.058.951 ,1.058.951 ,54.966 ,267.914 ,5.571 ,318.177 ,0 ,97.417 ,58.271 ,256.635 ,0 ,-366.583 
54.,JESENICE,7.151.582 ,2.357.349 ,597.989 ,84.660 ,1.645.022 ,208.154 ,1.986 ,149.675 ,11.238 ,7.574 ,953.313 ,13.333 ,0 ,299.750 ,19.283 ,4.945 ,0 ,14.338 ,0 ,10.395 ,3.221.612 ,49.528 ,0 ,49.528 ,1.403.772 ,0 ,0 ,90.820 ,0 ,835 ,1.312.118 ,93.240 ,93.240 ,1.675.071 ,29.256 ,0 ,55.775 ,1.590.039 ,1.254.519 ,1.254.519 ,142.422 ,0 ,41.996 ,6.944 ,568.544 ,485.900 ,8.713 ,0 ,0 ,318.102 ,318.102 ,11.780 ,0 ,0 ,0 ,0 ,0 ,18.290 ,288.032 ,0 ,459.827 
55.,JEZERSKO,352.796 ,79.319 ,12.690 ,1.945 ,55.563 ,18.223 ,2.967 ,4.181 ,2.896 ,2.191 ,751 ,526 ,0 ,23.827 ,0 ,0 ,0 ,0 ,0 ,9.122 ,127.199 ,5.838 ,0 ,5.838 ,39.810 ,0 ,0 ,0 ,0 ,0 ,39.810 ,14.380 ,14.380 ,67.172 ,0 ,876 ,0 ,66.295 ,140.319 ,140.319 ,0 ,0 ,1.728 ,154 ,122.734 ,0 ,1.519 ,0 ,14.184 ,5.959 ,5.959 ,0 ,0 ,5.959 ,0 ,0 ,0 ,0 ,0 ,0 ,36.776 
56.,JURŠINCI,1.128.422 ,203.113 ,42.376 ,5.734 ,151.248 ,14.939 ,10.729 ,12.039 ,530 ,2.942 ,79.332 ,0 ,0 ,30.738 ,0 ,0 ,0 ,0 ,0 ,3.756 ,479.131 ,31.113 ,0 ,31.113 ,349.470 ,0 ,0 ,0 ,0 ,0 ,349.470 ,39.000 ,39.000 ,59.548 ,7.140 ,28.660 ,0 ,23.748 ,441.767 ,441.767 ,0 ,0 ,434 ,3.860 ,434.018 ,0 ,0 ,0 ,3.455 ,4.411 ,4.411 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.411 ,0 ,13 
57.,KAMNIK,9.137.944 ,1.184.685 ,553.234 ,79.736 ,455.266 ,117.163 ,13.458 ,60.411 ,7.165 ,5.809 ,46.733 ,16.471 ,0 ,188.057 ,9.468 ,9.468 ,0 ,0 ,0 ,86.980 ,4.839.564 ,214.054 ,0 ,214.054 ,581.564 ,0 ,0 ,0 ,0 ,0 ,581.564 ,413.312 ,413.312 ,3.630.633 ,158.187 ,120.694 ,33.162 ,3.318.590 ,271.541 ,271.541 ,0 ,11.309 ,24.320 ,0 ,115.820 ,66.195 ,0 ,0 ,53.898 ,2.842.155 ,2.842.155 ,0 ,0 ,0 ,3.176 ,0 ,153.217 ,0 ,2.685.762 ,0 ,668.073 
58.,KANAL,2.914.426 ,811.288 ,156.735 ,21.524 ,617.848 ,37.848 ,5.454 ,121.582 ,5.320 ,6.839 ,316.429 ,5.325 ,5.625 ,113.424 ,0 ,0 ,0 ,0 ,0 ,15.181 ,900.843 ,14.626 ,0 ,14.626 ,264.843 ,0 ,0 ,0 ,0 ,0 ,264.843 ,177.120 ,177.120 ,444.254 ,26.014 ,33.767 ,25.038 ,359.435 ,984.498 ,984.498 ,0 ,8.091 ,23.469 ,0 ,839.772 ,1.970 ,10.470 ,0 ,100.726 ,217.798 ,217.798 ,2.504 ,0 ,45.276 ,30.016 ,0 ,0 ,0 ,140.002 ,0 ,245.927 
59.,KIDRIČEVO,2.396.779 ,589.155 ,123.581 ,17.443 ,433.108 ,29.236 ,7.958 ,147.125 ,3.564 ,3.201 ,80.195 ,0 ,0 ,161.830 ,0 ,0 ,0 ,0 ,0 ,15.023 ,1.094.967 ,74.737 ,0 ,74.737 ,734.952 ,0 ,0 ,0 ,0 ,0 ,734.952 ,121.845 ,121.845 ,163.433 ,0 ,41.496 ,0 ,121.937 ,565.757 ,565.757 ,19.137 ,0 ,6.389 ,2.483 ,138.754 ,296.895 ,10.649 ,0 ,91.450 ,146.900 ,146.900 ,0 ,0 ,36.213 ,35.098 ,0 ,0 ,4.173 ,71.415 ,0 ,527.283 
60.,KOBARID,2.911.138 ,745.835 ,207.603 ,33.797 ,481.835 ,59.481 ,0 ,152.379 ,1.515 ,4.332 ,134.335 ,74.291 ,0 ,55.504 ,9.372 ,9.372 ,0 ,0 ,0 ,13.228 ,754.548 ,81.176 ,0 ,81.176 ,259.756 ,0 ,1.794 ,14.497 ,0 ,4.198 ,239.267 ,72.338 ,72.338 ,341.279 ,20.865 ,16.813 ,0 ,303.601 ,811.200 ,811.200 ,0 ,0 ,1.481 ,1.757 ,0 ,731.188 ,38.754 ,0 ,38.020 ,599.554 ,599.554 ,0 ,0 ,0 ,515.319 ,0 ,0 ,0 ,84.235 ,0 ,-6.026 
61.,KOBILJE,449.595 ,116.479 ,26.314 ,3.280 ,64.814 ,16.174 ,3.438 ,18.682 ,2.178 ,2.458 ,12.782 ,184 ,42 ,8.876 ,19.646 ,7.995 ,0 ,11.651 ,0 ,2.424 ,153.192 ,0 ,0 ,0 ,65.999 ,0 ,417 ,0 ,0 ,0 ,65.582 ,25.935 ,25.935 ,61.259 ,0 ,1.744 ,805 ,58.709 ,178.438 ,178.438 ,0 ,0 ,10.549 ,0 ,154.148 ,13.741 ,0 ,0 ,0 ,1.486 ,1.486 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.486 ,0 ,35.416 
62.,KOČEVJE,7.098.999 ,1.562.160 ,367.101 ,52.420 ,1.124.733 ,110.658 ,54.707 ,122.546 ,8.830 ,3.664 ,509.285 ,0 ,22.964 ,292.080 ,171 ,171 ,0 ,0 ,0 ,17.735 ,2.377.112 ,94.191 ,0 ,94.191 ,432.574 ,0 ,27.750 ,1.248 ,267 ,11.546 ,391.763 ,249.800 ,249.800 ,1.600.547 ,25.605 ,123.506 ,45.635 ,1.405.800 ,2.635.111 ,2.635.111 ,0 ,0 ,46.854 ,563 ,2.168.415 ,205.049 ,34.710 ,0 ,179.519 ,524.616 ,524.616 ,76.302 ,13.166 ,52.399 ,154.444 ,0 ,0 ,0 ,228.305 ,0 ,-31.168 
63.,KOMEN,1.348.022 ,301.899 ,66.992 ,9.715 ,215.949 ,35.770 ,2.704 ,57.737 ,0 ,4.348 ,53.067 ,3.230 ,0 ,59.093 ,3.610 ,0 ,0 ,3.610 ,0 ,5.633 ,654.369 ,1.861 ,835 ,1.027 ,292.151 ,0 ,0 ,0 ,0 ,0 ,292.151 ,88.458 ,88.458 ,271.900 ,115.265 ,8.947 ,0 ,147.688 ,384.660 ,384.660 ,0 ,0 ,10.228 ,0 ,196.420 ,124.274 ,0 ,0 ,53.739 ,7.094 ,7.094 ,0 ,0 ,7.094 ,0 ,0 ,0 ,0 ,0 ,0 ,9.831 
64.,KOMENDA,1.858.275 ,258.471 ,115.290 ,16.291 ,99.654 ,22.142 ,1.319 ,16.758 ,5.195 ,1.886 ,7.958 ,321 ,0 ,44.074 ,11.430 ,11.430 ,0 ,0 ,0 ,15.807 ,719.458 ,42.418 ,0 ,42.418 ,104.448 ,0 ,0 ,0 ,0 ,0 ,104.448 ,75.835 ,75.835 ,496.758 ,0 ,18.674 ,3.188 ,474.896 ,833.016 ,833.016 ,0 ,0 ,5.333 ,0 ,709.852 ,17.284 ,44.988 ,0 ,55.558 ,47.329 ,47.329 ,0 ,0 ,9.598 ,0 ,0 ,0 ,0 ,37.732 ,0 ,-154.081 
65.,KOPER (M),24.414.488 ,3.284.172 ,1.309.335 ,182.616 ,1.515.081 ,244.254 ,41.746 ,118.127 ,45.018 ,18.382 ,269.513 ,19.233 ,0 ,758.809 ,110.929 ,35.854 ,0 ,75.075 ,0 ,166.212 ,11.600.876 ,208.834 ,1.373 ,207.461 ,1.383.571 ,0 ,0 ,0 ,0 ,0 ,1.383.571 ,1.464.522 ,1.464.522 ,8.543.949 ,408.788 ,227.679 ,740.795 ,7.166.688 ,9.183.667 ,9.183.667 ,16.116 ,32.328 ,445.815 ,33.463 ,5.494.312 ,1.148.231 ,1.281.155 ,0 ,732.248 ,345.773 ,345.773 ,0 ,10.220 ,73.377 ,0 ,0 ,182.465 ,0 ,79.711 ,0 ,287.127 
66.,KOSTEL,574.871 ,220.806 ,103.914 ,2.320 ,111.292 ,29.720 ,5.608 ,17.693 ,0 ,2.942 ,48.861 ,1.765 ,0 ,4.703 ,150 ,0 ,0 ,150 ,0 ,3.130 ,130.763 ,0 ,0 ,0 ,76.348 ,0 ,0 ,200 ,0 ,0 ,76.148 ,33.070 ,33.070 ,21.345 ,0 ,0 ,0 ,21.345 ,223.302 ,223.302 ,21.699 ,0 ,559 ,0 ,75.405 ,125.638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.957 
67.,KOZJE,1.881.126 ,147.367 ,81.823 ,7.924 ,48.439 ,1.936 ,20.264 ,8.091 ,0 ,1.502 ,4.048 ,0 ,726 ,11.872 ,0 ,0 ,0 ,0 ,0 ,9.180 ,771.374 ,168.394 ,11.163 ,157.232 ,112.260 ,43.144 ,0 ,68.428 ,0 ,0 ,689 ,51.949 ,51.949 ,438.771 ,58.421 ,0 ,0 ,380.350 ,899.750 ,899.750 ,0 ,0 ,1.686 ,0 ,703.785 ,182.566 ,0 ,0 ,11.713 ,62.636 ,62.636 ,62.636 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16.721 
68.,KRANJ (M),18.009.326 ,5.810.349 ,1.043.878 ,147.550 ,4.577.191 ,608.955 ,61.163 ,441.662 ,19.692 ,14.200 ,1.489.910 ,54.398 ,1.479.332 ,407.878 ,0 ,0 ,0 ,0 ,0 ,41.729 ,8.591.007 ,191.375 ,0 ,191.375 ,2.954.507 ,0 ,0 ,0 ,0 ,8.550 ,2.945.956 ,1.230.871 ,1.230.871 ,4.214.255 ,258.771 ,193.703 ,162.414 ,3.599.366 ,2.571.741 ,2.571.741 ,48.093 ,12.519 ,197.096 ,0 ,250.250 ,1.770.143 ,97.576 ,0 ,196.065 ,1.036.229 ,1.036.229 ,340.431 ,0 ,8.755 ,0 ,0 ,0 ,0 ,687.043 ,0 ,-69.404 
69.,KRANJSKA GORA,3.624.420 ,1.214.822 ,258.116 ,36.980 ,883.054 ,60.082 ,130.767 ,47.162 ,2.153 ,12.636 ,472.859 ,31.460 ,7.269 ,118.666 ,3.810 ,0 ,0 ,3.810 ,0 ,32.862 ,1.121.699 ,55.283 ,14.605 ,40.678 ,645.047 ,6.138 ,207.411 ,1.043 ,0 ,0 ,430.454 ,137.711 ,137.711 ,283.659 ,10.073 ,0 ,0 ,273.585 ,716.742 ,716.742 ,22.363 ,0 ,27.078 ,417 ,351.707 ,2.533 ,107.591 ,0 ,205.053 ,571.157 ,571.157 ,103.626 ,0 ,34.598 ,411.146 ,0 ,0 ,0 ,21.787 ,0 ,385.971 
70.,KRIŽEVCI,1.463.942 ,159.811 ,62.715 ,8.913 ,78.931 ,9.360 ,451 ,14.046 ,538 ,2.107 ,14.747 ,0 ,0 ,37.682 ,2.992 ,2.992 ,0 ,0 ,0 ,6.259 ,728.351 ,268.148 ,5.679 ,262.469 ,91.959 ,0 ,0 ,0 ,0 ,1.127 ,90.832 ,38.007 ,38.007 ,330.237 ,0 ,12.331 ,16.692 ,301.214 ,520.506 ,520.506 ,0 ,0 ,8.287 ,2.679 ,473.531 ,0 ,8.780 ,0 ,27.228 ,55.275 ,55.275 ,0 ,0 ,2.086 ,19.379 ,0 ,0 ,1.590 ,32.219 ,0 ,146.591 
