,, 50, 500, 5001, 5002, 5003, 5004, 55, 550, 5501, 5502, 5503, 5504, IX., X., XI., FI
15.,MESTNA OBČINA CELJE,625.939 ,625.939 ,625.939 ,0 ,0 ,0 ,10.887 ,10.887 ,10.887 ,0 ,0 ,0 ,-2.081.147 ,3.934.815 ,2.172.947 ,0 
16.,CERKLJE NA GORENJSKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,589.493 ,-587.744 ,20.147 ,0 
17.,CERKNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,138.562 ,-148.953 ,7.086 ,-33.517 
18.,CERKNO,0 ,0 ,0 ,0 ,0 ,0 ,7.549 ,7.549 ,3.355 ,0 ,4.194 ,0 ,-103.589 ,76.056 ,0 ,28.952 
19.,CERKVENJAK,113.274 ,113.274 ,58.421 ,54.853 ,0 ,0 ,58.421 ,58.421 ,58.421 ,0 ,0 ,0 ,-269.454 ,324.307 ,283.383 ,780 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,194.928 ,-194.928 ,0 ,0 
21.,ČRNA NA KOROŠKEM,87.631 ,87.631 ,87.631 ,0 ,0 ,0 ,152.654 ,152.654 ,152.654 ,0 ,0 ,0 ,-1.924 ,-62.260 ,14.505 ,0 
22.,ČRNOMELJ,312.969 ,312.969 ,0 ,312.969 ,0 ,0 ,471.148 ,471.148 ,0 ,377.650 ,92.873 ,626 ,8.842 ,-167.021 ,7.294 ,70.802 
23.,DESTRNIK,0 ,0 ,0 ,0 ,0 ,0 ,53.226 ,53.226 ,53.226 ,0 ,0 ,0 ,-46.349 ,-6.877 ,0 ,0 
24.,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,4.019 ,4.019 ,4.019 ,0 ,0 ,0 ,-6.593 ,2.575 ,438.541 ,65.131 
25.,DOBJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.686 ,-94.375 ,27.729 ,0 
26.,DOBREPOLJE,0 ,0 ,0 ,0 ,0 ,0 ,597 ,597 ,0 ,0 ,597 ,0 ,203.100 ,-211.814 ,385.098 ,11.438 
27.,DOBRNA,0 ,0 ,0 ,0 ,0 ,0 ,12.410 ,12.410 ,0 ,0 ,12.410 ,0 ,10.078 ,-125.976 ,14.463 ,4.544 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-32.616 ,32.616 ,38.850 ,28.923 
29.,DOBROVNIK,156.113 ,156.113 ,0 ,0 ,156.113 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,246.134 ,-88.565 ,0 ,0 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-182.240 ,182.240 ,-358.934 ,0 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-94.016 ,85.670 ,0 ,0 
32.,DOMŽALE,0 ,0 ,0 ,0 ,0 ,0 ,188.327 ,188.327 ,123.806 ,0 ,64.521 ,0 ,1.116.375 ,-1.062.343 ,3.494.846 ,0 
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,17.944 ,17.944 ,0 ,17.944 ,0 ,0 ,-42.731 ,24.787 ,59.210 ,0 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,66.767 ,66.767 ,66.767 ,0 ,0 ,0 ,-144.514 ,77.747 ,298.185 ,25.668 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,119.625 ,119.625 ,119.625 ,0 ,0 ,0 ,21.415 ,-141.041 ,136.004 ,0 
36.,GORENJA VAS - POLJANE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-71.161 ,23.172 ,633.383 ,25.472 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.847 ,-33.847 ,225.689 ,0 
38.,GORNJA RADGONA,375.563 ,375.563 ,375.563 ,0 ,0 ,0 ,47.684 ,47.684 ,47.684 ,0 ,0 ,0 ,-158.429 ,595.648 ,426.577 ,0 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,11.993 ,11.993 ,11.993 ,0 ,0 ,0 ,1.486 ,-13.479 ,10.887 ,0 
40.,GORNJI PETROVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4.503 ,4.503 ,21.002 ,0 
41.,GRAD,137.385 ,137.385 ,137.385 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,65.469 ,77.345 ,5.270 ,0 
42.,GROSUPLJE,0 ,0 ,0 ,0 ,0 ,0 ,134.180 ,134.180 ,103.489 ,0 ,30.692 ,0 ,132.453 ,-310.628 ,423.439 ,116.930 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.294 ,-7.294 ,261.651 ,65.974 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,5.700 ,5.700 ,5.700 ,0 ,0 ,0 ,93.778 ,-99.478 ,10.032 ,45.343 
45.,HODOŠ,150.563 ,150.563 ,150.563 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26.924 ,157.023 ,20.443 ,0 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-229.336 ,212.435 ,271.895 ,0 
47.,HRASTNIK,0 ,0 ,0 ,0 ,0 ,0 ,51.523 ,51.523 ,0 ,0 ,51.523 ,0 ,360.240 ,-522.221 ,144.897 ,32.386 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.783 ,97.713 ,0 ,0 
49.,IDRIJA,0 ,0 ,0 ,0 ,0 ,0 ,15.703 ,15.703 ,11.976 ,0 ,3.726 ,0 ,261.208 ,-101.640 ,497.563 ,0 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,822.455 ,-822.455 ,1.428.580 ,0 
51.,ILIRSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,70.122 ,70.122 ,60.441 ,0 ,9.681 ,0 ,-257.365 ,250.517 ,1.546.228 ,0 
52.,IVANČNA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,9.790 ,9.790 ,0 ,0 ,9.790 ,0 ,456.184 ,477.942 ,828.242 ,133.822 
53.,IZOLA,125.188 ,125.188 ,0 ,0 ,125.188 ,0 ,48.965 ,48.965 ,1.978 ,0 ,46.987 ,0 ,945.255 ,-568.916 ,1.557.536 ,0 
54.,JESENICE,0 ,0 ,0 ,0 ,0 ,0 ,78.109 ,78.109 ,0 ,0 ,78.109 ,0 ,923.147 ,-1.018.528 ,101.652 ,0 
55.,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.446 ,-37.101 ,40.077 ,0 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.557 ,-7.557 ,22.555 ,3.142 
57.,KAMNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-336.384 ,374.866 ,1.645.109 ,126.156 
58.,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,142.646 ,-137.540 ,96.553 ,0 
59.,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-900.613 ,900.613 ,1.817.668 ,72.617 
60.,KOBARID,202.387 ,202.387 ,202.387 ,0 ,0 ,0 ,26.707 ,26.707 ,26.707 ,0 ,0 ,0 ,9.080 ,177.996 ,1.815 ,0 
61.,KOBILJE,105.652 ,105.652 ,105.652 ,0 ,0 ,0 ,10.025 ,10.025 ,10.025 ,0 ,0 ,0 ,112.156 ,-16.529 ,0 ,0 
62.,KOČEVJE,529.962 ,529.962 ,529.962 ,0 ,0 ,0 ,113.996 ,113.996 ,113.996 ,0 ,0 ,0 ,-532.599 ,948.565 ,670.689 ,0 
63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.846 ,5.846 ,0 ,0 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,-52.120 ,10.391 ,50.150 ,27.712 
65.,MESTNA OBČINA KOPER,0 ,0 ,0 ,0 ,0 ,0 ,514.806 ,514.806 ,186.672 ,0 ,328.134 ,0 ,-665.870 ,155.496 ,4.417.380 ,0 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.028 ,-10.028 ,0 ,0 
68.,MESTNA OBČINA KRANJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3.082.837 ,3.476.260 ,3.314.246 ,0 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-174.432 ,149.395 ,6.226 ,0 
70.,KRIŽEVCI,83.459 ,83.459 ,0 ,0 ,83.459 ,0 ,1.700 ,1.700 ,0 ,0 ,1.700 ,0 ,-4.967 ,88.806 ,0 ,0 
71.,KRŠKO,1.581.539 ,1.581.539 ,1.581.539 ,0 ,0 ,0 ,957.695 ,957.695 ,952.867 ,0 ,4.828 ,0 ,-163.704 ,787.548 ,190.736 ,0 
72.,KUNGOTA,136.279 ,136.279 ,0 ,136.279 ,0 ,0 ,1.298 ,1.298 ,0 ,0 ,1.298 ,0 ,158.563 ,-23.581 ,22.826 ,0 
73.,KUZMA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24.887 ,-21.678 ,0 ,0 
74.,LAŠKO,571.691 ,571.691 ,571.691 ,0 ,0 ,0 ,9.977 ,9.977 ,9.527 ,0 ,0 ,451 ,13.654 ,444.529 ,139.267 ,38.266 
75.,LENART,661.042 ,661.042 ,661.042 ,0 ,0 ,0 ,116.854 ,116.854 ,99.441 ,0 ,17.414 ,0 ,-41.220 ,585.407 ,1.782 ,0 
76.,LENDAVA,0 ,0 ,0 ,0 ,0 ,0 ,31.874 ,31.874 ,0 ,0 ,31.874 ,0 ,413.323 ,-442.647 ,632.929 ,65.707 
77.,LITIJA,333.204 ,333.204 ,321.766 ,0 ,11.438 ,0 ,50.701 ,50.701 ,50.701 ,0 ,0 ,0 ,378.785 ,-234.110 ,-42.026 ,55.437 
78.,MESTNA OBČINA LJUBLJANA,16.097.359 ,16.097.359 ,16.097.359 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.838.086 ,20.951.114 ,6.850.371 ,0 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18.770 ,-18.770 ,0 ,0 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,35.353 ,35.353 ,35.353 ,0 ,0 ,0 ,-313.686 ,278.333 ,0 ,0 
81.,LOGATEC,104.323 ,104.323 ,104.323 ,0 ,0 ,0 ,9.589 ,9.589 ,0 ,0 ,9.589 ,0 ,-52.979 ,147.713 ,165.828 ,81.376 
82.,LOŠKA DOLINA,80.112 ,80.112 ,0 ,0 ,80.112 ,0 ,334 ,334 ,0 ,0 ,334 ,0 ,-51.118 ,129.073 ,104.791 ,7.503 
83.,LOŠKI POTOK,0 ,0 ,0 ,0 ,0 ,0 ,7.824 ,7.824 ,0 ,0 ,7.824 ,0 ,67.101 ,-74.925 ,20.205 ,0 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,2.466 ,2.466 ,0 ,0 ,2.466 ,0 ,224.007 ,-226.473 ,27.888 ,0 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.471 ,-7.140 ,17.051 ,2.395 
86.,LUKOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-536.684 ,525.542 ,879.060 ,17.076 
87.,MAJŠPERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-40.540 ,-319.371 ,0 ,0 
88.,MESTNA OBČINA MARIBOR,0 ,0 ,0 ,0 ,0 ,0 ,34.297 ,34.297 ,6.326 ,0 ,27.971 ,0 ,-5.149.616 ,5.199.228 ,7.966.320 ,0 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,633.759 ,-646.278 ,310.887 ,0 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,520.602 ,-520.602 ,954.678 ,0 
91.,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-519.062 ,537.260 ,805.133 ,0 
92.,METLIKA,292.105 ,292.105 ,0 ,0 ,292.105 ,0 ,49.908 ,49.908 ,49.908 ,0 ,0 ,0 ,563.266 ,-321.069 ,347.646 ,31.205 
93.,MEŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,507.386 ,-447.901 ,23.907 ,15.757 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,1.102 ,1.102 ,0 ,0 ,1.102 ,0 ,-269.095 ,267.994 ,0 ,0 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-97.229 ,97.229 ,43.361 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-140.277 ,134.715 ,294.062 ,9.456 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,1.602 ,1.602 ,0 ,0 ,1.602 ,0 ,107.006 ,-109.652 ,68.202 ,0 
98.,MORAVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,205.199 ,-193.937 ,72.884 ,0 
99.,MORAVSKE TOPLICE,188.529 ,188.529 ,0 ,0 ,188.529 ,0 ,91.696 ,91.696 ,0 ,0 ,91.696 ,0 ,-43.711 ,169.004 ,187.899 ,48.690 
100.,MOZIRJE,112.168 ,112.168 ,73.026 ,39.142 ,0 ,0 ,168.503 ,168.503 ,129.361 ,39.142 ,0 ,0 ,71 ,-48.047 ,3.585 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,0 ,0 ,0 ,0 ,0 ,0 ,206.831 ,206.831 ,138.341 ,0 ,68.490 ,0 ,535.290 ,-726.903 ,398.865 ,188.888 
102.,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,10.829 ,10.829 ,1.214 ,0 ,9.614 ,0 ,30.320 ,-32.056 ,11.217 ,0 
103.,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-162.865 ,155.800 ,462.402 ,28.146 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,-1.565 ,-63.241 ,2.717 ,8.463 
105.,MESTNA OBČINA NOVA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-612.327 ,613.633 ,896.311 ,0 
106.,MESTNA OBČINA NOVO MESTO,959.773 ,959.773 ,959.773 ,0 ,0 ,0 ,209.760 ,209.760 ,209.760 ,0 ,0 ,0 ,-127.566 ,1.187.423 ,58.450 ,0 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,10.013 ,10.013 ,10.013 ,0 ,0 ,0 ,16.328 ,-26.341 ,0 ,359 
108.,OPLOTNICA,0 ,0 ,0 ,0 ,0 ,0 ,34.777 ,34.777 ,34.777 ,0 ,0 ,0 ,-76.778 ,42.001 ,101.002 ,0 
109.,ORMOŽ,1.147.555 ,1.147.555 ,1.022.367 ,0 ,125.188 ,0 ,550.538 ,550.538 ,549.912 ,0 ,0 ,626 ,-956.155 ,1.128.397 ,0 ,0 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.256 ,-23.256 ,7.323 ,1.419 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,27.767 ,27.767 ,27.767 ,0 ,0 ,0 ,119.216 ,-146.983 ,0 ,0 
112.,PIRAN,0 ,0 ,0 ,0 ,0 ,0 ,36.421 ,36.421 ,0 ,0 ,36.421 ,0 ,384.594 ,-424.149 ,0 ,0 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-247.187 ,241.637 ,250.926 ,0 
114.,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,24.120 ,24.120 ,22.534 ,1.586 ,0 ,0 ,-38.224 ,20.735 ,58.004 ,0 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-52.249 ,52.249 ,0 ,0 
116.,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,224.604 ,-194.801 ,0 ,0 
117.,POLZELA,68.657 ,68.657 ,0 ,0 ,68.657 ,0 ,1.953 ,1.953 ,0 ,0 ,1.953 ,0 ,67.105 ,10.236 ,92.539 ,14.292 
118.,POSTOJNA,0 ,0 ,0 ,0 ,0 ,0 ,64.534 ,64.534 ,21.036 ,0 ,43.499 ,0 ,-472.300 ,400.989 ,705.654 ,170.239 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.056 ,-90.056 ,0 ,0 
120.,PREDDVOR,143.186 ,143.186 ,20.785 ,0 ,122.400 ,0 ,143.186 ,143.186 ,20.785 ,0 ,122.400 ,0 ,29.106 ,-2.646 ,18.499 ,0 
121.,PREVALJE,137.707 ,137.707 ,137.707 ,0 ,0 ,0 ,116.842 ,116.842 ,116.842 ,0 ,0 ,0 ,1.289.739 ,-1.248.118 ,11.246 ,22.058 
122.,MESTNA OBČINA PTUJ,0 ,0 ,0 ,0 ,0 ,0 ,22.467 ,22.467 ,22.467 ,0 ,0 ,0 ,-318.428 ,446.253 ,1.169.342 ,0 
123.,PUCONCI,331.468 ,331.468 ,0 ,0 ,331.468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-360.182 ,635.887 ,176.619 ,0 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,3.685 ,3.685 ,3.685 ,0 ,0 ,0 ,-62.986 ,72.997 ,143.065 ,23.861 
125.,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21.557 ,-19.550 ,0 ,0 
126.,RADENCI,36.217 ,36.217 ,36.217 ,0 ,0 ,0 ,32.486 ,32.486 ,32.486 ,0 ,0 ,0 ,-9.773 ,9.326 ,2.366 ,17.672 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,29.949 ,29.949 ,25.038 ,4.912 ,0 ,0 ,55.508 ,-85.457 ,25.313 ,16.162 
128.,RADOVLJICA,467.368 ,467.368 ,467.368 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-173.393 ,715.619 ,703.109 ,93.486 
129.,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,12.794 ,12.794 ,12.794 ,0 ,0 ,0 ,1.926.365 ,-1.924.933 ,0 ,0 
130.,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.292 ,-32.941 ,0 ,0 
131.,RIBNICA,371.390 ,371.390 ,371.390 ,0 ,0 ,0 ,62.594 ,62.594 ,62.594 ,0 ,0 ,0 ,254.019 ,118.553 ,35.378 ,34.702 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,484 ,484 ,484 ,0 ,0 ,0 ,7.031 ,-7.515 ,13.128 ,0 
133.,ROGAŠKA SLATINA,104.323 ,104.323 ,0 ,0 ,104.323 ,0 ,9.752 ,9.752 ,0 ,0 ,9.752 ,0 ,127.867 ,-33.296 ,1.408.759 ,0 
134.,ROGAŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,20.547 ,20.547 ,20.547 ,0 ,0 ,0 ,-9.118 ,-13.287 ,23.252 ,4.640 
135.,ROGATEC,70.769 ,70.769 ,0 ,0 ,70.769 ,0 ,9.735 ,9.735 ,0 ,0 ,9.735 ,0 ,-1.844 ,62.878 ,42.518 ,14.843 
136.,RUŠE,312.452 ,312.452 ,0 ,0 ,312.452 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,333.621 ,-21.169 ,244.408 ,0 
137.,SELNICA OB DRAVI,187.782 ,187.782 ,187.782 ,0 ,0 ,0 ,23.293 ,23.293 ,23.293 ,0 ,0 ,0 ,24.862 ,139.627 ,12.552 ,0 
138.,SEMIČ,129.361 ,129.361 ,129.361 ,0 ,0 ,0 ,144.162 ,144.162 ,129.361 ,0 ,14.801 ,0 ,-20.068 ,-5.304 ,20.322 ,12.982 
139.,SEVNICA,584.210 ,584.210 ,584.210 ,0 ,0 ,0 ,117.948 ,117.948 ,108.600 ,9.347 ,0 ,0 ,4.507 ,461.755 ,15.361 ,58.847 
140.,SEŽANA,342.301 ,342.301 ,0 ,0 ,342.301 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-807.970 ,1.180.942 ,1.012.089 ,0 
141.,MESTNA OBČINA SLOVENJ GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,17.113 ,17.113 ,6.489 ,0 ,10.624 ,0 ,992.860 ,-922.208 ,2.073.773 ,50.947 
142.,SLOVENSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,140.836 ,140.836 ,140.836 ,0 ,0 ,0 ,-721.962 ,580.654 ,856.176 ,0 
143.,SLOVENSKE KONJICE,0 ,0 ,0 ,0 ,0 ,0 ,15.064 ,15.064 ,15.064 ,0 ,0 ,0 ,-185.299 ,176.769 ,150.067 ,47.634 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-31.952 ,31.952 ,0 ,0 
145.,SOLČAVA,103.489 ,103.489 ,0 ,0 ,103.489 ,0 ,103.489 ,103.489 ,0 ,103.489 ,0 ,0 ,57.941 ,-65.390 ,7.766 ,0 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,2.858 ,2.858 ,2.858 ,0 ,0 ,0 ,64.313 ,-67.172 ,699.558 ,0 
147.,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,2.646 ,2.646 ,0 ,0 ,2.646 ,0 ,-194.905 ,192.259 ,501 ,0 
