5.,BLED,7.387.974 ,2.253.192 ,504.891 ,94.625 ,41.650 ,33.329 ,284 ,472 ,18.891 ,1.633.734 ,258.129 ,14.034 ,154.052 ,12.085 ,4.791 ,799.499 ,47.016 ,88 ,29.540 ,314.501 ,19.942 ,19.942 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.610.808 ,84.890 ,17.731 ,67.159 ,96.950 ,6.405 ,19.922 ,0 ,0 ,0 ,70.623 ,268.670 ,268.670 ,2.160.299 ,0 ,36.801 ,5.575 ,2.117.923 ,0 ,0 ,0 ,2.069.321 ,2.069.321 ,197.697 ,0 ,26.886 ,0 ,1.226.227 ,306.752 ,144.004 ,0 ,167.756 ,454.653 ,216.425 ,103.313 ,0 ,0 ,0 ,113.111 ,0 ,0 ,238.228 ,689 ,0 ,0 ,237.540 ,941.980 
6.,BLOKE,1.254.147 ,196.442 ,53.725 ,9.195 ,4.432 ,3.550 ,30 ,50 ,1.132 ,128.136 ,30.540 ,0 ,31.819 ,0 ,1.974 ,12.391 ,0 ,0 ,2.825 ,48.585 ,2.827 ,2.827 ,0 ,0 ,0 ,2.560 ,0 ,2.560 ,0 ,539.607 ,20.933 ,19.122 ,1.811 ,218.967 ,0 ,2.493 ,16.735 ,0 ,0 ,199.739 ,36.433 ,36.433 ,263.274 ,0 ,10.442 ,212 ,82.872 ,169.748 ,0 ,0 ,474.323 ,474.323 ,0 ,0 ,13.642 ,0 ,419.509 ,23.532 ,200 ,0 ,17.440 ,43.775 ,42.940 ,28.276 ,14.664 ,0 ,0 ,0 ,0 ,0 ,835 ,0 ,0 ,0 ,835 ,101.725 
7.,BOHINJ,4.185.324 ,1.915.356 ,432.186 ,71.833 ,34.105 ,26.582 ,225 ,384 ,10.537 ,1.378.288 ,134.001 ,199.458 ,528.313 ,159.331 ,8.392 ,197.663 ,3.839 ,6.380 ,14.952 ,125.960 ,5.496 ,0 ,5.487 ,8 ,0 ,27.554 ,12.936 ,8.346 ,6.272 ,1.408.500 ,272.592 ,0 ,272.592 ,580.867 ,847 ,10.124 ,0 ,0 ,16.521 ,553.376 ,152.988 ,152.988 ,402.053 ,21.107 ,10.937 ,0 ,370.009 ,0 ,0 ,0 ,558.972 ,558.972 ,0 ,53.885 ,64.096 ,2.708 ,129.728 ,171.574 ,0 ,0 ,136.980 ,302.495 ,96.161 ,90.219 ,5.942 ,0 ,0 ,0 ,0 ,0 ,206.335 ,94.392 ,0 ,0 ,111.943 ,287.089 
8.,BOROVNICA ,2.198.018 ,482.240 ,87.310 ,17.159 ,9.877 ,5.512 ,54 ,88 ,1.627 ,370.331 ,14.730 ,4.786 ,75.442 ,54 ,722 ,176.619 ,7.261 ,0 ,3.952 ,86.763 ,0 ,0 ,0 ,0 ,0 ,7.440 ,3.267 ,4.173 ,0 ,842.372 ,23.773 ,2.846 ,20.927 ,477.349 ,0 ,0 ,0 ,0 ,0 ,477.349 ,90.448 ,90.448 ,250.801 ,21.023 ,22.021 ,0 ,207.757 ,0 ,0 ,0 ,805.304 ,805.304 ,82.670 ,0 ,5.725 ,0 ,604.056 ,14.171 ,19.867 ,0 ,78.814 ,68.102 ,23.093 ,18.778 ,4.315 ,0 ,0 ,0 ,0 ,0 ,45.009 ,11.555 ,0 ,0 ,33.454 ,152.879 
9.,BOVEC,3.970.894 ,1.304.999 ,217.952 ,36.154 ,17.447 ,13.771 ,117 ,196 ,4.624 ,1.048.151 ,71.445 ,1.986 ,169.095 ,6.647 ,8.867 ,412.652 ,187.189 ,0 ,9.473 ,180.796 ,0 ,0 ,0 ,0 ,0 ,2.742 ,0 ,2.742 ,0 ,1.019.967 ,25.705 ,0 ,25.705 ,316.767 ,0 ,2.733 ,0 ,0 ,0 ,314.034 ,135.941 ,135.941 ,541.554 ,0 ,15.361 ,7.661 ,518.532 ,0 ,0 ,0 ,1.340.148 ,1.340.148 ,169.513 ,11.012 ,22.713 ,3.222 ,719.362 ,218.611 ,136.267 ,0 ,59.448 ,305.780 ,270.969 ,43.732 ,227.237 ,0 ,0 ,0 ,0 ,0 ,34.811 ,0 ,0 ,0 ,34.811 ,283.413 
10.,BRASLOVČE,2.526.406 ,701.360 ,152.550 ,24.508 ,12.298 ,9.852 ,83 ,142 ,2.132 ,511.784 ,89.889 ,4.019 ,50.046 ,4.361 ,1.895 ,168.202 ,5.842 ,17.739 ,8.075 ,161.718 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,12.519 ,0 ,943.499 ,29.574 ,0 ,29.574 ,668.536 ,0 ,6.844 ,0 ,0 ,0 ,661.693 ,93.469 ,93.469 ,151.920 ,0 ,40.682 ,0 ,111.238 ,0 ,0 ,0 ,564.918 ,564.918 ,0 ,0 ,12.010 ,14.672 ,182.336 ,256.727 ,5.412 ,0 ,93.761 ,316.629 ,284.919 ,54.761 ,223.898 ,0 ,0 ,6.259 ,0 ,0 ,31.710 ,0 ,0 ,0 ,31.710 ,18.761 
11.,BRDA,3.536.834 ,1.099.437 ,233.609 ,38.120 ,18.436 ,14.593 ,125 ,209 ,4.757 ,798.752 ,219.471 ,0 ,104.085 ,9.180 ,7.791 ,311.259 ,7.244 ,2.420 ,11.492 ,125.810 ,24.783 ,24.737 ,46 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,1.471.403 ,41.074 ,0 ,41.074 ,968.336 ,0 ,0 ,4.419 ,0 ,0 ,963.917 ,162.819 ,162.819 ,299.174 ,2.921 ,0 ,29.686 ,266.567 ,0 ,0 ,0 ,591.863 ,591.863 ,7.766 ,0 ,16.917 ,0 ,355.070 ,117.977 ,83.229 ,0 ,10.904 ,374.132 ,264.443 ,10.224 ,254.219 ,0 ,0 ,0 ,0 ,0 ,109.690 ,25.918 ,0 ,0 ,83.771 ,115.148 
12.,BREZOVICA,4.857.625 ,826.027 ,167.474 ,31.200 ,13.089 ,10.486 ,93 ,144 ,7.389 ,620.844 ,223.438 ,166 ,100.646 ,3.350 ,4.315 ,205.652 ,0 ,0 ,7.698 ,75.580 ,0 ,0 ,0 ,0 ,0 ,6.510 ,0 ,6.510 ,0 ,2.051.736 ,23.507 ,0 ,23.507 ,1.285.495 ,2.556 ,7.470 ,0 ,0 ,0 ,1.275.470 ,165.896 ,165.896 ,576.837 ,84.974 ,73.696 ,0 ,405.695 ,12.472 ,0 ,0 ,1.283.790 ,1.283.790 ,0 ,12.519 ,75.741 ,8.317 ,543.855 ,369.519 ,38.630 ,0 ,235.209 ,696.072 ,147.268 ,0 ,111.798 ,0 ,0 ,0 ,35.470 ,0 ,548.804 ,518.066 ,0 ,0 ,30.737 ,221.461 
13.,BREŽICE,15.290.502 ,4.963.750 ,791.892 ,128.739 ,61.509 ,49.274 ,417 ,697 ,16.842 ,4.021.378 ,884.781 ,48.352 ,513.896 ,31.593 ,7.745 ,2.208.709 ,31.405 ,6.005 ,36.893 ,251.999 ,16.308 ,6.489 ,0 ,9.819 ,0 ,5.433 ,1.260 ,4.173 ,0 ,8.101.748 ,65.916 ,0 ,65.916 ,3.070.568 ,12.853 ,0 ,3.368 ,0 ,0 ,3.054.348 ,691.879 ,691.879 ,4.273.385 ,1.655.930 ,185.737 ,4.377 ,2.427.341 ,0 ,0 ,0 ,1.294.179 ,1.294.179 ,293.219 ,0 ,48.402 ,6.230 ,307.052 ,255.187 ,64.701 ,0 ,319.387 ,930.825 ,930.825 ,0 ,930.825 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,497.813 
14.,CANKOVA,1.037.285 ,275.912 ,97.647 ,12.577 ,6.075 ,4.867 ,41 ,69 ,1.525 ,148.822 ,16.513 ,2.779 ,49.023 ,5.231 ,301 ,39.116 ,1.145 ,0 ,3.518 ,31.196 ,16.867 ,16.867 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,369.104 ,11.822 ,0 ,11.822 ,241.010 ,23.061 ,1.427 ,0 ,0 ,0 ,216.522 ,30.830 ,30.830 ,85.442 ,2.178 ,36.898 ,820 ,45.545 ,0 ,0 ,0 ,378.589 ,378.589 ,0 ,0 ,4.796 ,0 ,372.170 ,373 ,0 ,0 ,1.250 ,13.680 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.680 ,13.680 ,0 ,0 ,0 ,72.204 
15.,MESTNA OBČINA CELJE,39.169.909 ,9.386.355 ,2.291.521 ,377.842 ,183.450 ,146.970 ,1.244 ,2.074 ,44.104 ,6.543.682 ,264.263 ,177.408 ,715.936 ,47.496 ,8.876 ,3.668.148 ,234.293 ,57.520 ,124.879 ,1.244.863 ,123.235 ,122.930 ,0 ,305 ,0 ,50.075 ,0 ,50.075 ,0 ,13.353.572 ,84.385 ,15.845 ,68.540 ,6.342.464 ,0 ,0 ,246.950 ,0 ,0 ,6.095.514 ,288.871 ,288.871 ,6.637.853 ,308.296 ,503.505 ,125.188 ,5.700.864 ,0 ,0 ,0 ,14.120.343 ,14.120.343 ,854.966 ,65.319 ,165.511 ,0 ,8.480.199 ,1.160.228 ,3.137.990 ,0 ,256.130 ,2.309.639 ,676.619 ,0 ,676.619 ,0 ,0 ,0 ,0 ,0 ,1.633.020 ,0 ,0 ,0 ,1.633.020 ,873.965 
16.,CERKLJE NA GORENJSKEM,3.429.444 ,730.512 ,147.621 ,23.648 ,11.363 ,9.105 ,75 ,129 ,2.975 ,550.897 ,82.319 ,16.587 ,107.561 ,6.234 ,376 ,244.321 ,626 ,10.220 ,5.850 ,76.803 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,8.346 ,0 ,952.608 ,64.138 ,0 ,64.138 ,669.901 ,2.508 ,16.066 ,3.359 ,0 ,0 ,647.968 ,110.403 ,110.403 ,108.166 ,0 ,18.428 ,0 ,89.739 ,0 ,0 ,0 ,776.515 ,776.515 ,0 ,0 ,15.644 ,12.915 ,179.440 ,414.417 ,40.419 ,0 ,113.679 ,969.809 ,872.609 ,62.085 ,405.563 ,0 ,404.962 ,0 ,0 ,0 ,97.200 ,0 ,0 ,0 ,97.200 ,654.845 
17.,CERKNICA,11.743.406 ,2.153.767 ,311.516 ,59.914 ,25.757 ,20.638 ,175 ,291 ,13.054 ,1.757.126 ,167.932 ,58.337 ,124.929 ,18.904 ,2.797 ,987.929 ,2.216 ,278.370 ,15.438 ,100.277 ,25.211 ,25.211 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.463.957 ,38.641 ,0 ,38.641 ,1.034.472 ,0 ,0 ,46.232 ,0 ,0 ,988.240 ,349.142 ,349.142 ,1.041.702 ,0 ,71.913 ,14.972 ,882.614 ,72.203 ,0 ,0 ,6.811.699 ,6.811.699 ,191.448 ,19.472 ,103.781 ,0 ,5.240.309 ,104.645 ,955.121 ,0 ,196.923 ,313.983 ,154.802 ,154.802 ,0 ,0 ,0 ,0 ,0 ,0 ,159.180 ,0 ,0 ,0 ,159.180 ,471.705 
18.,CERKNO,3.282.071 ,807.375 ,189.108 ,31.536 ,15.528 ,12.440 ,105 ,175 ,3.288 ,513.017 ,61.151 ,0 ,56.312 ,8.571 ,2.930 ,155.481 ,5.277 ,0 ,11.276 ,212.018 ,4.888 ,0 ,0 ,4.888 ,0 ,68.827 ,15.067 ,53.760 ,0 ,1.318.429 ,40.119 ,0 ,40.119 ,749.112 ,0 ,0 ,0 ,0 ,1.358 ,747.754 ,138.194 ,138.194 ,391.005 ,59.731 ,23.824 ,0 ,307.450 ,0 ,0 ,0 ,1.040.832 ,1.040.832 ,19.012 ,0 ,7.551 ,0 ,307.513 ,595.084 ,62.183 ,0 ,49.490 ,115.436 ,22.771 ,22.771 ,0 ,0 ,0 ,0 ,0 ,0 ,92.665 ,12.519 ,0 ,0 ,80.146 ,354.026 
19.,CERKVENJAK,1.046.754 ,308.427 ,98.149 ,16.803 ,8.977 ,6.061 ,51 ,92 ,1.622 ,188.455 ,17.440 ,273 ,48.187 ,4.806 ,6.384 ,64.241 ,0 ,0 ,3.766 ,43.358 ,5.020 ,0 ,5.020 ,0 ,0 ,0 ,0 ,0 ,0 ,292.563 ,6.309 ,0 ,6.309 ,150.635 ,0 ,0 ,0 ,0 ,0 ,150.635 ,27.629 ,27.629 ,107.992 ,0 ,17.339 ,0 ,90.653 ,0 ,0 ,0 ,407.970 ,407.970 ,9.123 ,4.783 ,13.275 ,0 ,215.078 ,3.704 ,134.322 ,526 ,27.159 ,37.794 ,8.166 ,3.387 ,4.562 ,0 ,0 ,217 ,0 ,0 ,29.628 ,0 ,0 ,0 ,29.628 ,66.168 
20.,ČRENŠOVCI,2.275.789 ,492.606 ,123.122 ,21.612 ,12.861 ,5.842 ,743 ,384 ,1.782 ,331.702 ,54.198 ,10.708 ,63.992 ,2.838 ,9.118 ,150.159 ,409 ,0 ,3.968 ,36.313 ,0 ,0 ,0 ,0 ,0 ,16.170 ,12.819 ,3.351 ,0 ,813.040 ,18.490 ,0 ,18.490 ,346.328 ,0 ,0 ,0 ,0 ,0 ,346.328 ,68.636 ,68.636 ,379.586 ,41.082 ,70.134 ,0 ,207.399 ,51.177 ,9.794 ,0 ,822.859 ,822.859 ,1.990 ,0 ,7.186 ,0 ,692.894 ,118.995 ,0 ,0 ,1.794 ,147.283 ,32.015 ,0 ,13.349 ,0 ,0 ,0 ,18.666 ,0 ,115.269 ,0 ,0 ,13.804 ,101.465 ,-106.385 
21.,ČRNA NA KOROŠKEM,2.758.784 ,1.218.010 ,213.938 ,35.199 ,16.817 ,13.237 ,113 ,188 ,4.845 ,946.336 ,53.668 ,4.169 ,240.160 ,13.224 ,2.412 ,372.409 ,17.147 ,70.055 ,7.824 ,165.269 ,13.170 ,13.170 ,0 ,0 ,0 ,9.368 ,5.195 ,4.173 ,0 ,954.899 ,3.055 ,0 ,3.055 ,517.142 ,0 ,0 ,0 ,0 ,0 ,517.142 ,181.572 ,181.572 ,253.130 ,15.060 ,20.760 ,0 ,217.309 ,0 ,0 ,0 ,449.637 ,449.637 ,13.416 ,7.770 ,47.434 ,1.723 ,297.329 ,51.594 ,0 ,0 ,30.371 ,136.238 ,72.872 ,32.340 ,40.532 ,0 ,0 ,0 ,0 ,0 ,63.366 ,0 ,0 ,0 ,63.366 ,-61.300 
22.,ČRNOMELJ,9.457.899 ,1.533.037 ,467.806 ,76.982 ,37.485 ,30.033 ,255 ,421 ,8.788 ,940.678 ,102.128 ,0 ,56.272 ,5.400 ,6.105 ,544.083 ,517 ,0 ,23.765 ,202.408 ,40.189 ,0 ,2.641 ,37.548 ,0 ,7.382 ,0 ,7.382 ,0 ,3.454.457 ,76.686 ,0 ,76.686 ,1.825.113 ,0 ,0 ,0 ,0 ,7.974 ,1.817.138 ,272.388 ,272.388 ,1.280.270 ,112.323 ,129.361 ,4.227 ,1.034.360 ,0 ,0 ,0 ,4.212.519 ,4.212.519 ,19.262 ,16.178 ,244.796 ,0 ,3.245.101 ,13.879 ,76.632 ,0 ,596.670 ,257.887 ,74.220 ,74.220 ,0 ,0 ,0 ,0 ,0 ,0 ,183.667 ,62.498 ,0 ,0 ,121.169 ,245.005 
