5.,BLED,9.306.929 ,2.938.395 ,537.940 ,102.931 ,44.527 ,34.717 ,302 ,503 ,22.882 ,2.273.632 ,287.668 ,120.816 ,152.916 ,12.124 ,7.158 ,1.049.598 ,139.334 ,0 ,26.732 ,477.287 ,23.893 ,23.893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.048.064 ,112.873 ,24.964 ,87.909 ,162.204 ,6.927 ,43.599 ,0 ,0 ,0 ,111.678 ,550.929 ,550.929 ,2.222.058 ,0 ,37.570 ,3.846 ,2.180.642 ,0 ,0 ,0 ,2.819.912 ,2.819.912 ,430.850 ,16.708 ,42.712 ,4.792 ,1.138.087 ,500.255 ,242.518 ,0 ,443.991 ,500.558 ,148.514 ,133.908 ,14.605 ,0 ,0 ,0 ,0 ,0 ,352.044 ,48.601 ,0 ,0 ,303.444 ,-1.136.258 
6.,BLOKE,1.440.031 ,256.761 ,59.085 ,10.056 ,4.879 ,3.909 ,33 ,55 ,1.179 ,184.685 ,39.770 ,913 ,35.889 ,0 ,2.794 ,36.272 ,0 ,0 ,2.599 ,66.449 ,64 ,64 ,0 ,0 ,0 ,2.870 ,0 ,2.870 ,0 ,606.094 ,25.902 ,0 ,25.902 ,246.420 ,0 ,1.719 ,0 ,0 ,2.212 ,242.488 ,29.845 ,29.845 ,303.927 ,0 ,11.106 ,212 ,108.662 ,183.948 ,0 ,0 ,535.058 ,535.058 ,0 ,0 ,7.660 ,2.476 ,370.117 ,117.926 ,32.996 ,0 ,3.882 ,42.119 ,42.119 ,26.440 ,0 ,0 ,0 ,0 ,15.679 ,0 ,0 ,0 ,0 ,0 ,0 ,-145 
7.,BOHINJ,6.056.426 ,2.297.300 ,518.194 ,84.598 ,40.598 ,31.564 ,271 ,459 ,11.705 ,1.656.965 ,204.937 ,231.810 ,529.081 ,161.092 ,12.828 ,305.229 ,14.226 ,4.761 ,15.928 ,177.074 ,2.066 ,0 ,2.066 ,0 ,0 ,35.478 ,20.744 ,8.346 ,6.389 ,1.573.635 ,291.007 ,0 ,291.007 ,653.610 ,3.902 ,8.321 ,0 ,0 ,17.080 ,624.307 ,189.367 ,189.367 ,439.651 ,20.038 ,13.992 ,0 ,405.621 ,0 ,0 ,0 ,1.844.162 ,1.844.162 ,76.765 ,45.114 ,175.296 ,2.283 ,358.663 ,724.779 ,279.027 ,0 ,182.236 ,341.329 ,122.667 ,120.343 ,2.324 ,0 ,0 ,0 ,0 ,0 ,218.661 ,101.945 ,0 ,0 ,116.717 ,-482.795 
8.,BOROVNICA ,3.516.195 ,595.944 ,87.281 ,20.969 ,10.783 ,5.867 ,58 ,92 ,4.169 ,476.523 ,20.781 ,6.305 ,79.277 ,142 ,780 ,270.936 ,7.182 ,159 ,3.263 ,87.698 ,0 ,0 ,0 ,0 ,0 ,11.171 ,6.998 ,4.173 ,0 ,918.933 ,27.016 ,3.822 ,23.193 ,505.901 ,0 ,0 ,0 ,0 ,0 ,505.901 ,92.647 ,92.647 ,293.369 ,10.520 ,20.756 ,0 ,262.093 ,0 ,0 ,0 ,1.783.375 ,1.783.375 ,417 ,0 ,114.004 ,0 ,1.409.147 ,9.723 ,65.027 ,0 ,185.057 ,217.944 ,197.972 ,63.946 ,0 ,0 ,0 ,0 ,134.026 ,0 ,19.972 ,0 ,0 ,0 ,19.972 ,-1.094.659 
9.,BOVEC,5.087.873 ,1.197.012 ,217.351 ,36.188 ,17.439 ,13.754 ,117 ,196 ,4.682 ,936.914 ,96.390 ,1.602 ,144.133 ,8.325 ,5.871 ,304.578 ,204.899 ,0 ,7.899 ,163.216 ,2.387 ,0 ,0 ,2.387 ,0 ,4.173 ,0 ,4.173 ,0 ,1.169.976 ,14.029 ,0 ,14.029 ,385.558 ,0 ,2.954 ,0 ,0 ,0 ,382.603 ,154.841 ,154.841 ,615.548 ,6.677 ,17.205 ,1.252 ,590.415 ,0 ,0 ,0 ,1.457.912 ,1.457.912 ,354.699 ,0 ,15.039 ,0 ,755.275 ,167.622 ,51.703 ,0 ,113.575 ,1.262.974 ,1.217.935 ,128.005 ,1.089.931 ,0 ,0 ,0 ,0 ,0 ,45.038 ,16.274 ,0 ,0 ,28.764 ,-302.554 
10.,BRASLOVČE,3.162.590 ,861.985 ,158.580 ,25.484 ,12.782 ,10.240 ,88 ,146 ,2.228 ,632.916 ,102.404 ,2.700 ,66.971 ,7.749 ,3.222 ,256.572 ,6.643 ,0 ,6.848 ,179.807 ,0 ,0 ,0 ,0 ,0 ,45.005 ,0 ,45.005 ,0 ,991.942 ,30.467 ,0 ,30.467 ,699.616 ,0 ,5.821 ,0 ,0 ,0 ,693.795 ,105.650 ,105.650 ,156.209 ,618 ,39.192 ,0 ,116.400 ,0 ,0 ,0 ,1.065.002 ,1.065.002 ,24.165 ,0 ,24.303 ,2.366 ,709.773 ,185.407 ,0 ,0 ,118.987 ,243.661 ,183.880 ,52.875 ,116.400 ,0 ,0 ,14.605 ,0 ,0 ,59.781 ,36.079 ,0 ,0 ,23.702 ,-167.197 
11.,BRDA,4.297.417 ,1.260.345 ,262.949 ,42.835 ,21.090 ,16.758 ,142 ,238 ,4.607 ,932.787 ,314.518 ,41.120 ,120.051 ,10.103 ,11.968 ,279.740 ,7.841 ,1.753 ,10.862 ,134.831 ,21.774 ,21.774 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.475.889 ,18.415 ,0 ,18.415 ,956.631 ,0 ,12.018 ,10.094 ,0 ,0 ,934.518 ,197.538 ,197.538 ,303.305 ,6.639 ,0 ,6.518 ,290.148 ,0 ,0 ,0 ,1.158.208 ,1.158.208 ,125.814 ,0 ,166.099 ,0 ,392.556 ,433.271 ,22.137 ,0 ,18.332 ,402.975 ,145.326 ,64.050 ,81.276 ,0 ,0 ,0 ,0 ,0 ,257.649 ,12.026 ,0 ,0 ,245.623 ,-125.776 
12.,BREZOVICA,5.220.968 ,1.209.878 ,197.364 ,37.079 ,15.578 ,12.480 ,106 ,176 ,8.740 ,968.759 ,291.420 ,0 ,169.967 ,3.871 ,5.082 ,355.634 ,0 ,12.497 ,7.450 ,122.838 ,0 ,0 ,0 ,0 ,0 ,6.677 ,0 ,6.677 ,0 ,2.221.220 ,25.818 ,0 ,25.818 ,1.372.194 ,1.263 ,8.701 ,417 ,0 ,0 ,1.361.812 ,154.475 ,154.475 ,668.734 ,0 ,74.826 ,0 ,511.684 ,82.224 ,0 ,0 ,1.477.408 ,1.477.408 ,0 ,0 ,111.486 ,0 ,384.614 ,754.908 ,45.062 ,0 ,181.338 ,312.462 ,230.248 ,10.432 ,155.832 ,0 ,0 ,0 ,63.983 ,0 ,82.214 ,0 ,0 ,0 ,82.214 ,1.091.532 
13.,BREŽICE,18.674.378 ,4.680.437 ,803.130 ,129.323 ,62.214 ,49.841 ,421 ,705 ,16.141 ,3.728.046 ,844.162 ,10.165 ,523.556 ,28.985 ,5.028 ,2.001.218 ,7.987 ,8.087 ,30.988 ,267.868 ,12.093 ,5.842 ,0 ,6.251 ,0 ,7.845 ,3.672 ,4.173 ,0 ,8.148.619 ,72.463 ,0 ,72.463 ,3.257.044 ,14.564 ,0 ,3.518 ,0 ,0 ,3.238.963 ,693.849 ,693.849 ,4.125.263 ,1.518.411 ,173.252 ,2.383 ,2.431.218 ,0 ,0 ,0 ,5.316.930 ,5.316.930 ,0 ,0 ,75.447 ,11.104 ,3.841.312 ,819.333 ,406.735 ,0 ,162.999 ,528.393 ,211.313 ,0 ,211.313 ,0 ,0 ,0 ,0 ,0 ,317.080 ,262.894 ,0 ,0 ,54.185 ,-434.164 
14.,CANKOVA,1.280.727 ,339.385 ,104.304 ,13.952 ,6.761 ,5.417 ,46 ,76 ,1.652 ,209.419 ,42.880 ,3.577 ,56.783 ,7.145 ,528 ,53.798 ,578 ,0 ,3.283 ,40.847 ,11.711 ,11.711 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,414.461 ,15.531 ,0 ,15.531 ,273.970 ,27.056 ,1.653 ,0 ,0 ,0 ,245.261 ,21.942 ,21.942 ,103.018 ,5.008 ,60.324 ,787 ,36.900 ,0 ,0 ,0 ,512.008 ,512.008 ,0 ,2.318 ,8.677 ,0 ,499.636 ,1.377 ,0 ,0 ,0 ,14.873 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.873 ,12.787 ,0 ,0 ,2.086 ,135.309 
15.,MESTNA OBČINA CELJE,45.279.519 ,11.248.093 ,2.444.488 ,396.311 ,192.138 ,153.931 ,1.302 ,2.170 ,46.770 ,8.274.491 ,309.606 ,246.340 ,976.665 ,60.866 ,13.299 ,3.543.807 ,599.608 ,486.217 ,101.778 ,1.936.304 ,82.728 ,81.890 ,0 ,839 ,0 ,50.075 ,50.075 ,0 ,0 ,13.921.023 ,176.895 ,16.279 ,160.616 ,6.546.332 ,0 ,0 ,275.305 ,0 ,0 ,6.271.027 ,333.450 ,333.450 ,6.864.347 ,280.942 ,553.322 ,125.188 ,5.904.895 ,0 ,0 ,0 ,17.752.220 ,17.752.220 ,1.481.180 ,20.694 ,239.075 ,0 ,12.348.957 ,816.721 ,2.359.268 ,0 ,486.325 ,2.358.183 ,688.675 ,0 ,688.675 ,0 ,0 ,0 ,0 ,0 ,1.669.508 ,0 ,0 ,0 ,1.669.508 ,-4.376.189 
16.,CERKLJE NA GORENJSKEM,5.477.249 ,888.796 ,176.390 ,28.551 ,13.721 ,10.991 ,92 ,154 ,3.593 ,667.163 ,211.826 ,15.486 ,106.084 ,6.589 ,830 ,215.740 ,626 ,0 ,6.414 ,103.568 ,0 ,0 ,0 ,0 ,0 ,16.692 ,0 ,16.692 ,0 ,1.097.413 ,98.444 ,0 ,98.444 ,718.261 ,2.533 ,15.377 ,3.338 ,0 ,0 ,697.012 ,124.549 ,124.549 ,156.159 ,0 ,20.556 ,0 ,135.603 ,0 ,0 ,0 ,2.278.664 ,2.278.664 ,0 ,0 ,389.296 ,72.676 ,1.040.845 ,636.163 ,24.161 ,0 ,115.523 ,1.212.377 ,1.186.087 ,73.181 ,612.156 ,0 ,500.751 ,0 ,0 ,0 ,26.289 ,26.289 ,0 ,0 ,0 ,431.585 
17.,CERKNICA,10.863.232 ,2.083.500 ,335.048 ,63.541 ,27.299 ,21.870 ,184 ,309 ,13.879 ,1.667.339 ,226.465 ,58.312 ,129.982 ,14.321 ,2.646 ,1.080.913 ,3.998 ,2.992 ,12.786 ,134.923 ,17.572 ,17.572 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.607.949 ,51.210 ,0 ,51.210 ,1.033.905 ,2.637 ,0 ,45.731 ,0 ,0 ,985.537 ,378.668 ,378.668 ,1.144.166 ,0 ,66.804 ,13.099 ,999.078 ,65.185 ,0 ,0 ,5.771.933 ,5.771.933 ,58.242 ,125.088 ,398.882 ,65.248 ,4.552.842 ,61.296 ,91.696 ,0 ,418.640 ,399.850 ,296.132 ,296.132 ,0 ,0 ,0 ,0 ,0 ,0 ,103.718 ,0 ,0 ,0 ,103.718 ,-1.483.150 
18.,CERKNO,4.056.841 ,1.212.205 ,229.952 ,38.767 ,18.839 ,15.093 ,128 ,213 ,4.494 ,832.661 ,76.956 ,4.983 ,93.559 ,24.992 ,3.349 ,336.710 ,6.984 ,1.252 ,11.209 ,272.668 ,6.788 ,3.780 ,0 ,3.008 ,0 ,104.037 ,19.796 ,58.586 ,25.656 ,1.341.925 ,29.787 ,0 ,29.787 ,752.575 ,0 ,0 ,0 ,0 ,3.129 ,749.446 ,153.030 ,153.030 ,406.533 ,1.028 ,20.652 ,0 ,384.852 ,0 ,0 ,0 ,1.313.811 ,1.313.811 ,113.325 ,0 ,33.967 ,1.342 ,427.289 ,649.744 ,11.982 ,0 ,76.161 ,188.900 ,62.972 ,25.528 ,30.961 ,0 ,4.173 ,2.311 ,0 ,0 ,125.928 ,45.874 ,0 ,21.764 ,58.290 ,-376.904 
19.,CERKVENJAK,1.336.616 ,376.112 ,118.744 ,19.842 ,10.498 ,7.338 ,61 ,108 ,1.837 ,232.231 ,31.830 ,240 ,66.256 ,3.887 ,7.507 ,89.756 ,0 ,0 ,3.549 ,29.206 ,5.294 ,2.081 ,3.213 ,0 ,0 ,0 ,0 ,0 ,0 ,326.943 ,2.463 ,0 ,2.463 ,180.874 ,0 ,1.502 ,0 ,0 ,0 ,179.371 ,35.943 ,35.943 ,107.662 ,0 ,15.432 ,0 ,92.230 ,0 ,0 ,0 ,587.960 ,587.960 ,0 ,0 ,9.576 ,0 ,385.447 ,4.933 ,119.279 ,0 ,68.725 ,45.602 ,14.554 ,10.356 ,4.115 ,0 ,0 ,83 ,0 ,0 ,31.047 ,0 ,0 ,0 ,31.047 ,-90.406 
20.,ČRENŠOVCI,2.420.692 ,652.856 ,168.529 ,31.404 ,16.183 ,11.768 ,92 ,1.377 ,1.985 ,435.640 ,68.322 ,11.086 ,60.665 ,2.723 ,9.372 ,218.828 ,0 ,0 ,3.308 ,61.335 ,0 ,0 ,0 ,0 ,0 ,17.284 ,13.111 ,4.173 ,0 ,874.882 ,19.006 ,0 ,19.006 ,472.870 ,0 ,0 ,5.081 ,0 ,0 ,467.789 ,50.291 ,50.291 ,332.716 ,41.717 ,67.188 ,0 ,140.930 ,81.593 ,1.288 ,0 ,675.783 ,675.783 ,0 ,0 ,9.356 ,0 ,151.133 ,360.871 ,0 ,0 ,154.423 ,217.171 ,96.970 ,0 ,10.186 ,0 ,0 ,0 ,86.784 ,0 ,120.201 ,0 ,0 ,0 ,120.201 ,108.003 
21.,ČRNA NA KOROŠKEM,3.094.721 ,1.432.044 ,245.080 ,40.210 ,19.125 ,15.089 ,129 ,217 ,5.650 ,1.116.041 ,83.312 ,47.004 ,258.913 ,29.749 ,3.075 ,405.174 ,16.333 ,2.516 ,7.165 ,262.798 ,14.246 ,14.246 ,0 ,0 ,0 ,16.466 ,12.293 ,4.173 ,0 ,915.544 ,4.628 ,0 ,4.628 ,528.084 ,0 ,0 ,0 ,0 ,0 ,528.084 ,161.384 ,161.384 ,221.449 ,0 ,36.918 ,1.490 ,183.041 ,0 ,0 ,0 ,605.884 ,605.884 ,63.983 ,8.166 ,25.584 ,35.149 ,264.004 ,149.065 ,15.073 ,0 ,44.859 ,141.249 ,74.424 ,41.729 ,32.695 ,0 ,0 ,0 ,0 ,0 ,66.825 ,0 ,0 ,0 ,66.825 ,-141.658 
