,,VIII.  50,500,5001,5002,5003,5004,IX.  55,550,5501,5502,5503,5504,X.,XI.,ST.,FI.
,,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,NETO ZADOLŽEVANJE  ,POVEČANJE (ZMANJŠANJE)  SREDSTEV NA RAČUNIH                                                                  ,STANJE SREDSTEV NA RAČUNIH OB KONCU                   PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE  IZRAVNAVE IZ PRETEKLEGA LETA
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,(VIII.-IX.),(III.+VI.+X) = (I.+IV.+VIII.) - (II.+V.+IX.),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,Odplačila glavnice vrednostnih papirjev,,,,
Zap. št.,OBČINA,,,,,,,,,,,,,,,,
106,NOVO MESTO (M),0 ,0 ,0 ,0 ,0 ,0 ,138.512 ,138.512 ,78.005 ,0 ,60.507 ,0 ,-138.512 ,-155.033 ,49.420 ,0 
107,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,4.281 ,4.281 ,4.281 ,0 ,0 ,0 ,-4.281 ,31.055 ,50.355 ,-8.922 
108,OPLOTNICA,104.323 ,104.323 ,104.323 ,0 ,0 ,0 ,1.740 ,1.740 ,1.740 ,0 ,0 ,0 ,102.583 ,142.768 ,27.971 ,0 
109,ORMOŽ,0 ,0 ,0 ,0 ,0 ,0 ,144.083 ,144.083 ,3.096 ,0 ,0 ,140.986 ,-144.083 ,-443.298 ,524.908 ,0 
110,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-47.872 ,82.365 ,0 
111,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,20.426 ,20.426 ,20.426 ,0 ,0 ,0 ,-20.426 ,-144.951 ,0 ,0 
112,PIRAN,0 ,0 ,0 ,0 ,0 ,0 ,14.493 ,14.493 ,0 ,0 ,14.493 ,0 ,-14.493 ,435.620 ,633.625 ,0 
113,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,17.885 ,17.885 ,17.885 ,0 ,0 ,0 ,-17.885 ,-51.452 ,64.288 ,0 
114,PODČETRTEK,90.135 ,90.135 ,0 ,0 ,90.135 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.135 ,14.893 ,0 ,0 
115,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,127.266 ,0 ,0 
116,PODVELKA,45.902 ,45.902 ,45.902 ,0 ,0 ,0 ,45.902 ,45.902 ,45.902 ,0 ,0 ,0 ,0 ,4.256 ,0 ,0 
117,POLZELA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,78.017 ,0 ,0 
118,POSTOJNA,488.691 ,488.691 ,0 ,0 ,488.691 ,0 ,98.176 ,98.176 ,0 ,0 ,13.950 ,84.226 ,390.515 ,128.647 ,31.501 ,0 
119,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,177.537 ,0 ,0 
120,PREDDVOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39.860 ,1.611 ,0 
121,PREVALJE,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,8.346 ,8.346 ,0 ,0 ,0 ,-8.346 ,20.577 ,24.503 ,0 
122,PTUJ (M),0 ,0 ,0 ,0 ,0 ,0 ,45.130 ,45.130 ,45.130 ,0 ,0 ,0 ,-45.130 ,-359.410 ,68.699 ,0 
123,PUCONCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,287.056 ,47.638 ,0 
124,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37.473 ,13.499 ,0 
125,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,47.167 ,47.167 ,0 ,0 ,0 ,47.167 ,-47.167 ,-67.985 ,0 ,0 
126,RADENCI,144.801 ,144.801 ,0 ,0 ,144.801 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,144.801 ,-101.294 ,146.415 ,0 
127,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,4.803 ,4.803 ,0 ,0 ,4.803 ,0 ,-4.803 ,5.792 ,0 ,0 
128,RADOVLJICA,0 ,0 ,0 ,0 ,0 ,0 ,8.751 ,8.751 ,0 ,0 ,8.751 ,0 ,-8.751 ,170.109 ,295.043 ,0 
129,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,38.654 ,38.654 ,38.654 ,0 ,0 ,0 ,-38.654 ,27.341 ,75.075 ,0 
130,RAZKRIŽJE,6.259 ,6.259 ,6.259 ,0 ,0 ,0 ,6.259 ,6.259 ,6.259 ,0 ,0 ,0 ,0 ,34.696 ,0 ,0 
131,RIBNICA,8.346 ,8.346 ,0 ,0 ,8.346 ,0 ,129.352 ,129.352 ,121.007 ,0 ,8.346 ,0 ,-121.007 ,-1.106 ,9.685 ,0 
132,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,77.278 ,0 ,0 
133,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,9.752 ,9.752 ,0 ,0 ,9.752 ,0 ,-9.752 ,144.542 ,0 ,267.760 
134,ROGAŠOVCI,70.940 ,70.940 ,70.940 ,0 ,0 ,0 ,6.852 ,6.852 ,6.852 ,0 ,0 ,0 ,64.088 ,1.557 ,1.494 ,0 
135,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79.386 ,27.387 ,0 
136,RUŠE,0 ,0 ,0 ,0 ,0 ,0 ,6.109 ,6.109 ,6.109 ,0 ,0 ,0 ,-6.109 ,357.799 ,40.327 ,0 
137,SELNICA OB DRAVI,25.238 ,25.238 ,25.238 ,0 ,0 ,0 ,2.654 ,2.654 ,2.654 ,0 ,0 ,0 ,22.584 ,54.236 ,0 ,0 
138,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,42.906 ,42.906 ,0 ,0 ,16.692 ,26.214 ,-42.906 ,-44.112 ,50.793 ,0 
139,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,59.301 ,59.301 ,59.301 ,0 ,0 ,0 ,-59.301 ,54.853 ,35.194 ,0 
140,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,141.350 ,225.776 ,0 
141,SLOVENJ GRADEC (M),0 ,0 ,0 ,0 ,0 ,0 ,15.394 ,15.394 ,6.322 ,0 ,9.072 ,0 ,-15.394 ,98.043 ,271.632 ,-75.618 
142,SLOVENSKA BISTRICA,500.751 ,500.751 ,500.751 ,0 ,0 ,0 ,67.810 ,67.810 ,67.810 ,0 ,0 ,0 ,432.941 ,-339.021 ,363.070 ,0 
143,SLOVENSKE KONJICE,0 ,0 ,0 ,0 ,0 ,0 ,316.717 ,316.717 ,223.060 ,0 ,93.657 ,0 ,-316.717 ,-21.453 ,0 ,0 
144,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.440 ,0 ,0 
145,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.332 ,0 ,0 
146,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,1.285 ,1.285 ,0 ,0 ,1.285 ,0 ,-1.285 ,194.417 ,0 ,0 
147,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,2.207 ,2.207 ,0 ,0 ,2.207 ,0 ,-2.207 ,189.046 ,0 ,0 
148,SVETI ANDRAŽ V SLOV. GORICAH,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,41.007 ,12.089 ,0 
149,SVETI JURIJ,58.421 ,58.421 ,58.421 ,0 ,0 ,0 ,58.421 ,58.421 ,58.421 ,0 ,0 ,0 ,0 ,68.983 ,109 ,0 
150,ŠALOVCI,0 ,0 ,0 ,0 ,0 ,0 ,30.738 ,30.738 ,30.738 ,0 ,0 ,0 ,-30.738 ,5.279 ,188 ,0 
151,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.047.948 ,0 ,0 
152,ŠENČUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44.300 ,131.430 ,0 
153,ŠENTILJ,0 ,0 ,0 ,0 ,0 ,0 ,39.630 ,39.630 ,39.630 ,0 ,0 ,0 ,-39.630 ,282.219 ,0 ,0 
154,ŠENTJERNEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.364 ,25.321 ,-32.303 
155,ŠENTJUR PRI CELJU,0 ,0 ,0 ,0 ,0 ,0 ,103.639 ,103.639 ,0 ,103.639 ,0 ,0 ,-103.639 ,0 ,0 ,0 
156,ŠKOCJAN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,154.110 ,6.201 ,0 
157,ŠKOFJA LOKA,0 ,0 ,0 ,0 ,0 ,0 ,53.326 ,53.326 ,0 ,0 ,53.326 ,0 ,-53.326 ,-68.198 ,72.488 ,0 
158,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-79.215 ,397.054 ,0 
159,ŠMARJE PRI JELŠAH,0 ,0 ,0 ,0 ,0 ,0 ,185.724 ,185.724 ,0 ,156.514 ,29.210 ,0 ,-185.724 ,8.425 ,13.320 ,0 
160,ŠMARTNO OB PAKI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-28.393 ,33.521 ,0 
161,ŠOŠTANJ,350.526 ,350.526 ,0 ,350.526 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,350.526 ,-1.535.658 ,0 ,0 
162,ŠTORE,611.780 ,611.780 ,270.406 ,0 ,341.375 ,0 ,371.474 ,371.474 ,266.633 ,0 ,104.841 ,0 ,240.306 ,-593 ,5.888 ,0 
163,TABOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.845 ,0 ,0 
164,TIŠINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.888 ,0 ,0 
165,TOLMIN,0 ,0 ,0 ,0 ,0 ,0 ,69.450 ,69.450 ,52.775 ,0 ,16.675 ,0 ,-69.450 ,-36.663 ,49.624 ,0 
166,TRBOVLJE,53.330 ,53.330 ,0 ,0 ,53.330 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53.330 ,-103.146 ,274.303 ,0 
167,TREBNJE,0 ,0 ,0 ,0 ,0 ,0 ,177.737 ,177.737 ,166.917 ,0 ,10.820 ,0 ,-177.737 ,26.915 ,32.399 ,0 
168,TRNOVSKA VAS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.523 ,18.807 ,0 
169,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,6.606 ,6.606 ,6.606 ,0 ,0 ,0 ,-6.606 ,134.377 ,0 ,0 
170,TRŽIČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.622 ,91.863 ,0 
171,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,434.844 ,0 ,0 
172,VELENJE (M),0 ,0 ,0 ,0 ,0 ,0 ,65.832 ,65.832 ,0 ,0 ,65.832 ,0 ,-65.832 ,-386.855 ,276.899 ,0 
173,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59.197 ,0 ,0 
174,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.101 ,42.585 ,0 
175,VERŽEJ,0 ,0 ,0 ,0 ,0 ,0 ,14.605 ,14.605 ,0 ,0 ,14.605 ,0 ,-14.605 ,-5.245 ,0 ,0 
176,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,113.420 ,0 ,0 
177,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,27.212 ,27.212 ,6.297 ,0 ,0 ,20.915 ,-27.212 ,655.053 ,81.464 ,0 
178,VITANJE,52.917 ,52.917 ,52.917 ,0 ,0 ,0 ,3.030 ,3.030 ,3.030 ,0 ,0 ,0 ,49.887 ,-54.682 ,52.070 ,0 
179,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,264.409 ,141.133 ,0 
180,VOJNIK,187.782 ,187.782 ,187.782 ,0 ,0 ,0 ,192.768 ,192.768 ,190.461 ,2.308 ,0 ,0 ,-4.987 ,-6.372 ,8.880 ,0 
181,VRANSKO,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,40.640 ,0 ,0 
182,VRHNIKA,0 ,0 ,0 ,0 ,0 ,0 ,17.468 ,17.468 ,5.099 ,12.369 ,0 ,0 ,-17.468 ,2.833 ,110.411 ,0 
183,VUZENICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,121.962 ,972 ,0 
184,ZAGORJE OB SAVI,0 ,0 ,0 ,0 ,0 ,0 ,378.722 ,378.722 ,0 ,0 ,3.793 ,374.929 ,-378.722 ,-218.069 ,224.758 ,0 
185,ZAVRČ,0 ,0 ,0 ,0 ,0 ,0 ,1.227 ,1.227 ,0 ,0 ,1.227 ,0 ,-1.227 ,28.301 ,0 ,0 
186,ZREČE,0 ,0 ,0 ,0 ,0 ,0 ,175.964 ,175.964 ,91.366 ,0 ,84.598 ,0 ,-175.964 ,3.806 ,2.625 ,0 
187,ŽALEC,292.105 ,292.105 ,292.105 ,0 ,0 ,0 ,3.489 ,3.489 ,0 ,0 ,3.489 ,0 ,288.616 ,12.202 ,0 ,0 
188,ŽELEZNIKI,0 ,0 ,0 ,0 ,0 ,0 ,56.568 ,56.568 ,56.568 ,0 ,0 ,0 ,-56.568 ,128.376 ,129.498 ,33.425 
189,ŽETALE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,126.177 ,0 ,0 
190,ŽIRI,0 ,0 ,0 ,0 ,0 ,0 ,49.996 ,49.996 ,0 ,0 ,49.996 ,0 ,-49.996 ,-975.200 ,4.611 ,0 
191,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,3.025 ,3.025 ,0 ,0 ,3.025 ,0 ,-3.025 ,175.497 ,0 ,0 
192,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,379.945 ,0 ,0 
,SKUPAJ,8.415.736 ,8.415.736 ,4.906.309 ,350.526 ,3.158.901 ,0 ,9.381.038 ,9.381.038 ,4.992.267 ,356.606 ,2.438.257 ,1.593.908 ,-965.301 ,9.426.406 ,59.423.185 ,886.254 
