7.,BOHINJ,2.358.792 ,835.549 ,210.612 ,29.277 ,564.092 ,81.410 ,166.625 ,104.048 ,105.291 ,6.097 ,10.036 ,730 ,5.216 ,7.987 ,76.652 ,6.234 ,0 ,0 ,6.234 ,0 ,25.334 ,918.974 ,174.295 ,24.808 ,149.487 ,408.070 ,3.777 ,9.535 ,0 ,0 ,14.676 ,380.083 ,114.881 ,114.881 ,221.728 ,15.857 ,6.414 ,0 ,199.458 ,0 ,519.045 ,519.045 ,32.273 ,45.072 ,42.535 ,5.654 ,218.131 ,124.324 ,1.669 ,0 ,49.387 ,85.224 ,85.224 ,37.110 ,0 ,38.704 ,0 ,0 ,0 ,0 ,9.410 ,0 ,169.826 
8.,BOROVNICA ,1.293.277 ,288.086 ,57.265 ,10.232 ,217.330 ,32.670 ,313 ,43.636 ,113 ,876 ,84.264 ,4.357 ,0 ,2.153 ,48.948 ,275 ,0 ,0 ,275 ,0 ,2.984 ,566.650 ,26.110 ,5.133 ,20.977 ,352.721 ,0 ,0 ,0 ,0 ,1.127 ,351.594 ,62.051 ,62.051 ,125.768 ,0 ,9.051 ,3.647 ,113.070 ,0 ,402.028 ,402.028 ,93.040 ,0 ,1.648 ,0 ,228.768 ,33.826 ,0 ,0 ,44.746 ,36.513 ,36.513 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,28.167 ,0 ,283.600 
9.,BOVEC,3.078.376 ,614.117 ,191.141 ,27.370 ,395.606 ,45.798 ,0 ,109.556 ,0 ,14.881 ,26.340 ,164.167 ,0 ,0 ,34.865 ,0 ,0 ,0 ,0 ,0 ,0 ,961.855 ,13.833 ,0 ,13.833 ,253.413 ,0 ,951 ,14.910 ,0 ,0 ,237.552 ,158.262 ,158.262 ,536.346 ,7.920 ,12.490 ,3.042 ,512.894 ,0 ,1.490.114 ,1.490.114 ,0 ,0 ,12.707 ,0 ,1.202.917 ,136.425 ,15.023 ,0 ,123.043 ,12.289 ,12.289 ,0 ,0 ,1.181 ,0 ,0 ,0 ,0 ,11.108 ,0 ,190.644 
10.,BRASLOVČE,1.637.744 ,433.287 ,101.678 ,14.555 ,302.959 ,21.904 ,5.487 ,19.575 ,4.574 ,1.210 ,187.118 ,0 ,0 ,4.361 ,58.730 ,0 ,0 ,0 ,0 ,0 ,14.096 ,811.067 ,71.478 ,0 ,71.478 ,463.996 ,0 ,7.461 ,0 ,0 ,0 ,456.535 ,69.563 ,69.563 ,206.030 ,98.498 ,18.215 ,0 ,89.317 ,0 ,263.149 ,263.149 ,0 ,0 ,9.231 ,0 ,130.658 ,91.704 ,0 ,0 ,31.556 ,130.241 ,130.241 ,0 ,0 ,14.605 ,98.402 ,0 ,17.234 ,0 ,0 ,0 ,54.478 
11.,BRDA,2.631.309 ,481.643 ,203.868 ,23.402 ,227.387 ,79.912 ,213 ,31.067 ,5.980 ,4.803 ,9.139 ,3.898 ,0 ,7.336 ,85.040 ,22.434 ,22.129 ,0 ,305 ,0 ,4.553 ,1.096.319 ,19.404 ,0 ,19.404 ,359.840 ,0 ,0 ,0 ,0 ,0 ,359.840 ,119.463 ,119.463 ,597.613 ,16.771 ,0 ,0 ,580.842 ,0 ,968.382 ,968.382 ,67.852 ,7.503 ,7.278 ,0 ,587.339 ,293.824 ,0 ,0 ,4.586 ,84.965 ,84.965 ,0 ,0 ,5.759 ,0 ,0 ,0 ,0 ,79.206 ,0 ,21.240 
12.,BREZOVICA,3.503.697 ,608.550 ,122.242 ,17.222 ,463.153 ,142.760 ,2.900 ,14.609 ,3.000 ,0 ,245.752 ,0 ,0 ,0 ,54.131 ,0 ,0 ,0 ,0 ,0 ,5.934 ,1.518.812 ,92.514 ,0 ,92.514 ,199.153 ,0 ,0 ,1.127 ,0 ,0 ,198.026 ,114.847 ,114.847 ,1.112.298 ,73.189 ,29.590 ,0 ,1.009.518 ,0 ,471.962 ,471.962 ,0 ,0 ,21.520 ,0 ,228.088 ,139.685 ,29.932 ,0 ,52.737 ,904.373 ,904.373 ,596.841 ,0 ,90.469 ,12.540 ,0 ,0 ,0 ,204.523 ,0 ,54.937 
13.,BREŽICE,9.357.157 ,2.906.005 ,565.014 ,79.394 ,2.231.506 ,398.907 ,12.648 ,265.327 ,17.134 ,12.406 ,1.314.960 ,11.000 ,18.282 ,24.729 ,156.113 ,12.206 ,0 ,0 ,12.206 ,0 ,17.885 ,4.867.535 ,198.894 ,88.933 ,109.961 ,2.204.319 ,5.108 ,0 ,2.892 ,0 ,0 ,2.196.319 ,527.312 ,527.312 ,1.937.010 ,885.411 ,139.693 ,14.672 ,897.233 ,0 ,1.231.067 ,1.231.067 ,251.502 ,49.850 ,45.606 ,10.612 ,170.898 ,448.640 ,91.921 ,0 ,162.039 ,352.550 ,352.550 ,0 ,0 ,0 ,277.041 ,0 ,7.720 ,0 ,67.789 ,0 ,1.135.670 
14.,CANKOVA,1.015.732 ,225.484 ,85.341 ,9.189 ,125.726 ,21.599 ,2.036 ,22.446 ,2.600 ,1.410 ,43.131 ,1.018 ,0 ,2.320 ,29.165 ,5.229 ,5.229 ,0 ,0 ,0 ,0 ,429.085 ,152.750 ,0 ,152.750 ,80.187 ,1.778 ,0 ,0 ,0 ,0 ,78.409 ,32.603 ,32.603 ,163.545 ,534 ,19.045 ,2.333 ,141.633 ,0 ,304.828 ,304.828 ,0 ,0 ,22.997 ,0 ,198.782 ,40.361 ,0 ,0 ,42.689 ,56.335 ,56.335 ,0 ,0 ,56.335 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.495 
15.,MESTNA OBČINA CELJE,25.670.251 ,4.472.292 ,1.989.401 ,278.710 ,2.167.772 ,246.315 ,121.474 ,456.556 ,26.974 ,18.290 ,134.948 ,423.673 ,0 ,27.967 ,711.576 ,5.333 ,5.333 ,0 ,0 ,0 ,31.076 ,15.791.383 ,401.369 ,282.132 ,119.237 ,1.841.496 ,0 ,0 ,222.271 ,0 ,0 ,1.619.225 ,236.755 ,236.755 ,13.311.763 ,163.161 ,331.013 ,307.545 ,12.510.044 ,0 ,3.170.226 ,3.170.226 ,434.297 ,17.096 ,196.244 ,0 ,1.497.171 ,86.630 ,848.590 ,0 ,90.198 ,2.236.350 ,2.236.350 ,0 ,0 ,0 ,611.668 ,0 ,0 ,0 ,1.624.683 ,0 ,781.055 
16.,CERKLJE NA GORENJSKEM,3.993.624 ,383.955 ,73.414 ,10.007 ,279.782 ,51.728 ,5.442 ,26.269 ,3.317 ,2.629 ,105.955 ,0 ,11.576 ,0 ,72.868 ,0 ,0 ,0 ,0 ,0 ,20.752 ,654.014 ,46.837 ,0 ,46.837 ,487.356 ,2.316 ,11.350 ,7.140 ,0 ,0 ,466.550 ,47.409 ,47.409 ,72.413 ,0 ,0 ,1.673 ,70.739 ,0 ,2.459.155 ,2.459.155 ,101.381 ,0 ,5.220 ,807.036 ,1.304.019 ,46.265 ,4.490 ,0 ,190.744 ,496.499 ,496.499 ,16.166 ,0 ,15.440 ,398.585 ,0 ,0 ,2.066 ,64.242 ,0 ,-18.252 
17.,CERKNICA,4.786.138 ,808.100 ,348.736 ,48.982 ,249.654 ,44.905 ,9.631 ,66.216 ,6.773 ,522 ,27.454 ,4.903 ,0 ,13.124 ,76.127 ,34.352 ,28.151 ,0 ,6.201 ,0 ,126.377 ,2.288.065 ,35.754 ,0 ,35.754 ,353.267 ,0 ,1.669 ,1.715 ,0 ,0 ,349.883 ,132.808 ,132.808 ,1.766.237 ,0 ,33.863 ,96.073 ,1.636.300 ,0 ,1.679.753 ,1.679.753 ,0 ,0 ,129.803 ,0 ,1.412.256 ,82.232 ,3.234 ,0 ,52.228 ,10.220 ,10.220 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.220 ,0 ,-200.376 
18.,CERKNO,2.334.247 ,708.696 ,135.253 ,20.835 ,538.107 ,63.328 ,0 ,34.573 ,6.810 ,3.768 ,171.833 ,2.483 ,2.650 ,7.357 ,245.305 ,2.483 ,0 ,0 ,2.483 ,0 ,12.018 ,1.004.628 ,24.086 ,0 ,24.086 ,236.609 ,0 ,0 ,1.281 ,0 ,0 ,235.328 ,153.889 ,153.889 ,590.043 ,57.636 ,16.254 ,2.779 ,513.374 ,0 ,518.269 ,518.269 ,17.526 ,0 ,15.269 ,20.013 ,228.906 ,191.533 ,13.908 ,0 ,31.113 ,102.654 ,102.654 ,0 ,0 ,23.368 ,0 ,0 ,0 ,0 ,79.286 ,0 ,-11.605 
19.,CERKVENJAK,919.304 ,172.784 ,58.162 ,8.208 ,103.105 ,46.925 ,0 ,6.898 ,2.842 ,2.274 ,5.425 ,0 ,0 ,2.833 ,35.908 ,1.018 ,0 ,1.018 ,0 ,0 ,2.291 ,336.142 ,12.419 ,0 ,12.419 ,68.691 ,0 ,0 ,0 ,0 ,0 ,68.691 ,22.121 ,22.121 ,232.912 ,0 ,15.548 ,0 ,217.364 ,0 ,336.647 ,336.647 ,0 ,8.200 ,12.936 ,0 ,216.116 ,79.670 ,3.918 ,0 ,15.807 ,73.731 ,73.731 ,0 ,0 ,2.729 ,0 ,0 ,0 ,66.980 ,4.023 ,0 ,96.557 
20.,ČRENŠOVCI,2.452.333 ,228.430 ,87.419 ,12.114 ,116.692 ,29.903 ,4.411 ,18.311 ,0 ,9.915 ,23.252 ,968 ,0 ,2.157 ,27.775 ,0 ,0 ,0 ,0 ,0 ,12.206 ,740.056 ,131.168 ,0 ,131.168 ,63.299 ,0 ,0 ,0 ,0 ,0 ,63.299 ,47.012 ,47.012 ,498.577 ,63.654 ,43.711 ,0 ,391.212 ,0 ,1.405.149 ,1.405.149 ,0 ,0 ,4.423 ,0 ,1.297.989 ,83.534 ,11.684 ,0 ,7.520 ,78.697 ,78.697 ,0 ,16.692 ,18.666 ,0 ,0 ,0 ,0 ,43.340 ,0 ,-56.518 
21.,ČRNA NA KOROŠKEM,2.026.281 ,904.248 ,156.506 ,22.354 ,706.948 ,77.846 ,29 ,125.939 ,12.748 ,2.792 ,379.010 ,18.077 ,835 ,5.671 ,84.001 ,10.094 ,10.094 ,0 ,0 ,0 ,8.346 ,777.057 ,26.010 ,0 ,26.010 ,166.329 ,0 ,0 ,2.216 ,0 ,0 ,164.113 ,165.093 ,165.093 ,419.625 ,6.259 ,14.697 ,1.678 ,396.991 ,0 ,306.835 ,306.835 ,16.633 ,0 ,35.453 ,0 ,208.087 ,26.498 ,7.106 ,0 ,13.057 ,38.141 ,38.141 ,0 ,0 ,9.310 ,0 ,0 ,13.721 ,0 ,15.110 ,0 ,3.881 
22.,ČRNOMELJ,6.311.985 ,1.032.670 ,287.899 ,40.891 ,638.116 ,76.277 ,0 ,37.535 ,3.017 ,5.967 ,363.821 ,2.116 ,0 ,12.736 ,136.647 ,57.478 ,0 ,22.146 ,35.261 ,71 ,8.287 ,2.481.022 ,342.026 ,0 ,342.026 ,1.225.659 ,0 ,0 ,1.623 ,0 ,12.089 ,1.211.947 ,207.415 ,207.415 ,705.921 ,80.283 ,49.612 ,13.612 ,562.414 ,0 ,2.691.896 ,2.691.896 ,0 ,20.097 ,195.268 ,0 ,2.262.298 ,20.431 ,15.048 ,0 ,178.756 ,106.397 ,106.397 ,8.329 ,0 ,4.382 ,0 ,0 ,0 ,0 ,93.686 ,0 ,-111.067 
23.,DESTRNIK,1.009.844 ,290.298 ,91.112 ,12.260 ,158.592 ,57.561 ,1.410 ,35.224 ,4.586 ,480 ,19.542 ,0 ,0 ,0 ,39.789 ,28.334 ,28.334 ,0 ,0 ,0 ,0 ,442.497 ,68.090 ,0 ,68.090 ,133.212 ,5.529 ,2.141 ,0 ,0 ,313 ,125.230 ,21.382 ,21.382 ,219.813 ,18.127 ,26.406 ,0 ,175.280 ,0 ,275.467 ,275.467 ,0 ,0 ,4.302 ,0 ,242.334 ,7.111 ,0 ,19.129 ,2.591 ,1.582 ,1.582 ,0 ,0 ,0 ,1.582 ,0 ,0 ,0 ,0 ,0 ,196.011 
24.,DIVAČA,1.452.362 ,298.598 ,122.363 ,17.760 ,154.457 ,30.855 ,0 ,16.704 ,0 ,3.334 ,8.742 ,6.239 ,0 ,5.967 ,82.616 ,263 ,263 ,0 ,0 ,0 ,3.756 ,790.632 ,46.261 ,0 ,46.261 ,156.464 ,0 ,0 ,0 ,0 ,3.509 ,152.954 ,48.539 ,48.539 ,539.367 ,33.546 ,13.938 ,4.857 ,487.026 ,0 ,267.122 ,267.122 ,75.113 ,0 ,26.732 ,0 ,138.921 ,5.700 ,0 ,0 ,20.656 ,96.011 ,96.011 ,13.733 ,0 ,11.467 ,0 ,0 ,0 ,0 ,70.810 ,0 ,297.676 
25.,DOBJE,464.493 ,157.478 ,28.676 ,3.655 ,125.146 ,12.974 ,3.501 ,8.338 ,6.022 ,384 ,83.984 ,0 ,0 ,643 ,9.301 ,0 ,0 ,0 ,0 ,0 ,0 ,140.189 ,5.483 ,75 ,5.408 ,79.302 ,417 ,0 ,513 ,0 ,0 ,78.372 ,14.847 ,14.847 ,40.557 ,0 ,5.049 ,0 ,35.507 ,0 ,77.942 ,77.942 ,0 ,0 ,438 ,0 ,62.010 ,0 ,0 ,0 ,15.494 ,88.883 ,88.883 ,0 ,0 ,14.188 ,0 ,0 ,0 ,0 ,74.695 ,0 ,2.554 
26.,DOBREPOLJE,1.995.497 ,264.839 ,84.723 ,11.926 ,166.391 ,24.299 ,14.881 ,25.668 ,2.224 ,1.527 ,72.308 ,0 ,0 ,3.230 ,22.254 ,17 ,0 ,0 ,17 ,0 ,1.782 ,631.355 ,7.666 ,0 ,7.666 ,454.131 ,230 ,0 ,0 ,0 ,0 ,453.902 ,86.313 ,86.313 ,83.246 ,2.541 ,8.876 ,3.943 ,67.885 ,0 ,985.699 ,985.699 ,0 ,0 ,15.740 ,0 ,849.345 ,54.261 ,2.571 ,0 ,63.783 ,113.604 ,113.604 ,0 ,0 ,17.109 ,56.718 ,0 ,0 ,0 ,39.776 ,0 ,-217.405 
27.,DOBRNA,885.466 ,385.620 ,88.433 ,11.876 ,281.138 ,50.714 ,9.364 ,30.304 ,2.166 ,6.668 ,113.237 ,12.456 ,0 ,2.199 ,54.031 ,0 ,0 ,0 ,0 ,0 ,4.173 ,335.303 ,28.142 ,0 ,28.142 ,168.348 ,0 ,0 ,743 ,0 ,0 ,167.606 ,45.831 ,45.831 ,92.981 ,10.996 ,10.578 ,0 ,71.407 ,0 ,151.244 ,151.244 ,0 ,2.992 ,17.660 ,0 ,98.448 ,0 ,0 ,1.611 ,30.533 ,13.299 ,13.299 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.299 ,0 ,91.721 
28.,DOBROVA - POLHOV GRADEC,2.732.591 ,699.145 ,115.240 ,10.491 ,572.117 ,163.554 ,14.276 ,39.409 ,4.432 ,1.515 ,279.315 ,10.770 ,0 ,868 ,57.979 ,1.298 ,0 ,0 ,1.298 ,0 ,0 ,1.085.716 ,67.263 ,2.504 ,64.760 ,677.600 ,0 ,14.109 ,19.241 ,0 ,0 ,644.250 ,159.614 ,159.614 ,181.239 ,3.501 ,24.645 ,0 ,153.092 ,0 ,889.338 ,889.338 ,0 ,5.512 ,2.742 ,0 ,17.414 ,854.056 ,0 ,0 ,9.614 ,58.392 ,58.392 ,0 ,0 ,30.003 ,0 ,0 ,0 ,0 ,28.388 ,0 ,-9.180 
29.,DOBROVNIK,851.999 ,257.841 ,67.461 ,9.493 ,178.800 ,40.436 ,8.973 ,38.461 ,6.628 ,6.076 ,16.541 ,2.997 ,0 ,2.583 ,56.106 ,0 ,0 ,0 ,0 ,0 ,2.086 ,345.449 ,98.533 ,0 ,98.533 ,23.657 ,0 ,0 ,3.038 ,0 ,0 ,20.619 ,32.944 ,32.944 ,190.316 ,5.855 ,13.926 ,655 ,169.880 ,0 ,212.843 ,212.843 ,0 ,35.931 ,13.756 ,1.547 ,84.306 ,42.988 ,3.112 ,0 ,31.204 ,35.866 ,35.866 ,6.239 ,0 ,417 ,0 ,0 ,0 ,0 ,29.210 ,0 ,-61.281 
