,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR
,,,01,011,0111,0112,0113,012,0121,013,0131,0132,0133,015,0150,016,0160,017,0171,018,0180,02,022,0220,03,031,0310,032,0320,04,041,0411,0412,042,0421,0422,0423,043,0432,0435,0436,045,0451,0452,0453,0454,046,0460,047,0473,049,0490,05,051,0510,052,0520,053,0530,054,0540,056,0560,06,061,0610,062,0620,063,0630,064,0640,07,071,0711,072,0721,073,0731,0732,074,0740,08,081,0810,082,0820,083,0830,084,0840,09,091,0911,0912,092,0920,0921,0922,0923,093,0930,094,0941,095,0950,096,0960,10,101,1012,104,1040,107,1070,109,1090,XI.
,,,"01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","02
OBRAMBA","02
OBRAMBA","02
OBRAMBA","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","SKUPAJ VSE DEJAVNOSTI
(OD 01 DO 10)"
,,TEKOČI ODHODKI (K2=40),,"011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev",012 Gospodarska pomoč drugim državam,012 Gospodarska pomoč drugim državam,013 Splošne zadeve,013 Splošne zadeve,013 Splošne zadeve,013 Splošne zadeve,015 Raziskave in razvoj na področju javne uprave,015 Raziskave in razvoj na področju javne uprave,016 Druge dejavnosti javne uprave,016 Druge dejavnosti javne uprave,017 Servisiranje javnega dolga,017 Servisiranje javnega dolga,018 Splošni transferi med javnofinančnimi institucijami na različnih ravneh države,018 Splošni transferi med javnofinančnimi institucijami na različnih ravneh države,,022 Civilna zaščita,022 Civilna zaščita,,031 Policija,031 Policija,032 Protipožarna varnost,032 Protipožarna varnost,,"041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov",043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,045 Promet,045 Promet,045 Promet,045 Promet,045 Promet,046 Komunikacije,046 Komunikacije,047 Druge gospodarske dejavnosti,047 Druge gospodarske dejavnosti,049 Druge dejavnosti s področja gospodarskih zadev,049 Druge dejavnosti s področja gospodarskih zadev,,051 Zbiranje in ravnanje z odpadki,051 Zbiranje in ravnanje z odpadki,052 Ravnanje z odpadno vodo,052 Ravnanje z odpadno vodo,053 Zmanjševanje onesnaževanja,053 Zmanjševanje onesnaževanja,054 Varstvo biološke raznovrstnosti in krajine,054 Varstvo biološke raznovrstnosti in krajine,056 Druge dejavnosti s področja varstva okolja,056 Druge dejavnosti s področja varstva okolja,,061 Stanovanjska dejavnost,061 Stanovanjska dejavnost,062 Dejavnosti na področju prostorskega načrtovanja in razvoja,062 Dejavnosti na področju prostorskega načrtovanja in razvoja,063 Oskrba z vodo,063 Oskrba z vodo,064 Cestna razsvetljava,064 Cestna razsvetljava,,"071 Oskrba z zdravili, drugimi farmacevtskimi izdelki in ortopedskimi pripomočki","071 Oskrba z zdravili, drugimi farmacevtskimi izdelki in ortopedskimi pripomočki",072 Izvenbolnišnične zdravstvene storitve,072 Izvenbolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,074 Storitve splošnega zdravstvenega varstva,074 Storitve splošnega zdravstvenega varstva,,081 Dejavnosti na področju športa in rekreacije,081 Dejavnosti na področju športa in rekreacije,082 Kulturne dejavnosti,082 Kulturne dejavnosti,083 Dejavnosti radia in televizije ter založništva,083 Dejavnosti radia in televizije ter založništva,"084 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij","084 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij",,091 Predšolska vzgoja in osnovnošolsko izobraževanje,091 Predšolska vzgoja in osnovnošolsko izobraževanje,091 Predšolska vzgoja in osnovnošolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,093 Višješolsko izobraževanje,093 Višješolsko izobraževanje,094 Visokošolsko izobraževanje,094 Visokošolsko izobraževanje,"095 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah","095 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah",096 Podporne storitve pri izobraževanju,096 Podporne storitve pri izobraževanju,,101 Varstvo obolelih in invalidnih oseb,101 Varstvo obolelih in invalidnih oseb,104 Varstvo otrok in družine,104 Varstvo otrok in družine,107 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,107 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,109 Druge dejavnosti na področju socialnega varstva,109 Druge dejavnosti na področju socialnega varstva,
"Zap.
št.",ID,OBČINA,,,0111 Dejavnosti izvršilnih in zakonodajnih organov,0112 Dejavnosti s področja finančnih in fiskalnih zadev,0113 Dejavnosti s področja zunanjih zadev,,0121 Gospodarska pomoč drugim državam,,0131 Splošne kadrovske zadeve,0132 Razvojno načrtovanje in statistične storitve,0133 Druge splošne zadeve in storitve,,0150 Raziskave in razvoj na področju javne uprave,,0160 Druge dejavnosti javne uprave,,0171 Servisiranje javnega dolga države,,0180 Splošni transferi med javnofinančnimi institucijami  na različnih ravneh države,,,0220 Civilna zaščita,,,0310 Policija,,0320 Protipožarna varnost,,,0411 Dejavnosti s področja splošnih gospodarskih in trgovinskih zadev,"0412 Dejavnosti s področja splošnih zadev, povezanih z delom in zaposlovanjem",,0421 Kmetijstvo,0422 Gozdarstvo,0423 Ribištvo in lov,,0432 Pridobivanje in distribucija nafte in zemeljskega plina,0435 Pridobivanje in distribucija električne energije,0436 Pridobivanje in distribucija druge energije,,0451 Cestni promet,0452 Vodni promet,0453 Železniški promet,0454 Zračni promet,,0460 Komunikacije,,0473 Turizem,,0490 Druge dejavnosti s področja gospodarskih zadev,,,0510 Zbiranje in ravnanje z odpadki,,0520 Ravnanje z odpadno vodo,,0530 Zmanjševanje onesnaževanja,,0540 Varstvo biološke raznovrstnosti in krajine,,0560 Druge dejavnosti s področja varstva okolja,,,0610 Stanovanjska dejavnost,,0620 Dejavnosti na področju prostorskega načrtovanja in razvoja,,0630 Oskrba z vodo,,0640 Cestna razsvetljava,,,0711 Oskrba z zdravili,,0721 Splošne zdravstvene storitve,,0731 Storitve splošnih bolnišnic,0732 Storitve specializiranih bolnišnic,,0740 Storitve splošnega zdravstvenega varstva,,,0810 Dejavnosti na področju športa in rekreacije,,0820 Kulturne dejavnosti,,0830 Dejavnosti radia in televizije ter založništva,,"0840 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij",,,0911 Predšolska vzgoja,0912 Osnovnošolsko izobraževanje,,0920 Srednje izobraževanje,0921 Srednje poklicno izobraževanje,0922 Srednje strokovno izobraževanje,0923 Srednje splošno izobraževanje,,0930 Višješolsko izobraževanje,,0941 Visokošolsko izobraževanje,,"0950 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah",,0960 Podporne storitve pri izobraževanju,,,1012 Varstvo invalidnih oseb,,1040 Varstvo otrok in družine,,1070 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,,1090 Druge dejavnosti na področju socialne varnosti,
1.,1 ,OBČINA AJDOVŠČINA,"1.592.583,83 ","1.251.063,66 ","1.234.386,78 ","16.676,88 ","0,00 ","0,00 ","0,00 ","152.024,85 ","0,00 ","0,00 ","152.024,85 ","0,00 ","0,00 ","58.162,28 ","58.162,28 ","73.279,42 ","73.279,42 ","58.053,62 ","58.053,62 ","12.622,93 ","12.622,93 ","12.622,93 ","14.367,99 ","7.000,00 ","7.000,00 ","7.367,99 ","7.367,99 ","1.085.750,09 ","52.390,77 ","52.390,77 ","0,00 ","130.578,16 ","74.252,98 ","56.325,18 ","0,00 ","17.878,20 ","0,00 ","0,00 ","17.878,20 ","700.490,19 ","700.490,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","77.971,34 ","77.971,34 ","106.441,43 ","106.441,43 ","10.728,08 ","0,00 ","0,00 ","5.723,22 ","5.723,22 ","100,00 ","100,00 ","0,00 ","0,00 ","4.904,86 ","4.904,86 ","496.545,68 ","125.077,01 ","125.077,01 ","110.050,91 ","110.050,91 ","55.507,83 ","55.507,83 ","205.909,93 ","205.909,93 ","19.557,91 ","0,00 ","0,00 ","19.557,91 ","19.557,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","87.109,46 ","28.794,22 ","28.794,22 ","42.256,62 ","42.256,62 ","14.375,45 ","14.375,45 ","1.683,17 ","1.683,17 ","35.868,91 ","35.868,91 ","31.165,43 ","4.703,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","224.841,55 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","224.841,55 ","224.841,55 ","3.579.976,43 "
2.,195 ,OBČINA APAČE,"427.310,70 ","356.579,58 ","350.143,16 ","6.436,42 ","0,00 ","0,00 ","0,00 ","17.898,34 ","114,42 ","0,00 ","17.783,92 ","0,00 ","0,00 ","24.200,26 ","24.200,26 ","16.591,86 ","16.591,86 ","12.040,66 ","12.040,66 ","4.704,59 ","4.704,59 ","4.704,59 ","22.904,23 ","3.000,59 ","3.000,59 ","19.903,64 ","19.903,64 ","205.301,55 ","34.317,90 ","2.101,19 ","32.216,71 ","8.560,02 ","8.560,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","137.440,64 ","137.440,64 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.120,18 ","5.120,18 ","19.862,81 ","19.862,81 ","7.645,13 ","7.645,13 ","7.645,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","93.804,62 ","10.916,98 ","10.916,98 ","0,00 ","0,00 ","52.583,66 ","52.583,66 ","30.303,98 ","30.303,98 ","4.335,71 ","0,00 ","0,00 ","4.240,71 ","4.240,71 ","0,00 ","0,00 ","0,00 ","95,00 ","95,00 ","3.442,33 ","1.890,33 ","1.890,33 ","0,00 ","0,00 ","0,00 ","0,00 ","1.552,00 ","1.552,00 ","9.302,78 ","9.302,78 ","1.914,50 ","7.388,28 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.835,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.835,71 ","12.835,71 ","791.587,35 "
3.,2 ,OBČINA BELTINCI,"790.519,24 ","524.689,18 ","512.581,41 ","12.107,77 ","0,00 ","0,00 ","0,00 ","116.900,96 ","647,89 ","0,00 ","116.253,07 ","0,00 ","0,00 ","24.337,63 ","24.337,63 ","37.088,90 ","37.088,90 ","87.502,57 ","87.502,57 ","4.882,35 ","4.882,35 ","4.882,35 ","6.035,56 ","6.035,56 ","6.035,56 ","0,00 ","0,00 ","272.337,65 ","0,00 ","0,00 ","0,00 ","10.018,07 ","6.385,49 ","3.632,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","176.867,00 ","176.133,20 ","733,80 ","0,00 ","0,00 ","23.746,58 ","23.746,58 ","5.669,99 ","5.669,99 ","56.036,01 ","56.036,01 ","94.166,98 ","94.166,98 ","94.166,98 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","145.037,99 ","6.886,40 ","6.886,40 ","16.541,64 ","16.541,64 ","4.814,44 ","4.814,44 ","116.795,51 ","116.795,51 ","8.218,47 ","0,00 ","0,00 ","8.218,47 ","8.218,47 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","37.127,30 ","0,00 ","0,00 ","0,00 ","0,00 ","37.127,30 ","37.127,30 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.358.325,54 "
4.,148 ,OBČINA BENEDIKT,"346.941,32 ","229.792,16 ","224.200,42 ","5.591,74 ","0,00 ","0,00 ","0,00 ","32.494,17 ","0,00 ","0,00 ","32.494,17 ","0,00 ","0,00 ","12.530,75 ","12.530,75 ","72.124,24 ","72.124,24 ","0,00 ","0,00 ","836,58 ","836,58 ","836,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","216.211,43 ","0,00 ","0,00 ","0,00 ","243,00 ","243,00 ","0,00 ","0,00 ","10.404,56 ","0,00 ","0,00 ","10.404,56 ","164.418,60 ","164.418,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","348,00 ","348,00 ","40.797,27 ","40.797,27 ","10.398,47 ","10.322,52 ","10.322,52 ","75,95 ","75,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","138.482,42 ","0,00 ","0,00 ","0,00 ","0,00 ","78.790,03 ","78.790,03 ","59.692,39 ","59.692,39 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","144.572,64 ","144.133,02 ","144.133,02 ","439,62 ","439,62 ","0,00 ","0,00 ","0,00 ","0,00 ","1.961,07 ","1.961,07 ","0,00 ","1.961,07 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.540,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.540,00 ","9.540,00 ","868.943,93 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"233.930,85 ","186.956,05 ","177.696,58 ","3.674,72 ","5.584,75 ","0,00 ","0,00 ","31.405,47 ","0,00 ","0,00 ","31.405,47 ","0,00 ","0,00 ","11.635,92 ","11.635,92 ","3.933,41 ","3.933,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","89.209,82 ","25.051,43 ","14.378,20 ","10.673,23 ","1.000,00 ","1.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","37.531,34 ","37.531,34 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.899,01 ","2.899,01 ","22.728,04 ","22.728,04 ","9.058,36 ","9.058,36 ","9.058,36 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.576,36 ","1.139,28 ","1.139,28 ","0,00 ","0,00 ","0,00 ","0,00 ","4.437,08 ","4.437,08 ","8.542,02 ","0,00 ","0,00 ","8.542,02 ","8.542,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.266,00 ","0,00 ","0,00 ","14.266,00 ","14.266,00 ","0,00 ","0,00 ","0,00 ","0,00 ","29.689,81 ","29.689,81 ","0,00 ","29.689,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.080,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.080,00 ","4.080,00 ","394.353,22 "
6.,3 ,OBČINA BLED,"1.433.657,30 ","1.126.529,89 ","1.093.115,23 ","15.391,61 ","18.023,05 ","0,00 ","0,00 ","227.472,13 ","0,00 ","16.186,52 ","211.285,61 ","0,00 ","0,00 ","59.538,69 ","59.538,69 ","4.130,26 ","4.130,26 ","15.986,33 ","15.986,33 ","0,00 ","0,00 ","0,00 ","37.177,53 ","34.273,18 ","34.273,18 ","2.904,35 ","2.904,35 ","737.507,21 ","1.553,00 ","1.553,00 ","0,00 ","24.871,35 ","4.360,50 ","20.510,85 ","0,00 ","2.350,48 ","0,00 ","0,00 ","2.350,48 ","355.949,97 ","355.856,23 ","93,74 ","0,00 ","0,00 ","19.811,01 ","19.811,01 ","5.938,07 ","5.938,07 ","327.033,33 ","327.033,33 ","859.870,45 ","79.933,37 ","79.933,37 ","779.937,08 ","779.937,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","197.921,13 ","77.685,79 ","77.685,79 ","22.303,22 ","22.303,22 ","7.981,40 ","7.981,40 ","89.950,72 ","89.950,72 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","232.135,84 ","214.931,36 ","214.931,36 ","17.204,48 ","17.204,48 ","0,00 ","0,00 ","0,00 ","0,00 ","138.055,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","138.055,91 ","138.055,91 ","74.525,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.000,00 ","5.000,00 ","69.525,00 ","69.525,00 ","3.710.850,37 "
