,,,,,,,,,,,- V EUR,,,,,- V EUR
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.187,56 ","5.187,56 ","5.187,56 ","0,00 ","0,00 ","-563.611,82 ","-5.187,56 ","558.424,26 ","1.540.586,80 "
2.,195 ,OBČINA APAČE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","39.846,25 ","39.846,25 ","39.846,25 ","0,00 ","0,00 ","337.141,09 ","-39.846,25 ","-396.027,34 ","139.660,38 "
3.,2 ,OBČINA BELTINCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","187.500,00 ","187.500,00 ","187.500,00 ","0,00 ","0,00 ","-281.826,06 ","-187.500,00 ","94.326,06 ","3.043.820,32 "
4.,148 ,OBČINA BENEDIKT,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","76.826,69 ","76.826,69 ","76.826,69 ","0,00 ","0,00 ","-13.961,57 ","-76.826,69 ","-62.804,42 ","24.790,00 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.858,98 ","14.858,98 ","0,00 ","0,00 ","14.858,98 ","148.356,84 ","-14.858,98 ","-163.215,82 ","43.451,46 "
6.,3 ,OBČINA BLED,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","112.781,40 ","112.781,40 ","112.781,40 ","0,00 ","0,00 ","1.066.565,86 ","-112.781,40 ","-1.169.681,04 ","1.074.496,73 "
