5.,BLED,5.286.814 ,4.996.299 ,4.357.440 ,2.652.141 ,2.652.141 ,976.469 ,705.487 ,0 ,41.475 ,229.507 ,728.831 ,22.225 ,0 ,0 ,706.606 ,0 ,0 ,638.858 ,240.252 ,1.469 ,6.155 ,38.967 ,193.661 ,32.862 ,32.862 ,76.644 ,76.644 ,102.775 ,102.775 ,186.325 ,186.325 ,131.647 ,82.207 ,82.207 ,0 ,0 ,0 ,0 ,49.441 ,0 ,49.441 ,0 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,158.450 ,158.450 ,158.450 ,0 ,0 ,0 
6.,BLOKE,799.286 ,394.680 ,341.220 ,252.082 ,252.082 ,77.103 ,73.460 ,0 ,1.152 ,2.491 ,12.035 ,0 ,0 ,0 ,12.035 ,0 ,0 ,53.459 ,18.357 ,0 ,3.572 ,6.977 ,7.808 ,4.390 ,4.390 ,0 ,0 ,0 ,0 ,30.713 ,30.713 ,15.369 ,922 ,922 ,0 ,0 ,0 ,0 ,14.447 ,0 ,0 ,14.447 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,389.238 ,389.238 ,376.060 ,0 ,0 ,13.178 
7.,BOHINJ,2.528.618 ,1.926.435 ,1.411.968 ,891.788 ,891.788 ,318.983 ,211.008 ,0 ,9.760 ,98.214 ,201.198 ,5.654 ,0 ,0 ,195.543 ,0 ,0 ,514.468 ,362.444 ,0 ,2.520 ,6.518 ,353.405 ,13.829 ,13.829 ,29.578 ,29.578 ,63.458 ,63.458 ,45.159 ,45.159 ,52.241 ,33.037 ,30.675 ,2.362 ,0 ,0 ,0 ,19.204 ,0 ,19.204 ,0 ,6.122 ,6.122 ,6.122 ,0 ,0 ,0 ,0 ,543.820 ,543.820 ,525.192 ,0 ,18.628 ,0 
8.,BOROVNICA ,1.576.878 ,1.127.354 ,1.066.834 ,836.042 ,836.042 ,105.258 ,66.942 ,0 ,3.726 ,34.589 ,125.534 ,3.380 ,0 ,0 ,122.154 ,0 ,0 ,60.520 ,24.362 ,0 ,0 ,2.132 ,22.229 ,6.873 ,6.873 ,321 ,321 ,0 ,0 ,28.964 ,28.964 ,255.341 ,10.795 ,10.795 ,0 ,0 ,0 ,0 ,244.546 ,0 ,244.546 ,0 ,3.192 ,3.192 ,3.192 ,0 ,0 ,0 ,0 ,190.991 ,190.991 ,157.248 ,33.742 ,0 ,0 
9.,BOVEC,3.269.020 ,1.402.971 ,892.234 ,606.351 ,606.351 ,135.349 ,99.412 ,0 ,16.525 ,19.412 ,150.534 ,255 ,0 ,88 ,150.192 ,0 ,0 ,510.737 ,428.956 ,1.673 ,0 ,1.778 ,425.505 ,16.024 ,16.024 ,0 ,0 ,0 ,0 ,65.757 ,65.757 ,68.615 ,50.075 ,50.075 ,0 ,0 ,0 ,0 ,18.540 ,0 ,18.540 ,0 ,69.433 ,69.433 ,69.433 ,0 ,0 ,0 ,0 ,1.728.000 ,1.728.000 ,1.684.381 ,0 ,0 ,43.620 
10.,BRASLOVČE,1.692.222 ,1.104.010 ,1.039.726 ,863.074 ,863.074 ,55.049 ,35.562 ,92 ,1.548 ,17.848 ,121.603 ,2.383 ,0 ,0 ,119.221 ,0 ,0 ,64.284 ,31.927 ,0 ,1.381 ,4.465 ,26.081 ,8.459 ,8.459 ,142 ,142 ,3.409 ,3.409 ,20.347 ,20.347 ,7.257 ,4.799 ,4.799 ,0 ,0 ,0 ,0 ,2.458 ,0 ,2.458 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,580.955 ,580.955 ,573.769 ,0 ,0 ,7.186 
11.,BRDA,2.652.550 ,2.091.984 ,1.488.629 ,1.145.556 ,1.145.556 ,206.556 ,177.600 ,0 ,10.036 ,18.920 ,136.517 ,1.256 ,0 ,0 ,135.261 ,0 ,0 ,603.355 ,549.933 ,2.512 ,0 ,238 ,547.183 ,12.031 ,12.031 ,530 ,530 ,12.999 ,12.999 ,27.863 ,27.863 ,192.485 ,188.929 ,188.929 ,0 ,0 ,0 ,0 ,3.555 ,0 ,3.555 ,0 ,21.148 ,21.148 ,21.148 ,0 ,0 ,0 ,0 ,346.933 ,346.933 ,334.819 ,0 ,1.661 ,10.453 
12.,BREZOVICA,3.558.634 ,3.076.160 ,2.495.865 ,2.083.788 ,2.083.788 ,388.266 ,257.228 ,0 ,13.132 ,117.906 ,23.811 ,1.907 ,0 ,0 ,21.904 ,0 ,0 ,580.295 ,64.572 ,0 ,0 ,60.007 ,4.565 ,15.995 ,15.995 ,305 ,305 ,6.314 ,6.314 ,493.111 ,493.111 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.344 ,7.344 ,7.344 ,0 ,0 ,0 ,0 ,475.129 ,475.129 ,359.969 ,115.160 ,0 ,0 
13.,BREŽICE,10.492.827 ,6.660.541 ,5.671.536 ,3.874.958 ,3.874.958 ,411.617 ,201.285 ,0 ,62.076 ,148.256 ,1.384.961 ,41.308 ,0 ,0 ,1.343.653 ,0 ,0 ,989.004 ,286.117 ,0 ,5.759 ,36.663 ,243.695 ,501.148 ,501.148 ,1.598 ,1.598 ,61.075 ,61.075 ,139.067 ,139.067 ,222.934 ,79.290 ,77.479 ,1.811 ,0 ,0 ,0 ,143.645 ,2.879 ,71.286 ,69.479 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.609.352 ,3.609.352 ,3.609.352 ,0 ,0 ,0 
14.,CANKOVA,1.005.237 ,271.432 ,214.860 ,195.502 ,195.502 ,5.971 ,1.114 ,0 ,363 ,4.494 ,13.387 ,851 ,0 ,0 ,12.535 ,0 ,0 ,56.572 ,5.237 ,0 ,0 ,2.128 ,3.109 ,4.907 ,4.907 ,0 ,0 ,0 ,0 ,46.428 ,46.428 ,67.167 ,63.015 ,63.015 ,0 ,0 ,0 ,0 ,4.152 ,4.152 ,0 ,0 ,63 ,63 ,0 ,63 ,0 ,0 ,0 ,666.575 ,666.575 ,636.901 ,12.627 ,0 ,17.046 
15.,MESTNA OBČINA CELJE,26.451.306 ,22.877.495 ,16.476.415 ,11.110.165 ,11.110.165 ,3.721.683 ,2.823.026 ,588 ,53.605 ,844.463 ,1.644.567 ,206.493 ,0 ,0 ,1.438.074 ,0 ,0 ,6.401.081 ,543.436 ,0 ,76.732 ,133.029 ,333.676 ,135.850 ,135.850 ,59.510 ,59.510 ,53.530 ,53.530 ,5.608.755 ,5.608.755 ,2.725.530 ,695.827 ,695.827 ,0 ,0 ,0 ,0 ,2.029.703 ,0 ,2.029.703 ,0 ,9.952 ,9.952 ,9.952 ,0 ,0 ,0 ,0 ,838.328 ,838.328 ,732.991 ,0 ,105.337 ,0 
16.,CERKLJE NA GORENJSKEM,3.975.371 ,2.369.680 ,1.776.615 ,1.241.408 ,1.241.408 ,186.083 ,135.307 ,0 ,13.049 ,37.727 ,349.124 ,4.907 ,0 ,0 ,344.216 ,0 ,0 ,593.065 ,55.625 ,2.333 ,0 ,27.086 ,26.206 ,15.999 ,15.999 ,1.494 ,1.494 ,19.880 ,19.880 ,500.067 ,500.067 ,560.378 ,445.752 ,445.752 ,0 ,0 ,0 ,0 ,114.626 ,6.777 ,107.849 ,0 ,8.559 ,8.559 ,835 ,7.724 ,0 ,0 ,0 ,1.036.755 ,1.036.755 ,598.181 ,360.436 ,0 ,78.138 
17.,CERKNICA,4.585.762 ,2.845.681 ,2.565.018 ,1.923.335 ,1.923.335 ,435.144 ,374.787 ,0 ,13.512 ,46.845 ,206.539 ,20.823 ,0 ,0 ,185.716 ,0 ,0 ,280.663 ,39.409 ,0 ,21.874 ,513 ,17.021 ,27.875 ,27.875 ,325 ,325 ,0 ,0 ,213.053 ,213.053 ,26.477 ,19.367 ,19.367 ,0 ,0 ,0 ,0 ,7.111 ,0 ,7.111 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.713.604 ,1.713.604 ,1.570.251 ,0 ,0 ,143.353 
18.,CERKNO,2.322.642 ,1.646.390 ,1.176.093 ,998.193 ,998.193 ,130.842 ,97.930 ,0 ,21.123 ,11.789 ,47.058 ,517 ,0 ,0 ,46.541 ,0 ,0 ,470.297 ,395.443 ,0 ,29 ,730 ,394.684 ,13.474 ,13.474 ,234 ,234 ,4.811 ,4.811 ,56.335 ,56.335 ,84.427 ,69.617 ,69.617 ,0 ,0 ,0 ,0 ,14.810 ,7.808 ,630 ,6.372 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,591.825 ,591.825 ,591.825 ,0 ,0 ,0 
19.,CERKVENJAK,1.015.861 ,320.510 ,200.542 ,127.934 ,127.934 ,50.426 ,48.948 ,0 ,125 ,1.352 ,22.183 ,129 ,0 ,0 ,22.054 ,0 ,0 ,119.967 ,12.656 ,480 ,0 ,11.321 ,855 ,4.323 ,4.323 ,121 ,121 ,41.642 ,41.642 ,61.225 ,61.225 ,4.373 ,4.373 ,4.373 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42.376 ,42.376 ,42.376 ,0 ,0 ,0 ,0 ,648.602 ,648.602 ,648.602 ,0 ,0 ,0 
20.,ČRENŠOVCI,2.395.815 ,733.509 ,499.558 ,400.288 ,400.288 ,18.983 ,11.780 ,0 ,3.643 ,3.560 ,80.287 ,15.582 ,0 ,0 ,64.705 ,0 ,0 ,233.951 ,28.151 ,0 ,0 ,19.387 ,8.763 ,12.185 ,12.185 ,138 ,138 ,0 ,0 ,193.478 ,193.478 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.662.306 ,1.662.306 ,1.255.888 ,401.536 ,0 ,4.882 
21.,ČRNA NA KOROŠKEM,2.030.162 ,1.149.086 ,761.188 ,558.208 ,558.208 ,131.635 ,119.592 ,0 ,772 ,11.271 ,71.345 ,2.032 ,0 ,0 ,69.312 ,0 ,0 ,387.899 ,144.688 ,0 ,0 ,5.358 ,139.330 ,10.645 ,10.645 ,0 ,0 ,181.681 ,181.681 ,50.885 ,50.885 ,65.569 ,61.647 ,61.647 ,0 ,0 ,0 ,0 ,3.923 ,0 ,3.923 ,0 ,2.921 ,2.921 ,2.921 ,0 ,0 ,0 ,0 ,812.586 ,812.586 ,783.375 ,0 ,0 ,29.210 
22.,ČRNOMELJ,6.200.918 ,2.921.925 ,2.808.751 ,2.225.664 ,2.225.664 ,233.479 ,138.349 ,0 ,26.231 ,68.899 ,349.608 ,43.632 ,0 ,0 ,305.976 ,0 ,0 ,113.174 ,56.990 ,0 ,8 ,1.064 ,55.917 ,39.438 ,39.438 ,179 ,179 ,3.359 ,3.359 ,13.207 ,13.207 ,52.913 ,50.488 ,50.488 ,0 ,0 ,0 ,0 ,2.424 ,0 ,2.424 ,0 ,33.600 ,33.600 ,2.295 ,31.305 ,0 ,0 ,0 ,3.192.480 ,3.192.480 ,3.058.121 ,0 ,0 ,134.360 
23.,DESTRNIK,1.205.855 ,426.807 ,305.053 ,226.740 ,226.740 ,39.359 ,35.641 ,0 ,864 ,2.854 ,38.954 ,75 ,0 ,530 ,38.349 ,0 ,0 ,121.753 ,5.667 ,0 ,0 ,1.160 ,4.507 ,9.665 ,9.665 ,230 ,230 ,2.637 ,2.637 ,103.555 ,103.555 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,779.048 ,779.048 ,779.048 ,0 ,0 ,0 
24.,DIVAČA,1.750.038 ,1.406.226 ,1.051.878 ,847.450 ,847.450 ,140.056 ,89.943 ,0 ,14.705 ,35.407 ,64.372 ,384 ,0 ,0 ,63.988 ,0 ,0 ,354.348 ,342.067 ,2.491 ,0 ,31.280 ,308.296 ,8.087 ,8.087 ,0 ,0 ,371 ,371 ,3.822 ,3.822 ,300.789 ,44.654 ,44.654 ,0 ,0 ,0 ,0 ,256.134 ,0 ,256.134 ,0 ,5.220 ,1.878 ,1.878 ,0 ,3.343 ,0 ,3.343 ,37.803 ,37.803 ,37.803 ,0 ,0 ,0 
25.,DOBJE,467.046 ,131.885 ,88.875 ,84.873 ,84.873 ,2.074 ,342 ,0 ,171 ,1.561 ,1.928 ,4 ,0 ,0 ,1.924 ,0 ,0 ,43.010 ,2.049 ,0 ,0 ,1.573 ,476 ,2.099 ,2.099 ,0 ,0 ,16.362 ,16.362 ,22.500 ,22.500 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,335.161 ,335.161 ,328.438 ,0 ,0 ,6.723 
26.,DOBREPOLJE,1.778.092 ,910.048 ,665.941 ,495.719 ,495.719 ,109.335 ,94.304 ,0 ,5.191 ,9.840 ,60.887 ,1.340 ,0 ,0 ,59.548 ,0 ,0 ,244.108 ,127.575 ,0 ,0 ,104.982 ,22.592 ,11.826 ,11.826 ,196 ,196 ,16.183 ,16.183 ,88.328 ,88.328 ,4.519 ,0 ,0 ,0 ,0 ,0 ,0 ,4.519 ,0 ,4.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,863.524 ,863.524 ,863.524 ,0 ,0 ,0 
27.,DOBRNA,977.187 ,621.562 ,376.882 ,282.061 ,282.061 ,59.986 ,54.816 ,0 ,1.081 ,4.089 ,34.836 ,351 ,0 ,0 ,34.485 ,0 ,0 ,244.680 ,177.800 ,0 ,0 ,776 ,177.024 ,4.920 ,4.920 ,0 ,0 ,22.179 ,22.179 ,39.781 ,39.781 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,355.208 ,355.208 ,350.200 ,5.008 ,0 ,0 
28.,DOBROVA - POLHOV GRADEC,2.723.410 ,1.502.808 ,1.389.484 ,1.201.715 ,1.201.715 ,164.626 ,121.340 ,0 ,1.882 ,41.404 ,23.143 ,743 ,0 ,0 ,22.400 ,0 ,0 ,113.324 ,31.426 ,0 ,0 ,23.181 ,8.246 ,9.039 ,9.039 ,701 ,701 ,63 ,63 ,72.096 ,72.096 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.220.602 ,1.220.602 ,889.509 ,324.666 ,0 ,6.426 
29.,DOBROVNIK,790.719 ,282.090 ,170.690 ,148.323 ,148.323 ,11.808 ,7.753 ,0 ,894 ,3.162 ,10.558 ,316 ,0 ,0 ,10.242 ,0 ,0 ,111.400 ,6.976 ,0 ,0 ,6.947 ,29 ,3.446 ,3.446 ,102 ,102 ,1.319 ,1.319 ,99.556 ,99.556 ,1.591 ,1.591 ,1.458 ,133 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27.240 ,9.264 ,83 ,9.180 ,17.976 ,17.976 ,0 ,479.798 ,479.798 ,461.500 ,0 ,0 ,18.298 
30.,DOL PRI LJUBLJANI,1.971.032 ,1.773.060 ,1.529.386 ,970.748 ,970.748 ,536.592 ,501.531 ,0 ,1.669 ,33.392 ,22.046 ,1.369 ,0 ,0 ,20.677 ,0 ,0 ,243.674 ,106.673 ,0 ,0 ,73.131 ,33.542 ,8.221 ,8.221 ,67 ,67 ,0 ,0 ,128.714 ,128.714 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,197.972 ,197.972 ,19.851 ,178.121 ,0 ,0 
31.,DOLENJSKE TOPLICE,1.599.203 ,866.120 ,770.944 ,627.879 ,627.879 ,52.095 ,34.489 ,0 ,359 ,17.247 ,90.970 ,488 ,0 ,0 ,90.482 ,0 ,0 ,95.176 ,20.719 ,0 ,0 ,20.719 ,0 ,5.800 ,5.800 ,0 ,0 ,0 ,0 ,68.657 ,68.657 ,121.361 ,0 ,0 ,0 ,0 ,0 ,0 ,121.361 ,0 ,121.361 ,0 ,2.833 ,2.833 ,2.833 ,0 ,0 ,0 ,0 ,608.888 ,608.888 ,465.511 ,105.821 ,0 ,37.556 
32.,DOMŽALE,12.489.834 ,11.784.380 ,9.703.219 ,7.510.462 ,7.510.462 ,1.791.659 ,1.211.042 ,10 ,35.585 ,545.023 ,401.099 ,120.897 ,0 ,0 ,280.201 ,0 ,0 ,2.081.160 ,862.725 ,93.741 ,28.398 ,234.715 ,505.872 ,63.451 ,63.451 ,33.760 ,33.760 ,35.658 ,35.658 ,1.085.565 ,1.085.565 ,602.904 ,110.749 ,110.749 ,0 ,0 ,0 ,0 ,492.155 ,0 ,492.155 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,102.550 ,102.550 ,102.550 ,0 ,0 ,0 
33.,DORNAVA,1.762.435 ,435.566 ,317.931 ,283.329 ,283.329 ,2.203 ,104 ,0 ,505 ,1.594 ,32.399 ,618 ,0 ,2.091 ,29.690 ,0 ,0 ,117.635 ,36.993 ,0 ,0 ,776 ,36.217 ,6.088 ,6.088 ,92 ,92 ,0 ,0 ,74.462 ,74.462 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.326.869 ,1.326.869 ,1.326.869 ,0 ,0 ,0 
34.,DRAVOGRAD,4.123.001 ,2.483.659 ,2.171.253 ,1.420.860 ,1.420.860 ,523.393 ,483.296 ,0 ,1.773 ,38.324 ,226.999 ,21.349 ,0 ,0 ,205.650 ,0 ,0 ,312.406 ,205.329 ,0 ,3.330 ,39.860 ,162.139 ,25.830 ,25.830 ,542 ,542 ,0 ,0 ,80.704 ,80.704 ,174.946 ,81.915 ,81.915 ,0 ,0 ,0 ,0 ,93.031 ,0 ,93.031 ,0 ,897 ,897 ,897 ,0 ,0 ,0 ,0 ,1.463.499 ,1.463.499 ,1.266.258 ,68.019 ,0 ,129.223 
