,, 50, 500, 5001, 5002, 5003, 5004, 55, 550, 5501, 5502, 5503, 5504, IX., X., XI., FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
112.,PIRAN,0 ,0 ,0 ,0 ,0 ,0 ,14.493 ,14.493 ,0 ,0 ,14.493 ,0 ,-652.404 ,655.437 ,0 ,0 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-77.399 ,66.446 ,90.615 ,0 
114.,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,110.353 ,110.353 ,40.060 ,0 ,70.293 ,0 ,1.790 ,-113.858 ,69.271 ,0 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-280.792 ,280.792 ,0 ,0 
116.,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.620 ,10.620 ,0 ,0 
117.,POLZELA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.727 ,-6.698 ,0 ,0 
118.,POSTOJNA,591.304 ,591.304 ,196.336 ,0 ,394.967 ,0 ,17.272 ,17.272 ,0 ,0 ,17.272 ,0 ,664.947 ,28.226 ,39.330 ,25.651 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-114.889 ,114.889 ,0 ,0 
120.,PREDDVOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-50.705 ,87.377 ,17.919 ,0 
121.,PREVALJE,108.496 ,108.496 ,108.496 ,0 ,0 ,0 ,37.903 ,37.903 ,37.903 ,0 ,0 ,0 ,11.279 ,68.173 ,23.873 ,2.571 
122.,MESTNA OBČINA PTUJ,0 ,0 ,0 ,0 ,0 ,0 ,30.871 ,30.871 ,30.871 ,0 ,0 ,0 ,-315.336 ,558.972 ,1.224.967 ,0 
123.,PUCONCI,186.734 ,186.734 ,0 ,0 ,186.734 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-184.460 ,420.796 ,301.360 ,0 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,3.338 ,3.338 ,0 ,3.338 ,0 ,0 ,54.720 ,-20.719 ,87.531 ,0 
125.,RADEČE,104.323 ,104.323 ,104.323 ,0 ,0 ,0 ,52.721 ,52.721 ,0 ,0 ,0 ,52.721 ,26.511 ,28.234 ,0 ,0 
126.,RADENCI,0 ,0 ,0 ,0 ,0 ,0 ,14.188 ,14.188 ,14.188 ,0 ,0 ,0 ,-8.225 ,-1.527 ,10.624 ,21.111 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,32.520 ,32.520 ,27.124 ,5.396 ,0 ,0 ,6.239 ,-26.156 ,7.315 ,0 
128.,RADOVLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.287 ,114.042 ,0 ,19.855 
129.,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,27.875 ,27.875 ,27.875 ,0 ,0 ,0 ,-12.039 ,-563 ,94.304 ,0 
130.,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-57.920 ,58.717 ,0 ,0 
131.,RIBNICA,187.782 ,187.782 ,187.782 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,72.254 ,146.345 ,72.939 ,906 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,467 ,467 ,467 ,0 ,0 ,0 ,-77.829 ,77.362 ,86.914 ,6.894 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,9.752 ,9.752 ,0 ,9.752 ,0 ,0 ,1.408.759 ,-1.418.511 ,227.429 ,0 
134.,ROGAŠOVCI,124.353 ,124.353 ,34.635 ,89.718 ,0 ,0 ,53.643 ,53.643 ,53.643 ,0 ,0 ,0 ,-18.156 ,99.837 ,11.355 ,2.408 
135.,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-127.237 ,124.261 ,169.755 ,0 
136.,RUŠE,2.433 ,2.433 ,0 ,0 ,2.433 ,0 ,148.322 ,148.322 ,6.222 ,0 ,142.101 ,0 ,-73.965 ,-71.925 ,319.300 ,0 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,2.971 ,2.971 ,2.971 ,0 ,0 ,0 ,-31.504 ,28.533 ,12.552 ,0 
138.,SEMIČ,125.188 ,125.188 ,0 ,125.188 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.158 ,117.030 ,12.427 ,0 
139.,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,104.657 ,104.657 ,104.657 ,0 ,0 ,0 ,7.515 ,-112.172 ,104.298 ,0 
140.,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,367.747 ,-330.020 ,1.012.089 ,0 
141.,MESTNA OBČINA SLOVENJ GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,16.345 ,16.345 ,6.168 ,0 ,10.178 ,0 ,1.108.847 ,-1.093.544 ,1.022.997 ,0 
142.,SLOVENSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,154.398 ,154.398 ,154.398 ,0 ,0 ,0 ,311.363 ,-465.761 ,544.813 ,0 
143.,SLOVENSKE KONJICE,0 ,0 ,0 ,0 ,0 ,0 ,43.361 ,43.361 ,13.988 ,0 ,29.373 ,0 ,150.000 ,-185.829 ,28.489 ,0 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-622 ,622 ,0 ,0 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,28.434 ,28.434 ,0 ,0 ,28.434 ,0 ,-47.417 ,18.983 ,52.813 ,0 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,2.721 ,2.721 ,2.721 ,0 ,0 ,0 ,91.671 ,-83.959 ,598.865 ,0 
147.,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,2.516 ,2.516 ,0 ,0 ,2.516 ,0 ,22.346 ,-24.862 ,32.553 ,655 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,52.967 ,-52.967 ,86.676 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.104 ,25.104 ,181.247 ,0 
150.,ŠALOVCI,0 ,0 ,0 ,0 ,0 ,0 ,23.201 ,23.201 ,23.201 ,0 ,0 ,0 ,-6.785 ,-22.676 ,12.707 ,0 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-704.405 ,704.405 ,0 ,0 
152.,ŠENČUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,809.256 ,-736.042 ,1.046.198 ,0 
153.,ŠENTILJ,0 ,0 ,0 ,0 ,0 ,0 ,34.760 ,34.760 ,34.760 ,0 ,0 ,0 ,-549.562 ,568.728 ,0 ,0 
154.,ŠENTJERNEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.370 ,-255 ,184.669 ,6.743 
155.,ŠENTJUR,17.109 ,17.109 ,0 ,0 ,17.109 ,0 ,113.403 ,113.403 ,7.945 ,0 ,105.458 ,0 ,75.292 ,-357.244 ,0 ,0 
156.,ŠKOCJAN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,315.557 ,-311.884 ,227.374 ,0 
157.,ŠKOFJA LOKA,0 ,0 ,0 ,0 ,0 ,0 ,46.553 ,46.553 ,0 ,0 ,46.553 ,0 ,380.058 ,-416.984 ,138.933 ,26.035 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.581.664 ,-1.519.070 ,1.499.683 ,0 
159.,ŠMARJE PRI JELŠAH,0 ,0 ,0 ,0 ,0 ,0 ,13.378 ,13.378 ,11.893 ,0 ,1.486 ,0 ,379.290 ,-388.804 ,116.771 ,0 
160.,ŠMARTNO OB PAKI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8.404 ,-54.190 ,22.087 ,0 
161.,ŠOŠTANJ,482.069 ,482.069 ,0 ,482.069 ,0 ,0 ,26.461 ,26.461 ,26.461 ,0 ,0 ,0 ,-3.263 ,473.894 ,0 ,0 
162.,ŠTORE,406.622 ,406.622 ,241.612 ,0 ,165.010 ,0 ,357.465 ,357.465 ,159.247 ,0 ,198.218 ,0 ,2.466 ,35.470 ,4.190 ,2.545 
163.,TABOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-321 ,321 ,0 ,0 
164.,TIŠINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,71.102 ,-57.534 ,0 ,0 
165.,TOLMIN,148.139 ,148.139 ,148.139 ,0 ,0 ,0 ,73.740 ,73.740 ,63.817 ,0 ,9.923 ,0 ,146.457 ,-35.257 ,24.983 ,2.821 
166.,TRBOVLJE,6.526 ,6.526 ,0 ,0 ,6.526 ,0 ,4.039 ,4.039 ,0 ,0 ,4.039 ,0 ,110.115 ,-75.630 ,93.273 ,12.035 
167.,TREBNJE,0 ,0 ,0 ,0 ,0 ,0 ,1.123 ,1.123 ,0 ,0 ,1.123 ,0 ,150.250 ,-151.373 ,0 ,0 
168.,TRNOVSKA VAS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9.677 ,9.677 ,0 ,0 
169.,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,13.519 ,13.519 ,13.519 ,0 ,0 ,0 ,387.574 ,-401.093 ,0 ,0 
170.,TRŽIČ,523.118 ,523.118 ,523.118 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,133.959 ,330.258 ,268.544 ,0 
171.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,299.395 ,-299.395 ,0 ,0 
172.,MESTNA OBČINA VELENJE,0 ,0 ,0 ,0 ,0 ,0 ,49.024 ,49.024 ,0 ,0 ,49.024 ,0 ,1.389.330 ,-1.409.735 ,0 ,0 
173.,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-14.096 ,15.223 ,0 ,0 
174.,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,972 ,-972 ,0 ,0 
175.,VERŽEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-28.105 ,28.105 ,27.616 ,0 
176.,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15.640 ,15.640 ,0 ,0 
177.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-756.439 ,762.665 ,930.099 ,11.459 
178.,VITANJE,61.321 ,61.321 ,61.321 ,0 ,0 ,0 ,13.362 ,13.362 ,13.362 ,0 ,0 ,0 ,104.795 ,-45.310 ,0 ,0 
179.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.620.656 ,-3.620.656 ,0 ,0 
180.,VOJNIK,329.160 ,329.160 ,280.421 ,0 ,48.740 ,0 ,331.168 ,331.168 ,280.421 ,2.007 ,48.740 ,0 ,-7.465 ,28.952 ,11.367 ,2.650 
181.,VRANSKO,91.779 ,91.779 ,0 ,0 ,91.779 ,0 ,21.995 ,21.995 ,21.995 ,0 ,0 ,0 ,28.380 ,41.404 ,0 ,0 
182.,VRHNIKA,275.413 ,275.413 ,275.413 ,0 ,0 ,0 ,353.772 ,353.772 ,338.399 ,15.373 ,0 ,0 ,13.896 ,-78.902 ,44.125 ,4.791 
183.,VUZENICA,0 ,0 ,0 ,0 ,0 ,0 ,104.323 ,104.323 ,104.323 ,0 ,0 ,0 ,-53.242 ,-48.903 ,114.977 ,1.736 
184.,ZAGORJE OB SAVI,598.398 ,598.398 ,598.398 ,0 ,0 ,0 ,2.550 ,2.550 ,0 ,0 ,2.550 ,0 ,-39.075 ,789.280 ,80.308 ,10.132 
185.,ZAVRČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.937 ,10.937 ,0 ,0 
186.,ZREČE,0 ,0 ,0 ,0 ,0 ,0 ,156.781 ,156.781 ,156.781 ,0 ,0 ,0 ,-27.406 ,-129.375 ,44.680 ,0 
187.,ŽALEC,575.864 ,575.864 ,575.864 ,0 ,0 ,0 ,466.070 ,466.070 ,462.081 ,0 ,3.989 ,0 ,178.167 ,102.308 ,291.950 ,14.130 
188.,ŽELEZNIKI,0 ,0 ,0 ,0 ,0 ,0 ,46.791 ,46.791 ,46.791 ,0 ,0 ,0 ,-420.564 ,348.736 ,674.520 ,0 
189.,ŽETALE,0 ,0 ,0 ,0 ,0 ,0 ,153.146 ,153.146 ,153.146 ,0 ,0 ,0 ,-30.767 ,-122.379 ,38.913 ,0 
190.,ŽIRI,322.567 ,322.567 ,0 ,322.567 ,0 ,0 ,40.434 ,40.434 ,0 ,0 ,40.434 ,0 ,-34.245 ,291.657 ,4.210 ,0 
191.,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,3.576 ,3.576 ,0 ,0 ,3.576 ,0 ,-128.981 ,126.723 ,223.585 ,5.174 
192.,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-30.375 ,30.704 ,0 ,0 
,SKUPAJ,12.572.852 ,12.572.852 ,9.131.635 ,1.228.188 ,2.213.029 ,0 ,9.410.696 ,9.410.696 ,6.224.448 ,379.273 ,2.276.534 ,530.442 ,8.003.538 ,7.917.347 ,64.226.381 ,859.402 
