,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009,FI
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",,
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo,od tega presežek finančne izravnave iz preteklega leta
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.218 ,0 ,-23.218 ,9.160 ,9.160 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,198.384 ,0 ,-207.232 ,199.420 ,199.420 ,10.186 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,1.118 ,1.118 ,0 ,0 ,1.118 ,0 ,8.930 ,-1.118 ,-10.048 ,111.121 ,111.121 ,3.330 
98.,MORAVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-602.283 ,0 ,609.126 ,689.972 ,689.972 ,0 
99.,MORAVSKE TOPLICE,1.000.572 ,1.000.572 ,1.000.572 ,0 ,0 ,0 ,1.092.213 ,1.092.213 ,16.692 ,0 ,1.075.522 ,0 ,85.424 ,-91.642 ,-153.547 ,274.303 ,274.303 ,4.361 
100.,MOZIRJE,262.615 ,262.615 ,0 ,0 ,262.615 ,0 ,29.210 ,29.210 ,25.038 ,0 ,4.173 ,0 ,-117.781 ,233.404 ,165.636 ,16.266 ,16.266 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,1.809.118 ,1.809.118 ,1.809.118 ,0 ,0 ,0 ,2.014.751 ,2.014.751 ,1.937.465 ,0 ,77.287 ,0 ,235.161 ,-205.633 ,-458.634 ,266.304 ,266.304 ,145.360 
102.,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,12.661 ,12.661 ,0 ,0 ,12.661 ,0 ,-1.381 ,-12.661 ,-4.528 ,36.726 ,36.726 ,4.089 
103.,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,615.586 ,0 ,-597.795 ,534.659 ,534.659 ,20.314 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,-17.113 ,-54.248 ,-50.538 ,4.699 ,4.699 ,0 
105.,MESTNA OBČINA NOVA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-29.949 ,0 ,-143.895 ,405.805 ,405.805 ,0 
106.,MESTNA OBČINA NOVO MESTO,0 ,0 ,0 ,0 ,0 ,0 ,323.523 ,323.523 ,323.523 ,0 ,0 ,0 ,72.288 ,-323.523 ,-457.941 ,-10.341 ,-10.341 ,0 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,10.999 ,10.999 ,10.999 ,0 ,0 ,0 ,-216.481 ,-10.999 ,205.481 ,249.228 ,249.228 ,355 
108.,OPLOTNICA,141.879 ,141.879 ,141.879 ,0 ,0 ,0 ,48.798 ,48.798 ,48.798 ,0 ,0 ,0 ,46.683 ,93.081 ,46.399 ,46.632 ,46.632 ,0 
109.,ORMOŽ,166.917 ,166.917 ,0 ,0 ,166.917 ,0 ,446.382 ,446.382 ,399.908 ,0 ,46.474 ,0 ,91.788 ,-279.465 ,-376.135 ,360.908 ,360.908 ,0 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,165.826 ,0 ,-165.826 ,20.272 ,20.272 ,1.940 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,1.156 ,1.156 ,1.156 ,0 ,0 ,0 ,-718.311 ,-1.156 ,717.155 ,0 ,0 ,0 
112.,PIRAN,417.192 ,417.192 ,417.192 ,0 ,0 ,0 ,3.476 ,3.476 ,3.476 ,0 ,0 ,0 ,1.616.633 ,413.716 ,-1.161.188 ,807.732 ,807.732 ,0 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75.862 ,0 ,-75.862 ,86.738 ,86.738 ,0 
114.,PODČETRTEK,1.410 ,1.410 ,0 ,1.410 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.808 ,1.410 ,-12.398 ,119.926 ,119.926 ,10.282 
115.,PODLEHNIK,594.175 ,594.175 ,0 ,594.175 ,0 ,0 ,32.499 ,32.499 ,0 ,32.499 ,0 ,0 ,564.221 ,561.676 ,-35.929 ,0 ,0 ,0 
116.,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.976 ,0 ,-16.884 ,243.615 ,243.615 ,826 
117.,POLZELA,152.103 ,152.103 ,152.103 ,0 ,0 ,0 ,3.017 ,3.017 ,0 ,0 ,3.017 ,0 ,-58.830 ,149.086 ,210.274 ,104.039 ,104.039 ,0 
118.,POSTOJNA,525.129 ,525.129 ,525.129 ,0 ,0 ,0 ,66.141 ,66.141 ,28.046 ,0 ,38.095 ,0 ,12.490 ,458.988 ,465.448 ,85.641 ,85.641 ,77.266 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-187.949 ,0 ,187.949 ,0 ,0 ,0 
120.,PREDDVOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55.746 ,0 ,-42.005 ,36.371 ,36.371 ,36.371 
121.,PREVALJE,0 ,0 ,0 ,0 ,0 ,0 ,27.821 ,27.821 ,27.821 ,0 ,0 ,0 ,-204.027 ,-27.821 ,178.247 ,392.589 ,392.589 ,3.839 
122.,MESTNA OBČINA PTUJ,39.881 ,39.881 ,0 ,0 ,39.881 ,0 ,22.500 ,22.500 ,0 ,0 ,22.500 ,0 ,-1.799.403 ,17.380 ,1.972.964 ,1.833.091 ,1.833.091 ,0 
123.,PUCONCI,0 ,0 ,0 ,0 ,0 ,0 ,18.561 ,18.561 ,0 ,0 ,18.561 ,0 ,12.335 ,-18.561 ,-22.615 ,63.645 ,63.645 ,0 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,2.237 ,2.237 ,2.237 ,0 ,0 ,0 ,638.166 ,-2.237 ,-640.402 ,805.704 ,805.704 ,0 
125.,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,14.263 ,-20.865 ,-35.128 ,0 ,0 ,0 
126.,RADENCI,0 ,0 ,0 ,0 ,0 ,0 ,34.624 ,34.624 ,34.624 ,0 ,0 ,0 ,301.299 ,-34.624 ,-338.182 ,3.464 ,3.464 ,21.628 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,31.422 ,31.422 ,25.038 ,6.385 ,0 ,0 ,21.115 ,-31.422 ,-55.500 ,30.145 ,30.145 ,21.783 
128.,RADOVLJICA,968.119 ,968.119 ,968.119 ,0 ,0 ,0 ,222.705 ,222.705 ,222.705 ,0 ,0 ,0 ,480.558 ,745.414 ,358.304 ,121.983 ,121.983 ,0 
129.,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-447.584 ,0 ,454.402 ,621.799 ,621.799 ,22.446 
130.,RAZKRIŽJE,0 ,0 ,0 ,0 ,0 ,0 ,4.615 ,4.615 ,0 ,0 ,4.615 ,0 ,-17.067 ,-4.615 ,12.452 ,0 ,0 ,0 
131.,RIBNICA,404.774 ,404.774 ,404.774 ,0 ,0 ,0 ,148.631 ,148.631 ,148.631 ,0 ,0 ,0 ,35.558 ,256.143 ,280.563 ,16.905 ,16.905 ,4.715 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,522 ,522 ,522 ,0 ,0 ,0 ,18.048 ,-522 ,-18.570 ,7.524 ,7.524 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,21.503 ,21.503 ,0 ,0 ,21.503 ,0 ,761.922 ,-21.503 ,-783.425 ,761.922 ,761.922 ,0 
134.,ROGAŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,11.213 ,11.213 ,0 ,0 ,11.213 ,0 ,-10.699 ,-11.213 ,2.900 ,58.801 ,58.801 ,0 
135.,ROGATEC,29.210 ,29.210 ,29.210 ,0 ,0 ,0 ,42.956 ,42.956 ,29.210 ,0 ,13.746 ,0 ,110.278 ,-13.746 ,-120.810 ,21.286 ,21.286 ,0 
136.,RUŠE,0 ,0 ,0 ,0 ,0 ,0 ,4.987 ,4.987 ,0 ,0 ,4.987 ,0 ,-189.672 ,-4.987 ,184.685 ,570.673 ,570.673 ,0 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,31.297 ,31.297 ,31.297 ,0 ,0 ,0 ,54.634 ,-31.297 ,-85.931 ,0 ,0 ,0 
138.,SEMIČ,93.031 ,93.031 ,93.031 ,0 ,0 ,0 ,32.745 ,32.745 ,0 ,0 ,32.745 ,0 ,14.843 ,60.286 ,39.972 ,4.778 ,4.778 ,0 
139.,SEVNICA,218.035 ,218.035 ,218.035 ,0 ,0 ,0 ,131.293 ,131.293 ,120.230 ,11.062 ,0 ,0 ,158.621 ,86.743 ,-71.879 ,264.914 ,264.914 ,29.210 
140.,SEŽANA,292.080 ,292.080 ,292.080 ,0 ,0 ,0 ,57.908 ,57.908 ,0 ,0 ,57.908 ,0 ,-113.203 ,234.172 ,464.843 ,647.576 ,647.576 ,0 
141.,MESTNA OBČINA SLOVENJ GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,18.144 ,18.144 ,6.944 ,0 ,11.200 ,0 ,-426.031 ,-18.144 ,404.569 ,4.271.286 ,4.271.286 ,30.162 
142.,SLOVENSKA BISTRICA,542.480 ,542.480 ,542.480 ,0 ,0 ,0 ,133.534 ,133.534 ,133.534 ,0 ,0 ,0 ,-622.738 ,408.947 ,1.031.685 ,845.840 ,845.840 ,0 
143.,SLOVENSKE KONJICE,0 ,0 ,0 ,0 ,0 ,0 ,16.871 ,16.871 ,16.871 ,0 ,0 ,0 ,140.244 ,-16.871 ,-150.221 ,239.401 ,239.401 ,11.880 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.957 ,0 ,-12.957 ,0 ,0 ,0 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.420 ,0 ,-399.128 ,612.018 ,612.018 ,0 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,3.059 ,3.059 ,0 ,3.059 ,0 ,0 ,187.318 ,-3.059 ,-190.377 ,1.009.247 ,1.009.247 ,0 
147.,SVETA ANA,100.146 ,100.146 ,100.146 ,0 ,0 ,0 ,25.627 ,25.627 ,0 ,0 ,25.627 ,0 ,36.677 ,74.519 ,37.842 ,184.364 ,184.364 ,1.882 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-77.420 ,0 ,77.420 ,203.998 ,203.998 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.549 ,0 ,-30.160 ,25.785 ,25.785 ,0 
150.,ŠALOVCI,338.178 ,338.178 ,0 ,0 ,338.178 ,0 ,6.677 ,6.677 ,0 ,0 ,6.677 ,0 ,3.015 ,331.501 ,317.920 ,4.820 ,4.820 ,0 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,343 ,343 ,0 ,343 ,0 ,0 ,134.394 ,-343 ,-113.669 ,0 ,0 ,0 
152.,ŠENČUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,271.178 ,0 ,-277.086 ,677.354 ,677.354 ,0 
153.,ŠENTILJ,0 ,0 ,0 ,0 ,0 ,0 ,14.693 ,14.693 ,14.693 ,0 ,0 ,0 ,-25.305 ,-14.693 ,109.477 ,230.558 ,230.558 ,0 
154.,ŠENTJERNEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.430 ,0 ,-65.207 ,143.307 ,143.307 ,4.895 
155.,ŠENTJUR,0 ,0 ,0 ,0 ,0 ,0 ,115.636 ,115.636 ,0 ,0 ,115.636 ,0 ,148.293 ,-115.636 ,-220.556 ,81.301 ,81.301 ,26.469 
156.,ŠKOCJAN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-98.068 ,0 ,95.331 ,971.198 ,971.198 ,66.362 
157.,ŠKOFJA LOKA,0 ,0 ,0 ,0 ,0 ,0 ,59.231 ,59.231 ,0 ,0 ,59.231 ,0 ,32.949 ,-59.231 ,-83.738 ,245.794 ,245.794 ,88.579 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-760.040 ,0 ,760.040 ,3.124.028 ,3.124.028 ,11.901 
159.,ŠMARJE PRI JELŠAH,0 ,0 ,0 ,0 ,0 ,0 ,44.246 ,44.246 ,0 ,0 ,44.246 ,0 ,134.118 ,-44.246 ,-169.567 ,60.028 ,60.028 ,15.052 
160.,ŠMARTNO OB PAKI,196.470 ,196.470 ,196.470 ,0 ,0 ,0 ,8.676 ,8.676 ,8.676 ,0 ,0 ,0 ,-70.990 ,187.794 ,308.496 ,2.086 ,2.086 ,0 
161.,ŠMARTNO PRI LITIJI,125.188 ,125.188 ,125.188 ,0 ,0 ,0 ,138.430 ,138.430 ,127.391 ,0 ,11.039 ,0 ,58.574 ,-13.242 ,-50.664 ,3.138 ,3.138 ,67 
162.,ŠOŠTANJ,0 ,0 ,0 ,0 ,0 ,0 ,76.031 ,76.031 ,32.219 ,0 ,43.812 ,0 ,1.183.408 ,-76.031 ,-1.309.135 ,134.585 ,134.585 ,0 
163.,ŠTORE,769.083 ,769.083 ,462.807 ,0 ,306.276 ,0 ,682.094 ,682.094 ,573.335 ,0 ,108.759 ,0 ,25.138 ,86.989 ,-87.389 ,179 ,179 ,0 
164.,TABOR,92.935 ,92.935 ,53.797 ,0 ,39.138 ,0 ,17.864 ,17.864 ,11.342 ,0 ,6.522 ,0 ,32.465 ,75.071 ,42.606 ,126.811 ,126.811 ,0 
165.,TIŠINA,364.943 ,364.943 ,0 ,0 ,364.943 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,264.618 ,364.943 ,106.523 ,-19.684 ,-19.684 ,0 
166.,TOLMIN,0 ,0 ,0 ,0 ,0 ,0 ,62.085 ,62.085 ,54.582 ,0 ,7.503 ,0 ,-48.235 ,-62.085 ,69.467 ,188.554 ,188.554 ,74.053 
167.,TRBOVLJE,0 ,0 ,0 ,0 ,0 ,0 ,12.569 ,12.569 ,0 ,0 ,12.569 ,0 ,-105.028 ,-12.569 ,168.874 ,524.896 ,524.896 ,39.551 
168.,TREBNJE,204.440 ,204.440 ,204.440 ,0 ,0 ,0 ,16.909 ,16.909 ,15.648 ,0 ,1.260 ,0 ,552.191 ,187.531 ,-364.659 ,1.733.171 ,1.733.171 ,56.860 
169.,TRNOVSKA VAS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.662 ,0 ,-16.662 ,70.585 ,70.585 ,8.087 
170.,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,11.842 ,11.842 ,11.842 ,0 ,0 ,0 ,-1.036.485 ,-11.842 ,1.024.643 ,0 ,0 ,0 
171.,TRŽIČ,0 ,0 ,0 ,0 ,0 ,0 ,148.139 ,148.139 ,148.139 ,0 ,0 ,0 ,-765.061 ,-148.139 ,899.364 ,261.505 ,261.505 ,0 
172.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.997 ,0 ,-25.997 ,0 ,0 ,0 
173.,MESTNA OBČINA VELENJE,673.093 ,673.093 ,0 ,0 ,673.093 ,0 ,84.112 ,84.112 ,0 ,0 ,84.112 ,0 ,-226.740 ,588.981 ,697.113 ,0 ,0 ,0 
174.,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,65.778 ,0 ,-65.778 ,0 ,0 ,0 
175.,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,12.886 ,12.886 ,0 ,0 ,12.886 ,0 ,-116.662 ,-12.886 ,103.777 ,394.099 ,394.099 ,0 
176.,VERŽEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.843 ,0 ,-23.843 ,19.346 ,19.346 ,0 
177.,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,65.098 ,65.098 ,65.098 ,0 ,0 ,0 ,88.441 ,-65.098 ,-153.539 ,-223.715 ,-223.715 ,0 
178.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,186.776 ,0 ,-184.694 ,119.750 ,119.750 ,35.583 
179.,VITANJE,0 ,0 ,0 ,0 ,0 ,0 ,11.275 ,11.275 ,11.275 ,0 ,0 ,0 ,77.537 ,-11.275 ,-84.080 ,0 ,0 ,0 
180.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-575.668 ,0 ,575.668 ,1.590.386 ,1.590.386 ,0 
181.,VOJNIK,89.718 ,89.718 ,52.162 ,0 ,37.556 ,0 ,102.516 ,102.516 ,63.291 ,0 ,39.226 ,0 ,-15.961 ,-12.798 ,47.751 ,172.442 ,172.442 ,0 
182.,VRANSKO,242.330 ,242.330 ,174.449 ,0 ,67.881 ,0 ,38.232 ,38.232 ,25.805 ,0 ,12.427 ,0 ,128.313 ,204.098 ,-11.889 ,292.364 ,292.364 ,0 
183.,VRHNIKA,107.870 ,107.870 ,107.870 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,319.229 ,107.870 ,-211.359 ,404.966 ,404.966 ,123.239 
184.,VUZENICA,0 ,0 ,0 ,0 ,0 ,0 ,27.821 ,27.821 ,27.821 ,0 ,0 ,0 ,54.933 ,-27.821 ,-79.874 ,69.333 ,69.333 ,659 
185.,ZAGORJE OB SAVI,492.405 ,492.405 ,492.405 ,0 ,0 ,0 ,126.849 ,126.849 ,125.943 ,0 ,906 ,0 ,-21.511 ,365.557 ,403.864 ,144.713 ,144.713 ,31.610 
186.,ZAVRČ,60.090 ,60.090 ,0 ,0 ,60.090 ,0 ,2.003 ,2.003 ,0 ,0 ,2.003 ,0 ,-38.729 ,58.087 ,111.509 ,40.294 ,40.294 ,538 
187.,ZREČE,0 ,0 ,0 ,0 ,0 ,0 ,71.749 ,71.749 ,61.559 ,0 ,10.190 ,0 ,14.513 ,-71.749 ,-86.263 ,36.037 ,36.037 ,4.807 
188.,ŽALEC,0 ,0 ,0 ,0 ,0 ,0 ,141.946 ,141.946 ,115.173 ,0 ,26.773 ,0 ,241.700 ,-141.946 ,-315.903 ,387.452 ,387.452 ,82.849 
189.,ŽELEZNIKI,0 ,0 ,0 ,0 ,0 ,0 ,61.985 ,61.985 ,61.985 ,0 ,0 ,0 ,-26.473 ,-61.985 ,-75.588 ,343.595 ,343.595 ,4.336 
190.,ŽETALE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.389 ,0 ,6.389 ,10.232 ,10.232 ,0 
191.,ŽIRI,125.188 ,125.188 ,125.188 ,0 ,0 ,0 ,156.491 ,156.491 ,125.188 ,0 ,31.304 ,0 ,-32.362 ,-31.304 ,641 ,38.299 ,38.299 ,6.956 
192.,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,24.704 ,24.704 ,0 ,0 ,24.704 ,0 ,-19.745 ,-24.704 ,-4.773 ,-356.102 ,-356.102 ,0 
193.,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-217.105 ,0 ,218.098 ,464.113 ,464.113 ,0 
,SKUPAJ,34.241.413 ,34.241.413 ,27.758.923 ,638.575 ,5.843.916 ,0 ,13.805.194 ,13.805.194 ,9.776.075 ,127.910 ,3.901.209 ,0 ,26.412.871 ,20.436.219 ,-576.452 ,80.637.675 ,80.637.675 ,1.977.541 
