5.,BLED,144.004 ,144.004 ,39.680 ,0 ,0 ,104.323 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34.222 ,34.222 ,34.222 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,109.781 
6.,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
7.,BOHINJ,15.494 ,14.568 ,14.568 ,0 ,0 ,0 ,0 ,0 ,0 ,926 ,0 ,0 ,926 ,0 ,0 ,150.497 ,2.362 ,0 ,0 ,0 ,0 ,2.362 ,0 ,142.088 ,29.210 ,0 ,112.878 ,0 ,0 ,0 ,6.047 ,0 ,6.047 ,-135.003 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9.,BOVEC,8.663 ,8.663 ,8.663 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,-74.796 
10.,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
11.,BRDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40.077 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40.077 ,0 ,0 ,0 ,0 ,0 ,40.077 ,0 ,0 ,0 ,-40.077 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.600 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.600 ,2.600 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.600 
13.,BREŽICE,313 ,313 ,0 ,0 ,0 ,313 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,313 
14.,CANKOVA,11.096 ,11.096 ,11.096 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.096 
15.,MESTNA OBČINA CELJE,1.085 ,1.085 ,1.085 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,837.385 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,837.385 ,834.581 ,0 ,0 ,0 ,2.804 ,0 ,0 ,0 ,0 ,-836.300 
16.,CERKLJE NA GORENJSKEM,40.573 ,40.573 ,40.573 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.900 ,41.900 ,41.900 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.327 
17.,CERKNICA,162.565 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,162.565 ,0 ,162.565 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,160.478 
18.,CERKNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
19.,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
21.,ČRNA NA KOROŠKEM,818 ,818 ,818 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,818 
22.,ČRNOMELJ,44.955 ,5.216 ,5.216 ,0 ,0 ,0 ,0 ,0 ,0 ,39.739 ,0 ,0 ,39.739 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44.955 
23.,DESTRNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
24.,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
25.,DOBJE,243.474 ,243.474 ,0 ,0 ,0 ,243.474 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,250.171 ,249.533 ,0 ,0 ,0 ,196.128 ,53.405 ,0 ,638 ,0 ,0 ,638 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.698 
26.,DOBREPOLJE,4.740 ,4.740 ,4.740 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.778 
27.,DOBRNA,145.097 ,145.097 ,0 ,0 ,145.097 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,209.944 ,208.646 ,0 ,0 ,0 ,208.646 ,0 ,0 ,1.298 ,0 ,0 ,1.298 ,0 ,0 ,0 ,0 ,0 ,0 ,-64.847 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
29.,DOBROVNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
32.,DOMŽALE,191.573 ,191.573 ,191.573 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,191.573 
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12.519 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
38.,GORNJA RADGONA,147.976 ,50.071 ,0 ,0 ,0 ,50.071 ,0 ,0 ,0 ,11.079 ,0 ,11.079 ,0 ,86.826 ,86.826 ,28.793 ,28.793 ,0 ,0 ,0 ,28.793 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,119.183 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40.,GORNJI PETROVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.763 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.763 ,8.763 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8.763 
41.,GRAD,5.679 ,5.679 ,5.679 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.679 
42.,GROSUPLJE,103.009 ,38.737 ,27.942 ,0 ,0 ,0 ,10.795 ,0 ,0 ,40.941 ,0 ,0 ,40.941 ,23.331 ,23.331 ,130.750 ,124.491 ,124.491 ,0 ,0 ,0 ,0 ,0 ,6.259 ,0 ,0 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 ,-27.742 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
45.,HODOŠ,91.804 ,91.804 ,0 ,0 ,0 ,91.804 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,91.900 ,91.804 ,0 ,0 ,0 ,91.804 ,0 ,0 ,96 ,96 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-96 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
47.,HRASTNIK,171.837 ,7.031 ,0 ,0 ,0 ,0 ,7.031 ,0 ,0 ,164.806 ,0 ,164.806 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,171.837 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
49.,IDRIJA,8.354 ,8.354 ,284 ,1.189 ,0 ,175 ,0 ,6.706 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.354 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
51.,ILIRSKA BISTRICA,115.636 ,29.632 ,29.632 ,0 ,0 ,0 ,0 ,0 ,0 ,86.004 ,0 ,0 ,86.004 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,115.636 
52.,IVANČNA GORICA,49.140 ,49.140 ,23.076 ,0 ,0 ,26.064 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,49.140 
53.,IZOLA,333.025 ,333.025 ,291.767 ,0 ,0 ,0 ,41.258 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46.737 ,21.699 ,0 ,0 ,0 ,0 ,21.699 ,0 ,25.038 ,0 ,0 ,0 ,25.038 ,0 ,0 ,0 ,0 ,0 ,286.288 
54.,JESENICE,9.510 ,9.510 ,0 ,0 ,0 ,0 ,9.510 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.527 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.527 ,0 ,0 ,0 ,0 ,0 ,1.527 ,0 ,0 ,0 ,7.983 
55.,JEZERSKO,15.611 ,6.831 ,2.658 ,0 ,0 ,0 ,4.173 ,0 ,0 ,8.780 ,8.780 ,0 ,0 ,0 ,0 ,1.744 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.744 ,0 ,0 ,0 ,0 ,0 ,1.744 ,0 ,0 ,0 ,13.867 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
57.,KAMNIK,254.306 ,5.254 ,5.254 ,0 ,0 ,0 ,0 ,0 ,0 ,249.053 ,0 ,249.053 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,254.306 
58.,KANAL,26.186 ,26.186 ,26.186 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.940 ,5.940 ,5.940 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.245 
59.,KIDRIČEVO,105.658 ,105.658 ,0 ,0 ,0 ,105.658 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45.902 ,45.902 ,0 ,0 ,0 ,45.902 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59.756 
60.,KOBARID,8.012 ,8.012 ,8.012 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.012 
61.,KOBILJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
62.,KOČEVJE,88.458 ,19.400 ,19.400 ,0 ,0 ,0 ,0 ,0 ,0 ,69.058 ,67 ,68.991 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,88.458 
63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
