,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR
,,,01,011,0111,0112,0113,012,0121,013,0131,0132,0133,015,0150,016,0160,017,0171,018,0180,02,022,0220,03,031,0310,032,0320,04,041,0411,0412,042,0421,0422,0423,043,0432,0435,0436,045,0451,0452,0453,0454,046,0460,047,0473,049,0490,05,051,0510,052,0520,053,0530,054,0540,056,0560,06,061,0610,062,0620,063,0630,064,0640,07,071,0711,072,0721,073,0731,0732,074,0740,08,081,0810,082,0820,083,0830,084,0840,09,091,0911,0912,092,0920,0921,0922,0923,093,0930,094,0941,095,0950,096,0960,10,101,1012,104,1040,107,1070,109,1090,XI.
,,,"01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","02
OBRAMBA","02
OBRAMBA","02
OBRAMBA","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","SKUPAJ VSE DEJAVNOSTI
(OD 01 DO 10)
(vlookup)"
,,TEKOČI ODHODKI (K2=40),,"011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev",012 Gospodarska pomoč drugim državam,012 Gospodarska pomoč drugim državam,013 Splošne zadeve,013 Splošne zadeve,013 Splošne zadeve,013 Splošne zadeve,015 Raziskave in razvoj na področju javne uprave,015 Raziskave in razvoj na področju javne uprave,016 Druge dejavnosti javne uprave,016 Druge dejavnosti javne uprave,017 Servisiranje javnega dolga,017 Servisiranje javnega dolga,018 Splošni transferi med javnofinančnimi institucijami na različnih ravneh države,018 Splošni transferi med javnofinančnimi institucijami na različnih ravneh države,,022 Civilna zaščita,022 Civilna zaščita,,031 Policija,031 Policija,032 Protipožarna varnost,032 Protipožarna varnost,,"041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov",043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,045 Promet,045 Promet,045 Promet,045 Promet,045 Promet,046 Komunikacije,046 Komunikacije,047 Druge gospodarske dejavnosti,047 Druge gospodarske dejavnosti,049 Druge dejavnosti s področja gospodarskih zadev,049 Druge dejavnosti s področja gospodarskih zadev,,051 Zbiranje in ravnanje z odpadki,051 Zbiranje in ravnanje z odpadki,052 Ravnanje z odpadno vodo,052 Ravnanje z odpadno vodo,053 Zmanjševanje onesnaževanja,053 Zmanjševanje onesnaževanja,054 Varstvo biološke raznovrstnosti in krajine,054 Varstvo biološke raznovrstnosti in krajine,056 Druge dejavnosti s področja varstva okolja,056 Druge dejavnosti s področja varstva okolja,,061 Stanovanjska dejavnost,061 Stanovanjska dejavnost,062 Dejavnosti na področju prostorskega načrtovanja in razvoja,062 Dejavnosti na področju prostorskega načrtovanja in razvoja,063 Oskrba z vodo,063 Oskrba z vodo,064 Cestna razsvetljava,064 Cestna razsvetljava,,"071 Oskrba z zdravili, drugimi farmacevtskimi izdelki in ortopedskimi pripomočki","071 Oskrba z zdravili, drugimi farmacevtskimi izdelki in ortopedskimi pripomočki",072 Izvenbolnišnične zdravstvene storitve,072 Izvenbolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,074 Storitve splošnega zdravstvenega varstva,074 Storitve splošnega zdravstvenega varstva,,081 Dejavnosti na področju športa in rekreacije,081 Dejavnosti na področju športa in rekreacije,082 Kulturne dejavnosti,082 Kulturne dejavnosti,083 Dejavnosti radia in televizije ter založništva,083 Dejavnosti radia in televizije ter založništva,"084 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij","084 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij",,091 Predšolska vzgoja in osnovnošolsko izobraževanje,091 Predšolska vzgoja in osnovnošolsko izobraževanje,091 Predšolska vzgoja in osnovnošolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,093 Višješolsko izobraževanje,093 Višješolsko izobraževanje,094 Visokošolsko izobraževanje,094 Visokošolsko izobraževanje,"095 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah","095 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah",096 Podporne storitve pri izobraževanju,096 Podporne storitve pri izobraževanju,,101 Varstvo obolelih in invalidnih oseb,101 Varstvo obolelih in invalidnih oseb,104 Varstvo otrok in družine,104 Varstvo otrok in družine,107 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,107 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,109 Druge dejavnosti na področju socialnega varstva,109 Druge dejavnosti na področju socialnega varstva,
"Zap.
št.",ID,OBČINA,,,0111 Dejavnosti izvršilnih in zakonodajnih organov,0112 Dejavnosti s področja finančnih in fiskalnih zadev,0113 Dejavnosti s področja zunanjih zadev,,0121 Gospodarska pomoč drugim državam,,0131 Splošne kadrovske zadeve,0132 Razvojno načrtovanje in statistične storitve,0133 Druge splošne zadeve in storitve,,0150 Raziskave in razvoj na področju javne uprave,,0160 Druge dejavnosti javne uprave,,0171 Servisiranje javnega dolga države,,0180 Splošni transferi med javnofinančnimi institucijami  na različnih ravneh države,,,0220 Civilna zaščita,,,0310 Policija,,0320 Protipožarna varnost,,,0411 Dejavnosti s področja splošnih gospodarskih in trgovinskih zadev,"0412 Dejavnosti s področja splošnih zadev, povezanih z delom in zaposlovanjem",,0421 Kmetijstvo,0422 Gozdarstvo,0423 Ribištvo in lov,,0432 Pridobivanje in distribucija nafte in zemeljskega plina,0435 Pridobivanje in distribucija električne energije,0436 Pridobivanje in distribucija druge energije,,0451 Cestni promet,0452 Vodni promet,0453 Železniški promet,0454 Zračni promet,,0460 Komunikacije,,0473 Turizem,,0490 Druge dejavnosti s področja gospodarskih zadev,,,0510 Zbiranje in ravnanje z odpadki,,0520 Ravnanje z odpadno vodo,,0530 Zmanjševanje onesnaževanja,,0540 Varstvo biološke raznovrstnosti in krajine,,0560 Druge dejavnosti s področja varstva okolja,,,0610 Stanovanjska dejavnost,,0620 Dejavnosti na področju prostorskega načrtovanja in razvoja,,0630 Oskrba z vodo,,0640 Cestna razsvetljava,,,0711 Oskrba z zdravili,,0721 Splošne zdravstvene storitve,,0731 Storitve splošnih bolnišnic,0732 Storitve specializiranih bolnišnic,,0740 Storitve splošnega zdravstvenega varstva,,,0810 Dejavnosti na področju športa in rekreacije,,0820 Kulturne dejavnosti,,0830 Dejavnosti radia in televizije ter založništva,,"0840 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij",,,0911 Predšolska vzgoja,0912 Osnovnošolsko izobraževanje,,0920 Srednje izobraževanje,0921 Srednje poklicno izobraževanje,0922 Srednje strokovno izobraževanje,0923 Srednje splošno izobraževanje,,0930 Višješolsko izobraževanje,,0941 Visokošolsko izobraževanje,,"0950 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah",,0960 Podporne storitve pri izobraževanju,,,1012 Varstvo invalidnih oseb,,1040 Varstvo otrok in družine,,1070 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,,1090 Druge dejavnosti na področju socialne varnosti,
1.,1 ,OBČINA AJDOVŠČINA,"1.512.217,26 ","1.205.873,92 ","1.185.356,29 ","20.517,63 ","0,00 ","0,00 ","0,00 ","157.730,83 ","0,00 ","0,00 ","157.730,83 ","0,00 ","0,00 ","87.313,51 ","87.313,51 ","655,10 ","655,10 ","60.643,90 ","60.643,90 ","10.125,33 ","10.125,33 ","10.125,33 ","19.848,33 ","5.234,43 ","5.234,43 ","14.613,90 ","14.613,90 ","859.533,87 ","15.746,92 ","15.746,92 ","0,00 ","113.666,33 ","61.368,94 ","52.297,39 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","572.963,48 ","572.963,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","69.672,43 ","69.672,43 ","87.484,71 ","87.484,71 ","22.438,51 ","5.279,84 ","5.279,84 ","3.914,17 ","3.914,17 ","672,00 ","672,00 ","0,00 ","0,00 ","12.572,50 ","12.572,50 ","350.880,28 ","42.718,60 ","42.718,60 ","52.006,65 ","52.006,65 ","48.155,03 ","48.155,03 ","208.000,00 ","208.000,00 ","12.707,61 ","0,00 ","0,00 ","12.707,61 ","12.707,61 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","101.401,77 ","31.042,69 ","31.042,69 ","33.533,14 ","33.533,14 ","35.330,46 ","35.330,46 ","1.495,48 ","1.495,48 ","64.558,06 ","64.558,06 ","55.445,09 ","9.112,97 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","105.436,15 ","0,00 ","0,00 ","0,00 ","0,00 ","2.006,70 ","2.006,70 ","103.429,45 ","103.429,45 ","3.059.147,17 "
2.,195 ,OBČINA APAČE,"446.797,14 ","341.720,08 ","337.758,10 ","3.961,98 ","0,00 ","0,00 ","0,00 ","27.472,88 ","1.200,90 ","0,00 ","26.271,98 ","0,00 ","0,00 ","58.472,21 ","58.472,21 ","1.385,22 ","1.385,22 ","17.746,75 ","17.746,75 ","9.521,11 ","9.521,11 ","9.521,11 ","32.553,88 ","4.763,93 ","4.763,93 ","27.789,95 ","27.789,95 ","288.261,32 ","75.079,59 ","5.256,84 ","69.822,75 ","8.410,79 ","8.410,79 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","173.059,96 ","173.059,96 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.254,21 ","4.254,21 ","27.456,77 ","27.456,77 ","25.699,35 ","4.475,90 ","4.475,90 ","21.223,45 ","21.223,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","108.288,70 ","13.309,47 ","13.309,47 ","0,00 ","0,00 ","56.388,66 ","56.388,66 ","38.590,57 ","38.590,57 ","12.404,38 ","0,00 ","0,00 ","1.230,81 ","1.230,81 ","0,00 ","0,00 ","0,00 ","11.173,57 ","11.173,57 ","4.427,64 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.427,64 ","4.427,64 ","4.488,40 ","4.488,40 ","0,00 ","4.488,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.832,68 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.832,68 ","12.832,68 ","945.274,60 "
3.,2 ,OBČINA BELTINCI,"852.603,46 ","461.914,92 ","449.755,67 ","12.159,25 ","0,00 ","0,00 ","0,00 ","177.173,47 ","456,04 ","0,00 ","176.717,43 ","0,00 ","0,00 ","67.572,17 ","67.572,17 ","39.143,45 ","39.143,45 ","106.799,45 ","106.799,45 ","3.610,44 ","3.610,44 ","3.610,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","649.407,40 ","0,00 ","0,00 ","0,00 ","10.067,55 ","10.014,32 ","53,23 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","409.786,98 ","409.786,98 ","0,00 ","0,00 ","0,00 ","49.052,50 ","49.052,50 ","1.293,50 ","1.293,50 ","179.206,87 ","179.206,87 ","119.860,60 ","115.604,83 ","115.604,83 ","4.255,77 ","4.255,77 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","170.793,24 ","5.375,67 ","5.375,67 ","30.053,64 ","30.053,64 ","11.680,87 ","11.680,87 ","123.683,06 ","123.683,06 ","18.432,38 ","0,00 ","0,00 ","18.432,38 ","18.432,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","45.138,93 ","0,00 ","0,00 ","0,00 ","0,00 ","45.138,93 ","45.138,93 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.859.846,45 "
4.,148 ,OBČINA BENEDIKT,"418.798,99 ","258.209,73 ","252.313,05 ","5.896,68 ","0,00 ","0,00 ","0,00 ","40.220,79 ","0,00 ","0,00 ","40.220,79 ","0,00 ","0,00 ","34.493,03 ","34.493,03 ","85.875,44 ","85.875,44 ","0,00 ","0,00 ","1.789,73 ","1.789,73 ","1.789,73 ","152,07 ","152,07 ","152,07 ","0,00 ","0,00 ","191.832,45 ","0,00 ","0,00 ","0,00 ","300,00 ","300,00 ","0,00 ","0,00 ","12.805,82 ","0,00 ","0,00 ","12.805,82 ","153.474,13 ","153.474,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","25.252,50 ","25.252,50 ","6.597,88 ","6.597,88 ","6.597,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","88.954,83 ","0,00 ","0,00 ","0,00 ","0,00 ","21.067,03 ","21.067,03 ","67.887,80 ","67.887,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","152.767,14 ","152.225,56 ","152.225,56 ","541,58 ","541,58 ","0,00 ","0,00 ","0,00 ","0,00 ","6.711,86 ","6.711,86 ","0,00 ","6.711,86 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","867.604,95 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"235.532,79 ","190.989,37 ","185.353,18 ","2.729,22 ","2.906,97 ","0,00 ","0,00 ","33.342,74 ","0,00 ","0,00 ","33.342,74 ","0,00 ","0,00 ","6.752,15 ","6.752,15 ","4.448,53 ","4.448,53 ","0,00 ","0,00 ","859,56 ","859,56 ","859,56 ","454,97 ","0,00 ","0,00 ","454,97 ","454,97 ","165.868,75 ","64.961,00 ","12.529,57 ","52.431,43 ","3.997,81 ","3.997,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","73.162,56 ","73.162,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.939,35 ","10.939,35 ","12.808,03 ","12.808,03 ","1.726,21 ","1.726,21 ","1.726,21 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","34.620,69 ","1.825,55 ","1.825,55 ","21.000,00 ","21.000,00 ","0,00 ","0,00 ","11.795,14 ","11.795,14 ","3.516,04 ","0,00 ","0,00 ","3.516,04 ","3.516,04 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13.135,60 ","2.041,00 ","2.041,00 ","11.094,60 ","11.094,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.452,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.452,00 ","19.452,00 ","475.166,61 "
6.,3 ,OBČINA BLED,"1.382.137,75 ","819.527,35 ","803.619,18 ","11.732,52 ","4.175,65 ","0,00 ","0,00 ","170.093,61 ","0,00 ","0,00 ","170.093,61 ","0,00 ","0,00 ","161.837,69 ","161.837,69 ","7.349,62 ","7.349,62 ","223.329,48 ","223.329,48 ","3.155,13 ","3.155,13 ","3.155,13 ","13.564,71 ","13.564,71 ","13.564,71 ","0,00 ","0,00 ","726.725,22 ","0,00 ","0,00 ","0,00 ","21.688,67 ","473,61 ","21.215,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","382.720,85 ","382.720,85 ","0,00 ","0,00 ","0,00 ","16.309,08 ","16.309,08 ","12.000,00 ","12.000,00 ","294.006,62 ","294.006,62 ","736.729,45 ","73.882,85 ","73.882,85 ","662.846,60 ","662.846,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","221.339,88 ","81.544,90 ","81.544,90 ","7.251,57 ","7.251,57 ","0,00 ","0,00 ","132.543,41 ","132.543,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","257.638,27 ","206.680,00 ","206.680,00 ","50.958,27 ","50.958,27 ","0,00 ","0,00 ","0,00 ","0,00 ","1.628,06 ","1.628,06 ","1.628,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","50.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","50.000,00 ","50.000,00 ","3.392.918,47 "
