,,,,,,,,,,,- V EUR,,,,,- V EUR
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
"Zap.
št.",ID,OBČINA,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
1.,1 ,OBČINA AJDOVŠČINA,"2,760,737.45 ","2,760,737.45 ","2,760,737.45 ",0.00 ,0.00 ,"488,117.01 ","488,117.01 ","488,117.01 ",0.00 ,0.00 ,"969,189.33 ","2,272,620.44 ","1,303,431.11 ","3,230,266.42 "
2.,195 ,OBČINA APAČE,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"61,019.68 ","61,019.68 ","61,019.68 ",0.00 ,0.00 ,"135,159.02 ","-61,019.68 ","-196,178.70 ","617,151.64 "
3.,2 ,OBČINA BELTINCI,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"318,292.68 ","318,292.68 ","318,292.68 ",0.00 ,0.00 ,"-242,619.35 ","-318,292.68 ","-75,673.33 ","742,887.20 "
4.,148 ,OBČINA BENEDIKT,"275,000.00 ","275,000.00 ","275,000.00 ",0.00 ,0.00 ,"498,529.43 ","498,529.43 ","498,529.43 ",0.00 ,0.00 ,"-2,580.24 ","-223,529.43 ","-220,949.19 ","24,435.88 "
5.,149 ,OBČINA BISTRICA OB SOTLI,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"18,106.31 ","18,106.31 ",0.00 ,0.00 ,"18,106.31 ","274,667.04 ","-18,106.31 ","-292,773.35 ","18,809.21 "
6.,3 ,OBČINA BLED,"1,900,000.00 ","1,900,000.00 ","1,900,000.00 ",0.00 ,0.00 ,"131,918.48 ","131,918.48 ","131,918.48 ",0.00 ,0.00 ,"1,140,134.32 ","1,768,081.52 ","631,840.52 ","1,347,445.45 "
