,,,,,,,,,,,- V EUR,,,,,- V EUR,
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.,
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA,
,,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),,
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,
21.,196 ,OBČINA CIRKULANE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-435.523,00 ","0,00 ","435.523,00 ","512.290,00 ",
22.,15 ,OBČINA ČRENŠOVCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-168.793,09 ","0,00 ","168.793,09 ","232.513,00 ",
23.,16 ,OBČINA ČRNA NA KOROŠKEM,"615.961,00 ","615.961,00 ","615.961,00 ","0,00 ","0,00 ","32.646,00 ","32.646,00 ","32.646,00 ","0,00 ","0,00 ","124.571,00 ","583.315,00 ","451.650,00 ","12.128,00 ",
24.,17 ,OBČINA ČRNOMELJ,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","85.889,92 ","85.889,92 ","0,00 ","0,00 ","85.889,92 ","389.769,51 ","-85.889,92 ","-475.659,43 ","83.711,44 ",
25.,18 ,OBČINA DESTRNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","75.385,40 ","75.385,40 ","61.495,76 ","0,00 ","13.889,64 ","-77.026,60 ","-75.385,40 ","-189.881,23 ","921.199,00 ",
26.,19 ,OBČINA DIVAČA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.743,88 ","12.743,88 ","12.743,88 ","0,00 ","0,00 ","-506.507,09 ","-12.743,88 ","493.763,21 ","816.933,00 ",
27.,154 ,OBČINA DOBJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-26.354,53 ","0,00 ","76.028,88 ","62.890,00 ",
28.,20 ,OBČINA DOBREPOLJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-292.879,73 ","0,00 ","337.866,57 ","1.624.591,93 ",
29.,155 ,OBČINA DOBRNA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-210.860,02 ","0,00 ","210.860,02 ","306.185,00 ",
30.,21 ,OBČINA DOBROVA-POLHOV GRADEC,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","952.232,71 ","0,00 ","-952.232,71 ","97.840,44 ",
31.,156 ,OBČINA DOBROVNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","60.750,96 ","60.750,96 ","0,00 ","0,00 ","60.750,96 ","21.847,02 ","-60.750,96 ","-82.597,98 ","80.845,00 ",
32.,22 ,OBČINA DOL PRI LJUBLJANI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-688.165,35 ","0,00 ","688.165,35 ","1.150.359,80 ",
33.,157 ,OBČINA DOLENJSKE TOPLICE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","28.552,19 ","0,00 ","-28.552,19 ","4.050,30 ",
34.,23 ,OBČINA DOMŽALE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","92.109,51 ","92.109,51 ","65.755,63 ","0,00 ","26.353,88 ","-751.908,46 ","-92.109,51 ","760.981,50 ","8.024.135,00 ",
35.,24 ,OBČINA DORNAVA,"200.000,00 ","200.000,00 ","200.000,00 ","0,00 ","0,00 ","72.556,80 ","72.556,80 ","40.729,32 ","0,00 ","31.827,48 ","-479,81 ","127.443,20 ","127.923,01 ","12.037,00 ",
36.,25 ,OBČINA DRAVOGRAD,"700.000,00 ","700.000,00 ","700.000,00 ","0,00 ","0,00 ","163.649,72 ","163.649,72 ","163.649,72 ","0,00 ","0,00 ","-99.962,11 ","536.350,28 ","636.312,39 ","-14.878,17 ",
37.,26 ,OBČINA DUPLEK,"1.208.000,00 ","1.208.000,00 ","1.208.000,00 ","0,00 ","0,00 ","81.636,69 ","81.636,69 ","81.636,69 ","0,00 ","0,00 ","-422.381,70 ","1.126.363,31 ","1.613.070,01 ","575.685,54 ",
38.,27 ,OBČINA GORENJA VAS-POLJANE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","116.780,28 ","116.780,28 ","116.780,28 ","0,00 ","0,00 ","-634.134,87 ","-116.780,28 ","426.395,59 ","219.694,00 ",
39.,28 ,OBČINA GORIŠNICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-224,04 ","0,00 ","224,04 ","199.896,00 ",
40.,207 ,OBČINA GORJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.927,09 ","16.927,09 ","16.927,09 ","0,00 ","0,00 ","-134.876,87 ","-16.927,09 ","117.949,78 ","288.691,81 ",
41.,29 ,OBČINA GORNJA RADGONA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","56.270,80 ","56.270,80 ","56.270,80 ","0,00 ","0,00 ","-1.584.132,49 ","-56.270,80 ","909.292,33 ","1.669.099,47 ",
42.,30 ,OBČINA GORNJI GRAD,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.137,62 ","12.137,62 ","12.137,62 ","0,00 ","0,00 ","124.764,83 ","-12.137,62 ","-243.610,12 ","1.609,21 ",
