5.,BLED,48.097 ,36.405 ,36.405 ,0 ,0 ,0 ,0 ,0 ,0 ,11.693 ,11.693 ,0 ,0 ,0 ,0 ,19.663 ,19.663 ,19.663 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.434 
6.,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.252 ,0 ,0 ,0 ,4.252 ,0 ,0 ,0 ,0 ,0 ,-4.252 
7.,BOHINJ,11.167 ,11.167 ,11.167 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64.121 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,57.808 ,1.799 ,0 ,56.009 ,0 ,0 ,0 ,6.314 ,0 ,6.314 ,-52.954 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9.,BOVEC,15.753 ,15.753 ,15.753 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,-67.706 
10.,BRASLOVČE,8.237 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.237 ,0 ,8.237 ,0 ,0 ,0 ,2.328 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.328 ,0 ,0 ,0 ,0 ,0 ,2.328 ,0 ,0 ,0 ,5.909 
11.,BRDA,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,417 ,0 ,0 ,417 ,0 ,0 ,32.591 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.591 ,0 ,0 ,0 ,0 ,0 ,32.591 ,0 ,0 ,0 ,-32.173 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
13.,BREŽICE,21.032 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21.032 ,0 ,0 ,21.032 ,0 ,0 ,5.199 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.199 ,5.199 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.832 
14.,CANKOVA,8.317 ,8.317 ,8.317 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.150 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.150 ,1.150 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.167 
15.,MESTNA OBČINA CELJE,1.251.135 ,1.552 ,1.552 ,0 ,0 ,0 ,0 ,0 ,0 ,1.249.583 ,0 ,285.637 ,963.946 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,1.238.616 
16.,CERKLJE NA GORENJSKEM,42.881 ,42.881 ,42.881 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.133 ,41.133 ,41.133 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.748 
17.,CERKNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.391 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.391 ,0 ,0 ,0 ,10.391 ,0 ,0 ,0 ,0 ,0 ,-10.391 
18.,CERKNO,28.839 ,28.839 ,28.405 ,0 ,0 ,0 ,434 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48.823 ,48.823 ,48.823 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-19.984 
19.,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
21.,ČRNA NA KOROŠKEM,839 ,839 ,839 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,839 
22.,ČRNOMELJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
23.,DESTRNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
24.,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
25.,DOBJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,96.061 ,96.007 ,0 ,0 ,0 ,96.007 ,0 ,0 ,54 ,0 ,0 ,54 ,0 ,0 ,0 ,0 ,0 ,0 ,-96.061 
26.,DOBREPOLJE,4.402 ,4.402 ,4.402 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8.116 
27.,DOBRNA,631.781 ,631.781 ,0 ,0 ,631.781 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,735.270 ,731.097 ,0 ,0 ,0 ,731.097 ,0 ,0 ,4.173 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,-103.489 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
29.,DOBROVNIK,3.050 ,3.050 ,3.050 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.595 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.595 ,1.595 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.455 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,-8.346 
32.,DOMŽALE,242.359 ,242.359 ,242.359 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,242.359 
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,11.275 ,11.275 ,0 ,0 ,0 ,0 ,11.275 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59.264 ,23.794 ,0 ,0 ,0 ,0 ,23.794 ,0 ,35.470 ,0 ,0 ,35.470 ,0 ,0 ,0 ,0 ,0 ,0 ,-47.989 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
38.,GORNJA RADGONA,121.524 ,121.524 ,82.106 ,0 ,0 ,0 ,0 ,39.417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.185 ,12.185 ,0 ,0 ,0 ,0 ,12.185 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,109.339 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40.,GORNJI PETROVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
41.,GRAD,5.429 ,5.429 ,5.429 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.429 
42.,GROSUPLJE,109.473 ,90.461 ,47.087 ,0 ,0 ,0 ,43.373 ,0 ,0 ,0 ,0 ,0 ,0 ,19.012 ,19.012 ,153.468 ,153.468 ,153.468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-43.995 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
45.,HODOŠ,33.383 ,33.383 ,0 ,0 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.383 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.900 ,12.519 ,12.519 ,0 ,0 ,0 ,0 ,0 ,4.382 ,0 ,0 ,4.382 ,0 ,0 ,0 ,0 ,0 ,0 ,-16.900 
47.,HRASTNIK,822 ,822 ,0 ,0 ,0 ,0 ,822 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111.279 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111.279 ,0 ,0 ,111.279 ,0 ,0 ,0 ,0 ,0 ,0 ,-110.457 
48.,HRPELJE - KOZINA,488.232 ,488.232 ,0 ,0 ,0 ,488.232 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,379.736 ,379.736 ,0 ,0 ,0 ,379.736 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,108.496 
49.,IDRIJA,219.087 ,81.426 ,78.430 ,0 ,1.715 ,0 ,0 ,1.281 ,0 ,137.661 ,0 ,0 ,137.661 ,0 ,0 ,43.816 ,43.816 ,43.816 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,175.271 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
51.,ILIRSKA BISTRICA,63.274 ,63.274 ,26.143 ,0 ,0 ,37.131 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63.274 
52.,IVANČNA GORICA,993.991 ,36.955 ,0 ,0 ,0 ,0 ,36.955 ,0 ,0 ,939.388 ,0 ,939.388 ,0 ,17.647 ,17.647 ,50.075 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,50.075 ,0 ,0 ,0 ,0 ,0 ,50.075 ,0 ,0 ,0 ,943.916 
53.,IZOLA,312.636 ,312.636 ,271.382 ,0 ,0 ,41.254 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,300.117 
54.,JESENICE,3.593 ,3.593 ,0 ,0 ,0 ,0 ,3.593 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,20.865 ,0 ,0 ,0 ,-17.272 
55.,JEZERSKO,1.790 ,1.790 ,1.790 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.445 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.445 ,0 ,0 ,2.445 ,0 ,0 ,0 ,0 ,0 ,0 ,-655 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
57.,KAMNIK,39.359 ,6.706 ,6.706 ,0 ,0 ,0 ,0 ,0 ,0 ,32.653 ,0 ,0 ,32.653 ,0 ,0 ,876 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,876 ,0 ,0 ,0 ,876 ,0 ,0 ,0 ,0 ,0 ,38.483 
58.,KANAL,7.192 ,7.192 ,7.192 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,5.106 
59.,KIDRIČEVO,20.865 ,20.865 ,0 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,0 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
60.,KOBARID,11.396 ,11.396 ,11.396 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.396 
61.,KOBILJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
62.,KOČEVJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
