63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
65.,MESTNA OBČINA KOPER,4.432 ,4.432 ,88 ,0 ,0 ,0 ,4.344 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.432 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
68.,MESTNA OBČINA KRANJ,466.450 ,466.450 ,424.962 ,0 ,0 ,0 ,41.487 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,73.026 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,73.026 ,0 ,0 ,73.026 ,0 ,0 ,0 ,0 ,0 ,0 ,393.423 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.038 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.038 ,0 ,0 ,25.038 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.038 
70.,KRIŽEVCI,2.081 ,2.081 ,0 ,0 ,2.081 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.081 
71.,KRŠKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
72.,KUNGOTA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
73.,KUZMA,4.440 ,4.440 ,4.440 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.231 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.231 ,1.231 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.209 
74.,LAŠKO,7.749 ,7.749 ,330 ,0 ,0 ,0 ,7.419 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111.279 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111.279 ,0 ,0 ,111.279 ,0 ,0 ,0 ,0 ,0 ,0 ,-103.530 
75.,LENART,14.818 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.818 ,14.818 ,14.818 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.818 ,0 ,14.818 ,0 
76.,LENDAVA,12.770 ,12.770 ,12.770 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.218 ,10.015 ,0 ,0 ,0 ,0 ,0 ,10.015 ,203 ,0 ,0 ,203 ,0 ,0 ,0 ,0 ,0 ,0 ,2.551 
77.,LITIJA,15.181 ,15.181 ,0 ,0 ,0 ,15.181 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,153.009 ,41.729 ,0 ,0 ,0 ,41.729 ,0 ,0 ,111.279 ,0 ,0 ,111.279 ,0 ,0 ,0 ,0 ,0 ,0 ,-137.828 
78.,MESTNA OBČINA LJUBLJANA,2.094.955 ,626.273 ,625.772 ,0 ,0 ,0 ,501 ,0 ,0 ,584.281 ,0 ,0 ,584.281 ,884.402 ,884.402 ,79.286 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79.286 ,0 ,0 ,79.286 ,0 ,0 ,0 ,0 ,0 ,0 ,2.015.669 
79.,LJUBNO,12.519 ,12.519 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,0 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
81.,LOGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.824 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.824 ,0 ,0 ,1.824 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.824 
83.,LOŠKI POTOK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.669 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.669 ,1.669 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.669 
86.,LUKOVICA,11.809 ,11.809 ,11.809 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.951 ,22.951 ,0 ,0 ,0 ,0 ,0 ,22.951 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-11.142 
87.,MAJŠPERK,720.564 ,720.564 ,0 ,0 ,0 ,720.564 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.080.475 ,1.080.475 ,0 ,0 ,0 ,1.080.475 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-359.911 
88.,MESTNA OBČINA MARIBOR,83.909 ,83.909 ,0 ,0 ,0 ,83.909 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.909 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12.519 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
91.,MENGEŠ,18.198 ,18.198 ,18.198 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18.198 
92.,METLIKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
93.,MEŽICA,59.485 ,59.485 ,13.850 ,0 ,0 ,45.635 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59.485 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.563 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.563 ,0 ,0 ,5.563 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.563 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.043 ,1.043 ,0 ,0 ,1.043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.043 
98.,MORAVČE,11.263 ,11.263 ,11.263 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.263 
99.,MORAVSKE TOPLICE,35.637 ,35.637 ,31.802 ,0 ,0 ,3.835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.177 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.177 ,7.177 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.459 
100.,MOZIRJE,8.358 ,8.358 ,0 ,0 ,8.121 ,238 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.358 
101.,MESTNA OBČINA MURSKA SOBOTA,46.887 ,46.887 ,17.860 ,0 ,29.027 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.668 ,31.668 ,0 ,31.668 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.219 
102.,MUTA,9.093 ,5.792 ,1.920 ,0 ,0 ,3.872 ,0 ,0 ,0 ,3.301 ,0 ,3.301 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.093 
103.,NAKLO,13.800 ,13.800 ,9.881 ,0 ,0 ,3.918 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.065 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.558 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.558 ,10.558 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.558 
105.,MESTNA OBČINA NOVA GORICA,147.359 ,4.941 ,4.941 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,142.418 ,142.418 ,146.052 ,146.052 ,0 ,0 ,0 ,0 ,146.052 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.306 
106.,MESTNA OBČINA NOVO MESTO,489.280 ,489.280 ,191.646 ,0 ,0 ,0 ,297.634 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,179.436 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,179.436 ,179.436 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,309.844 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
108.,OPLOTNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
109.,ORMOŽ,72.334 ,33.383 ,0 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.950 ,38.950 ,497.108 ,4.173 ,0 ,0 ,0 ,4.173 ,0 ,0 ,479.887 ,0 ,0 ,479.887 ,0 ,0 ,0 ,13.049 ,0 ,13.049 ,-424.775 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
112.,PIRAN,37.556 ,37.556 ,37.556 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40.690 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40.690 ,0 ,0 ,40.690 ,0 ,0 ,0 ,0 ,0 ,0 ,-3.134 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.550 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.550 ,5.550 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.550 
114.,PODČETRTEK,6.631 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.631 ,6.631 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.631 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
116.,PODVELKA,29.803 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.797 ,0 ,3.797 ,0 ,26.006 ,26.006 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.803 
117.,POLZELA,10.637 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.637 ,10.637 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.637 
118.,POSTOJNA,29.899 ,29.899 ,0 ,0 ,0 ,29.899 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.676 ,25.497 ,0 ,0 ,0 ,25.497 ,0 ,0 ,11.179 ,0 ,0 ,11.179 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.777 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
120.,PREDDVOR,193.407 ,193.407 ,21.482 ,0 ,0 ,0 ,171.925 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,166.946 ,166.917 ,0 ,0 ,0 ,0 ,166.917 ,0 ,29 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,26.461 
121.,PREVALJE,20.756 ,20.756 ,0 ,0 ,0 ,0 ,20.756 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.756 
122.,MESTNA OBČINA PTUJ,282.783 ,282.745 ,0 ,0 ,0 ,232.127 ,50.618 ,0 ,0 ,38 ,38 ,0 ,0 ,0 ,0 ,132.490 ,132.490 ,49.032 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,150.292 
123.,PUCONCI,20.564 ,17.877 ,7.223 ,5.458 ,0 ,0 ,5.195 ,0 ,0 ,2.687 ,0 ,2.687 ,0 ,0 ,0 ,76.327 ,51.289 ,12.160 ,0 ,0 ,0 ,0 ,39.130 ,25.038 ,0 ,0 ,25.038 ,0 ,0 ,0 ,0 ,0 ,0 ,-55.763 
124.,RAČE - FRAM,13.696 ,13.696 ,0 ,0 ,0 ,13.696 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.696 
125.,RADEČE,2.007 ,2.007 ,0 ,0 ,0 ,2.007 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.007 
126.,RADENCI,2.086 ,2.086 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.264 ,6.264 ,0 ,0 ,0 ,6.264 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4.177 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
128.,RADOVLJICA,74.858 ,74.858 ,67.981 ,0 ,0 ,6.877 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.858 
129.,RAVNE NA KOROŠKEM,14.226 ,14.226 ,0 ,0 ,0 ,14.226 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.226 
130.,RAZKRIŽJE,351 ,351 ,351 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,351 
131.,RIBNICA,63.775 ,63.775 ,0 ,0 ,0 ,0 ,63.775 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63.775 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
134.,ROGAŠOVCI,10.662 ,10.662 ,10.194 ,0 ,0 ,467 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.857 
135.,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
136.,RUŠE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
138.,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.570 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.570 ,0 ,0 ,0 ,10.570 ,0 ,0 ,0 ,0 ,0 ,-10.570 
139.,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
140.,SEŽANA,32.674 ,32.674 ,32.674 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.003 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.003 ,2.003 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.671 
141.,MESTNA OBČINA SLOVENJ GRADEC,180.346 ,180.346 ,0 ,60.507 ,119.838 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,92.581 ,92.581 ,0 ,60.507 ,32.073 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,87.765 
142.,SLOVENSKA BISTRICA,63.650 ,63.650 ,0 ,0 ,0 ,63.650 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64.121 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64.121 ,64.121 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-472 
143.,SLOVENSKE KONJICE,21.173 ,21.173 ,21.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.639 ,8.488 ,0 ,0 ,0 ,0 ,8.488 ,0 ,6.151 ,6.151 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.535 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.449 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.449 ,7.449 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.449 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
147.,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
150.,ŠALOVCI,5.633 ,5.633 ,0 ,0 ,5.633 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.088 ,3.088 ,0 ,0 ,0 ,3.088 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.545 
151.,ŠEMPETER - VRTOJBA,22.444 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.444 ,22.444 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.444 
