št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.,BLED,6.940.461 ,6.414.643 ,5.555.383 ,3.554.786 ,3.554.786 ,1.034.927 ,646.511 ,0 ,34.297 ,354.119 ,965.669 ,2.712 ,0 ,962.957 ,0 ,0 ,859.260 ,169.371 ,0 ,0 ,11.058 ,158.312 ,26.360 ,26.360 ,50.584 ,50.584 ,113.595 ,113.595 ,499.349 ,499.349 ,458.388 ,392.464 ,392.401 ,0 ,63 ,0 ,0 ,65.924 ,0 ,65.924 ,0 ,10.712 ,10.712 ,501 ,10.211 ,0 ,0 ,0 ,0 ,0 ,56.718 ,56.718 ,56.718 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
6.,BLOKE,1.184.287 ,620.991 ,527.058 ,379.334 ,379.334 ,78.264 ,65.012 ,0 ,1.429 ,11.823 ,69.460 ,5.666 ,0 ,63.794 ,0 ,0 ,93.933 ,13.271 ,0 ,0 ,811 ,12.460 ,2.778 ,2.778 ,60 ,60 ,32.887 ,32.887 ,44.937 ,44.937 ,8.685 ,698 ,698 ,0 ,0 ,0 ,0 ,7.987 ,5.436 ,2.551 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,554.611 ,554.611 ,554.611 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
7.,BOHINJ,4.169.488 ,3.130.521 ,1.938.454 ,1.153.084 ,1.153.084 ,385.449 ,298.381 ,29 ,3.038 ,84.001 ,399.921 ,1.669 ,0 ,398.252 ,0 ,0 ,1.192.067 ,365.452 ,0 ,3.005 ,25.576 ,336.872 ,13.900 ,13.900 ,37.627 ,37.627 ,742.472 ,742.472 ,32.616 ,32.616 ,23.272 ,20.823 ,20.823 ,0 ,0 ,0 ,0 ,2.450 ,989 ,1.461 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.015.694 ,1.015.694 ,992.902 ,0 ,22.793 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
8.,BOROVNICA ,2.340.152 ,2.115.899 ,1.448.978 ,1.023.473 ,1.023.473 ,135.482 ,91.779 ,0 ,9.039 ,34.665 ,290.023 ,150.843 ,0 ,139.180 ,0 ,0 ,666.921 ,60.399 ,5.942 ,38 ,24.904 ,29.515 ,3.831 ,3.831 ,63 ,63 ,0 ,0 ,602.629 ,602.629 ,33.592 ,0 ,0 ,0 ,0 ,0 ,0 ,33.592 ,0 ,33.592 ,0 ,13.199 ,13.199 ,11.488 ,1.711 ,0 ,0 ,0 ,0 ,0 ,177.462 ,177.462 ,177.462 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9.,BOVEC,3.417.835 ,1.714.559 ,1.122.304 ,756.994 ,756.994 ,166.304 ,100.171 ,0 ,14.234 ,51.899 ,199.007 ,563 ,0 ,198.444 ,0 ,0 ,592.255 ,469.392 ,0 ,0 ,7.157 ,462.235 ,5.542 ,5.542 ,897 ,897 ,82.436 ,82.436 ,33.988 ,33.988 ,34.786 ,9.180 ,9.180 ,0 ,0 ,0 ,0 ,25.605 ,0 ,25.605 ,0 ,131.389 ,131.389 ,8.108 ,123.281 ,0 ,0 ,0 ,0 ,0 ,1.537.101 ,1.537.101 ,1.413.479 ,0 ,0 ,2.608 ,121.015 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
10.,BRASLOVČE,2.267.981 ,1.555.734 ,1.444.629 ,1.172.638 ,1.172.638 ,102.291 ,49.862 ,88 ,9.856 ,42.485 ,169.700 ,4.190 ,0 ,165.511 ,0 ,0 ,111.104 ,65.085 ,11.463 ,3.534 ,9.589 ,40.498 ,7.499 ,7.499 ,0 ,0 ,4.724 ,4.724 ,33.797 ,33.797 ,25.330 ,24.620 ,24.620 ,0 ,0 ,0 ,0 ,709 ,0 ,709 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,686.918 ,686.918 ,671.741 ,6.176 ,0 ,9.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
11.,BRDA,3.463.032 ,2.421.102 ,1.813.333 ,1.425.154 ,1.425.154 ,193.849 ,150.230 ,0 ,13.374 ,30.245 ,194.329 ,672 ,0 ,193.657 ,0 ,0 ,607.770 ,532.561 ,9.289 ,0 ,10.211 ,513.061 ,6.660 ,6.660 ,2.825 ,2.825 ,15.423 ,15.423 ,50.300 ,50.300 ,195.310 ,182.236 ,182.027 ,209 ,0 ,0 ,0 ,13.074 ,12.969 ,104 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,846.620 ,846.620 ,751.314 ,0 ,0 ,95.305 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
12.,BREZOVICA,4.893.695 ,4.406.418 ,3.806.960 ,3.116.792 ,3.116.792 ,558.525 ,293.161 ,230 ,18.248 ,246.887 ,131.643 ,2.842 ,0 ,128.802 ,0 ,0 ,599.458 ,26.636 ,0 ,0 ,2.387 ,24.249 ,9.205 ,9.205 ,5.984 ,5.984 ,20.998 ,20.998 ,536.634 ,536.634 ,128.526 ,52.241 ,52.241 ,0 ,0 ,0 ,0 ,76.285 ,0 ,76.285 ,0 ,17.810 ,4.123 ,4.123 ,0 ,13.687 ,13.687 ,0 ,0 ,0 ,340.941 ,340.941 ,204.695 ,136.246 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
13.,BREŽICE,15.199.608 ,9.386.000 ,7.881.743 ,4.918.486 ,4.918.486 ,984.059 ,751.928 ,0 ,32.495 ,199.637 ,1.979.198 ,17.660 ,0 ,1.961.538 ,0 ,0 ,1.504.256 ,340.336 ,0 ,196 ,21.115 ,319.024 ,218.937 ,218.937 ,22.767 ,22.767 ,14.843 ,14.843 ,907.374 ,907.374 ,609.460 ,91.867 ,91.867 ,0 ,0 ,0 ,0 ,517.593 ,65.398 ,452.195 ,0 ,3.338 ,3.338 ,3.338 ,0 ,0 ,0 ,0 ,0 ,0 ,5.200.810 ,5.200.810 ,5.200.810 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
14.,CANKOVA,1.145.536 ,426.131 ,324.230 ,256.986 ,256.986 ,43.648 ,40.648 ,0 ,705 ,2.295 ,23.596 ,1.306 ,0 ,22.291 ,0 ,0 ,101.901 ,7.965 ,0 ,1.452 ,1.176 ,5.337 ,2.293 ,2.293 ,213 ,213 ,0 ,0 ,91.429 ,91.429 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.638 ,1.638 ,1.638 ,0 ,0 ,0 ,0 ,0 ,0 ,717.767 ,717.767 ,680.848 ,3.547 ,0 ,33.372 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
