št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.,DOBREPOLJE,2.044.734 ,1.235.336 ,1.000.864 ,711.179 ,711.179 ,145.088 ,115.928 ,0 ,11.400 ,17.760 ,144.596 ,5.154 ,0 ,139.443 ,0 ,0 ,234.473 ,101.769 ,0 ,0 ,52.020 ,49.750 ,8.354 ,8.354 ,664 ,664 ,1.673 ,1.673 ,122.012 ,122.012 ,4.419 ,213 ,0 ,213 ,0 ,0 ,0 ,4.206 ,0 ,4.206 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,804.978 ,804.978 ,804.978 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
27.,DOBRNA,1.473.907 ,944.851 ,504.073 ,368.165 ,368.165 ,55.350 ,38.913 ,0 ,4.586 ,11.851 ,80.558 ,434 ,0 ,80.124 ,0 ,0 ,440.778 ,164.104 ,0 ,0 ,13.529 ,150.576 ,3.518 ,3.518 ,325 ,325 ,30.725 ,30.725 ,242.105 ,242.105 ,30.421 ,30.421 ,30.421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,459 ,459 ,459 ,0 ,0 ,0 ,0 ,0 ,0 ,498.176 ,498.176 ,494.012 ,4.165 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
28.,DOBROVA - POLHOV GRADEC,4.065.740 ,2.462.218 ,2.241.612 ,1.834.093 ,1.834.093 ,322.171 ,230.888 ,296 ,22.688 ,68.298 ,85.349 ,647 ,0 ,84.702 ,0 ,0 ,220.606 ,16.466 ,0 ,0 ,2.032 ,14.434 ,6.042 ,6.042 ,3.159 ,3.159 ,109 ,109 ,194.830 ,194.830 ,153.013 ,125 ,0 ,125 ,0 ,0 ,0 ,152.888 ,12.752 ,140.135 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,1.446.336 ,1.446.336 ,747.200 ,699.136 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
29.,DOBROVNIK,1.521.154 ,413.933 ,256.706 ,198.885 ,198.885 ,14.075 ,3.218 ,0 ,891 ,9.965 ,43.747 ,108 ,0 ,43.639 ,0 ,0 ,157.227 ,6.056 ,0 ,0 ,1.298 ,4.758 ,4.342 ,4.342 ,535 ,535 ,426 ,426 ,145.868 ,145.868 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,626 ,626 ,626 ,0 ,0 ,0 ,0 ,0 ,0 ,1.106.595 ,1.106.595 ,1.056.988 ,0 ,0 ,49.608 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
30.,DOL PRI LJUBLJANI,2.439.860 ,2.303.589 ,1.884.614 ,1.375.993 ,1.375.993 ,378.710 ,298.373 ,83 ,15.323 ,64.931 ,129.912 ,1.498 ,0 ,128.413 ,0 ,0 ,418.974 ,51.089 ,0 ,0 ,23.172 ,27.917 ,4.786 ,4.786 ,1.027 ,1.027 ,647 ,647 ,361.425 ,361.425 ,110.382 ,110.382 ,110.382 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.889 ,25.889 ,288 ,25.601 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,1.872.684 ,1.187.256 ,1.099.921 ,840.795 ,840.795 ,102.374 ,88.358 ,0 ,2.850 ,11.167 ,156.752 ,125 ,0 ,156.627 ,0 ,0 ,87.335 ,33.680 ,0 ,67 ,3.284 ,30.329 ,3.718 ,3.718 ,230 ,230 ,17.818 ,17.818 ,31.890 ,31.890 ,56.456 ,0 ,0 ,0 ,0 ,0 ,0 ,56.456 ,0 ,56.456 ,0 ,1.932 ,1.932 ,1.932 ,0 ,0 ,0 ,0 ,0 ,0 ,627.041 ,627.041 ,512.285 ,114.755 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
32.,DOMŽALE,17.378.785 ,16.786.415 ,13.713.950 ,10.131.951 ,10.131.951 ,2.593.176 ,1.741.944 ,510 ,42.271 ,808.451 ,988.822 ,63.023 ,0 ,925.799 ,0 ,0 ,3.072.466 ,1.279.047 ,0 ,71.167 ,180.904 ,1.026.976 ,60.414 ,60.414 ,49.819 ,49.819 ,29.529 ,29.529 ,1.653.657 ,1.653.657 ,256.707 ,144.651 ,144.651 ,0 ,0 ,0 ,0 ,112.056 ,0 ,112.056 ,0 ,1.098 ,0 ,0 ,0 ,1.098 ,0 ,1.098 ,0 ,0 ,334.565 ,334.565 ,334.565 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
33.,DORNAVA,1.147.759 ,547.371 ,483.905 ,379.336 ,379.336 ,44.813 ,39.267 ,0 ,976 ,4.569 ,59.756 ,363 ,0 ,59.393 ,0 ,0 ,63.466 ,34.135 ,0 ,805 ,5.133 ,28.196 ,4.569 ,4.569 ,618 ,618 ,0 ,0 ,24.145 ,24.145 ,1.819 ,0 ,0 ,0 ,0 ,0 ,0 ,1.819 ,1.819 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,598.569 ,598.569 ,594.763 ,3.806 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
34.,DRAVOGRAD,5.362.196 ,3.849.796 ,2.698.110 ,1.764.823 ,1.764.823 ,563.814 ,498.491 ,0 ,4.858 ,60.465 ,369.472 ,14.592 ,0 ,354.881 ,0 ,0 ,1.151.687 ,883.647 ,0 ,4.731 ,21.728 ,857.188 ,11.189 ,11.189 ,953 ,953 ,0 ,0 ,255.898 ,255.898 ,692.982 ,484.268 ,484.268 ,0 ,0 ,0 ,0 ,208.714 ,24.821 ,183.892 ,0 ,8.346 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,811.072 ,811.072 ,764.254 ,0 ,0 ,46.818 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
35.,DUPLEK,3.323.085 ,1.746.557 ,1.475.292 ,1.081.017 ,1.081.017 ,123.064 ,80.404 ,0 ,5.721 ,36.939 ,271.211 ,14.893 ,0 ,256.318 ,0 ,0 ,271.265 ,106.848 ,8.179 ,0 ,3.802 ,94.867 ,7.202 ,7.202 ,7.407 ,7.407 ,13.487 ,13.487 ,136.321 ,136.321 ,5.638 ,0 ,0 ,0 ,0 ,0 ,0 ,5.638 ,0 ,5.638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.570.890 ,1.570.890 ,1.384.084 ,0 ,0 ,186.805 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,4.285.783 ,1.848.314 ,1.533.354 ,1.213.979 ,1.213.979 ,224.370 ,192.339 ,0 ,922 ,31.109 ,95.005 ,2.416 ,0 ,92.589 ,0 ,0 ,314.960 ,92.768 ,79 ,4.298 ,15.853 ,72.538 ,11.246 ,11.246 ,601 ,601 ,181.335 ,181.335 ,29.010 ,29.010 ,1.623 ,0 ,0 ,0 ,0 ,0 ,0 ,1.623 ,1.623 ,0 ,0 ,369.496 ,369.496 ,369.496 ,0 ,0 ,0 ,0 ,0 ,0 ,2.066.350 ,2.066.350 ,2.050.505 ,15.845 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
37.,GORIŠNICA,3.051.014 ,1.985.336 ,1.264.117 ,876.544 ,876.544 ,264.714 ,243.344 ,0 ,776 ,20.593 ,122.859 ,1.214 ,0 ,121.645 ,0 ,0 ,721.219 ,381.435 ,0 ,0 ,22.492 ,358.943 ,15.348 ,15.348 ,2.420 ,2.420 ,0 ,0 ,322.016 ,322.016 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.065.678 ,1.065.678 ,1.038.216 ,18.686 ,0 ,8.776 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
38.,GORNJA RADGONA,8.027.700 ,4.390.615 ,2.996.649 ,1.952.533 ,1.952.533 ,728.576 ,638.954 ,221 ,11.050 ,78.351 ,315.540 ,14.138 ,0 ,301.402 ,0 ,0 ,1.393.966 ,407.716 ,0 ,0 ,41.387 ,366.329 ,16.775 ,16.775 ,44.646 ,44.646 ,26.377 ,26.377 ,898.452 ,898.452 ,377.237 ,0 ,0 ,0 ,0 ,0 ,0 ,377.237 ,0 ,377.237 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.259.848 ,3.259.848 ,2.852.917 ,315.674 ,0 ,91.258 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
39.,GORNJI GRAD,1.540.603 ,600.159 ,511.471 ,355.871 ,355.871 ,63.587 ,50.851 ,0 ,1.661 ,11.075 ,92.013 ,142 ,0 ,91.871 ,0 ,0 ,88.687 ,68.398 ,0 ,0 ,113 ,68.286 ,5.366 ,5.366 ,0 ,0 ,0 ,0 ,14.922 ,14.922 ,25.505 ,4.565 ,4.565 ,0 ,0 ,0 ,0 ,20.940 ,743 ,20.197 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,914.939 ,914.939 ,914.939 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40.,GORNJI PETROVCI,1.382.336 ,379.715 ,328.743 ,245.723 ,245.723 ,61.918 ,51.982 ,0 ,2.988 ,6.948 ,21.102 ,605 ,0 ,20.497 ,0 ,0 ,50.972 ,7.340 ,0 ,0 ,1.869 ,5.471 ,3.914 ,3.914 ,0 ,0 ,401 ,401 ,39.317 ,39.317 ,5.425 ,5.425 ,0 ,5.425 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,997.196 ,815.114 ,770.981 ,0 ,0 ,44.133 ,0 ,182.081 ,0 ,0 ,0 ,0 ,0 ,0 ,182.081 ,0 
41.,GRAD,1.625.447 ,630.663 ,244.329 ,179.332 ,179.332 ,50.594 ,47.404 ,0 ,375 ,2.814 ,14.403 ,2.437 ,0 ,11.966 ,0 ,0 ,386.335 ,143.628 ,1.025 ,0 ,993 ,141.610 ,6.653 ,6.653 ,318 ,318 ,127.010 ,127.010 ,108.726 ,108.726 ,10.171 ,0 ,0 ,0 ,0 ,0 ,0 ,10.171 ,10.171 ,0 ,0 ,1.113 ,1.113 ,1.113 ,0 ,0 ,0 ,0 ,0 ,0 ,983.500 ,983.500 ,925.831 ,16.258 ,0 ,41.411 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
42.,GROSUPLJE,10.802.767 ,9.666.475 ,7.171.991 ,5.096.136 ,5.096.136 ,1.051.465 ,716.116 ,0 ,59.318 ,276.031 ,1.024.391 ,39.213 ,0 ,985.178 ,0 ,0 ,2.494.483 ,253.117 ,0 ,17 ,61.930 ,191.170 ,46.900 ,46.900 ,2.667 ,2.667 ,48.423 ,48.423 ,2.143.378 ,2.143.378 ,470.865 ,351.210 ,350.997 ,213 ,0 ,0 ,0 ,119.654 ,68.519 ,51.135 ,0 ,4.256 ,4.256 ,83 ,4.173 ,0 ,0 ,0 ,0 ,0 ,661.171 ,661.171 ,658.663 ,2.508 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
43.,HAJDINA,1.807.582 ,1.492.798 ,1.195.272 ,777.103 ,777.103 ,328.981 ,309.456 ,0 ,1.068 ,18.457 ,89.188 ,960 ,0 ,88.228 ,0 ,0 ,297.525 ,206.193 ,2.470 ,0 ,3.501 ,200.221 ,8.196 ,8.196 ,743 ,743 ,179 ,179 ,82.215 ,82.215 ,108.496 ,0 ,0 ,0 ,0 ,0 ,0 ,108.496 ,0 ,108.496 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,206.289 ,206.289 ,174.366 ,31.923 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,5.138.988 ,3.791.838 ,3.099.508 ,2.346.399 ,2.346.399 ,348.928 ,251.002 ,0 ,6.013 ,91.913 ,404.181 ,3.384 ,0 ,400.797 ,0 ,0 ,692.330 ,156.067 ,1.719 ,40.882 ,4.469 ,108.997 ,14.130 ,14.130 ,7.365 ,7.365 ,118.215 ,118.215 ,396.553 ,396.553 ,325.242 ,0 ,0 ,0 ,0 ,0 ,0 ,325.242 ,0 ,252.233 ,73.010 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.021.908 ,1.021.908 ,1.021.908 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
45.,HODOŠ,495.013 ,70.547 ,37.515 ,24.587 ,24.587 ,3.025 ,1.636 ,0 ,83 ,1.306 ,9.902 ,0 ,0 ,9.902 ,0 ,0 ,33.033 ,810 ,0 ,0 ,163 ,647 ,997 ,997 ,0 ,0 ,0 ,0 ,31.226 ,31.226 ,526 ,526 ,526 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.381 ,1.381 ,0 ,1.381 ,0 ,0 ,0 ,0 ,0 ,422.559 ,415.398 ,210.591 ,0 ,0 ,183.943 ,20.865 ,7.161 ,7.161 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
46.,HORJUL,2.074.483 ,920.606 ,800.317 ,662.018 ,662.018 ,92.735 ,50.981 ,0 ,2.141 ,39.614 ,45.564 ,88 ,0 ,45.477 ,0 ,0 ,120.289 ,54.215 ,0 ,0 ,23.489 ,30.725 ,3.864 ,3.864 ,572 ,572 ,0 ,0 ,61.638 ,61.638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.153.877 ,1.153.877 ,318.090 ,835.787 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
47.,HRASTNIK,8.622.275 ,4.400.985 ,3.742.468 ,2.306.172 ,2.306.172 ,871.261 ,787.794 ,0 ,6.706 ,76.761 ,565.035 ,23.406 ,0 ,541.629 ,0 ,0 ,658.517 ,408.955 ,0 ,380 ,32.687 ,375.889 ,15.419 ,15.419 ,0 ,0 ,1.335 ,1.335 ,232.808 ,232.808 ,15.365 ,3.756 ,0 ,3.756 ,0 ,0 ,0 ,11.609 ,0 ,11.609 ,0 ,124.353 ,124.353 ,124.353 ,0 ,0 ,0 ,0 ,0 ,0 ,4.081.572 ,3.662.097 ,2.557.286 ,1.104.811 ,0 ,0 ,0 ,419.475 ,0 ,0 ,419.475 ,0 ,0 ,0 ,0 ,0 
48.,HRPELJE - KOZINA,3.386.150 ,2.054.953 ,1.440.886 ,1.039.676 ,1.039.676 ,240.920 ,161.693 ,138 ,27.904 ,51.185 ,160.290 ,15.907 ,0 ,144.383 ,0 ,0 ,614.067 ,481.848 ,3.105 ,0 ,21.253 ,457.490 ,6.055 ,6.055 ,204 ,204 ,0 ,0 ,125.960 ,125.960 ,414.380 ,5.512 ,5.512 ,0 ,0 ,0 ,0 ,408.867 ,0 ,408.867 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,916.817 ,916.817 ,883.951 ,32.866 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
49.,IDRIJA,7.656.827 ,5.833.984 ,5.055.750 ,3.908.421 ,3.908.421 ,826.811 ,659.139 ,0 ,14.768 ,152.904 ,320.518 ,6.063 ,0 ,314.455 ,0 ,0 ,778.234 ,738.741 ,0 ,334 ,34.168 ,704.240 ,19.654 ,19.654 ,6.284 ,6.284 ,6.848 ,6.848 ,6.706 ,6.706 ,201.164 ,193.887 ,190.194 ,3.338 ,355 ,0 ,0 ,7.278 ,0 ,7.278 ,0 ,16.007 ,16.007 ,16.007 ,0 ,0 ,0 ,0 ,0 ,0 ,1.605.671 ,897.663 ,893.403 ,4.261 ,0 ,0 ,0 ,708.008 ,708.008 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
50.,IG,2.996.336 ,2.752.216 ,2.231.831 ,1.713.424 ,1.713.424 ,316.095 ,204.106 ,0 ,7.949 ,104.039 ,202.312 ,1.452 ,0 ,200.860 ,0 ,0 ,520.385 ,157.691 ,0 ,0 ,110.061 ,47.630 ,10.520 ,10.520 ,2.625 ,2.625 ,19.992 ,19.992 ,329.557 ,329.557 ,14.522 ,0 ,0 ,0 ,0 ,0 ,0 ,14.522 ,0 ,14.522 ,0 ,10.829 ,10.829 ,7.741 ,3.088 ,0 ,0 ,0 ,0 ,0 ,218.770 ,218.770 ,184.135 ,34.635 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
51.,ILIRSKA BISTRICA,7.098.706 ,4.636.651 ,4.100.213 ,3.188.867 ,3.188.867 ,519.400 ,364.288 ,21 ,50.935 ,104.156 ,391.946 ,27.379 ,0 ,364.568 ,0 ,0 ,536.438 ,376.002 ,0 ,0 ,108.642 ,267.359 ,22.388 ,22.388 ,6.835 ,6.835 ,1.102 ,1.102 ,130.112 ,130.112 ,130.154 ,101.244 ,101.244 ,0 ,0 ,0 ,0 ,28.910 ,0 ,28.910 ,0 ,68.853 ,68.853 ,68.853 ,0 ,0 ,0 ,0 ,0 ,0 ,2.263.049 ,2.263.049 ,2.263.049 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
52.,IVANČNA GORICA,7.307.628 ,4.780.646 ,4.062.031 ,3.317.355 ,3.317.355 ,317.293 ,132.394 ,0 ,21.637 ,163.262 ,427.383 ,2.971 ,0 ,424.412 ,0 ,0 ,718.615 ,174.892 ,0 ,0 ,130.729 ,44.162 ,28.597 ,28.597 ,2.767 ,2.767 ,17.693 ,17.693 ,494.667 ,494.667 ,626.669 ,621.787 ,621.787 ,0 ,0 ,0 ,0 ,4.882 ,0 ,4.882 ,0 ,626 ,626 ,626 ,0 ,0 ,0 ,0 ,0 ,0 ,1.899.687 ,1.899.687 ,1.899.687 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
53.,IZOLA,12.602.500 ,11.270.164 ,6.823.644 ,4.500.017 ,4.500.017 ,1.234.498 ,728.551 ,1.461 ,37.197 ,467.288 ,1.089.130 ,11.688 ,0 ,1.077.441 ,0 ,0 ,4.446.520 ,1.194.763 ,0 ,0 ,170.159 ,1.024.604 ,43.140 ,43.140 ,93.327 ,93.327 ,199.879 ,199.879 ,2.915.411 ,2.915.411 ,919.145 ,590.648 ,588.040 ,2.608 ,0 ,0 ,0 ,328.497 ,0 ,328.497 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,413.191 ,413.191 ,404.845 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
54.,JESENICE,11.812.790 ,8.662.523 ,6.493.407 ,4.751.448 ,4.751.448 ,1.252.437 ,917.827 ,8 ,42.739 ,291.863 ,489.522 ,22.880 ,0 ,466.642 ,0 ,0 ,2.169.116 ,1.633.363 ,0 ,13.462 ,60.854 ,1.559.047 ,37.944 ,37.944 ,5.437 ,5.437 ,25.434 ,25.434 ,466.938 ,466.938 ,789.230 ,100.601 ,98.076 ,1.807 ,718 ,0 ,0 ,688.629 ,0 ,688.629 ,0 ,2.520 ,2.520 ,2.295 ,225 ,0 ,0 ,0 ,0 ,0 ,2.358.517 ,2.358.517 ,2.288.612 ,54.332 ,0 ,15.573 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
55.,JEZERSKO,436.859 ,250.910 ,221.528 ,175.421 ,175.421 ,10.562 ,7.090 ,0 ,476 ,2.996 ,35.545 ,92 ,0 ,35.453 ,0 ,0 ,29.382 ,17.706 ,1.673 ,605 ,2.086 ,13.341 ,1.097 ,1.097 ,734 ,734 ,0 ,0 ,9.844 ,9.844 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,185.950 ,185.950 ,185.950 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
56.,JURŠINCI,1.167.522 ,376.306 ,262.790 ,181.568 ,181.568 ,36.830 ,30.625 ,0 ,488 ,5.717 ,44.392 ,2.137 ,0 ,42.255 ,0 ,0 ,113.516 ,10.391 ,367 ,0 ,1.719 ,8.304 ,6.122 ,6.122 ,1.202 ,1.202 ,0 ,0 ,95.802 ,95.802 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.700 ,5.700 ,3.222 ,2.479 ,0 ,0 ,0 ,0 ,0 ,785.516 ,785.516 ,773.189 ,12.327 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
57.,KAMNIK,14.796.587 ,12.118.206 ,9.168.874 ,7.148.122 ,7.148.122 ,1.641.625 ,1.117.651 ,0 ,65.665 ,458.308 ,379.127 ,16.700 ,0 ,362.427 ,0 ,0 ,2.949.332 ,448.089 ,0 ,0 ,82.929 ,365.160 ,47.175 ,47.175 ,30.254 ,30.254 ,85.370 ,85.370 ,2.338.445 ,2.338.445 ,473.510 ,65.769 ,65.732 ,0 ,38 ,0 ,0 ,407.741 ,4.553 ,403.188 ,0 ,66.642 ,51.678 ,9.698 ,41.980 ,14.964 ,0 ,14.964 ,0 ,0 ,2.138.228 ,2.138.228 ,1.992.468 ,145.760 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
58.,KANAL,5.225.056 ,3.939.064 ,2.339.240 ,1.443.591 ,1.443.591 ,449.543 ,398.095 ,0 ,16.748 ,34.700 ,446.107 ,262.077 ,0 ,184.030 ,0 ,0 ,1.599.824 ,792.280 ,11.158 ,0 ,18.903 ,762.219 ,7.925 ,7.925 ,662 ,662 ,67.589 ,67.589 ,731.369 ,731.369 ,44.219 ,23.177 ,23.177 ,0 ,0 ,0 ,0 ,21.043 ,0 ,21.043 ,0 ,207.291 ,207.291 ,207.291 ,0 ,0 ,0 ,0 ,0 ,0 ,1.034.481 ,433.455 ,428.770 ,0 ,0 ,4.685 ,0 ,601.026 ,601.026 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
59.,KIDRIČEVO,3.893.094 ,2.021.837 ,1.848.189 ,1.239.117 ,1.239.117 ,415.811 ,338.671 ,0 ,2.036 ,75.104 ,193.261 ,13.182 ,0 ,180.078 ,0 ,0 ,173.648 ,105.112 ,8.792 ,0 ,20.719 ,75.601 ,14.451 ,14.451 ,1.110 ,1.110 ,0 ,0 ,52.975 ,52.975 ,276.072 ,133.742 ,133.742 ,0 ,0 ,0 ,0 ,142.330 ,10.900 ,131.430 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.595.184 ,1.595.184 ,1.546.002 ,49.182 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
60.,KOBARID,3.238.228 ,1.473.047 ,1.238.003 ,982.691 ,982.691 ,95.460 ,48.343 ,0 ,17.376 ,29.740 ,159.852 ,906 ,0 ,158.947 ,0 ,0 ,235.044 ,212.456 ,0 ,0 ,1.210 ,211.246 ,9.961 ,9.961 ,75 ,75 ,0 ,0 ,12.552 ,12.552 ,444.066 ,145.568 ,145.568 ,0 ,0 ,0 ,0 ,298.498 ,0 ,298.498 ,0 ,230 ,230 ,0 ,230 ,0 ,0 ,0 ,0 ,0 ,1.320.885 ,1.320.885 ,1.316.533 ,0 ,0 ,4.352 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
61.,KOBILJE,426.585 ,145.055 ,84.878 ,72.626 ,72.626 ,7.310 ,3.770 ,0 ,78 ,3.462 ,4.942 ,74 ,0 ,4.868 ,0 ,0 ,60.178 ,8.085 ,0 ,0 ,564 ,7.520 ,782 ,782 ,0 ,0 ,0 ,0 ,51.311 ,51.311 ,21.388 ,21.388 ,21.388 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.101 ,36.101 ,1.874 ,34.226 ,0 ,0 ,0 ,0 ,0 ,224.042 ,224.042 ,201.682 ,0 ,0 ,22.360 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
62.,KOČEVJE,9.616.950 ,5.500.643 ,4.600.046 ,3.459.256 ,3.459.256 ,513.796 ,338.078 ,413 ,22.004 ,153.301 ,626.995 ,29.945 ,0 ,597.050 ,0 ,0 ,900.597 ,634.285 ,0 ,0 ,18.244 ,616.041 ,21.023 ,21.023 ,1.836 ,1.836 ,31.894 ,31.894 ,211.559 ,211.559 ,238.324 ,66.529 ,66.529 ,0 ,0 ,0 ,0 ,171.795 ,0 ,171.795 ,0 ,7.883 ,6.155 ,6.155 ,0 ,1.728 ,0 ,0 ,1.728 ,0 ,3.870.101 ,3.870.101 ,3.849.554 ,8.613 ,0 ,11.935 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
63.,KOMEN,2.330.116 ,1.795.485 ,1.318.866 ,1.065.932 ,1.065.932 ,153.196 ,80.617 ,0 ,32.265 ,40.315 ,99.737 ,179 ,0 ,99.558 ,0 ,0 ,476.619 ,425.726 ,0 ,2.450 ,7.954 ,415.323 ,5.767 ,5.767 ,221 ,221 ,35.808 ,35.808 ,9.097 ,9.097 ,43.407 ,39.447 ,39.447 ,0 ,0 ,0 ,0 ,3.960 ,0 ,3.960 ,0 ,26.448 ,13.933 ,13.933 ,0 ,12.515 ,12.515 ,0 ,0 ,0 ,464.776 ,464.776 ,464.776 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
64.,KOMENDA,9.713.704 ,4.261.521 ,1.689.050 ,1.273.197 ,1.273.197 ,234.564 ,115.119 ,0 ,2.909 ,116.537 ,181.289 ,889 ,0 ,180.400 ,0 ,0 ,2.572.471 ,105.024 ,0 ,0 ,48.001 ,57.023 ,11.138 ,11.138 ,1.895 ,1.895 ,59.126 ,59.126 ,2.395.289 ,2.395.289 ,5.275.204 ,83 ,0 ,0 ,83 ,0 ,0 ,5.275.121 ,0 ,5.275.121 ,0 ,16.458 ,16.458 ,16.458 ,0 ,0 ,0 ,0 ,0 ,0 ,160.520 ,160.520 ,157.545 ,0 ,0 ,2.975 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
