30.,DOL PRI LJUBLJANI,2.137.869 ,656.460 ,91.037 ,13.278 ,534.155 ,72.576 ,951 ,45.898 ,2.913 ,4.019 ,263.833 ,9.719 ,0 ,4.482 ,129.765 ,0 ,0 ,0 ,0 ,0 ,17.989 ,769.183 ,55.033 ,0 ,55.033 ,245.401 ,0 ,0 ,2.562 ,0 ,3.985 ,238.854 ,92.977 ,92.977 ,375.772 ,0 ,18.582 ,0 ,357.190 ,0 ,465.774 ,465.774 ,0 ,0 ,16.817 ,0 ,10.436 ,300.109 ,43.799 ,0 ,94.613 ,246.453 ,246.453 ,0 ,0 ,37.047 ,176.753 ,0 ,0 ,0 ,32.653 ,0 ,-182.240 
31.,DOLENJSKE TOPLICE,1.609.256 ,414.155 ,69.955 ,10.311 ,332.620 ,65.160 ,14.376 ,26.769 ,1.657 ,1.239 ,115.920 ,8.788 ,11.642 ,3.267 ,83.801 ,0 ,0 ,0 ,0 ,0 ,1.269 ,500.134 ,46.912 ,3.710 ,43.202 ,78.201 ,0 ,2.170 ,2.975 ,0 ,0 ,73.055 ,87.335 ,87.335 ,287.686 ,0 ,12.656 ,18.323 ,256.706 ,0 ,598.147 ,598.147 ,0 ,0 ,10.044 ,2.078 ,525.259 ,10.624 ,0 ,0 ,50.142 ,96.820 ,96.820 ,0 ,0 ,5.425 ,84.569 ,0 ,0 ,0 ,6.827 ,0 ,-85.670 
32.,DOMŽALE,14.412.442 ,3.931.188 ,934.794 ,132.990 ,2.765.532 ,264.046 ,7.835 ,106.009 ,4.423 ,7.393 ,1.438.862 ,968 ,45.957 ,0 ,890.038 ,79.286 ,58.147 ,0 ,21.139 ,0 ,18.586 ,5.859.657 ,212.221 ,0 ,212.221 ,2.844.801 ,0 ,0 ,60.457 ,0 ,64.627 ,2.719.716 ,693.389 ,693.389 ,2.109.246 ,462.601 ,0 ,28.059 ,1.618.586 ,0 ,3.536.378 ,3.536.378 ,85.722 ,0 ,84.404 ,0 ,2.440.702 ,21.067 ,538.484 ,0 ,365.998 ,1.085.220 ,1.085.220 ,29.855 ,0 ,163.269 ,270.776 ,0 ,0 ,0 ,621.320 ,0 ,1.062.343 
33.,DORNAVA,1.018.165 ,223.043 ,54.432 ,7.578 ,152.082 ,11.534 ,0 ,22.751 ,1.582 ,1.106 ,50.263 ,0 ,0 ,1.573 ,63.274 ,8.951 ,0 ,8.951 ,0 ,0 ,0 ,340.903 ,12.790 ,0 ,12.790 ,149.583 ,0 ,0 ,0 ,0 ,0 ,149.583 ,68.707 ,68.707 ,109.823 ,30.700 ,28.772 ,0 ,50.351 ,0 ,447.467 ,447.467 ,23.026 ,0 ,155.709 ,0 ,232.248 ,18.403 ,0 ,0 ,18.081 ,6.752 ,6.752 ,0 ,0 ,0 ,384 ,0 ,0 ,0 ,6.368 ,0 ,-24.787 
34.,DRAVOGRAD,4.043.186 ,1.150.661 ,273.610 ,38.594 ,833.094 ,57.503 ,3.211 ,62.471 ,11.816 ,13.860 ,505.747 ,2.498 ,0 ,14.122 ,161.864 ,5.364 ,5.364 ,0 ,0 ,0 ,0 ,1.486.770 ,41.866 ,0 ,41.866 ,328.091 ,0 ,0 ,0 ,0 ,0 ,328.091 ,218.182 ,218.182 ,898.631 ,55.156 ,35.719 ,13.923 ,793.834 ,0 ,959.503 ,959.503 ,26.327 ,0 ,32.206 ,1.019 ,489.849 ,230.990 ,63.548 ,0 ,115.565 ,446.252 ,446.252 ,45.902 ,0 ,19.425 ,341.227 ,0 ,0 ,0 ,39.698 ,0 ,-77.747 
35.,DUPLEK,2.033.993 ,785.491 ,192.372 ,27.600 ,550.701 ,101.461 ,14.730 ,87.135 ,4.711 ,4.724 ,278.910 ,96 ,3.505 ,8.650 ,46.779 ,3.989 ,3.989 ,0 ,0 ,0 ,10.829 ,827.333 ,29.907 ,0 ,29.907 ,302.762 ,0 ,6.155 ,18.695 ,0 ,0 ,277.913 ,86.246 ,86.246 ,408.417 ,0 ,44.905 ,2.086 ,361.425 ,0 ,374.274 ,374.274 ,9.352 ,6.259 ,18.615 ,0 ,214.326 ,24.796 ,22.609 ,0 ,78.317 ,46.895 ,46.895 ,0 ,0 ,5.454 ,0 ,0 ,0 ,0 ,41.441 ,0 ,141.041 
36.,GORENJA VAS - POLJANE,3.432.161 ,594.976 ,154.140 ,22.200 ,395.318 ,47.830 ,13.967 ,133.671 ,2.633 ,3.998 ,31.426 ,13.216 ,1.202 ,6.848 ,140.527 ,3.743 ,0 ,0 ,3.743 ,0 ,19.575 ,1.214.155 ,54.928 ,0 ,54.928 ,675.455 ,0 ,0 ,10.933 ,0 ,0 ,664.522 ,84.890 ,84.890 ,398.882 ,196.332 ,22.029 ,0 ,180.521 ,0 ,1.193.140 ,1.193.140 ,84.422 ,0 ,29.352 ,0 ,718.570 ,229.244 ,80.771 ,0 ,50.780 ,429.891 ,429.891 ,314.205 ,0 ,34.498 ,0 ,0 ,6.956 ,50.810 ,23.423 ,0 ,-23.172 
37.,GORIŠNICA,3.975.413 ,467.714 ,123.035 ,17.455 ,327.224 ,88.812 ,0 ,19.141 ,0 ,3.739 ,2.700 ,0 ,0 ,5.771 ,207.061 ,0 ,0 ,0 ,0 ,0 ,0 ,889.772 ,35.261 ,0 ,35.261 ,439.242 ,0 ,0 ,0 ,0 ,0 ,439.242 ,192.785 ,192.785 ,222.484 ,9.110 ,61.601 ,0 ,151.773 ,0 ,2.484.481 ,2.484.481 ,0 ,0 ,6.385 ,1.911 ,2.384.865 ,67.142 ,14.814 ,0 ,9.364 ,133.446 ,133.446 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,133.446 ,0 ,33.847 
38.,GORNJA RADGONA,7.435.507 ,1.780.588 ,578.438 ,80.262 ,1.085.424 ,33.671 ,102.495 ,605.329 ,9.381 ,4.795 ,206.088 ,0 ,0 ,17.556 ,106.109 ,28.117 ,28.117 ,0 ,0 ,0 ,8.346 ,2.256.635 ,15.131 ,0 ,15.131 ,238.950 ,0 ,0 ,0 ,0 ,0 ,238.950 ,346.123 ,346.123 ,1.656.430 ,421.854 ,104.319 ,37.865 ,1.092.393 ,0 ,3.238.858 ,3.238.858 ,0 ,0 ,33.504 ,0 ,2.945.401 ,133.596 ,60.616 ,0 ,65.740 ,159.427 ,159.427 ,0 ,0 ,0 ,0 ,0 ,36.839 ,0 ,122.588 ,0 ,-595.648 
39.,GORNJI GRAD,1.764.864 ,431.777 ,96.858 ,14.063 ,301.423 ,50.004 ,2.813 ,48.794 ,8.972 ,2.441 ,72.934 ,40.986 ,1.669 ,4.073 ,68.736 ,7.695 ,4.478 ,3.217 ,0 ,0 ,11.738 ,408.642 ,64.493 ,35.599 ,28.893 ,219.504 ,0 ,0 ,0 ,0 ,0 ,219.504 ,52.625 ,52.625 ,72.021 ,0 ,9.973 ,1.586 ,60.462 ,0 ,894.212 ,894.212 ,72.117 ,0 ,20.193 ,0 ,750.230 ,0 ,30.283 ,0 ,21.390 ,30.233 ,30.233 ,8.346 ,0 ,21.887 ,0 ,0 ,0 ,0 ,0 ,0 ,13.479 
40.,GORNJI PETROVCI,1.608.838 ,356.026 ,102.863 ,14.801 ,238.362 ,52.808 ,20.326 ,44.191 ,30.045 ,3.689 ,46.503 ,0 ,484 ,3.355 ,36.960 ,0 ,0 ,0 ,0 ,0 ,0 ,497.112 ,31.677 ,0 ,31.677 ,187.106 ,52.128 ,0 ,22.409 ,0 ,0 ,112.569 ,113.516 ,113.516 ,164.814 ,9.072 ,0 ,4.461 ,151.281 ,0 ,738.136 ,738.136 ,3.288 ,0 ,7.015 ,0 ,312.210 ,345.852 ,12.519 ,0 ,57.253 ,17.564 ,17.564 ,6.197 ,0 ,0 ,0 ,0 ,0 ,0 ,11.367 ,0 ,-4.503 
41.,GRAD,1.658.150 ,1.188.508 ,132.040 ,65.807 ,973.727 ,105.721 ,69.437 ,75.497 ,1.607 ,5.187 ,653.722 ,7.198 ,0 ,2.061 ,53.297 ,242 ,242 ,0 ,0 ,0 ,16.692 ,338.508 ,38.846 ,2.182 ,36.663 ,98.706 ,0 ,0 ,0 ,0 ,0 ,98.706 ,55.120 ,55.120 ,145.835 ,0 ,25.204 ,2.362 ,118.269 ,0 ,126.961 ,126.961 ,0 ,0 ,30.250 ,1.924 ,36.651 ,15.060 ,3.756 ,0 ,39.321 ,4.173 ,4.173 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,-77.345 
42.,GROSUPLJE,7.230.805 ,1.779.945 ,424.399 ,62.807 ,1.219.054 ,170.810 ,140.156 ,149.337 ,4.185 ,505 ,401.298 ,45.560 ,13 ,19.258 ,287.932 ,61.350 ,44.521 ,0 ,16.829 ,0 ,12.335 ,2.961.021 ,10.094 ,10.094 ,0 ,1.833.563 ,0 ,13.312 ,5.492 ,0 ,4.557 ,1.810.203 ,462.060 ,462.060 ,655.304 ,11.079 ,80.959 ,6.768 ,556.497 ,0 ,1.362.974 ,1.362.974 ,216.771 ,0 ,85.779 ,3.672 ,527.646 ,168.908 ,115.352 ,0 ,244.846 ,1.126.865 ,1.126.865 ,0 ,0 ,65.457 ,722.697 ,0 ,49.846 ,49.128 ,239.739 ,0 ,310.628 
43.,HAJDINA,1.784.760 ,540.269 ,83.976 ,12.014 ,444.279 ,29.256 ,154 ,51.895 ,4.841 ,2.258 ,157.161 ,2.671 ,0 ,3.756 ,192.288 ,0 ,0 ,0 ,0 ,0 ,0 ,582.207 ,27.737 ,0 ,27.737 ,225.526 ,0 ,0 ,0 ,0 ,1.544 ,223.982 ,144.734 ,144.734 ,184.210 ,0 ,28.084 ,0 ,156.126 ,0 ,586.471 ,586.471 ,0 ,12.214 ,4.486 ,15.707 ,386.542 ,77.053 ,35.073 ,0 ,55.396 ,75.814 ,75.814 ,0 ,0 ,42.543 ,0 ,0 ,0 ,0 ,33.271 ,0 ,7.294 
44.,HOČE - SLIVNICA,4.582.774 ,1.090.928 ,295.243 ,41.775 ,752.909 ,83.141 ,0 ,204.745 ,6.180 ,6.531 ,335.729 ,2.516 ,0 ,11.037 ,103.030 ,1.002 ,1.002 ,0 ,0 ,0 ,0 ,1.564.321 ,107.445 ,0 ,107.445 ,195.585 ,0 ,0 ,0 ,0 ,0 ,195.585 ,195.664 ,195.664 ,1.065.628 ,0 ,46.845 ,0 ,1.018.782 ,0 ,1.158.988 ,1.158.988 ,0 ,0 ,48.660 ,0 ,0 ,826.819 ,88.888 ,0 ,194.621 ,768.536 ,768.536 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,768.536 ,0 ,99.478 
45.,HODOŠ,538.963 ,86.555 ,35.228 ,5.028 ,46.299 ,11.572 ,11.939 ,4.941 ,4.202 ,1.306 ,4.427 ,0 ,0 ,972 ,6.940 ,0 ,0 ,0 ,0 ,0 ,0 ,87.243 ,2.320 ,0 ,2.320 ,28.622 ,20.689 ,121 ,2.579 ,0 ,0 ,5.233 ,18.674 ,18.674 ,37.627 ,10.341 ,0 ,492 ,26.794 ,0 ,351.665 ,351.665 ,0 ,0 ,4.490 ,1.064 ,272.676 ,70.076 ,0 ,0 ,3.359 ,13.499 ,13.499 ,981 ,0 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,-157.023 
46.,HORJUL,1.795.815 ,239.668 ,39.764 ,5.700 ,186.693 ,24.032 ,321 ,44.917 ,517 ,1.840 ,84.748 ,0 ,363 ,1.314 ,28.639 ,0 ,0 ,0 ,0 ,0 ,7.511 ,395.547 ,9.660 ,0 ,9.660 ,261.008 ,0 ,7.303 ,8.463 ,0 ,0 ,245.243 ,48.510 ,48.510 ,76.369 ,0 ,8.020 ,0 ,68.348 ,0 ,1.060.445 ,1.060.445 ,0 ,0 ,2.128 ,976 ,1.015.690 ,3.630 ,0 ,0 ,38.020 ,100.154 ,100.154 ,0 ,0 ,32.303 ,0 ,0 ,0 ,7.152 ,60.699 ,0 ,-212.435 
47.,HRASTNIK,5.757.716 ,1.367.998 ,341.095 ,49.483 ,933.767 ,248.285 ,4.807 ,99.708 ,4.052 ,6.810 ,425.355 ,8.842 ,0 ,15.386 ,120.522 ,26.961 ,0 ,0 ,26.961 ,0 ,16.692 ,1.920.147 ,25.288 ,0 ,25.288 ,792.601 ,0 ,0 ,4.052 ,0 ,22.872 ,765.678 ,194.625 ,194.625 ,907.632 ,2.086 ,76.298 ,13.270 ,815.978 ,0 ,1.876.002 ,1.876.002 ,369.709 ,0 ,19.383 ,584 ,998.402 ,204.907 ,53.939 ,0 ,229.077 ,593.570 ,593.570 ,0 ,0 ,0 ,356.810 ,0 ,0 ,0 ,236.759 ,0 ,522.221 
48.,HRPELJE - KOZINA,2.473.097 ,592.489 ,164.296 ,24.796 ,402.771 ,34.189 ,2.629 ,23.418 ,0 ,8.600 ,41.771 ,246 ,202.061 ,7.269 ,82.586 ,0 ,0 ,0 ,0 ,0 ,626 ,1.028.534 ,21.616 ,8.254 ,13.362 ,244.396 ,1.173 ,134 ,0 ,0 ,0 ,243.090 ,51.965 ,51.965 ,710.558 ,98.844 ,20.689 ,13.416 ,577.608 ,0 ,814.417 ,814.417 ,0 ,0 ,7.086 ,0 ,702.696 ,27.454 ,0 ,910 ,76.273 ,37.656 ,37.656 ,0 ,0 ,4.173 ,27.508 ,0 ,0 ,0 ,5.976 ,0 ,-97.713 
49.,IDRIJA,5.558.467 ,1.396.987 ,353.226 ,51.878 ,971.854 ,494.137 ,492 ,65.865 ,3.234 ,6.297 ,231.810 ,1.340 ,15.369 ,20.043 ,133.267 ,6.752 ,3.918 ,0 ,2.833 ,0 ,13.278 ,2.545.030 ,28.038 ,0 ,28.038 ,343.269 ,0 ,0 ,0 ,0 ,2.220 ,341.049 ,346.536 ,346.536 ,1.827.187 ,452.424 ,32.866 ,3.368 ,1.338.529 ,0 ,759.861 ,759.861 ,0 ,0 ,18.223 ,0 ,253.952 ,388.412 ,8.325 ,0 ,90.949 ,856.589 ,856.589 ,215.853 ,0 ,70.522 ,335.207 ,28.968 ,0 ,12.836 ,193.202 ,0 ,101.640 
50.,IG,3.154.185 ,687.819 ,132.323 ,18.832 ,511.250 ,121.703 ,5.525 ,47.809 ,4.089 ,2.191 ,231.414 ,730 ,0 ,6.476 ,91.312 ,0 ,0 ,0 ,0 ,0 ,25.413 ,878.885 ,12.427 ,0 ,12.427 ,512.389 ,392 ,0 ,69.216 ,0 ,0 ,442.781 ,104.156 ,104.156 ,249.912 ,0 ,40.181 ,0 ,209.731 ,0 ,1.260.745 ,1.260.745 ,0 ,0 ,41.700 ,0 ,959.861 ,0 ,136.163 ,0 ,123.022 ,326.736 ,326.736 ,0 ,0 ,33.041 ,275.067 ,0 ,0 ,0 ,18.628 ,0 ,822.455 
51.,ILIRSKA BISTRICA,6.906.497 ,1.661.505 ,318.732 ,46.395 ,1.271.958 ,101.519 ,4.515 ,222.642 ,5.137 ,2.074 ,684.932 ,17.426 ,0 ,12.494 ,221.219 ,18.995 ,12.619 ,0 ,6.376 ,0 ,5.425 ,2.582.674 ,93.565 ,0 ,93.565 ,1.172.012 ,0 ,0 ,0 ,0 ,28.113 ,1.143.899 ,445.168 ,445.168 ,871.929 ,172.701 ,79.569 ,17.192 ,602.466 ,0 ,1.603.714 ,1.603.714 ,0 ,0 ,14.513 ,0 ,1.360.278 ,4.674 ,35.825 ,0 ,188.424 ,1.058.605 ,1.058.605 ,181.268 ,0 ,62.373 ,593.211 ,0 ,41.834 ,1.043 ,178.877 ,0 ,-250.517 
52.,IVANČNA GORICA,7.062.160 ,976.402 ,258.993 ,37.882 ,676.327 ,65.018 ,1.189 ,24.754 ,6.677 ,325 ,321.507 ,11.263 ,0 ,10.624 ,234.969 ,442 ,0 ,0 ,442 ,0 ,2.758 ,2.284.239 ,26.807 ,0 ,26.807 ,1.429.912 ,0 ,0 ,6.009 ,0 ,0 ,1.423.903 ,273.610 ,273.610 ,553.910 ,135.808 ,70.222 ,0 ,347.880 ,0 ,3.594.108 ,3.594.108 ,43.565 ,31.059 ,8.801 ,3.943 ,3.242.589 ,80.137 ,101.360 ,0 ,82.653 ,207.411 ,207.411 ,43.161 ,0 ,84.118 ,0 ,0 ,0 ,0 ,80.133 ,0 ,-477.942 
53.,IZOLA,10.489.405 ,2.579.824 ,965.995 ,141.550 ,1.410.257 ,332.353 ,7.382 ,173.982 ,21.791 ,17.405 ,282.031 ,9.034 ,30.892 ,48.648 ,486.738 ,16.955 ,0 ,0 ,16.955 ,0 ,45.068 ,3.489.851 ,112.022 ,0 ,112.022 ,208.091 ,0 ,2.988 ,39.184 ,0 ,0 ,165.920 ,414.463 ,414.463 ,2.755.275 ,51.494 ,119.408 ,42.601 ,2.541.771 ,0 ,3.685.462 ,3.685.462 ,102.829 ,7.841 ,233.087 ,668 ,2.132.369 ,886.484 ,109.201 ,0 ,212.982 ,734.268 ,734.268 ,78.334 ,0 ,12.519 ,332.904 ,0 ,35.416 ,18.987 ,256.109 ,0 ,568.916 
54.,JESENICE,11.228.247 ,3.058.897 ,795.677 ,114.434 ,2.070.205 ,343.240 ,651 ,177.203 ,6.193 ,7.574 ,1.155.546 ,17.197 ,0 ,36.642 ,325.960 ,14.918 ,0 ,0 ,14.918 ,0 ,63.662 ,4.213.775 ,74.691 ,0 ,74.691 ,1.935.194 ,14.689 ,0 ,160.470 ,0 ,1.206 ,1.758.830 ,108.129 ,108.129 ,2.095.760 ,37.694 ,148.348 ,50.655 ,1.859.064 ,0 ,3.206.097 ,3.206.097 ,187.782 ,0 ,56.163 ,1.890 ,2.272.475 ,369.717 ,87.990 ,0 ,230.078 ,749.478 ,749.478 ,0 ,0 ,0 ,443.812 ,0 ,0 ,18.515 ,287.152 ,0 ,1.018.528 
55.,JEZERSKO,413.245 ,142.101 ,15.352 ,2.362 ,121.649 ,32.044 ,484 ,12.281 ,2.979 ,2.967 ,28.067 ,92 ,0 ,559 ,42.176 ,0 ,0 ,0 ,0 ,0 ,2.737 ,130.479 ,3.560 ,0 ,3.560 ,62.669 ,0 ,1.502 ,0 ,0 ,0 ,61.167 ,17.005 ,17.005 ,47.246 ,0 ,2.345 ,0 ,44.901 ,0 ,136.021 ,136.021 ,31.297 ,0 ,1.018 ,0 ,70.243 ,5.976 ,5.542 ,0 ,21.945 ,4.644 ,4.644 ,0 ,0 ,2.896 ,0 ,0 ,0 ,0 ,1.748 ,0 ,37.101 
56.,JURŠINCI,1.203.180 ,203.359 ,53.292 ,7.361 ,137.586 ,17.389 ,3.914 ,17.839 ,0 ,2.788 ,59.185 ,0 ,0 ,1.427 ,35.044 ,0 ,0 ,0 ,0 ,0 ,5.120 ,333.847 ,21.082 ,0 ,21.082 ,189.639 ,0 ,0 ,0 ,0 ,0 ,189.639 ,34.139 ,34.139 ,88.988 ,12.273 ,32.148 ,0 ,44.567 ,0 ,639.964 ,639.964 ,0 ,0 ,3.480 ,0 ,616.550 ,7.524 ,0 ,0 ,12.410 ,26.010 ,26.010 ,0 ,0 ,25.038 ,0 ,0 ,709 ,0 ,263 ,0 ,7.557 
57.,KAMNIK,12.092.213 ,1.912.577 ,723.957 ,103.267 ,1.031.105 ,243.812 ,168.519 ,103.317 ,9.402 ,7.169 ,170.656 ,15.594 ,3.167 ,35.270 ,274.199 ,0 ,0 ,0 ,0 ,0 ,54.248 ,5.557.983 ,215.469 ,0 ,215.469 ,2.240.573 ,0 ,0 ,0 ,0 ,0 ,2.240.573 ,579.052 ,579.052 ,2.522.889 ,163.508 ,171.703 ,33.696 ,2.153.981 ,0 ,4.179.069 ,4.179.069 ,169.004 ,0 ,246.136 ,0 ,2.783.204 ,567.485 ,4.615 ,0 ,408.625 ,442.585 ,442.585 ,58.150 ,0 ,137.707 ,0 ,0 ,6.706 ,0 ,240.023 ,0 ,-374.866 
58.,KANAL,3.027.409 ,825.246 ,178.763 ,25.767 ,620.716 ,52.532 ,19.962 ,88.239 ,4.934 ,7.265 ,305.908 ,14.037 ,166 ,8.497 ,119.178 ,0 ,0 ,0 ,0 ,0 ,0 ,1.217.212 ,15.175 ,0 ,15.175 ,302.250 ,0 ,0 ,0 ,0 ,0 ,302.250 ,237.661 ,237.661 ,662.126 ,54.310 ,37.283 ,8.269 ,562.265 ,0 ,852.645 ,852.645 ,0 ,0 ,26.169 ,0 ,646.316 ,5.172 ,25.224 ,0 ,149.764 ,132.306 ,132.306 ,27.223 ,0 ,38.954 ,0 ,0 ,0 ,0 ,66.129 ,0 ,137.540 
59.,KIDRIČEVO,3.766.416 ,657.849 ,113.812 ,16.600 ,525.351 ,66.208 ,2.550 ,164.822 ,3.126 ,3.359 ,145.193 ,2.654 ,0 ,5.729 ,131.710 ,0 ,0 ,0 ,0 ,0 ,2.086 ,866.575 ,18.686 ,0 ,18.686 ,503.643 ,0 ,0 ,0 ,0 ,0 ,503.643 ,116.400 ,116.400 ,227.846 ,0 ,52.228 ,0 ,175.618 ,0 ,2.176.406 ,2.176.406 ,1.461 ,0 ,38.691 ,0 ,1.839.897 ,90.849 ,4.932 ,0 ,200.576 ,65.586 ,65.586 ,6.347 ,0 ,16.521 ,0 ,0 ,0 ,0 ,42.718 ,0 ,-900.613 
60.,KOBARID,4.230.963 ,882.215 ,250.734 ,39.876 ,545.368 ,76.527 ,0 ,181.197 ,2.508 ,10.124 ,148.815 ,44.429 ,0 ,10.837 ,70.931 ,37.068 ,37.068 ,0 ,0 ,0 ,9.168 ,944.579 ,28.793 ,0 ,28.793 ,259.464 ,0 ,0 ,27.016 ,0 ,0 ,232.449 ,82.515 ,82.515 ,573.807 ,18.357 ,13.391 ,0 ,542.059 ,0 ,1.758.542 ,1.758.542 ,56.335 ,0 ,25.259 ,117.643 ,806.773 ,649.683 ,66.032 ,0 ,36.818 ,645.627 ,645.627 ,0 ,0 ,7.303 ,456.543 ,0 ,0 ,0 ,181.781 ,0 ,-177.996 
61.,KOBILJE,302.332 ,115.197 ,31.280 ,4.386 ,70.272 ,8.700 ,5.487 ,22.640 ,1.835 ,2.773 ,11.085 ,97 ,0 ,0 ,17.654 ,7.657 ,6.430 ,1.228 ,0 ,0 ,1.602 ,100.241 ,0 ,0 ,0 ,11.800 ,0 ,1.461 ,0 ,0 ,807 ,9.532 ,14.340 ,14.340 ,74.101 ,0 ,3.418 ,2.357 ,68.327 ,0 ,86.895 ,86.895 ,0 ,0 ,3.407 ,0 ,40.676 ,40.508 ,0 ,0 ,2.303 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.529 
62.,KOČEVJE,8.717.343 ,1.952.086 ,498.752 ,72.889 ,1.351.607 ,180.809 ,86.296 ,170.577 ,9.022 ,6.072 ,579.423 ,3.526 ,61.505 ,24.153 ,230.225 ,28.839 ,28.839 ,0 ,0 ,0 ,0 ,2.768.252 ,9.026 ,0 ,9.026 ,468.812 ,0 ,30.462 ,125 ,284 ,18.803 ,419.137 ,257.528 ,257.528 ,2.032.290 ,3.384 ,135.053 ,35.295 ,1.858.559 ,597 ,3.237.494 ,3.237.494 ,0 ,11.647 ,18.778 ,3.655 ,2.667.710 ,243.148 ,55.813 ,0 ,236.743 ,759.510 ,759.510 ,0 ,4.173 ,65.402 ,559.564 ,0 ,20.865 ,0 ,109.506 ,0 ,-948.565 
63.,KOMEN,1.717.860 ,611.713 ,108.646 ,15.093 ,376.177 ,38.687 ,33 ,94.905 ,0 ,2.788 ,60.870 ,0 ,0 ,5.575 ,173.318 ,105.537 ,0 ,0 ,105.537 ,0 ,6.259 ,680.834 ,3.347 ,3.347 ,0 ,436.046 ,0 ,0 ,0 ,0 ,0 ,436.046 ,67.881 ,67.881 ,173.560 ,50.146 ,14.071 ,0 ,109.343 ,0 ,343.661 ,343.661 ,42.389 ,0 ,44.763 ,0 ,63.007 ,178.309 ,2.979 ,0 ,12.214 ,81.652 ,81.652 ,0 ,0 ,6.677 ,6.489 ,0 ,0 ,0 ,68.486 ,0 ,-5.846 
64.,KOMENDA,2.190.361 ,354.895 ,131.426 ,18.778 ,172.914 ,38.032 ,10.228 ,24.115 ,4.019 ,2.687 ,11.392 ,2.274 ,0 ,6.698 ,73.469 ,12.414 ,12.414 ,0 ,0 ,0 ,19.362 ,954.828 ,42.856 ,0 ,42.856 ,423.373 ,0 ,0 ,0 ,0 ,0 ,423.373 ,134.502 ,134.502 ,354.098 ,0 ,26.794 ,0 ,327.303 ,0 ,825.551 ,825.551 ,0 ,0 ,88.124 ,0 ,466.842 ,21.987 ,151.114 ,0 ,97.484 ,55.087 ,55.087 ,0 ,0 ,36.546 ,0 ,0 ,0 ,0 ,18.540 ,0 ,-10.391 
65.,MESTNA OBČINA KOPER,32.678.948 ,4.738.988 ,2.025.138 ,287.903 ,2.242.898 ,318.449 ,18.027 ,186.413 ,65.406 ,29.749 ,354.599 ,49.649 ,0 ,96.962 ,1.123.644 ,83.880 ,39.509 ,0 ,44.371 ,0 ,99.170 ,15.918.490 ,1.088.696 ,0 ,1.088.696 ,2.066.996 ,0 ,0 ,0 ,0 ,0 ,2.066.996 ,1.773.523 ,1.773.523 ,10.989.276 ,400.730 ,287.778 ,561.292 ,9.739.476 ,0 ,10.690.786 ,10.690.786 ,109.460 ,66.178 ,416.646 ,31.264 ,7.203.013 ,1.125.726 ,565.135 ,0 ,1.173.364 ,1.330.684 ,1.330.684 ,63.821 ,367.217 ,188.295 ,0 ,0 ,161.025 ,0 ,550.325 ,0 ,-155.496 
66.,KOSTEL,704.135 ,255.613 ,103.818 ,7.102 ,144.488 ,61.033 ,167 ,27.934 ,0 ,8.292 ,39.067 ,1.435 ,0 ,0 ,6.560 ,204 ,0 ,0 ,204 ,0 ,0 ,136.530 ,0 ,0 ,0 ,72.759 ,0 ,0 ,739 ,0 ,0 ,72.021 ,33.692 ,33.692 ,30.078 ,0 ,0 ,0 ,30.078 ,0 ,311.993 ,311.993 ,20.865 ,0 ,4.457 ,0 ,224.015 ,62.656 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,1.726.031 ,222.496 ,55.275 ,11.930 ,143.874 ,40.603 ,0 ,12.373 ,0 ,4.206 ,4.332 ,651 ,3.372 ,2.487 ,75.851 ,3.438 ,0 ,3.438 ,0 ,0 ,7.979 ,770.819 ,19.300 ,0 ,19.300 ,274.266 ,57.344 ,0 ,0 ,0 ,0 ,216.921 ,72.717 ,72.717 ,404.536 ,35.662 ,31.848 ,10.449 ,326.577 ,0 ,645.005 ,645.005 ,4.098 ,0 ,24.032 ,0 ,381.259 ,196.678 ,0 ,0 ,38.938 ,87.711 ,87.711 ,0 ,0 ,0 ,54.035 ,0 ,0 ,0 ,33.676 ,0 ,10.028 
68.,MESTNA OBČINA KRANJ,28.986.380 ,7.002.137 ,1.389.138 ,201.010 ,5.328.530 ,689.267 ,112.661 ,356.001 ,32.941 ,6.485 ,1.874.750 ,47.676 ,1.696.920 ,69.333 ,442.497 ,0 ,0 ,0 ,0 ,0 ,83.459 ,11.049.036 ,318.494 ,0 ,318.494 ,3.914.230 ,0 ,0 ,21.361 ,0 ,12.873 ,3.879.995 ,533.333 ,533.333 ,6.282.979 ,295.172 ,260.482 ,143.373 ,5.583.951 ,0 ,7.927.942 ,7.927.942 ,219.008 ,22.471 ,243.519 ,12.177 ,3.495.998 ,2.920.305 ,396.303 ,0 ,618.161 ,3.007.265 ,3.007.265 ,392.434 ,0 ,172.655 ,978.468 ,0 ,0 ,0 ,1.463.708 ,0 ,-3.476.260 
