5.,BLED,6.494.145 ,1.798.364 ,440.532 ,63.704 ,1.285.741 ,190.532 ,26.469 ,120.981 ,10.633 ,9.122 ,629.528 ,57.403 ,5.850 ,23.940 ,211.284 ,8.388 ,8.388 ,0 ,0 ,0 ,0 ,2.191.892 ,56.464 ,3.635 ,52.829 ,81.597 ,3.643 ,13.353 ,0 ,0 ,0 ,64.601 ,290.711 ,290.711 ,1.763.120 ,42 ,24.241 ,9.322 ,1.729.515 ,0 ,2.320.660 ,2.320.660 ,42.981 ,14.760 ,7.432 ,0 ,682.031 ,61.409 ,39.196 ,0 ,1.472.851 ,183.229 ,183.229 ,0 ,0 ,56.293 ,68.002 ,0 ,0 ,0 ,58.934 ,0 ,-280.049 
6.,BLOKE,948.193 ,140.244 ,34.652 ,5.208 ,100.300 ,16.446 ,0 ,19.104 ,0 ,2.596 ,5.596 ,0 ,0 ,1.235 ,55.325 ,83 ,0 ,0 ,83 ,0 ,0 ,376.106 ,11.380 ,11.192 ,188 ,112.611 ,0 ,1.398 ,12.832 ,0 ,0 ,98.381 ,20.276 ,20.276 ,231.839 ,0 ,6.773 ,0 ,225.067 ,0 ,411.033 ,411.033 ,0 ,0 ,2.170 ,0 ,388.074 ,9.506 ,4.156 ,0 ,7.127 ,20.810 ,20.810 ,0 ,0 ,18.987 ,0 ,0 ,0 ,0 ,1.824 ,0 ,-12.452 
7.,BOHINJ,3.267.330 ,1.468.636 ,351.118 ,48.590 ,1.023.923 ,94.842 ,148.548 ,467.051 ,136.208 ,3.977 ,54.690 ,1.932 ,0 ,13.896 ,102.779 ,8.709 ,0 ,1.861 ,6.848 ,0 ,36.296 ,1.027.262 ,209.326 ,45.614 ,163.712 ,87.360 ,1.415 ,8.676 ,0 ,0 ,15.419 ,61.851 ,121.432 ,121.432 ,609.143 ,22.580 ,7.311 ,0 ,579.252 ,0 ,691.016 ,691.016 ,0 ,28.635 ,14.806 ,4.127 ,481.985 ,122.450 ,976 ,0 ,38.036 ,80.416 ,80.416 ,45.944 ,0 ,23.857 ,0 ,0 ,0 ,0 ,10.616 ,0 ,214.338 
8.,BOROVNICA ,1.577.700 ,375.584 ,62.615 ,11.087 ,288.408 ,18.841 ,1.711 ,47.091 ,743 ,430 ,154.778 ,4.119 ,0 ,2.925 ,57.770 ,46 ,0 ,0 ,46 ,0 ,13.428 ,736.204 ,24.253 ,2.132 ,22.121 ,462.556 ,0 ,0 ,0 ,0 ,0 ,462.556 ,77.988 ,77.988 ,171.407 ,0 ,14.088 ,3.989 ,153.330 ,0 ,404.661 ,404.661 ,0 ,0 ,4.632 ,0 ,316.905 ,12.139 ,551 ,0 ,70.435 ,61.250 ,61.250 ,5.099 ,0 ,19.821 ,12.915 ,0 ,0 ,0 ,23.414 ,0 ,-14.947 
9.,BOVEC,2.466.637 ,486.801 ,159.823 ,24.120 ,302.182 ,33.300 ,0 ,84.861 ,0 ,7.265 ,14.167 ,99.120 ,0 ,5.512 ,57.958 ,0 ,0 ,0 ,0 ,0 ,676 ,921.040 ,7.269 ,0 ,7.269 ,121.812 ,0 ,0 ,21.224 ,0 ,0 ,100.588 ,61.784 ,61.784 ,730.174 ,7.132 ,14.109 ,1.736 ,707.198 ,0 ,1.016.763 ,1.016.763 ,0 ,0 ,17.689 ,0 ,629.219 ,199.032 ,106.948 ,0 ,63.875 ,42.034 ,42.034 ,0 ,0 ,2.950 ,0 ,0 ,0 ,0 ,39.084 ,0 ,-193.820 
10.,BRASLOVČE,1.985.078 ,428.618 ,108.208 ,15.815 ,291.304 ,15.861 ,3.430 ,26.052 ,5.421 ,1.615 ,160.749 ,0 ,0 ,4.949 ,73.227 ,0 ,0 ,0 ,0 ,0 ,13.291 ,850.417 ,43.490 ,0 ,43.490 ,515.573 ,0 ,7.616 ,0 ,0 ,0 ,507.958 ,80.750 ,80.750 ,210.603 ,81.873 ,25.981 ,0 ,102.750 ,0 ,541.562 ,541.562 ,0 ,0 ,8.338 ,2.091 ,489.430 ,11.809 ,0 ,0 ,29.895 ,164.480 ,164.480 ,626 ,0 ,12.853 ,134.180 ,0 ,16.821 ,0 ,0 ,0 ,8.930 
11.,BRDA,2.710.841 ,833.947 ,195.539 ,24.929 ,582.791 ,102.879 ,0 ,40.461 ,6.593 ,4.148 ,210.436 ,5.479 ,0 ,7.495 ,205.300 ,25.680 ,25.680 ,0 ,0 ,0 ,5.008 ,1.153.923 ,30.679 ,0 ,30.679 ,319.483 ,0 ,0 ,868 ,0 ,0 ,318.615 ,129.503 ,129.503 ,674.257 ,855 ,0 ,0 ,673.402 ,0 ,511.175 ,511.175 ,29.210 ,7.795 ,4.286 ,0 ,166.366 ,295.255 ,0 ,0 ,8.262 ,211.797 ,211.797 ,23.681 ,0 ,0 ,100.914 ,0 ,0 ,0 ,87.202 ,0 ,19.204 
12.,BREZOVICA,3.634.130 ,713.362 ,145.059 ,20.756 ,540.886 ,201.223 ,3.155 ,19.425 ,5.442 ,0 ,242.989 ,0 ,0 ,6.931 ,61.722 ,0 ,0 ,0 ,0 ,0 ,6.660 ,1.725.951 ,89.818 ,0 ,89.818 ,169.333 ,0 ,0 ,964 ,0 ,0 ,168.369 ,125.985 ,125.985 ,1.340.815 ,37.865 ,42.856 ,0 ,1.260.094 ,0 ,403.630 ,403.630 ,0 ,0 ,28.050 ,9.251 ,84.281 ,167.101 ,21.687 ,0 ,93.261 ,791.187 ,791.187 ,475.522 ,0 ,50.075 ,201.102 ,0 ,0 ,0 ,64.488 ,0 ,138.892 
13.,BREŽICE,14.177.875 ,3.823.076 ,637.177 ,91.437 ,3.039.672 ,668.035 ,14.384 ,289.685 ,25.230 ,12.523 ,1.741.170 ,9.043 ,14.355 ,31.047 ,234.201 ,13.266 ,0 ,0 ,13.266 ,0 ,41.525 ,6.204.816 ,152.842 ,72.388 ,80.454 ,2.445.260 ,8.408 ,0 ,3.071 ,0 ,292 ,2.433.488 ,583.008 ,583.008 ,3.023.706 ,1.527.207 ,175.217 ,16.078 ,1.305.204 ,0 ,3.237.778 ,3.237.778 ,168.824 ,2.170 ,161.814 ,13.462 ,1.182.040 ,1.322.121 ,107.006 ,0 ,280.341 ,912.206 ,912.206 ,220.760 ,0 ,0 ,667.505 ,0 ,0 ,0 ,23.940 ,0 ,259.585 
14.,CANKOVA,911.455 ,236.049 ,83.027 ,10.908 ,133.951 ,36.118 ,4.418 ,33.634 ,4.716 ,1.637 ,17.510 ,746 ,0 ,3.399 ,31.774 ,8.163 ,8.163 ,0 ,0 ,0 ,0 ,343.694 ,5.959 ,0 ,5.959 ,109.203 ,6.063 ,0 ,0 ,0 ,0 ,103.140 ,38.370 ,38.370 ,190.162 ,1.118 ,21.376 ,2.768 ,164.899 ,0 ,315.330 ,315.330 ,0 ,0 ,24.761 ,0 ,189.449 ,20.086 ,0 ,0 ,81.033 ,16.382 ,16.382 ,16.382 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.457 
15.,MESTNA OBČINA CELJE,34.620.410 ,6.682.265 ,2.191.237 ,316.375 ,4.113.299 ,244.041 ,124.295 ,290.724 ,32.449 ,21.541 ,1.184.940 ,623.368 ,0 ,110.787 ,1.481.155 ,3.063 ,3.063 ,0 ,0 ,0 ,58.292 ,14.511.855 ,294.901 ,185.315 ,109.585 ,1.738.320 ,0 ,0 ,259.844 ,0 ,0 ,1.478.476 ,312.573 ,312.573 ,12.166.062 ,256.230 ,299.866 ,417.293 ,11.192.672 ,0 ,8.396.386 ,8.396.386 ,1.575.768 ,24.049 ,145.197 ,463 ,5.505.437 ,11.087 ,1.041.696 ,0 ,92.689 ,5.029.903 ,5.029.903 ,85.566 ,0 ,0 ,1.693.215 ,0 ,0 ,0 ,3.251.123 ,0 ,-3.934.815 
16.,CERKLJE NA GORENJSKEM,2.946.837 ,518.290 ,83.300 ,11.709 ,398.848 ,76.648 ,13.975 ,34.397 ,3.610 ,3.230 ,177.141 ,42 ,0 ,3.259 ,86.546 ,0 ,0 ,0 ,0 ,0 ,24.432 ,792.539 ,52.504 ,0 ,52.504 ,572.747 ,2.445 ,11.851 ,668 ,0 ,0 ,557.783 ,72.475 ,72.475 ,94.813 ,0 ,12.769 ,1.369 ,80.675 ,0 ,1.323.172 ,1.323.172 ,0 ,0 ,145.322 ,289.388 ,664.559 ,120.614 ,6.981 ,0 ,96.307 ,312.836 ,312.836 ,0 ,0 ,15.465 ,293.294 ,0 ,0 ,0 ,4.077 ,0 ,587.744 
17.,CERKNICA,5.013.124 ,823.252 ,300.033 ,43.248 ,419.162 ,61.655 ,17.873 ,77.445 ,5.621 ,1.410 ,108.959 ,6.685 ,22.233 ,14.104 ,103.176 ,35.816 ,27.934 ,0 ,7.883 ,0 ,24.992 ,2.669.646 ,55.391 ,0 ,55.391 ,450.935 ,0 ,0 ,1.895 ,0 ,0 ,449.040 ,168.390 ,168.390 ,1.994.930 ,0 ,51.106 ,7.632 ,1.936.192 ,0 ,1.344.187 ,1.344.187 ,21.082 ,0 ,82.904 ,0 ,975.472 ,55.008 ,46.340 ,0 ,163.383 ,176.039 ,176.039 ,0 ,0 ,80.145 ,0 ,0 ,0 ,0 ,95.894 ,0 ,148.953 
18.,CERKNO,2.579.064 ,755.229 ,171.954 ,25.626 ,537.928 ,55.279 ,0 ,42.313 ,7.382 ,2.717 ,154.023 ,5.884 ,0 ,9.326 ,261.004 ,4.382 ,1.298 ,0 ,3.084 ,0 ,15.340 ,1.093.899 ,47.183 ,0 ,47.183 ,278.906 ,0 ,0 ,0 ,0 ,1.869 ,277.036 ,123.260 ,123.260 ,644.550 ,52.667 ,17.389 ,0 ,574.495 ,0 ,613.333 ,613.333 ,0 ,0 ,11.638 ,1.715 ,537.924 ,22.914 ,1.135 ,0 ,38.007 ,116.604 ,116.604 ,9.911 ,0 ,16.900 ,0 ,0 ,0 ,3.756 ,86.037 ,0 ,-76.056 
19.,CERKVENJAK,1.411.484 ,175.651 ,75.067 ,10.758 ,83.083 ,15.031 ,0 ,10.011 ,4.394 ,2.537 ,6.668 ,0 ,0 ,3.226 ,41.216 ,6.602 ,0 ,6.602 ,0 ,0 ,142 ,357.344 ,9.535 ,0 ,9.535 ,85.407 ,0 ,0 ,0 ,0 ,0 ,85.407 ,29.152 ,29.152 ,233.250 ,0 ,14.551 ,0 ,218.699 ,0 ,787.540 ,787.540 ,0 ,4.373 ,10.245 ,0 ,663.679 ,76.360 ,939 ,0 ,31.944 ,90.949 ,90.949 ,0 ,0 ,32.595 ,0 ,0 ,0 ,54.740 ,3.614 ,0 ,-324.307 
20.,ČRENŠOVCI,2.771.606 ,279.194 ,95.844 ,16.246 ,148.968 ,49.018 ,6.375 ,37.926 ,0 ,8.993 ,15.197 ,0 ,0 ,0 ,31.459 ,0 ,0 ,0 ,0 ,0 ,18.136 ,710.017 ,28.270 ,0 ,28.270 ,73.215 ,0 ,0 ,5.699 ,0 ,0 ,67.516 ,49.383 ,49.383 ,559.149 ,38.721 ,50.324 ,0 ,470.105 ,0 ,1.691.417 ,1.691.417 ,0 ,0 ,9.154 ,0 ,1.462.918 ,111.071 ,0 ,423 ,107.851 ,90.978 ,90.978 ,0 ,0 ,32.557 ,0 ,0 ,0 ,0 ,58.421 ,0 ,194.928 
21.,ČRNA NA KOROŠKEM,1.882.724 ,821.132 ,176.723 ,25.551 ,599.987 ,70.493 ,451 ,128.351 ,6.823 ,4.974 ,240.790 ,21.032 ,1.043 ,7.253 ,118.778 ,10.524 ,10.524 ,0 ,0 ,0 ,8.346 ,721.741 ,0 ,0 ,0 ,140.419 ,0 ,0 ,376 ,0 ,0 ,140.043 ,180.095 ,180.095 ,401.227 ,6.051 ,15.648 ,1.744 ,377.783 ,0 ,291.612 ,291.612 ,29.373 ,0 ,26.306 ,0 ,125.559 ,70.685 ,4.156 ,0 ,35.532 ,48.239 ,48.239 ,0 ,0 ,0 ,0 ,0 ,3.918 ,0 ,44.321 ,0 ,62.260 
22.,ČRNOMELJ,6.360.428 ,1.183.333 ,344.446 ,49.854 ,706.188 ,84.756 ,0 ,47.793 ,4.052 ,5.679 ,383.333 ,2.537 ,0 ,15.457 ,162.581 ,55.291 ,0 ,18.052 ,37.168 ,71 ,27.554 ,2.559.781 ,64.234 ,0 ,64.234 ,1.432.211 ,0 ,0 ,638 ,0 ,8.004 ,1.423.569 ,209.881 ,209.881 ,853.455 ,85.224 ,58.680 ,13.716 ,695.835 ,0 ,2.264.564 ,2.264.564 ,27.529 ,0 ,96.645 ,0 ,1.915.769 ,32.432 ,26.794 ,0 ,165.394 ,352.750 ,352.750 ,4.173 ,0 ,29.394 ,0 ,0 ,0 ,0 ,319.183 ,0 ,167.021 
23.,DESTRNIK,1.273.364 ,353.697 ,122.909 ,16.224 ,201.682 ,41.107 ,1.853 ,37.498 ,5.767 ,2.370 ,56.009 ,0 ,0 ,3.806 ,53.272 ,12.081 ,12.081 ,0 ,0 ,0 ,801 ,461.747 ,29.924 ,0 ,29.924 ,145.322 ,9.260 ,2.107 ,0 ,0 ,0 ,133.955 ,26.406 ,26.406 ,260.094 ,0 ,32.465 ,0 ,227.629 ,0 ,456.668 ,456.668 ,0 ,0 ,79.357 ,0 ,314.998 ,33.183 ,6.172 ,2.842 ,20.118 ,1.252 ,1.252 ,0 ,0 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,6.877 
24.,DIVAČA,1.711.046 ,356.931 ,140.857 ,20.518 ,191.383 ,44.321 ,188 ,20.514 ,0 ,3.426 ,6.176 ,1.611 ,0 ,7.899 ,107.248 ,0 ,0 ,0 ,0 ,0 ,4.173 ,869.692 ,39.305 ,0 ,39.305 ,163.616 ,0 ,630 ,0 ,0 ,8.375 ,154.611 ,52.867 ,52.867 ,613.904 ,39.309 ,14.918 ,3.806 ,555.871 ,0 ,338.174 ,338.174 ,918 ,3.338 ,27.391 ,0 ,207.632 ,48.698 ,16.763 ,0 ,33.433 ,146.249 ,146.249 ,64.392 ,0 ,8.696 ,18.787 ,0 ,0 ,8.262 ,46.111 ,0 ,-2.575 
25.,DOBJE,332.941 ,110.470 ,32.407 ,4.269 ,73.794 ,14.238 ,1.181 ,6.881 ,2.959 ,334 ,30.291 ,0 ,0 ,672 ,17.238 ,0 ,0 ,0 ,0 ,0 ,0 ,135.875 ,4.010 ,351 ,3.660 ,62.047 ,0 ,0 ,2.182 ,0 ,0 ,59.865 ,20.539 ,20.539 ,49.278 ,0 ,7.607 ,0 ,41.671 ,0 ,72.692 ,72.692 ,0 ,0 ,13.808 ,0 ,13.228 ,18.056 ,16.149 ,0 ,11.451 ,13.904 ,13.904 ,0 ,0 ,417 ,972 ,0 ,0 ,0 ,12.515 ,0 ,94.375 
26.,DOBREPOLJE,1.693.544 ,298.214 ,86.367 ,12.273 ,197.667 ,30.579 ,2.374 ,35.558 ,1.486 ,2.032 ,88.228 ,0 ,0 ,3.585 ,33.826 ,13 ,0 ,0 ,13 ,0 ,1.895 ,643.407 ,10.341 ,0 ,10.341 ,449.395 ,542 ,0 ,0 ,0 ,0 ,448.852 ,84.952 ,84.952 ,98.719 ,2.650 ,9.902 ,3.397 ,82.770 ,0 ,660.879 ,660.879 ,0 ,0 ,7.357 ,0 ,502.758 ,81.009 ,4.173 ,0 ,65.582 ,91.045 ,91.045 ,0 ,0 ,12.936 ,45.915 ,0 ,0 ,0 ,32.194 ,0 ,211.814 
27.,DOBRNA,1.305.863 ,471.315 ,110.315 ,15.031 ,341.796 ,79.085 ,6.568 ,37.068 ,3.697 ,7.687 ,104.586 ,11.768 ,6.760 ,2.883 ,81.693 ,0 ,0 ,0 ,0 ,0 ,4.173 ,382.691 ,23.702 ,0 ,23.702 ,193.787 ,0 ,0 ,0 ,0 ,0 ,193.787 ,45.264 ,45.264 ,119.938 ,2.312 ,13.015 ,0 ,104.611 ,0 ,399.996 ,399.996 ,0 ,0 ,27.817 ,0 ,272.200 ,0 ,0 ,38.529 ,61.451 ,51.861 ,51.861 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,51.861 ,0 ,125.976 
28.,DOBROVA - POLHOV GRADEC,2.506.785 ,864.134 ,153.351 ,16.057 ,689.906 ,166.863 ,18.202 ,48.523 ,5.788 ,2.604 ,341.892 ,13.437 ,0 ,5.229 ,87.369 ,647 ,0 ,0 ,647 ,0 ,4.173 ,1.115.878 ,43.787 ,0 ,43.787 ,677.212 ,0 ,15.715 ,27.320 ,0 ,1.561 ,632.616 ,134.977 ,134.977 ,259.902 ,6.259 ,24.078 ,0 ,229.565 ,0 ,428.827 ,428.827 ,0 ,7.111 ,22.233 ,0 ,46.215 ,290.452 ,31.364 ,0 ,31.451 ,97.947 ,97.947 ,51.189 ,0 ,6.259 ,0 ,0 ,0 ,0 ,40.498 ,0 ,-32.616 
29.,DOBROVNIK,1.226.441 ,379.368 ,132.055 ,18.585 ,228.728 ,61.961 ,8.639 ,50.860 ,5.599 ,6.709 ,35.410 ,2.144 ,0 ,3.824 ,53.582 ,0 ,0 ,0 ,0 ,0 ,0 ,269.745 ,10.325 ,0 ,10.325 ,17.825 ,0 ,0 ,0 ,0 ,0 ,17.825 ,84.358 ,84.358 ,157.237 ,9.806 ,13.609 ,4.427 ,129.394 ,0 ,565.375 ,565.375 ,0 ,0 ,34.802 ,4.637 ,389.234 ,33.631 ,5.771 ,910 ,96.391 ,11.953 ,11.953 ,6.712 ,0 ,417 ,0 ,0 ,0 ,0 ,4.824 ,0 ,88.565 
