5.,BLED,8.170.671 ,7.100.760 ,6.232.503 ,3.915.829 ,3.915.829 ,1.208.528 ,723.687 ,0 ,119.001 ,365.839 ,1.108.146 ,5.812 ,0 ,1.102.334 ,0 ,0 ,868.258 ,205.142 ,0 ,46.979 ,158.163 ,19.866 ,19.866 ,67.058 ,67.058 ,124.136 ,124.136 ,452.055 ,452.055 ,469.387 ,391.808 ,390.271 ,1.502 ,35 ,0 ,0 ,77.579 ,0 ,77.579 ,0 ,16.825 ,16.825 ,0 ,16.825 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,583.698 ,583.698 ,583.698 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
6.,BLOKE,1.439.886 ,653.755 ,545.656 ,392.838 ,392.838 ,98.869 ,64.159 ,0 ,14.592 ,20.118 ,53.950 ,163 ,0 ,53.787 ,0 ,0 ,108.098 ,19.447 ,0 ,4.733 ,14.713 ,1.548 ,1.548 ,332 ,332 ,33.201 ,33.201 ,53.570 ,53.570 ,145.101 ,0 ,0 ,0 ,0 ,0 ,0 ,145.101 ,64.427 ,80.673 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,641.031 ,641.031 ,639.153 ,0 ,0 ,1.878 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
7.,BOHINJ,5.573.631 ,3.854.432 ,2.342.585 ,1.303.393 ,1.303.393 ,505.400 ,318.670 ,2.228 ,16.500 ,168.002 ,533.792 ,1.444 ,0 ,532.349 ,0 ,0 ,1.511.847 ,393.645 ,9.665 ,46.249 ,337.732 ,11.580 ,11.580 ,49.545 ,49.545 ,826.615 ,826.615 ,230.462 ,230.462 ,231.414 ,19.463 ,19.463 ,0 ,0 ,0 ,0 ,211.951 ,0 ,211.951 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.487.786 ,1.463.792 ,1.435.036 ,0 ,28.756 ,0 ,0 ,23.994 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.994 
8.,BOROVNICA ,2.421.536 ,1.611.225 ,1.444.563 ,1.130.191 ,1.130.191 ,181.501 ,104.261 ,0 ,34.710 ,42.530 ,132.870 ,2.754 ,0 ,130.116 ,0 ,0 ,166.662 ,90.035 ,5.942 ,12.844 ,71.249 ,2.746 ,2.746 ,1.899 ,1.899 ,4.490 ,4.490 ,67.493 ,67.493 ,26.519 ,92 ,0 ,0 ,92 ,0 ,0 ,26.427 ,0 ,26.427 ,0 ,2.354 ,2.354 ,2.354 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,781.439 ,781.439 ,781.439 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9.,BOVEC,4.785.320 ,2.147.918 ,1.411.329 ,893.615 ,893.615 ,275.588 ,139.543 ,0 ,24.224 ,111.822 ,242.126 ,860 ,0 ,241.266 ,0 ,0 ,736.588 ,598.898 ,58 ,17.743 ,581.097 ,4.014 ,4.014 ,346 ,346 ,78.497 ,78.497 ,54.832 ,54.832 ,71.641 ,16.692 ,16.692 ,0 ,0 ,0 ,0 ,54.949 ,0 ,54.949 ,0 ,8.321 ,7.904 ,0 ,7.904 ,0 ,0 ,0 ,0 ,0 ,417 ,417 ,2.557.440 ,2.551.214 ,2.195.806 ,0 ,0 ,305.967 ,49.441 ,6.226 ,0 ,0 ,0 ,0 ,0 ,0 ,6.226 ,0 
10.,BRASLOVČE,2.995.393 ,1.832.240 ,1.678.622 ,1.384.347 ,1.384.347 ,132.916 ,83.993 ,0 ,4.536 ,44.387 ,161.359 ,417 ,0 ,160.941 ,0 ,0 ,153.618 ,54.686 ,11.158 ,10.370 ,33.158 ,8.325 ,8.325 ,1.703 ,1.703 ,4.382 ,4.382 ,84.523 ,84.523 ,1.490 ,1.490 ,1.490 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.161.663 ,1.161.663 ,1.093.031 ,0 ,0 ,68.632 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
11.,BRDA,4.171.641 ,2.936.259 ,2.111.067 ,1.574.495 ,1.574.495 ,249.099 ,190.023 ,0 ,12.669 ,46.407 ,287.473 ,90.127 ,0 ,197.346 ,0 ,0 ,825.192 ,660.274 ,5.074 ,12.719 ,642.480 ,4.064 ,4.064 ,2.007 ,2.007 ,17.455 ,17.455 ,141.391 ,141.391 ,69.750 ,43.486 ,43.486 ,0 ,0 ,0 ,0 ,26.264 ,11.676 ,14.589 ,0 ,1.189 ,1.189 ,1.168 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.164.443 ,1.045.961 ,1.021.557 ,10.432 ,0 ,13.971 ,0 ,118.482 ,0 ,0 ,118.482 ,0 ,0 ,0 ,0 ,0 
12.,BREZOVICA,6.312.501 ,5.471.378 ,4.663.132 ,3.597.041 ,3.597.041 ,640.360 ,280.862 ,202 ,28.148 ,331.147 ,425.732 ,65.090 ,0 ,360.642 ,0 ,0 ,808.245 ,187.365 ,0 ,14.740 ,172.625 ,5.744 ,5.744 ,5.656 ,5.656 ,52.209 ,52.209 ,557.271 ,557.271 ,543.563 ,0 ,0 ,0 ,0 ,0 ,0 ,543.563 ,0 ,543.563 ,0 ,1.110 ,1.110 ,1.110 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,296.450 ,296.450 ,263.512 ,31.686 ,0 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
13.,BREŽICE,18.240.214 ,9.690.398 ,7.876.381 ,5.473.999 ,5.473.999 ,1.167.259 ,835.908 ,872 ,30.158 ,300.321 ,1.235.124 ,16.825 ,0 ,1.218.298 ,0 ,0 ,1.814.017 ,281.343 ,12.677 ,25.538 ,243.127 ,182.048 ,182.048 ,33.450 ,33.450 ,40.507 ,40.507 ,1.276.669 ,1.276.669 ,178.735 ,106.685 ,106.685 ,0 ,0 ,0 ,0 ,72.050 ,7.065 ,64.347 ,638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.371.082 ,6.198.886 ,6.198.886 ,0 ,0 ,0 ,0 ,2.172.196 ,2.114.639 ,0 ,0 ,57.557 ,0 ,0 ,0 ,0 
14.,CANKOVA,1.416.036 ,538.057 ,426.799 ,294.315 ,294.315 ,74.024 ,49.793 ,0 ,837 ,23.393 ,58.460 ,608 ,0 ,57.853 ,0 ,0 ,111.258 ,6.546 ,1.313 ,292 ,4.941 ,1.345 ,1.345 ,0 ,0 ,390 ,390 ,102.977 ,102.977 ,23.278 ,0 ,0 ,0 ,0 ,0 ,0 ,23.278 ,23.278 ,0 ,0 ,12.981 ,12.981 ,12.981 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,841.720 ,841.720 ,841.720 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
15.,MESTNA OBČINA CELJE,40.903.330 ,29.299.132 ,24.819.400 ,16.549.399 ,16.549.399 ,7.010.870 ,5.689.063 ,21 ,122.488 ,1.199.299 ,1.259.130 ,29.210 ,0 ,1.229.920 ,0 ,0 ,4.479.732 ,1.396.094 ,2.132 ,25.129 ,1.368.832 ,50.734 ,50.734 ,116.366 ,116.366 ,140.711 ,140.711 ,2.775.826 ,2.775.826 ,6.124.871 ,1.033.438 ,1.033.438 ,0 ,0 ,0 ,0 ,5.091.433 ,0 ,5.091.433 ,0 ,2.287 ,2.287 ,2.287 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.477.041 ,5.460.349 ,4.034.301 ,1.426.047 ,0 ,0 ,0 ,16.692 ,0 ,0 ,16.692 ,0 ,0 ,0 ,0 ,0 
16.,CERKLJE NA GORENJSKEM,5.908.834 ,3.812.873 ,2.614.063 ,1.894.533 ,1.894.533 ,436.972 ,191.875 ,167 ,16.441 ,228.489 ,282.557 ,2.358 ,0 ,280.199 ,0 ,0 ,1.198.811 ,246.995 ,18.035 ,84.898 ,144.062 ,16.049 ,16.049 ,2.904 ,2.904 ,4.473 ,4.473 ,928.388 ,928.388 ,1.375.171 ,1.047.726 ,1.047.726 ,0 ,0 ,0 ,0 ,327.445 ,0 ,327.445 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,720.790 ,720.790 ,720.790 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
17.,CERKNICA,9.380.083 ,4.229.144 ,3.478.710 ,2.941.266 ,2.941.266 ,183.041 ,19.700 ,0 ,21.941 ,141.400 ,354.402 ,4.544 ,0 ,349.858 ,0 ,0 ,750.434 ,305.041 ,184 ,21.991 ,282.866 ,18.866 ,18.866 ,1.031 ,1.031 ,8.029 ,8.029 ,417.468 ,417.468 ,1.715.669 ,342.101 ,342.101 ,0 ,0 ,0 ,0 ,1.373.569 ,0 ,1.373.569 ,0 ,547 ,547 ,547 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.434.723 ,2.288.737 ,2.288.737 ,0 ,0 ,0 ,0 ,1.145.986 ,0 ,0 ,1.145.986 ,0 ,0 ,0 ,0 ,0 
18.,CERKNO,3.679.936 ,2.577.801 ,1.861.499 ,1.578.255 ,1.578.255 ,158.319 ,133.916 ,0 ,13.828 ,10.575 ,124.926 ,2.023 ,0 ,122.903 ,0 ,0 ,716.302 ,586.654 ,673 ,15.851 ,570.131 ,3.321 ,3.321 ,1.077 ,1.077 ,77.509 ,77.509 ,47.742 ,47.742 ,18.764 ,10.292 ,10.292 ,0 ,0 ,0 ,0 ,8.472 ,4.361 ,4.112 ,0 ,27.466 ,27.466 ,0 ,27.466 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.055.905 ,1.055.905 ,1.055.905 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
19.,CERKVENJAK,1.246.210 ,389.648 ,296.397 ,240.347 ,240.347 ,21.598 ,11.058 ,0 ,1.787 ,8.754 ,34.452 ,132 ,0 ,34.319 ,0 ,0 ,93.251 ,11.007 ,0 ,3.896 ,7.111 ,1.191 ,1.191 ,759 ,759 ,33.343 ,33.343 ,46.952 ,46.952 ,347 ,0 ,0 ,0 ,0 ,0 ,0 ,347 ,0 ,347 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,856.215 ,856.215 ,832.325 ,23.890 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20.,ČRENŠOVCI,2.528.695 ,1.009.631 ,734.031 ,623.773 ,623.773 ,78.507 ,61.146 ,0 ,3.839 ,13.523 ,31.750 ,2.084 ,0 ,29.666 ,0 ,0 ,275.600 ,25.163 ,0 ,8.997 ,16.166 ,2.637 ,2.637 ,1.535 ,1.535 ,0 ,0 ,246.265 ,246.265 ,107.688 ,106.274 ,106.274 ,0 ,0 ,0 ,0 ,1.413 ,586 ,827 ,0 ,3.526 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.526 ,3.526 ,1.407.850 ,1.407.850 ,1.386.985 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
21.,ČRNA NA KOROŠKEM,2.953.063 ,1.662.101 ,1.166.258 ,839.017 ,839.017 ,186.021 ,165.786 ,0 ,267 ,19.967 ,141.220 ,1.703 ,0 ,139.518 ,0 ,0 ,495.844 ,176.519 ,1.314 ,805 ,174.399 ,3.864 ,3.864 ,568 ,568 ,283.166 ,283.166 ,31.727 ,31.727 ,213.341 ,103.877 ,103.877 ,0 ,0 ,0 ,0 ,109.464 ,0 ,109.464 ,0 ,3.130 ,3.130 ,3.130 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.074.491 ,1.074.491 ,1.061.847 ,0 ,0 ,12.644 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
22.,ČRNOMELJ,8.982.127 ,4.621.370 ,4.234.185 ,3.347.283 ,3.347.283 ,492.059 ,345.209 ,0 ,31.551 ,115.298 ,394.842 ,17.677 ,0 ,377.166 ,0 ,0 ,387.185 ,175.171 ,7.712 ,32.837 ,134.623 ,20.748 ,20.748 ,5.133 ,5.133 ,10.683 ,10.683 ,175.451 ,175.451 ,223.160 ,206.873 ,206.873 ,0 ,0 ,0 ,0 ,16.287 ,6.535 ,9.723 ,29 ,2.712 ,2.712 ,2.712 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.134.886 ,4.119.738 ,3.928.960 ,190.778 ,0 ,0 ,0 ,15.148 ,0 ,0 ,0 ,15.148 ,0 ,0 ,0 ,0 
23.,DESTRNIK,1.750.074 ,689.914 ,561.310 ,439.276 ,439.276 ,56.486 ,44.479 ,0 ,454 ,11.553 ,65.548 ,155 ,0 ,65.394 ,0 ,0 ,128.604 ,33.226 ,517 ,3.676 ,29.033 ,5.229 ,5.229 ,1.219 ,1.219 ,0 ,0 ,88.930 ,88.930 ,2.370 ,2.370 ,0 ,2.370 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.878 ,1.878 ,1.878 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.055.912 ,1.055.912 ,1.042.925 ,12.986 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
24.,DIVAČA,3.763.007 ,2.406.301 ,1.555.041 ,1.206.752 ,1.206.752 ,228.973 ,78.418 ,0 ,41.771 ,108.784 ,119.316 ,747 ,0 ,118.570 ,0 ,0 ,851.260 ,741.838 ,6.510 ,36.179 ,699.149 ,3.405 ,3.405 ,818 ,818 ,1.264 ,1.264 ,103.935 ,103.935 ,753.810 ,135.132 ,135.132 ,0 ,0 ,0 ,0 ,618.678 ,0 ,618.678 ,0 ,4.436 ,4.436 ,4.436 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,598.460 ,598.460 ,538.370 ,0 ,0 ,0 ,60.090 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
25.,DOBJE,553.789 ,208.137 ,174.512 ,150.609 ,150.609 ,21.224 ,15.411 ,0 ,1.665 ,4.148 ,2.679 ,117 ,0 ,2.562 ,0 ,0 ,33.625 ,4.348 ,0 ,4.327 ,21 ,547 ,547 ,0 ,0 ,19.492 ,19.492 ,9.239 ,9.239 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,345.652 ,345.652 ,345.652 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
