,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
27.,DOBRNA,0 ,0 ,0 ,0 ,0 ,0 ,12.410 ,12.410 ,12.410 ,0 ,0 ,0 ,-87.364 ,154.240 ,10.073 ,0 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.647 ,-13 ,0 ,0 
29.,DOBROVNIK,250.376 ,250.376 ,0 ,0 ,250.376 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-343.758 ,582.867 ,0 ,0 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,288.307 ,-288.307 ,119.584 ,0 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-40.377 ,39.555 ,0 ,0 
32.,DOMŽALE,0 ,0 ,0 ,0 ,0 ,0 ,165.007 ,165.007 ,141.709 ,0 ,23.298 ,0 ,-546.841 ,632.685 ,0 ,0 
33.,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,310.090 ,-310.090 ,16.738 ,0 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-35.954 ,35.954 ,221.157 ,0 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.470 ,7.470 ,157.424 ,0 
36.,GORENJA VAS - POLJANE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-341.967 ,324.666 ,498.272 ,0 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,80.487 ,-80.487 ,259.539 ,0 
38.,GORNJA RADGONA,0 ,0 ,0 ,0 ,0 ,0 ,113.082 ,113.082 ,113.082 ,0 ,0 ,0 ,460.240 ,-464.305 ,0 ,0 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,12.778 ,12.778 ,12.778 ,0 ,0 ,0 ,36.071 ,-48.848 ,1.486 ,0 
40.,GORNJI PETROVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.212 ,5.212 ,16.500 ,0 
41.,GRAD,0 ,0 ,0 ,0 ,0 ,0 ,12.402 ,12.402 ,12.402 ,0 ,0 ,0 ,-20.318 ,14.388 ,5.270 ,0 
42.,GROSUPLJE,200.300 ,200.300 ,200.300 ,0 ,0 ,0 ,140.861 ,140.861 ,113.562 ,0 ,27.299 ,0 ,278.597 ,-194.129 ,553.046 ,0 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-120.860 ,120.860 ,270.305 ,0 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,3.209 ,3.209 ,3.209 ,0 ,0 ,0 ,-60.791 ,57.582 ,209.569 ,60.324 
45.,HODOŠ,0 ,0 ,0 ,0 ,0 ,0 ,10.036 ,10.036 ,10.036 ,0 ,0 ,0 ,-4.932 ,-5.103 ,13.988 ,0 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,103.906 ,-91.387 ,50.542 ,0 
47.,HRASTNIK,0 ,0 ,0 ,0 ,0 ,0 ,55.600 ,55.600 ,0 ,0 ,55.600 ,0 ,417.535 ,-473.135 ,502.116 ,0 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.458 ,-16.458 ,0 ,0 
49.,IDRIJA,0 ,0 ,0 ,0 ,0 ,0 ,24.245 ,24.245 ,20.184 ,0 ,4.060 ,0 ,-71.315 ,150.004 ,758.763 ,0 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,608.354 ,-608.354 ,1.616.212 ,0 
51.,ILIRSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,59.543 ,59.543 ,49.015 ,0 ,10.528 ,0 ,1.313.675 ,-1.294.922 ,1.288.862 ,0 
52.,IVANČNA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,7.937 ,7.937 ,0 ,0 ,7.937 ,0 ,75.067 ,-614.964 ,1.384.410 ,0 
53.,IZOLA,0 ,0 ,0 ,0 ,0 ,0 ,56.201 ,56.201 ,8.567 ,0 ,47.634 ,0 ,-486.380 ,723.506 ,0 ,0 
54.,JESENICE,0 ,0 ,0 ,0 ,0 ,0 ,21.165 ,21.165 ,0 ,0 ,21.165 ,0 ,342.009 ,-361.188 ,1.025.772 ,0 
55.,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8.851 ,10.578 ,76.440 ,1.895 
