,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
118.,POSTOJNA,0 ,0 ,0 ,0 ,0 ,0 ,81.898 ,81.898 ,28.046 ,0 ,53.852 ,0 ,-196.854 ,126.698 ,282.482 ,80.212 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-171.211 ,171.211 ,0 ,0 
120.,PREDDVOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-152.287 ,170.706 ,36.484 ,0 
121.,PREVALJE,0 ,0 ,0 ,0 ,0 ,0 ,124.791 ,124.791 ,124.791 ,0 ,0 ,0 ,-977.345 ,852.554 ,1.369.934 ,0 
122.,MESTNA OBČINA PTUJ,1.241.241 ,1.241.241 ,0 ,0 ,1.241.241 ,0 ,21.678 ,21.678 ,21.678 ,0 ,0 ,0 ,1.239.518 ,228.171 ,803.943 ,0 
123.,PUCONCI,0 ,0 ,0 ,0 ,0 ,0 ,14.792 ,14.792 ,0 ,0 ,14.792 ,0 ,-14.446 ,22.397 ,176.619 ,0 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,3.797 ,3.797 ,3.797 ,0 ,0 ,0 ,147.755 ,-151.552 ,76.281 ,0 
125.,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,0 ,20.865 ,0 ,0 ,0 ,-20.865 ,0 ,0 
126.,RADENCI,0 ,0 ,0 ,0 ,0 ,0 ,33.857 ,33.857 ,33.857 ,0 ,0 ,0 ,10.877 ,-46.821 ,-7.403 ,12.177 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,31.243 ,31.243 ,25.038 ,6.205 ,0 ,0 ,-47.588 ,16.345 ,23.665 ,0 
128.,RADOVLJICA,0 ,0 ,0 ,0 ,0 ,0 ,137.598 ,137.598 ,137.598 ,0 ,0 ,0 ,-407.732 ,411.747 ,529.720 ,0 
129.,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.440.811 ,1.446.653 ,0 ,0 
130.,RAZKRIŽJE,49.241 ,49.241 ,0 ,0 ,49.241 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.162 ,41.739 ,0 ,0 
131.,RIBNICA,0 ,0 ,0 ,0 ,0 ,0 ,136.872 ,136.872 ,136.872 ,0 ,0 ,0 ,-201.102 ,101.857 ,287.047 ,0 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,505 ,505 ,505 ,0 ,0 ,0 ,-20.189 ,19.684 ,22.429 ,0 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,12.748 ,12.748 ,0 ,0 ,12.748 ,0 ,265.828 ,-279.628 ,127.867 ,0 
134.,ROGAŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,33.204 ,33.204 ,21.987 ,0 ,11.217 ,0 ,24.967 ,-47.046 ,33.830 ,0 
135.,ROGATEC,101.602 ,101.602 ,101.602 ,0 ,0 ,0 ,114.693 ,114.693 ,101.602 ,0 ,13.090 ,0 ,-19.387 ,6.297 ,39.242 ,1.995 
136.,RUŠE,0 ,0 ,0 ,0 ,0 ,0 ,2.909 ,2.909 ,0 ,0 ,2.909 ,0 ,1.377 ,-129 ,586.680 ,0 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.831 ,-33.831 ,39.881 ,0 
138.,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,31.443 ,31.443 ,325 ,0 ,31.118 ,0 ,2.988 ,-35.282 ,255 ,0 
139.,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,124.825 ,124.825 ,114.551 ,10.274 ,0 ,0 ,97.496 ,-19.930 ,10.436 ,31.839 
140.,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,55.103 ,55.103 ,0 ,0 ,55.103 ,0 ,586.864 ,1.081.101 ,130.033 ,0 
141.,MESTNA OBČINA SLOVENJ GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,17.702 ,17.702 ,6.748 ,0 ,10.954 ,0 ,1.191.187 ,-1.188.024 ,3.118.974 ,-43.206 
142.,SLOVENSKA BISTRICA,1.168.419 ,1.168.419 ,1.168.419 ,0 ,0 ,0 ,100.150 ,100.150 ,100.150 ,0 ,0 ,0 ,731.898 ,373.560 ,103.952 ,0 
143.,SLOVENSKE KONJICE,0 ,0 ,0 ,0 ,0 ,0 ,16.087 ,16.087 ,16.087 ,0 ,0 ,0 ,239.401 ,-218.390 ,0 ,0 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.461 ,1.461 ,0 ,0 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,1.586 ,1.586 ,0 ,1.586 ,0 ,0 ,-8.542 ,6.760 ,66.587 ,0 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,2.971 ,2.971 ,0 ,0 ,2.971 ,0 ,288.979 ,-291.950 ,769.062 ,0 
147.,SVETA ANA,50.075 ,50.075 ,50.075 ,0 ,0 ,0 ,2.753 ,2.753 ,0 ,0 ,2.753 ,0 ,117.974 ,-59.644 ,9.143 ,0 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-35.115 ,35.115 ,241.905 ,0 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-625 ,2.314 ,0 ,0 
150.,ŠALOVCI,180.800 ,180.800 ,0 ,0 ,180.800 ,0 ,6.677 ,6.677 ,0 ,0 ,6.677 ,0 ,-3.932 ,117.863 ,8.755 ,0 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,1.252 ,0 ,1.252 ,0 ,0 ,577.615 ,-561.764 ,0 ,0 
152.,ŠENČUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-890.999 ,917.001 ,1.680.529 ,0 
153.,ŠENTILJ,0 ,0 ,0 ,0 ,0 ,0 ,37.695 ,37.695 ,37.695 ,0 ,0 ,0 ,155.252 ,-138.686 ,75.304 ,0 
154.,ŠENTJERNEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-320.264 ,329.599 ,525.885 ,0 
155.,ŠENTJUR,0 ,0 ,0 ,0 ,0 ,0 ,57.791 ,57.791 ,0 ,0 ,57.791 ,0 ,88.537 ,-72.446 ,29.811 ,939 
156.,ŠKOCJAN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,218.073 ,-191.688 ,786.960 ,0 
157.,ŠKOFJA LOKA,0 ,0 ,0 ,0 ,0 ,0 ,56.810 ,56.810 ,0 ,0 ,56.810 ,0 ,21.774 ,-95.372 ,213.437 ,178.297 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-167.113 ,167.113 ,3.272.429 ,0 
159.,ŠMARJE PRI JELŠAH,0 ,0 ,0 ,0 ,0 ,0 ,43.895 ,43.895 ,634 ,0 ,43.261 ,0 ,34.026 ,-19.496 ,26.002 ,1.360 
160.,ŠMARTNO OB PAKI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.617 ,-4.402 ,0 ,0 
161.,ŠMARTNO PRI LITIJI,0 ,0 ,0 ,0 ,0 ,0 ,13.187 ,13.187 ,2.148 ,0 ,11.039 ,0 ,3.136 ,-15.183 ,5.102 ,0 
162.,ŠOŠTANJ,0 ,0 ,0 ,0 ,0 ,0 ,66.905 ,66.905 ,30.646 ,0 ,36.259 ,0 ,-46.165 ,-57.148 ,184.201 ,0 
163.,ŠTORE,882.382 ,882.382 ,668.311 ,0 ,214.071 ,0 ,565.527 ,565.527 ,0 ,563.545 ,1.982 ,0 ,-13.445 ,278.973 ,0 ,0 
164.,TABOR,110.787 ,110.787 ,65.127 ,0 ,45.660 ,0 ,17.852 ,17.852 ,11.329 ,0 ,6.522 ,0 ,126.811 ,-33.876 ,0 ,0 
165.,TIŠINA,364.943 ,364.943 ,0 ,0 ,364.943 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,345.257 ,33.074 ,23.598 ,0 
166.,TOLMIN,0 ,0 ,0 ,0 ,0 ,0 ,114.647 ,114.647 ,107.353 ,0 ,7.294 ,0 ,128.368 ,-218.277 ,60.186 ,0 
167.,TRBOVLJE,0 ,0 ,0 ,0 ,0 ,0 ,10.520 ,10.520 ,0 ,0 ,10.520 ,0 ,377.045 ,-263.696 ,147.851 ,0 
168.,TREBNJE,208.646 ,208.646 ,208.646 ,0 ,0 ,0 ,1.227 ,1.227 ,0 ,0 ,1.227 ,0 ,-295.694 ,503.113 ,0 ,0 
169.,TRNOVSKA VAS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47.438 ,-47.438 ,17.881 ,0 
170.,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,11.038 ,11.038 ,11.038 ,0 ,0 ,0 ,-1.132.418 ,1.121.380 ,0 ,0 
171.,TRŽIČ,0 ,0 ,0 ,0 ,0 ,0 ,145.322 ,145.322 ,145.322 ,0 ,0 ,0 ,278.201 ,-419.963 ,300.417 ,0 
172.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.688 ,-12.688 ,0 ,0 
173.,MESTNA OBČINA VELENJE,265.836 ,265.836 ,0 ,0 ,265.836 ,0 ,77.379 ,77.379 ,0 ,0 ,77.379 ,0 ,1.124.528 ,-966.754 ,0 ,0 
174.,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-33.349 ,33.349 ,0 ,0 
175.,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,8.592 ,8.592 ,0 ,0 ,8.592 ,0 ,390.365 ,-398.957 ,0 ,0 
176.,VERŽEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.836 ,-14.836 ,0 ,0 
177.,VIDEM,271.240 ,271.240 ,271.240 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.424 ,257.816 ,70.180 ,0 
178.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,92.293 ,-110.595 ,119.750 ,35.583 
179.,VITANJE,0 ,0 ,0 ,0 ,0 ,0 ,14.363 ,14.363 ,14.363 ,0 ,0 ,0 ,10.453 ,-19.083 ,0 ,0 
180.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.353.543 ,1.353.543 ,2.877.391 ,0 
181.,VOJNIK,0 ,0 ,0 ,0 ,0 ,0 ,7.824 ,7.824 ,7.824 ,0 ,0 ,0 ,152.341 ,-114.501 ,0 ,0 
182.,VRANSKO,280.149 ,280.149 ,199.841 ,0 ,80.308 ,0 ,32.741 ,32.741 ,21.269 ,0 ,11.471 ,0 ,292.288 ,-44.880 ,0 ,0 
183.,VRHNIKA,62.594 ,62.594 ,62.594 ,0 ,0 ,0 ,189.977 ,189.977 ,118.302 ,71.674 ,0 ,0 ,139.476 ,-244.358 ,18.478 ,123.239 
184.,VUZENICA,0 ,0 ,0 ,0 ,0 ,0 ,27.821 ,27.821 ,27.821 ,0 ,0 ,0 ,-21.365 ,-6.456 ,13.675 ,0 
185.,ZAGORJE OB SAVI,0 ,0 ,0 ,0 ,0 ,0 ,256.622 ,256.622 ,251.882 ,0 ,4.740 ,0 ,87.815 ,-324.604 ,97.989 ,0 
186.,ZAVRČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39.000 ,-39.000 ,0 ,0 
187.,ZREČE,368.461 ,368.461 ,146.052 ,0 ,222.409 ,0 ,70.034 ,70.034 ,60.491 ,0 ,9.543 ,0 ,7.707 ,297.784 ,3.238 ,0 
188.,ŽALEC,0 ,0 ,0 ,0 ,0 ,0 ,140.290 ,140.290 ,115.173 ,0 ,25.117 ,0 ,372.158 ,-314.430 ,15.290 ,0 
189.,ŽELEZNIKI,0 ,0 ,0 ,0 ,0 ,0 ,63.879 ,63.879 ,63.879 ,0 ,0 ,0 ,143.499 ,-229.682 ,197.091 ,0 
190.,ŽETALE,221.716 ,221.716 ,0 ,221.716 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.484 ,213.232 ,9.685 ,0 
191.,ŽIRI,0 ,0 ,0 ,0 ,0 ,0 ,29.569 ,29.569 ,0 ,0 ,29.569 ,0 ,10.480 ,-40.049 ,19.230 ,0 
192.,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,14.835 ,14.835 ,0 ,0 ,14.835 ,0 ,167.747 ,-182.428 ,187.289 ,0 
193.,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68.453 ,-67.526 ,0 ,0 
,SKUPAJ,24.118.479 ,24.118.479 ,18.615.161 ,534.685 ,4.968.632 ,0 ,9.683.218 ,9.683.218 ,6.152.043 ,1.049.787 ,2.481.125 ,263 ,10.508.879 ,4.647.005 ,54.995.990 ,1.157.115 
