16.,CERKLJE NA GORENJSKEM,5.005.967 ,966.612 ,135.482 ,21.987 ,9.948 ,7.970 ,67 ,113 ,3.889 ,774.604 ,102.742 ,13.566 ,91.049 ,6.426 ,451 ,465.561 ,626 ,0 ,5.137 ,89.046 ,0 ,0 ,0 ,0 ,0 ,34.539 ,26.878 ,7.661 ,0 ,887.248 ,51.360 ,0 ,51.360 ,612.990 ,2.387 ,8.012 ,1.732 ,0 ,0 ,600.860 ,125.255 ,125.255 ,97.642 ,0 ,14.280 ,3.084 ,80.279 ,0 ,0 ,0 ,2.525.876 ,2.525.876 ,0 ,10.407 ,21.553 ,7.069 ,2.220.460 ,2.829 ,53.155 ,0 ,210.403 ,626.231 ,162.331 ,0 ,0 ,0 ,162.331 ,463.900 ,87.456 ,292.985 ,0 ,83.459 ,0 ,0 ,0 ,-45.518 
17.,CERKNICA,6.985.455 ,1.679.286 ,326.993 ,59.953 ,25.868 ,20.724 ,175 ,292 ,12.894 ,1.245.975 ,159.821 ,37.602 ,90.278 ,10.124 ,2.814 ,745.845 ,5.684 ,66.183 ,16.497 ,111.126 ,30.767 ,24.005 ,0 ,6.762 ,0 ,15.599 ,0 ,15.599 ,0 ,2.290.965 ,35.947 ,0 ,35.947 ,1.037.456 ,0 ,0 ,2.096 ,0 ,0 ,1.035.360 ,322.391 ,322.391 ,895.170 ,0 ,57.508 ,12.088 ,761.106 ,64.469 ,0 ,0 ,2.747.973 ,2.747.973 ,237.867 ,0 ,125.369 ,0 ,1.990.387 ,72.890 ,93.209 ,0 ,228.252 ,267.230 ,198.182 ,0 ,0 ,0 ,198.182 ,69.049 ,69.049 ,0 ,0 ,0 ,0 ,0 ,0 ,-3.536 
18.,CERKNO,2.863.353 ,820.335 ,178.038 ,30.588 ,14.735 ,11.655 ,100 ,167 ,3.931 ,566.020 ,43.394 ,0 ,47.818 ,10.787 ,2.967 ,157.374 ,3.251 ,626 ,10.699 ,289.104 ,3.251 ,0 ,0 ,3.251 ,0 ,42.439 ,0 ,42.439 ,0 ,1.270.197 ,34.481 ,0 ,34.481 ,612.577 ,0 ,0 ,0 ,0 ,1.202 ,611.375 ,138.387 ,138.387 ,484.752 ,57.090 ,24.132 ,0 ,403.530 ,0 ,0 ,0 ,587.644 ,587.644 ,88.549 ,0 ,35.078 ,0 ,127.182 ,248.314 ,42.706 ,0 ,45.815 ,185.178 ,126.853 ,10.432 ,0 ,0 ,116.420 ,58.325 ,20.239 ,29.611 ,0 ,4.173 ,4.302 ,0 ,0 ,-34.239 
19.,CERKVENJAK,1.152.133 ,296.359 ,98.097 ,15.968 ,7.421 ,5.997 ,50 ,86 ,2.415 ,177.047 ,19.532 ,0 ,47.857 ,3.764 ,4.407 ,64.369 ,0 ,0 ,3.518 ,33.601 ,5.195 ,0 ,5.195 ,0 ,0 ,51 ,51 ,0 ,0 ,315.329 ,10.017 ,0 ,10.017 ,161.132 ,0 ,0 ,0 ,0 ,0 ,161.132 ,29.576 ,29.576 ,114.603 ,0 ,15.160 ,0 ,99.443 ,0 ,0 ,0 ,487.833 ,487.833 ,12.427 ,0 ,58.535 ,0 ,367.099 ,8.398 ,0 ,948 ,40.426 ,52.612 ,29.628 ,0 ,0 ,0 ,29.628 ,22.984 ,16.571 ,6.414 ,0 ,0 ,0 ,0 ,0 ,-137.800 
20.,ČRENŠOVCI,2.116.408 ,356.965 ,119.271 ,19.287 ,11.684 ,4.465 ,338 ,292 ,2.508 ,205.517 ,54.807 ,5.800 ,52.679 ,1.477 ,8.229 ,34.744 ,167 ,0 ,3.772 ,43.841 ,0 ,0 ,0 ,0 ,0 ,12.890 ,12.890 ,0 ,0 ,812.431 ,24.987 ,0 ,24.987 ,309.548 ,0 ,0 ,6.443 ,0 ,0 ,303.105 ,53.898 ,53.898 ,423.999 ,30.671 ,65.398 ,0 ,256.209 ,71.720 ,0 ,0 ,859.201 ,859.201 ,118.332 ,0 ,5.187 ,0 ,476.853 ,27.771 ,3.497 ,0 ,227.562 ,87.811 ,37.047 ,7.161 ,0 ,0 ,29.887 ,50.764 ,0 ,25.956 ,0 ,0 ,0 ,24.808 ,0 ,131.627 
21.,ČRNA NA KOROŠKEM,2.379.473 ,1.141.429 ,194.821 ,34.322 ,15.340 ,12.135 ,104 ,175 ,6.568 ,881.318 ,60.975 ,8.521 ,211.513 ,12.878 ,2.596 ,382.703 ,16.696 ,1.878 ,7.578 ,175.981 ,17.151 ,17.151 ,0 ,0 ,0 ,13.817 ,5.471 ,8.346 ,0 ,905.074 ,8.108 ,0 ,8.108 ,464.881 ,0 ,0 ,0 ,0 ,0 ,464.881 ,186.647 ,186.647 ,245.439 ,11.684 ,26.999 ,0 ,206.756 ,0 ,0 ,0 ,168.449 ,168.449 ,11.071 ,8.329 ,27.675 ,0 ,65.899 ,0 ,3.555 ,0 ,51.920 ,164.522 ,78.835 ,0 ,0 ,0 ,78.835 ,85.687 ,37.556 ,48.131 ,0 ,0 ,0 ,0 ,0 ,33.897 
22.,ČRNOMELJ,7.745.314 ,1.440.244 ,418.035 ,70.802 ,33.020 ,26.452 ,225 ,371 ,10.733 ,920.130 ,107.382 ,0 ,48.982 ,5.099 ,5.149 ,483.867 ,513 ,1.790 ,19.851 ,247.496 ,29.999 ,0 ,1.761 ,28.238 ,0 ,1.277 ,0 ,1.277 ,0 ,3.138.729 ,62.506 ,0 ,62.506 ,1.688.282 ,0 ,0 ,0 ,0 ,10.962 ,1.677.320 ,268.870 ,268.870 ,1.119.070 ,118.853 ,116.825 ,6.159 ,877.233 ,0 ,0 ,0 ,2.992.422 ,2.992.422 ,27.545 ,9.151 ,150.522 ,0 ,2.533.938 ,19.796 ,30.742 ,0 ,220.727 ,173.919 ,98.744 ,54.882 ,0 ,0 ,43.862 ,75.175 ,66.024 ,9.151 ,0 ,0 ,0 ,0 ,0 ,418.269 
23.,DESTRNIK,1.398.097 ,432.415 ,175.442 ,26.060 ,13.625 ,9.481 ,79 ,154 ,2.721 ,222.463 ,29.974 ,5.199 ,41.629 ,15.064 ,1.168 ,63.587 ,0 ,2.295 ,4.607 ,58.938 ,2.191 ,2.191 ,0 ,0 ,0 ,6.259 ,0 ,6.259 ,0 ,469.934 ,9.915 ,0 ,9.915 ,303.376 ,0 ,1.836 ,0 ,0 ,0 ,301.540 ,27.166 ,27.166 ,129.478 ,0 ,35.741 ,0 ,93.736 ,0 ,0 ,0 ,468.657 ,468.657 ,62.594 ,0 ,5.058 ,7.624 ,353.075 ,4.415 ,1.461 ,1.193 ,33.237 ,27.091 ,27.091 ,6.460 ,0 ,16.141 ,4.490 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,188.854 
24.,DIVAČA,2.464.422 ,404.561 ,159.406 ,26.744 ,12.623 ,10.115 ,88 ,142 ,3.777 ,218.411 ,46.153 ,0 ,28.426 ,0 ,2.504 ,8.133 ,0 ,0 ,10.541 ,122.655 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.205.533 ,46.102 ,0 ,46.102 ,424.316 ,0 ,271 ,0 ,0 ,5.137 ,418.908 ,89.363 ,89.363 ,645.752 ,60.507 ,26.360 ,1.064 ,261.196 ,296.624 ,0 ,0 ,672.091 ,672.091 ,0 ,0 ,22.037 ,4.173 ,493.085 ,45.598 ,38.341 ,0 ,68.857 ,182.236 ,91.475 ,36.050 ,0 ,0 ,55.425 ,90.761 ,54.457 ,36.304 ,0 ,0 ,0 ,0 ,0 ,144.926 
25.,DOBJE,386.572 ,114.092 ,37.924 ,6.547 ,3.055 ,2.228 ,21 ,33 ,1.210 ,69.621 ,17.777 ,3.468 ,9.456 ,3.196 ,75 ,24.854 ,0 ,0 ,918 ,9.877 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,175.492 ,9.176 ,889 ,8.287 ,92.710 ,0 ,626 ,2.450 ,0 ,0 ,89.634 ,16.646 ,16.646 ,56.960 ,0 ,10.290 ,417 ,46.253 ,0 ,0 ,0 ,72.496 ,72.496 ,0 ,0 ,19.730 ,0 ,0 ,48.944 ,976 ,0 ,2.846 ,24.491 ,20.998 ,0 ,0 ,0 ,20.998 ,3.493 ,2.328 ,1.164 ,0 ,0 ,0 ,0 ,0 ,78.693 
26.,DOBREPOLJE,1.768.461 ,384.727 ,106.835 ,19.079 ,8.801 ,7.052 ,58 ,100 ,3.067 ,256.309 ,36.171 ,9.393 ,46.036 ,2.929 ,1.999 ,127.120 ,0 ,0 ,4.565 ,28.096 ,0 ,0 ,0 ,0 ,0 ,2.504 ,0 ,2.504 ,0 ,785.937 ,10.545 ,0 ,10.545 ,517.071 ,2.024 ,0 ,0 ,0 ,0 ,515.048 ,95.063 ,95.063 ,163.257 ,2.804 ,17.126 ,3.664 ,139.664 ,0 ,0 ,0 ,331.134 ,331.134 ,0 ,10.432 ,13.683 ,0 ,163.817 ,14.088 ,43.540 ,0 ,85.574 ,266.662 ,15.427 ,0 ,0 ,0 ,15.427 ,251.235 ,13.353 ,237.882 ,0 ,0 ,0 ,0 ,0 ,276.273 
27.,DOBRNA,1.502.817 ,593.761 ,138.387 ,22.759 ,10.716 ,8.484 ,71 ,121 ,3.368 ,423.727 ,91.112 ,3.739 ,46.027 ,1.769 ,8.116 ,136.780 ,33.705 ,31.151 ,4.649 ,66.679 ,0 ,0 ,0 ,0 ,0 ,8.888 ,0 ,8.888 ,0 ,478.514 ,33.358 ,0 ,33.358 ,236.551 ,0 ,0 ,0 ,0 ,0 ,236.551 ,49.215 ,49.215 ,159.389 ,7.069 ,17.105 ,13.353 ,121.862 ,0 ,0 ,0 ,244.613 ,244.613 ,0 ,22.642 ,21.311 ,0 ,57.445 ,5.316 ,0 ,0 ,137.899 ,185.929 ,10.449 ,0 ,0 ,0 ,10.449 ,175.480 ,0 ,175.480 ,0 ,0 ,0 ,0 ,0 ,-28.910 
28.,DOBROVA - POLHOV GRADEC,3.545.118 ,1.007.841 ,153.902 ,61.734 ,37.765 ,20.038 ,309 ,309 ,3.313 ,790.724 ,140.632 ,33.358 ,53.781 ,7.712 ,1.335 ,460.833 ,16.408 ,0 ,9.719 ,66.946 ,1.481 ,0 ,0 ,1.481 ,0 ,0 ,0 ,0 ,0 ,1.404.369 ,59.940 ,0 ,59.940 ,785.257 ,0 ,25.889 ,10.587 ,0 ,0 ,748.782 ,163.395 ,163.395 ,395.777 ,18.970 ,39.618 ,0 ,337.189 ,0 ,0 ,0 ,842.601 ,842.601 ,0 ,56.514 ,24.324 ,0 ,26.135 ,685.662 ,3.272 ,0 ,46.695 ,290.306 ,136.910 ,0 ,0 ,0 ,136.910 ,153.397 ,0 ,153.397 ,0 ,0 ,0 ,0 ,0 ,520.623 
29.,DOBROVNIK,1.684.917 ,469.572 ,138.344 ,21.443 ,10.665 ,8.477 ,146 ,114 ,2.042 ,296.376 ,49.428 ,6.294 ,58.128 ,13.752 ,6.476 ,62.458 ,2.244 ,1.071 ,2.967 ,93.559 ,12.438 ,27 ,0 ,12.411 ,0 ,970 ,0 ,970 ,0 ,386.603 ,4.418 ,0 ,4.418 ,94.777 ,0 ,0 ,622 ,0 ,3.355 ,90.800 ,102.260 ,102.260 ,185.148 ,10.220 ,24.417 ,4.146 ,146.365 ,0 ,0 ,0 ,828.489 ,828.489 ,173.903 ,668 ,22.272 ,1.638 ,619.210 ,3.941 ,511 ,417 ,5.930 ,253 ,253 ,0 ,0 ,0 ,253 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-163.762 
30.,DOL PRI LJUBLJANI,2.186.751 ,762.306 ,111.117 ,18.678 ,8.897 ,7.127 ,58 ,100 ,2.495 ,609.168 ,115.381 ,3.693 ,58.158 ,3.222 ,1.331 ,286.668 ,2.412 ,421 ,6.168 ,131.714 ,0 ,0 ,0 ,0 ,0 ,23.343 ,11.146 ,12.197 ,0 ,955.275 ,26.415 ,0 ,26.415 ,524.983 ,0 ,0 ,4.582 ,0 ,5.951 ,514.451 ,105.099 ,105.099 ,298.777 ,0 ,29.306 ,0 ,269.471 ,0 ,0 ,0 ,291.955 ,291.955 ,0 ,0 ,33.922 ,0 ,10.829 ,206.339 ,2.767 ,0 ,38.099 ,177.216 ,25.455 ,0 ,0 ,0 ,25.455 ,151.761 ,18.761 ,0 ,0 ,0 ,0 ,133.000 ,0 ,253.109 
31.,DOLENJSKE TOPLICE,1.835.274 ,443.098 ,93.436 ,16.262 ,7.620 ,6.547 ,63 ,75 ,1.957 ,333.400 ,66.713 ,6.343 ,33.421 ,2.283 ,2.107 ,131.393 ,8.250 ,0 ,4.131 ,78.760 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,628.777 ,41.070 ,830 ,40.240 ,361.851 ,0 ,2.596 ,6.076 ,0 ,0 ,353.180 ,97.208 ,97.208 ,128.647 ,0 ,19.237 ,0 ,100.835 ,8.575 ,0 ,0 ,238.862 ,238.862 ,27.858 ,0 ,3.714 ,0 ,58.671 ,0 ,50.159 ,0 ,98.460 ,524.537 ,66.959 ,20.869 ,0 ,0 ,46.090 ,457.578 ,14.760 ,442.818 ,0 ,0 ,0 ,0 ,0 ,37.410 
32.,DOMŽALE,16.913.343 ,4.161.210 ,1.120.039 ,153.968 ,84.826 ,67.608 ,575 ,958 ,0 ,2.800.150 ,252.572 ,9.138 ,103.372 ,4.316 ,2.261 ,1.591.680 ,6.647 ,65.457 ,0 ,764.707 ,51.776 ,34.030 ,0 ,17.746 ,0 ,35.277 ,25.389 ,9.888 ,0 ,6.424.584 ,172.177 ,0 ,172.177 ,3.280.957 ,0 ,0 ,108.579 ,0 ,78.031 ,3.094.347 ,742.975 ,742.975 ,2.228.476 ,232.015 ,0 ,17.824 ,1.978.637 ,0 ,0 ,0 ,4.212.899 ,4.212.899 ,865.317 ,0 ,66.738 ,0 ,2.507.804 ,156.188 ,204.882 ,0 ,411.971 ,2.114.649 ,2.114.649 ,48.077 ,0 ,894.516 ,1.172.056 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,465.443 
33.,DORNAVA,1.465.423 ,299.078 ,64.743 ,11.346 ,4.920 ,3.939 ,33 ,54 ,2.399 ,222.989 ,16.771 ,0 ,35.637 ,1.598 ,1.648 ,85.683 ,0 ,225 ,1.932 ,79.494 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,405.275 ,13.437 ,0 ,13.437 ,149.220 ,0 ,0 ,0 ,0 ,0 ,149.220 ,55.053 ,55.053 ,187.565 ,43.678 ,36.551 ,0 ,107.336 ,0 ,0 ,0 ,680.325 ,680.325 ,0 ,0 ,9.176 ,509 ,622.133 ,30.896 ,0 ,0 ,17.610 ,80.746 ,0 ,0 ,0 ,0 ,0 ,80.746 ,54.236 ,10.770 ,0 ,0 ,0 ,15.740 ,0 ,-317.664 
34.,DRAVOGRAD,5.397.084 ,1.358.333 ,283.514 ,46.522 ,21.745 ,17.420 ,147 ,246 ,6.964 ,1.005.346 ,56.724 ,6.009 ,70.515 ,5.863 ,2.336 ,599.336 ,10.905 ,40.716 ,11.699 ,201.242 ,0 ,0 ,0 ,0 ,0 ,22.951 ,0 ,22.951 ,0 ,1.795.194 ,31.000 ,0 ,31.000 ,423.703 ,0 ,0 ,0 ,0 ,0 ,423.703 ,255.299 ,255.299 ,1.085.193 ,60.923 ,68.926 ,4.935 ,950.409 ,0 ,0 ,0 ,1.659.295 ,1.659.295 ,138.960 ,0 ,35.320 ,725 ,814.879 ,344.561 ,79.788 ,0 ,245.061 ,584.262 ,16.033 ,0 ,0 ,8.122 ,7.912 ,568.228 ,0 ,387.185 ,0 ,1.627 ,1.558 ,177.858 ,0 ,-34.888 
35.,DUPLEK,3.654.565 ,1.007.031 ,232.499 ,39.831 ,18.411 ,14.751 ,125 ,209 ,6.335 ,684.856 ,85.015 ,76.661 ,117.802 ,10.023 ,2.616 ,313.954 ,1.465 ,217 ,11.680 ,65.423 ,0 ,0 ,0 ,0 ,0 ,49.846 ,0 ,49.846 ,0 ,965.139 ,6.668 ,0 ,6.668 ,386.772 ,0 ,5.250 ,29.377 ,0 ,0 ,352.145 ,110.704 ,110.704 ,460.996 ,0 ,54.110 ,321 ,406.564 ,0 ,0 ,0 ,1.380.905 ,1.380.905 ,0 ,0 ,14.013 ,0 ,1.287.252 ,36.501 ,9.569 ,0 ,33.571 ,301.490 ,301.490 ,90.590 ,0 ,0 ,210.900 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-331.481 
36.,GORENJA VAS - POLJANE,4.563.495 ,811.108 ,189.659 ,31.259 ,14.693 ,11.371 ,96 ,163 ,4.937 ,568.753 ,67.551 ,14.680 ,171.386 ,3.560 ,3.877 ,62.631 ,15.473 ,15.031 ,7.636 ,206.927 ,0 ,0 ,0 ,0 ,0 ,21.436 ,0 ,21.436 ,0 ,1.382.253 ,58.884 ,0 ,58.884 ,770.961 ,0 ,0 ,11.772 ,0 ,0 ,759.189 ,103.042 ,103.042 ,449.366 ,215.744 ,30.237 ,0 ,203.384 ,0 ,0 ,0 ,1.886.834 ,1.886.834 ,0 ,0 ,123.711 ,0 ,1.179.853 ,330.320 ,127.049 ,0 ,125.901 ,483.300 ,398.214 ,372.425 ,0 ,0 ,25.789 ,85.086 ,41.980 ,0 ,0 ,8.346 ,34.760 ,0 ,0 ,-277.712 
37.,GORIŠNICA,3.154.507 ,589.004 ,109.076 ,17.989 ,8.287 ,6.639 ,58 ,92 ,2.913 ,460.687 ,103.802 ,0 ,55.992 ,0 ,2.875 ,4.978 ,0 ,0 ,5.658 ,287.381 ,0 ,0 ,0 ,0 ,0 ,1.252 ,1.252 ,0 ,0 ,1.139.434 ,97.058 ,0 ,97.058 ,509.256 ,0 ,0 ,0 ,0 ,0 ,509.256 ,219.141 ,219.141 ,313.979 ,12.840 ,80.129 ,0 ,221.011 ,0 ,0 ,0 ,1.405.558 ,1.405.558 ,0 ,0 ,0 ,1.953 ,1.298.978 ,48.110 ,11.000 ,0 ,45.518 ,20.510 ,20.510 ,18.845 ,0 ,0 ,1.665 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-103.493 
38.,GORNJA RADGONA,8.013.124 ,2.044.404 ,730.446 ,96.232 ,56.539 ,38.687 ,396 ,609 ,0 ,1.165.281 ,46.904 ,110.457 ,586.496 ,15.290 ,5.492 ,253.192 ,0 ,0 ,22.880 ,124.570 ,20.314 ,20.314 ,0 ,0 ,0 ,32.132 ,0 ,32.132 ,0 ,2.838.566 ,55.400 ,55.400 ,0 ,990.953 ,0 ,0 ,0 ,0 ,0 ,990.953 ,468.240 ,468.240 ,1.323.973 ,489.797 ,125.509 ,56.956 ,651.711 ,0 ,0 ,0 ,2.918.645 ,2.918.645 ,0 ,8.104 ,0 ,0 ,2.669.458 ,0 ,121.783 ,0 ,119.300 ,211.509 ,211.509 ,0 ,0 ,0 ,211.509 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.576 
39.,GORNJI GRAD,1.538.967 ,657.845 ,106.985 ,19.446 ,8.726 ,6.919 ,480 ,100 ,3.222 ,518.457 ,33.363 ,234 ,56.844 ,5.325 ,2.604 ,305.554 ,9.180 ,5.483 ,4.703 ,95.168 ,7.106 ,4.069 ,3.038 ,0 ,0 ,5.850 ,4.169 ,0 ,1.682 ,434.180 ,23.877 ,2.696 ,21.182 ,260.737 ,0 ,2.938 ,3.030 ,0 ,0 ,254.770 ,69.713 ,69.713 ,79.853 ,0 ,14.927 ,1.385 ,63.541 ,0 ,0 ,0 ,324.366 ,324.366 ,0 ,2.708 ,5.738 ,0 ,190.999 ,0 ,0 ,0 ,124.921 ,122.576 ,33.375 ,0 ,0 ,0 ,33.375 ,89.200 ,79.528 ,9.673 ,0 ,0 ,0 ,0 ,0 ,1.636 
40.,GORNJI PETROVCI,2.374.487 ,398.193 ,93.307 ,14.981 ,6.539 ,5.412 ,113 ,75 ,2.842 ,260.612 ,48.302 ,200 ,65.945 ,30.433 ,1.757 ,79.110 ,0 ,0 ,3.898 ,30.967 ,29.294 ,29.294 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,610.624 ,61.375 ,23.322 ,38.053 ,282.545 ,48.026 ,0 ,58.580 ,0 ,0 ,175.939 ,78.681 ,78.681 ,188.024 ,5.638 ,0 ,4.548 ,144.346 ,33.492 ,0 ,0 ,1.314.142 ,1.314.142 ,11.442 ,12.227 ,2.938 ,0 ,565.248 ,563.545 ,801 ,0 ,157.941 ,51.527 ,30.078 ,15.056 ,0 ,0 ,15.023 ,21.449 ,21.449 ,0 ,0 ,0 ,0 ,0 ,0 ,-992.151 
41.,GRAD,1.995.463 ,608.999 ,155.371 ,19.483 ,9.052 ,7.252 ,61 ,102 ,3.015 ,417.453 ,61.094 ,50.240 ,54.523 ,12.419 ,1.886 ,134.226 ,6.761 ,1.701 ,1.892 ,92.711 ,0 ,0 ,0 ,0 ,0 ,16.692 ,16.692 ,0 ,0 ,491.368 ,28.374 ,0 ,28.374 ,250.501 ,0 ,0 ,0 ,0 ,0 ,250.501 ,44.435 ,44.435 ,168.059 ,0 ,81.632 ,1.233 ,85.194 ,0 ,0 ,0 ,867.926 ,867.926 ,0 ,0 ,34.541 ,464 ,533.231 ,43.131 ,0 ,0 ,256.559 ,27.170 ,27.170 ,8.809 ,0 ,0 ,18.361 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-370.016 
42.,GROSUPLJE,9.722.217 ,2.241.946 ,528.564 ,87.248 ,41.116 ,32.941 ,280 ,463 ,12.448 ,1.579.995 ,165.127 ,93.682 ,184.719 ,9.786 ,693 ,730.462 ,62.302 ,58 ,25.250 ,307.916 ,37.794 ,18.912 ,0 ,18.882 ,0 ,8.346 ,0 ,8.346 ,0 ,3.512.494 ,70.331 ,57.974 ,12.356 ,1.903.242 ,0 ,13.741 ,12.152 ,0 ,21.395 ,1.855.955 ,602.191 ,602.191 ,936.730 ,8.730 ,115.457 ,2.896 ,809.648 ,0 ,0 ,0 ,2.496.011 ,2.496.011 ,118.415 ,26.010 ,135.215 ,5.579 ,1.455.300 ,258.383 ,172.596 ,0 ,324.512 ,1.471.766 ,347.984 ,0 ,2.441 ,0 ,345.543 ,1.123.782 ,124.566 ,959.986 ,0 ,13 ,39.217 ,0 ,0 ,1.080.550 
43.,HAJDINA,1.959.381 ,625.058 ,133.634 ,22.592 ,10.941 ,8.388 ,71 ,125 ,3.067 ,468.832 ,27.879 ,438 ,62.803 ,2.575 ,2.495 ,203.864 ,3.447 ,0 ,6.577 ,158.755 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,664.998 ,21.436 ,0 ,21.436 ,354.740 ,0 ,3.338 ,626 ,0 ,964 ,349.812 ,134.385 ,134.385 ,154.436 ,2.287 ,38.600 ,680 ,112.869 ,0 ,0 ,0 ,566.162 ,566.162 ,130.195 ,0 ,15.991 ,3.739 ,260.866 ,53.777 ,179 ,0 ,101.415 ,103.163 ,59.352 ,14.313 ,0 ,7.040 ,37.999 ,43.812 ,20.865 ,22.947 ,0 ,0 ,0 ,0 ,0 ,-151.799 
44.,HOČE - SLIVNICA,5.546.511 ,1.658.847 ,306.960 ,52.829 ,25.096 ,18.657 ,159 ,271 ,8.646 ,1.219.696 ,124.241 ,0 ,258.667 ,9.064 ,6.718 ,689.505 ,6.159 ,0 ,12.022 ,113.320 ,4.248 ,4.248 ,0 ,0 ,0 ,75.113 ,0 ,75.113 ,0 ,1.926.340 ,75.146 ,0 ,75.146 ,335.996 ,0 ,0 ,0 ,0 ,0 ,335.996 ,216.729 ,216.729 ,1.298.469 ,0 ,79.732 ,0 ,1.218.736 ,0 ,0 ,0 ,650.396 ,650.396 ,0 ,0 ,35.699 ,0 ,7.657 ,352.900 ,38.287 ,0 ,215.853 ,1.310.929 ,1.310.929 ,0 ,0 ,0 ,1.310.929 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-407.524 
45.,HODOŠ,487.377 ,115.323 ,43.240 ,7.595 ,3.309 ,2.654 ,21 ,38 ,1.573 ,61.484 ,21.812 ,6.743 ,5.041 ,3.910 ,1.636 ,5.525 ,0 ,0 ,1.206 ,15.611 ,3.005 ,3.005 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,76.360 ,2.116 ,0 ,2.116 ,47.596 ,27.399 ,334 ,1.085 ,0 ,0 ,18.778 ,15.782 ,15.782 ,10.866 ,8.742 ,1.965 ,159 ,0 ,0 ,0 ,0 ,268.561 ,268.561 ,0 ,0 ,2.320 ,113 ,41.254 ,215.774 ,6.998 ,0 ,2.103 ,27.132 ,2.095 ,2.095 ,0 ,0 ,0 ,25.038 ,25.038 ,0 ,0 ,0 ,0 ,0 ,0 ,7.636 
46.,HORJUL,1.225.013 ,334.627 ,54.515 ,9.151 ,4.361 ,3.493 ,29 ,50 ,1.218 ,263.867 ,50.104 ,250 ,44.237 ,651 ,2.533 ,107.106 ,0 ,25.797 ,2.863 ,30.325 ,0 ,0 ,0 ,0 ,0 ,7.094 ,0 ,7.094 ,0 ,429.039 ,10.149 ,0 ,10.149 ,301.815 ,0 ,10.599 ,9.318 ,0 ,0 ,281.898 ,47.417 ,47.417 ,69.659 ,0 ,7.828 ,0 ,61.830 ,0 ,0 ,0 ,373.539 ,373.539 ,0 ,0 ,8.496 ,517 ,163.383 ,87.882 ,8.546 ,0 ,104.715 ,87.807 ,0 ,0 ,0 ,0 ,0 ,87.807 ,32.132 ,55.675 ,0 ,0 ,0 ,0 ,0 ,849.470 
47.,HRASTNIK,8.808.267 ,1.619.467 ,374.011 ,65.861 ,29.770 ,23.848 ,200 ,338 ,11.705 ,1.117.117 ,298.606 ,1.740 ,118.436 ,5.283 ,2.020 ,544.458 ,9.982 ,0 ,16.274 ,120.318 ,26.644 ,0 ,0 ,26.644 ,0 ,35.833 ,0 ,35.833 ,0 ,2.207.499 ,41.229 ,0 ,41.229 ,954.599 ,0 ,0 ,14.651 ,0 ,38.658 ,901.289 ,208.033 ,208.033 ,1.003.639 ,0 ,112.669 ,3.530 ,887.439 ,0 ,0 ,0 ,4.225.855 ,4.225.855 ,133.358 ,28.977 ,16.003 ,3.647 ,3.306.364 ,181.739 ,167.931 ,0 ,387.836 ,755.446 ,682.332 ,0 ,0 ,0 ,682.332 ,73.114 ,22.734 ,46.207 ,0 ,4.173 ,0 ,0 ,0 ,-185.991 
48.,HRPELJE - KOZINA,3.261.463 ,564.914 ,176.097 ,30.567 ,14.000 ,11.225 ,96 ,159 ,5.087 ,358.250 ,41.921 ,551 ,21.749 ,0 ,7.899 ,49.282 ,259 ,0 ,8.292 ,228.297 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.339.639 ,23.448 ,6.969 ,16.479 ,383.705 ,6.343 ,0 ,0 ,0 ,0 ,377.362 ,102.762 ,102.762 ,829.724 ,180.408 ,29.010 ,8.592 ,611.713 ,0 ,0 ,0 ,1.111.113 ,1.111.113 ,0 ,0 ,20.235 ,0 ,828.476 ,0 ,89.038 ,0 ,173.364 ,245.798 ,179.448 ,0 ,6.239 ,0 ,173.210 ,66.350 ,66.350 ,0 ,0 ,0 ,0 ,0 ,0 ,124.687 
