5,BLED,3.948.239 ,3.672.459 ,3.278.889 ,2.041.725 ,2.041.725 ,805.446 ,663.433 ,0 ,14.417 ,127.596 ,431.718 ,27.078 ,0 ,0 ,404.640 ,0 ,0 ,393.570 ,179.085 ,2.612 ,2.220 ,14.922 ,159.331 ,13 ,13 ,43.920 ,43.920 ,119.972 ,119.972 ,50.580 ,50.580 ,59.619 ,57.749 ,57.707 ,0 ,42 ,0 ,0 ,0 ,0 ,1.869 ,0 ,1.869 ,0 ,3.426 ,3.426 ,3.426 ,0 ,0 ,0 ,0 ,212.736 ,212.736 ,95.577 ,0 ,0 ,117.159 
6,BLOKE,574.140 ,240.970 ,231.890 ,203.676 ,203.676 ,17.939 ,13.896 ,0 ,0 ,4.044 ,10.274 ,0 ,0 ,0 ,10.274 ,0 ,0 ,9.080 ,4.390 ,0 ,0 ,317 ,4.073 ,0 ,0 ,0 ,0 ,0 ,0 ,4.690 ,4.690 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,333.171 ,333.171 ,333.171 ,0 ,0 ,0 
7,BOHINJ,2.162.268 ,1.648.727 ,1.348.819 ,695.159 ,695.159 ,392.994 ,329.177 ,0 ,5.809 ,58.008 ,260.666 ,49.620 ,0 ,0 ,211.046 ,0 ,0 ,299.908 ,98.448 ,0 ,1.978 ,13.065 ,83.404 ,3.372 ,3.372 ,19.688 ,19.688 ,51.106 ,51.106 ,127.295 ,127.295 ,29.628 ,24.987 ,24.987 ,0 ,0 ,0 ,0 ,0 ,0 ,4.640 ,0 ,4.640 ,0 ,7.774 ,7.774 ,7.774 ,0 ,0 ,0 ,0 ,476.139 ,476.139 ,450.025 ,0 ,26.114 ,0 
8,BOROVNICA ,1.128.676 ,822.167 ,753.468 ,662.068 ,662.068 ,78.635 ,57.511 ,0 ,1.903 ,19.221 ,12.765 ,4.774 ,0 ,0 ,7.991 ,0 ,0 ,68.699 ,29.832 ,0 ,0 ,4.678 ,25.154 ,0 ,0 ,0 ,0 ,188 ,188 ,38.679 ,38.679 ,16.082 ,16.082 ,16.082 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.043 ,1.043 ,1.043 ,0 ,0 ,0 ,0 ,289.384 ,289.384 ,213.933 ,70.940 ,0 ,4.511 
9,BOVEC,2.585.612 ,899.599 ,792.322 ,474.992 ,474.992 ,128.735 ,86.647 ,0 ,10.812 ,31.276 ,188.595 ,108.863 ,0 ,0 ,79.732 ,0 ,0 ,107.278 ,60.215 ,0 ,0 ,956 ,59.260 ,0 ,0 ,0 ,0 ,0 ,0 ,47.062 ,47.062 ,186.087 ,161.805 ,161.805 ,0 ,0 ,0 ,24.282 ,0 ,24.282 ,0 ,0 ,0 ,0 ,176.970 ,176.970 ,12.465 ,164.505 ,0 ,0 ,0 ,1.322.955 ,1.322.955 ,1.228.956 ,0 ,0 ,93.999 
10,BRASLOVČE,1.314.960 ,732.954 ,688.908 ,627.299 ,627.299 ,46.207 ,31.602 ,0 ,743 ,13.862 ,15.402 ,743 ,0 ,0 ,14.659 ,0 ,0 ,44.045 ,8.838 ,0 ,0 ,751 ,8.087 ,0 ,0 ,179 ,179 ,5.049 ,5.049 ,29.978 ,29.978 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,582.006 ,582.006 ,520.969 ,61.037 ,0 ,0 
11,BRDA,1.974.049 ,1.226.698 ,1.016.888 ,911.776 ,911.776 ,93.970 ,79.340 ,0 ,3.476 ,11.154 ,11.142 ,1.723 ,0 ,426 ,8.993 ,0 ,0 ,209.811 ,152.533 ,1.882 ,0 ,1.340 ,149.311 ,0 ,0 ,547 ,547 ,10.754 ,10.754 ,45.977 ,45.977 ,41.925 ,27.533 ,27.283 ,0 ,0 ,250 ,0 ,0 ,0 ,14.392 ,263 ,14.130 ,0 ,12.999 ,12.999 ,1.356 ,11.642 ,0 ,0 ,0 ,692.426 ,692.426 ,503.647 ,172.267 ,0 ,16.512 
12,BREZOVICA,2.624.883 ,1.968.194 ,1.818.169 ,1.646.315 ,1.646.315 ,147.780 ,43.202 ,0 ,13.266 ,91.312 ,24.074 ,4.619 ,0 ,0 ,19.454 ,0 ,0 ,150.025 ,35.320 ,0 ,0 ,317 ,35.003 ,0 ,0 ,92 ,92 ,23.903 ,23.903 ,90.711 ,90.711 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,405 ,405 ,405 ,0 ,0 ,0 ,0 ,656.284 ,656.284 ,638.495 ,0 ,0 ,17.789 
13,BREŽICE,8.454.732 ,4.584.301 ,4.124.917 ,2.974.591 ,2.974.591 ,384.014 ,176.694 ,38 ,26.844 ,180.437 ,755.746 ,40.799 ,0 ,25 ,714.922 ,10.566 ,10.566 ,459.385 ,185.858 ,0 ,4.565 ,18.123 ,163.170 ,0 ,0 ,2.792 ,2.792 ,50.734 ,50.734 ,220.001 ,220.001 ,35.558 ,35.558 ,35.520 ,0 ,0 ,38 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.834.873 ,3.834.873 ,3.825.442 ,8.867 ,563 ,0 
14,CANKOVA,702.967 ,242.030 ,164.167 ,155.704 ,155.704 ,1.473 ,29 ,0 ,146 ,1.298 ,6.990 ,392 ,0 ,0 ,6.597 ,0 ,0 ,77.863 ,4.382 ,0 ,0 ,776 ,3.605 ,13 ,13 ,33 ,33 ,0 ,0 ,73.435 ,73.435 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,460.937 ,460.937 ,404.119 ,53.785 ,0 ,3.034 
