35,DUPLEK,2.041.775 ,827.783 ,723.573 ,577.053 ,577.053 ,53.134 ,31.568 ,0 ,684 ,20.881 ,93.386 ,1.193 ,0 ,63 ,92.130 ,0 ,0 ,104.210 ,58.275 ,9.397 ,0 ,17.351 ,31.526 ,275 ,275 ,1.027 ,1.027 ,0 ,0 ,44.634 ,44.634 ,132.845 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,132.845 ,0 ,67.368 ,65.477 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.081.147 ,1.081.147 ,1.081.147 ,0 ,0 ,0 
36,GORENJA VAS - POLJANE,2.567.593 ,1.032.949 ,970.531 ,700.976 ,700.976 ,240.678 ,220.243 ,0 ,7.745 ,12.690 ,28.877 ,580 ,0 ,0 ,28.297 ,0 ,0 ,62.419 ,37.043 ,0 ,1.248 ,5.016 ,30.780 ,0 ,0 ,351 ,351 ,24.282 ,24.282 ,743 ,743 ,1.740 ,935 ,622 ,0 ,313 ,0 ,0 ,0 ,0 ,805 ,0 ,805 ,0 ,215.173 ,215.173 ,0 ,215.173 ,0 ,0 ,0 ,1.317.731 ,1.317.731 ,1.317.731 ,0 ,0 ,0 
37,GORIŠNICA,2.638.266 ,1.411.054 ,1.026.093 ,445.643 ,445.643 ,315.223 ,304.519 ,0 ,1.582 ,9.122 ,265.227 ,2.404 ,0 ,3.806 ,259.018 ,0 ,0 ,384.961 ,20.218 ,0 ,0 ,267 ,19.951 ,8 ,8 ,434 ,434 ,0 ,0 ,364.301 ,364.301 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.227.212 ,1.227.212 ,1.227.212 ,0 ,0 ,0 
38,GORNJA RADGONA,4.319.567 ,2.053.893 ,1.570.114 ,1.258.671 ,1.258.671 ,189.384 ,95.376 ,0 ,3.923 ,90.085 ,122.058 ,21.995 ,0 ,0 ,100.063 ,0 ,0 ,483.780 ,238.295 ,0 ,0 ,20.364 ,217.931 ,3.943 ,3.943 ,855 ,855 ,82.052 ,82.052 ,158.634 ,158.634 ,15.736 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.736 ,0 ,15.736 ,0 ,75.563 ,75.563 ,0 ,75.563 ,0 ,0 ,0 ,2.174.374 ,2.174.374 ,2.153.977 ,20.397 ,0 ,0 
39,GORNJI GRAD,1.023.815 ,363.295 ,296.065 ,238.241 ,238.241 ,17.906 ,14.626 ,0 ,25 ,3.255 ,39.918 ,2.979 ,0 ,0 ,36.939 ,0 ,0 ,67.230 ,28.985 ,0 ,0 ,121 ,28.864 ,0 ,0 ,0 ,0 ,0 ,0 ,38.245 ,38.245 ,5.103 ,4.999 ,4.999 ,0 ,0 ,0 ,0 ,0 ,0 ,104 ,0 ,104 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,655.416 ,655.416 ,645.401 ,10.015 ,0 ,0 
40,GORNJI PETROVCI,1.135.078 ,220.706 ,170.005 ,147.893 ,147.893 ,18.307 ,17.393 ,0 ,697 ,217 ,3.806 ,154 ,0 ,0 ,3.651 ,0 ,0 ,50.701 ,14.655 ,0 ,0 ,659 ,13.996 ,0 ,0 ,0 ,0 ,0 ,0 ,36.046 ,36.046 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,125 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,914.246 ,914.246 ,867.530 ,0 ,0 ,46.716 
41,GRAD,1.070.122 ,242.914 ,102.629 ,100.142 ,100.142 ,1.586 ,509 ,0 ,734 ,342 ,901 ,188 ,0 ,0 ,714 ,0 ,0 ,140.285 ,8.830 ,0 ,0 ,1.611 ,7.219 ,0 ,0 ,0 ,0 ,0 ,0 ,131.456 ,131.456 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,827.207 ,827.207 ,747.325 ,0 ,0 ,79.882 
42,GROSUPLJE,6.560.591 ,4.867.752 ,3.572.100 ,2.828.931 ,2.828.931 ,637.832 ,461.659 ,0 ,6.005 ,170.168 ,105.337 ,22.684 ,0 ,0 ,82.653 ,0 ,0 ,1.295.652 ,131.130 ,0 ,138 ,12.064 ,118.928 ,584 ,584 ,1.728 ,1.728 ,94.458 ,94.458 ,1.067.752 ,1.067.752 ,811.884 ,171.804 ,168.503 ,3.301 ,0 ,0 ,0 ,0 ,0 ,640.081 ,3.889 ,636.192 ,0 ,131.564 ,131.564 ,23.731 ,107.833 ,0 ,0 ,0 ,749.391 ,749.391 ,749.391 ,0 ,0 ,0 
43,HAJDINA,979.548 ,721.382 ,696.032 ,478.935 ,478.935 ,207.979 ,203.956 ,0 ,142 ,3.881 ,9.118 ,463 ,0 ,1.778 ,6.877 ,0 ,0 ,25.351 ,6.668 ,0 ,0 ,2.291 ,4.377 ,0 ,0 ,0 ,0 ,1.427 ,1.427 ,17.255 ,17.255 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,258.166 ,258.166 ,258.166 ,0 ,0 ,0 
44,HOČE - SLIVNICA,2.663.224 ,1.819.087 ,1.607.132 ,1.360.578 ,1.360.578 ,231.072 ,150.063 ,0 ,2.779 ,78.230 ,15.482 ,1.218 ,0 ,0 ,14.263 ,0 ,0 ,211.955 ,82.490 ,0 ,0 ,12.648 ,69.842 ,0 ,0 ,655 ,655 ,75.430 ,75.430 ,53.380 ,53.380 ,109.731 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,109.731 ,109.731 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,734.406 ,734.406 ,734.406 ,0 ,0 ,0 
45,HODOŠ,204.640 ,36.225 ,13.787 ,12.506 ,12.506 ,29 ,29 ,0 ,0 ,0 ,1.252 ,0 ,0 ,0 ,1.252 ,0 ,0 ,22.438 ,142 ,0 ,0 ,142 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.296 ,22.296 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,388 ,388 ,388 ,0 ,0 ,0 ,0 ,168.027 ,168.027 ,132.482 ,31.948 ,0 ,3.597 
46,HORJUL,782.470 ,486.738 ,408.500 ,382.127 ,382.127 ,20.364 ,6.259 ,0 ,705 ,13.399 ,6.009 ,159 ,0 ,0 ,5.850 ,0 ,0 ,78.238 ,23.101 ,0 ,0 ,10.637 ,12.465 ,0 ,0 ,526 ,526 ,0 ,0 ,54.611 ,54.611 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,295.731 ,295.731 ,295.731 ,0 ,0 ,0 
47,HRASTNIK,4.457.290 ,2.380.926 ,2.036.179 ,1.512.239 ,1.512.239 ,488.449 ,447.379 ,0 ,4.035 ,37.035 ,35.491 ,25.472 ,0 ,0 ,10.019 ,0 ,0 ,344.746 ,297.112 ,0 ,447 ,19.759 ,276.907 ,726 ,726 ,221 ,221 ,5.053 ,5.053 ,41.633 ,41.633 ,120.059 ,82.152 ,82.152 ,0 ,0 ,0 ,0 ,0 ,0 ,37.907 ,0 ,37.907 ,0 ,545.001 ,545.001 ,0 ,545.001 ,0 ,0 ,0 ,1.411.304 ,1.411.304 ,1.357.056 ,54.248 ,0 ,0 
48,HRPELJE - KOZINA,1.680.729 ,1.304.319 ,1.227.082 ,759.009 ,759.009 ,142.017 ,107.411 ,0 ,15.260 ,19.346 ,326.056 ,76.936 ,0 ,0 ,249.120 ,0 ,0 ,77.237 ,26.256 ,3.551 ,0 ,188 ,22.517 ,513 ,513 ,0 ,0 ,3.647 ,3.647 ,46.820 ,46.820 ,88.003 ,12.335 ,12.335 ,0 ,0 ,0 ,0 ,0 ,0 ,75.668 ,0 ,75.668 ,0 ,5.913 ,1.815 ,1.815 ,0 ,4.098 ,0 ,4.098 ,282.495 ,282.495 ,281.368 ,1.127 ,0 ,0 
49,IDRIJA,4.329.031 ,3.327.979 ,2.902.904 ,2.511.872 ,2.511.872 ,311.709 ,254.006 ,0 ,13.537 ,44.166 ,79.323 ,20.539 ,0 ,0 ,58.784 ,0 ,0 ,425.075 ,259.022 ,0 ,29 ,3.518 ,255.475 ,3.000 ,3.000 ,13.549 ,13.549 ,29.064 ,29.064 ,120.439 ,120.439 ,67.418 ,54.227 ,54.227 ,0 ,0 ,0 ,0 ,0 ,0 ,13.191 ,0 ,13.191 ,0 ,10.962 ,10.962 ,10.962 ,0 ,0 ,0 ,0 ,922.672 ,922.672 ,705.596 ,137.932 ,0 ,79.144 
50,IG,1.454.056 ,1.153.751 ,966.454 ,852.600 ,852.600 ,93.190 ,36.079 ,0 ,1.444 ,55.667 ,20.664 ,1.836 ,501 ,0 ,18.327 ,0 ,0 ,187.298 ,24.299 ,0 ,0 ,8.479 ,15.820 ,4.252 ,4.252 ,1.022 ,1.022 ,55.600 ,55.600 ,102.124 ,102.124 ,4.398 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.398 ,1.915 ,2.483 ,0 ,250 ,250 ,250 ,0 ,0 ,0 ,0 ,295.656 ,295.656 ,295.656 ,0 ,0 ,0 
51,ILIRSKA BISTRICA,5.554.457 ,3.286.705 ,2.500.292 ,1.938.015 ,1.938.015 ,347.909 ,261.567 ,0 ,26.264 ,60.078 ,214.367 ,50.718 ,0 ,0 ,163.650 ,0 ,0 ,786.413 ,356.960 ,0 ,2.387 ,101.607 ,252.967 ,5.742 ,5.742 ,572 ,572 ,12.181 ,12.181 ,410.958 ,410.958 ,74.558 ,65.719 ,59.856 ,5.863 ,0 ,0 ,0 ,0 ,0 ,8.838 ,0 ,8.413 ,426 ,51.707 ,51.707 ,20.410 ,31.297 ,0 ,0 ,0 ,2.141.487 ,2.141.487 ,2.141.487 ,0 ,0 ,0 
52,IVANČNA GORICA,4.675.421 ,2.541.859 ,2.002.875 ,1.700.501 ,1.700.501 ,189.175 ,91.821 ,25 ,1.694 ,95.635 ,113.199 ,1.602 ,0 ,0 ,111.597 ,0 ,0 ,538.983 ,96.315 ,14.751 ,79 ,58.459 ,23.026 ,0 ,0 ,1.365 ,1.365 ,54.327 ,54.327 ,386.976 ,386.976 ,5.684 ,1.461 ,0 ,1.461 ,0 ,0 ,0 ,0 ,0 ,4.223 ,4.223 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.127.879 ,2.127.879 ,1.994.876 ,128.626 ,0 ,4.377 
53,IZOLA,8.158.184 ,7.037.789 ,4.405.773 ,2.835.103 ,2.835.103 ,951.020 ,588.598 ,1.244 ,4.354 ,356.823 ,619.650 ,130.934 ,0 ,0 ,488.716 ,0 ,0 ,2.632.016 ,707.873 ,0 ,223 ,232.088 ,475.562 ,54 ,54 ,47.124 ,47.124 ,133.954 ,133.954 ,1.743.011 ,1.743.011 ,307.488 ,54.750 ,53.290 ,1.461 ,0 ,0 ,0 ,0 ,0 ,252.737 ,0 ,252.737 ,0 ,14.188 ,14.188 ,14.188 ,0 ,0 ,0 ,0 ,798.719 ,798.719 ,785.474 ,9.806 ,0 ,3.439 
54,JESENICE,6.828.526 ,4.553.706 ,3.706.222 ,2.944.166 ,2.944.166 ,615.073 ,444.821 ,0 ,15.753 ,154.498 ,146.983 ,69.141 ,0 ,0 ,77.842 ,0 ,0 ,847.484 ,801.486 ,201.869 ,5.220 ,11.250 ,583.146 ,0 ,0 ,3.021 ,3.021 ,3.597 ,3.597 ,39.380 ,39.380 ,279.373 ,226.728 ,226.615 ,0 ,0 ,113 ,0 ,0 ,0 ,52.646 ,0 ,52.646 ,0 ,5.525 ,5.525 ,4.027 ,1.498 ,0 ,0 ,0 ,1.989.922 ,1.989.922 ,1.982.803 ,0 ,0 ,7.119 
55,JEZERSKO,295.981 ,156.927 ,128.630 ,99.846 ,99.846 ,9.335 ,9.322 ,0 ,13 ,0 ,19.450 ,29 ,0 ,0 ,19.421 ,0 ,0 ,28.297 ,8.446 ,0 ,280 ,438 ,7.728 ,54 ,54 ,0 ,0 ,1.385 ,1.385 ,18.411 ,18.411 ,29 ,29 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54 ,54 ,0 ,54 ,0 ,0 ,0 ,138.971 ,138.971 ,126.869 ,12.101 ,0 ,0 
56,JURŠINCI,818.269 ,197.392 ,110.115 ,96.077 ,96.077 ,4.056 ,601 ,0 ,851 ,2.604 ,9.982 ,346 ,0 ,2.124 ,7.511 ,0 ,0 ,87.277 ,3.075 ,0 ,0 ,238 ,2.838 ,0 ,0 ,0 ,0 ,0 ,0 ,84.201 ,84.201 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,620.877 ,620.877 ,620.877 ,0 ,0 ,0 
57,KAMNIK,8.558.972 ,6.258.696 ,5.332.808 ,4.101.365 ,4.101.365 ,673.965 ,249.629 ,0 ,13.696 ,410.641 ,557.478 ,68.841 ,0 ,0 ,488.637 ,0 ,0 ,925.889 ,260.804 ,3.618 ,3.902 ,88.366 ,164.918 ,1.244 ,1.244 ,54.574 ,54.574 ,74.161 ,74.161 ,535.107 ,535.107 ,220.610 ,200.284 ,200.104 ,0 ,179 ,0 ,0 ,0 ,0 ,20.326 ,7.319 ,13.007 ,0 ,69.488 ,69.488 ,1.970 ,67.518 ,0 ,0 ,0 ,2.010.178 ,2.010.178 ,2.006.781 ,3.397 ,0 ,0 
58,KANAL,2.794.758 ,2.151.819 ,1.898.738 ,1.007.357 ,1.007.357 ,683.960 ,653.593 ,0 ,13.378 ,16.988 ,207.421 ,145.133 ,0 ,244 ,62.044 ,0 ,0 ,253.081 ,181.573 ,2.370 ,0 ,10.299 ,168.904 ,0 ,0 ,83 ,83 ,61.062 ,61.062 ,10.363 ,10.363 ,29.770 ,29.770 ,29.574 ,71 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.752 ,31.752 ,0 ,31.752 ,0 ,0 ,0 ,581.418 ,581.418 ,564.806 ,0 ,0 ,16.612 
59,KIDRIČEVO,1.997.442 ,1.113.070 ,1.014.618 ,697.805 ,697.805 ,174.432 ,157.595 ,0 ,267 ,16.571 ,142.380 ,401 ,0 ,6.197 ,135.783 ,0 ,0 ,98.452 ,46.224 ,0 ,0 ,23.669 ,22.555 ,15.469 ,15.469 ,0 ,0 ,1.544 ,1.544 ,35.215 ,35.215 ,764 ,764 ,0 ,0 ,764 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,647 ,647 ,647 ,0 ,0 ,0 ,0 ,882.962 ,882.962 ,873.869 ,0 ,0 ,9.093 
60,KOBARID,2.121.549 ,1.483.191 ,849.758 ,622.763 ,622.763 ,49.871 ,38.020 ,0 ,4.887 ,6.965 ,177.124 ,158.876 ,0 ,263 ,17.985 ,0 ,0 ,633.433 ,46.920 ,0 ,0 ,8.312 ,38.608 ,0 ,0 ,0 ,0 ,0 ,0 ,586.513 ,586.513 ,9.715 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.715 ,0 ,0 ,9.715 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,628.643 ,628.643 ,628.643 ,0 ,0 ,0 
61,KOBILJE,377.508 ,136.709 ,50.092 ,45.343 ,45.343 ,2.324 ,1.244 ,0 ,8 ,1.072 ,2.424 ,0 ,0 ,0 ,2.424 ,0 ,0 ,86.617 ,1.869 ,0 ,0 ,71 ,1.799 ,0 ,0 ,0 ,0 ,0 ,0 ,84.748 ,84.748 ,939 ,939 ,0 ,0 ,939 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,239.860 ,239.860 ,239.860 ,0 ,0 ,0 
62,KOČEVJE,6.123.619 ,3.002.704 ,2.527.137 ,2.029.607 ,2.029.607 ,298.105 ,206.097 ,0 ,5.024 ,86.985 ,199.424 ,20.389 ,0 ,0 ,179.035 ,0 ,0 ,475.568 ,374.203 ,0 ,3.852 ,39.251 ,331.101 ,2.379 ,2.379 ,300 ,300 ,29.607 ,29.607 ,69.079 ,69.079 ,144.045 ,99.654 ,99.654 ,0 ,0 ,0 ,0 ,0 ,0 ,44.392 ,192 ,44.200 ,0 ,29.745 ,12.231 ,3.885 ,8.346 ,17.514 ,17.514 ,0 ,2.947.125 ,2.947.125 ,2.769.041 ,0 ,0 ,178.084 
63,KOMEN,1.348.940 ,856.364 ,824.962 ,654.678 ,654.678 ,42.535 ,30.179 ,0 ,6.172 ,6.184 ,127.750 ,110.541 ,0 ,0 ,17.209 ,0 ,0 ,31.401 ,23.740 ,0 ,2.804 ,5.462 ,15.473 ,317 ,317 ,0 ,0 ,209 ,209 ,7.136 ,7.136 ,4.131 ,4.131 ,4.131 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,56.063 ,42.301 ,16.587 ,25.714 ,13.762 ,13.762 ,0 ,432.382 ,432.382 ,432.382 ,0 ,0 ,0 
64,KOMENDA,1.328.956 ,1.013.111 ,872.989 ,770.088 ,770.088 ,43.465 ,16.387 ,0 ,839 ,26.239 ,59.293 ,797 ,0 ,0 ,58.496 ,142 ,142 ,140.123 ,21.236 ,0 ,559 ,4.448 ,16.229 ,296 ,296 ,0 ,0 ,0 ,0 ,118.590 ,118.590 ,843 ,843 ,843 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,315.002 ,315.002 ,307.808 ,0 ,0 ,7.194 
65,KOPER (M),22.850.109 ,20.460.637 ,15.867.889 ,9.690.340 ,9.690.340 ,4.898.940 ,3.955.070 ,159 ,34.318 ,909.393 ,1.278.610 ,518.298 ,0 ,0 ,760.311 ,0 ,0 ,4.592.747 ,1.959.485 ,0 ,466.967 ,80.049 ,1.412.469 ,14.505 ,14.505 ,67.635 ,67.635 ,31.168 ,31.168 ,2.519.955 ,2.519.955 ,1.388.253 ,788.595 ,788.082 ,376 ,138 ,0 ,0 ,0 ,0 ,599.658 ,0 ,599.658 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,997.046 ,997.046 ,899.683 ,0 ,0 ,97.363 
66,KOSTEL,394.049 ,125.238 ,83.095 ,74.491 ,74.491 ,2.704 ,1.986 ,0 ,0 ,718 ,5.901 ,0 ,0 ,0 ,5.901 ,0 ,0 ,42.142 ,1.269 ,0 ,0 ,13 ,1.256 ,159 ,159 ,0 ,0 ,5.446 ,5.446 ,35.270 ,35.270 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.669 ,1.669 ,0 ,1.669 ,0 ,0 ,0 ,267.142 ,267.142 ,267.142 ,0 ,0 ,0 
67,KOZJE,1.535.583 ,441.946 ,369.266 ,277.921 ,277.921 ,45.961 ,38.303 ,17 ,1.264 ,6.376 ,45.385 ,447 ,0 ,0 ,44.938 ,0 ,0 ,72.680 ,584 ,0 ,0 ,455 ,129 ,88 ,88 ,472 ,472 ,0 ,0 ,71.536 ,71.536 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.093.636 ,1.093.636 ,1.093.636 ,0 ,0 ,0 
68,KRANJ (M),16.169.475 ,14.574.478 ,12.718.211 ,10.121.607 ,10.121.607 ,2.294.634 ,1.652.675 ,0 ,33.116 ,608.842 ,301.970 ,157.202 ,0 ,0 ,144.767 ,0 ,0 ,1.856.268 ,1.258.701 ,0 ,24.061 ,215.548 ,1.019.091 ,0 ,0 ,80.671 ,80.671 ,180.901 ,180.901 ,335.996 ,335.996 ,576.185 ,570.406 ,567.313 ,2.733 ,359 ,0 ,0 ,0 ,0 ,5.780 ,0 ,5.780 ,0 ,10.361 ,10.361 ,10.361 ,0 ,0 ,0 ,0 ,1.008.450 ,1.008.450 ,968.478 ,0 ,0 ,39.972 
69,KRANJSKA GORA,3.354.561 ,3.038.291 ,2.551.027 ,1.099.921 ,1.099.921 ,619.291 ,480.416 ,0 ,1.957 ,136.918 ,831.814 ,416.212 ,0 ,0 ,415.603 ,0 ,0 ,487.264 ,239.296 ,18.778 ,36.033 ,14.113 ,170.372 ,0 ,0 ,259 ,259 ,15.482 ,15.482 ,232.228 ,232.228 ,130.996 ,57.044 ,57.044 ,0 ,0 ,0 ,0 ,0 ,0 ,73.953 ,5.475 ,68.478 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,185.274 ,185.274 ,185.274 ,0 ,0 ,0 
70,KRIŽEVCI,1.400.972 ,966.345 ,824.762 ,365.052 ,365.052 ,60.937 ,14.918 ,0 ,1.077 ,44.942 ,398.773 ,142 ,0 ,0 ,398.631 ,0 ,0 ,141.583 ,14.163 ,0 ,0 ,46 ,14.117 ,376 ,376 ,0 ,0 ,25.384 ,25.384 ,101.661 ,101.661 ,1.135 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.135 ,0 ,1.135 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,433.492 ,433.492 ,404.281 ,8.346 ,0 ,20.865 
71,KRŠKO,10.395.706 ,8.898.339 ,6.424.366 ,3.742.468 ,3.742.468 ,2.528.651 ,2.350.367 ,0 ,13.625 ,164.659 ,153.247 ,30.166 ,0 ,0 ,123.080 ,0 ,0 ,2.473.973 ,363.908 ,11.955 ,3.075 ,11.763 ,337.114 ,6.134 ,6.134 ,868 ,868 ,80.467 ,80.467 ,2.022.596 ,2.022.596 ,613.441 ,177.821 ,169.166 ,7.624 ,1.031 ,0 ,0 ,0 ,0 ,435.620 ,332.432 ,103.188 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,883.926 ,883.926 ,838.295 ,4.357 ,0 ,41.274 
72,KUNGOTA,1.691.863 ,743.165 ,587.619 ,452.508 ,452.508 ,90.315 ,70.631 ,0 ,1.753 ,17.931 ,44.796 ,1.920 ,0 ,0 ,42.877 ,0 ,0 ,155.546 ,45.944 ,3.872 ,0 ,1.444 ,40.628 ,689 ,689 ,138 ,138 ,0 ,0 ,108.776 ,108.776 ,626 ,584 ,584 ,0 ,0 ,0 ,0 ,0 ,0 ,42 ,0 ,42 ,0 ,83.742 ,83.742 ,63.625 ,20.118 ,0 ,0 ,0 ,864.330 ,864.330 ,695.126 ,169.204 ,0 ,0 
73,KUZMA,670.735 ,182.774 ,75.714 ,70.710 ,70.710 ,1.035 ,509 ,0 ,0 ,526 ,3.968 ,54 ,0 ,0 ,3.914 ,0 ,0 ,107.061 ,10.883 ,0 ,0 ,918 ,9.965 ,359 ,359 ,396 ,396 ,989 ,989 ,94.433 ,94.433 ,2.287 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.287 ,0 ,2.287 ,0 ,2.441 ,2.441 ,0 ,2.441 ,0 ,0 ,0 ,483.233 ,483.233 ,432.599 ,0 ,0 ,50.634 
74,LAŠKO,5.131.234 ,2.789.367 ,2.518.198 ,2.211.697 ,2.211.697 ,200.714 ,127.295 ,0 ,2.959 ,70.460 ,105.788 ,35.754 ,0 ,1.953 ,68.081 ,0 ,0 ,271.169 ,55.262 ,0 ,221 ,35.729 ,19.312 ,1.164 ,1.164 ,805 ,805 ,103.234 ,103.234 ,110.704 ,110.704 ,102.374 ,81.209 ,79.895 ,0 ,1.314 ,0 ,0 ,0 ,0 ,21.165 ,0 ,21.165 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.239.493 ,2.239.493 ,2.239.493 ,0 ,0 ,0 
75,LENART,4.086.242 ,1.866.758 ,1.426.027 ,1.121.474 ,1.121.474 ,203.877 ,121.849 ,0 ,705 ,81.322 ,100.676 ,15.135 ,0 ,0 ,85.541 ,0 ,0 ,440.732 ,132.240 ,11.046 ,0 ,28.827 ,92.368 ,0 ,0 ,931 ,931 ,263 ,263 ,307.298 ,307.298 ,213.224 ,48.239 ,48.239 ,0 ,0 ,0 ,0 ,0 ,0 ,164.985 ,0 ,164.985 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.006.259 ,2.006.259 ,2.006.259 ,0 ,0 ,0 
76,LENDAVA,4.095.214 ,1.872.379 ,1.776.244 ,1.552.278 ,1.552.278 ,104.632 ,49.896 ,4 ,5.909 ,48.823 ,119.333 ,27.875 ,0 ,0 ,91.458 ,0 ,0 ,96.136 ,53.343 ,0 ,0 ,2.078 ,51.264 ,0 ,0 ,1.018 ,1.018 ,13.099 ,13.099 ,28.676 ,28.676 ,62.389 ,48.999 ,48.999 ,0 ,0 ,0 ,175 ,0 ,175 ,13.216 ,0 ,13.216 ,0 ,50.476 ,0 ,0 ,0 ,50.476 ,0 ,50.476 ,2.109.969 ,2.109.969 ,2.084.827 ,4.173 ,0 ,20.969 
77,LITIJA,6.462.869 ,3.491.846 ,3.167.960 ,2.521.587 ,2.521.587 ,444.725 ,329.044 ,0 ,11.684 ,103.998 ,201.648 ,15.607 ,0 ,0 ,186.042 ,0 ,0 ,323.886 ,34.414 ,0 ,613 ,818 ,32.983 ,1.531 ,1.531 ,1.202 ,1.202 ,8.888 ,8.888 ,277.850 ,277.850 ,141.963 ,111.087 ,109.448 ,0 ,1.640 ,0 ,0 ,0 ,0 ,30.875 ,0 ,30.875 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.829.060 ,2.829.060 ,2.807.140 ,10.929 ,0 ,10.991 
78,LJUBLJANA (M),136.794.801 ,133.961.609 ,108.222.400 ,77.849.140 ,77.849.140 ,29.164.639 ,19.062.656 ,4.465 ,416.007 ,9.681.510 ,1.208.621 ,902.049 ,0 ,2.445 ,304.127 ,0 ,0 ,25.739.209 ,8.008.571 ,0 ,537.686 ,1.093.999 ,6.376.886 ,1.040.761 ,1.040.761 ,565.436 ,565.436 ,104.010 ,104.010 ,16.020.431 ,16.020.431 ,1.997.621 ,1.997.621 ,1.997.254 ,0 ,367 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,67.076 ,57.979 ,21.353 ,36.626 ,9.097 ,9.097 ,0 ,768.494 ,768.494 ,768.494 ,0 ,0 ,0 
79,LJUBNO,1.267.714 ,466.608 ,304.019 ,258.909 ,258.909 ,27.762 ,17.973 ,0 ,3.822 ,5.967 ,17.347 ,438 ,0 ,0 ,16.909 ,0 ,0 ,162.590 ,32.691 ,0 ,0 ,1.118 ,31.572 ,0 ,0 ,146 ,146 ,28.626 ,28.626 ,101.127 ,101.127 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.444 ,15.444 ,0 ,15.444 ,0 ,0 ,0 ,785.662 ,785.662 ,785.662 ,0 ,0 ,0 
80,LJUTOMER,4.205.091 ,2.149.779 ,1.700.472 ,1.292.539 ,1.292.539 ,221.724 ,110.119 ,0 ,7.737 ,103.868 ,186.208 ,23.126 ,0 ,0 ,163.082 ,0 ,0 ,449.307 ,192.313 ,4.657 ,0 ,10.699 ,176.957 ,1.844 ,1.844 ,0 ,0 ,19.342 ,19.342 ,235.808 ,235.808 ,48.623 ,743 ,743 ,0 ,0 ,0 ,0 ,0 ,0 ,47.880 ,0 ,47.880 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.006.689 ,2.006.689 ,1.986.659 ,20.030 ,0 ,0 
