,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009,FI
6.,BLOKE,83.459 ,83.459 ,83.459 ,0 ,0 ,0 ,84.081 ,84.081 ,84.081 ,0 ,0 ,0 ,100.116 ,-623 ,-101.725 ,6.017 ,6.017 ,0 
7.,BOHINJ,0 ,0 ,0 ,0 ,0 ,0 ,64.284 ,64.284 ,0 ,20.865 ,43.419 ,0 ,227.320 ,-64.284 ,-287.089 ,845.155 ,845.155 ,25.609 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,155.992 ,0 ,-152.879 ,922.843 ,922.843 ,66.454 
9.,BOVEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,252.412 ,0 ,-283.413 ,247.680 ,247.680 ,36.688 
10.,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.769 ,0 ,-18.761 ,283.475 ,283.475 ,21.753 
11.,BRDA,0 ,0 ,0 ,0 ,0 ,0 ,30.830 ,30.830 ,30.830 ,0 ,0 ,0 ,81.547 ,-30.830 ,-115.148 ,330.295 ,330.295 ,29.060 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,221.461 ,0 ,-221.461 ,734.005 ,734.005 ,160.240 
13.,BREŽICE,0 ,0 ,0 ,0 ,0 ,0 ,70.835 ,70.835 ,23.844 ,0 ,46.991 ,0 ,394.129 ,-70.835 ,-497.813 ,256.948 ,256.948 ,0 
14.,CANKOVA,172.212 ,172.212 ,172.212 ,0 ,0 ,0 ,185.783 ,185.783 ,185.783 ,0 ,0 ,0 ,61.394 ,-13.570 ,-72.204 ,170.873 ,170.873 ,0 
15.,MESTNA OBČINA CELJE,0 ,0 ,0 ,0 ,0 ,0 ,501.878 ,501.878 ,501.878 ,0 ,0 ,0 ,1.001.657 ,-501.878 ,-873.965 ,837.631 ,837.631 ,0 
16.,CERKLJE NA GORENJSKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,705.671 ,0 ,-654.845 ,392.735 ,392.735 ,67.226 
17.,CERKNICA,0 ,0 ,0 ,0 ,0 ,0 ,250.376 ,250.376 ,0 ,0 ,250.376 ,0 ,221.329 ,-250.376 ,-471.705 ,7.010 ,7.010 ,0 
18.,CERKNO,0 ,0 ,0 ,0 ,0 ,0 ,3.505 ,3.505 ,0 ,0 ,3.505 ,0 ,356.946 ,-3.505 ,-354.026 ,140.615 ,140.615 ,21.549 
19.,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,19.688 ,19.688 ,19.688 ,0 ,0 ,0 ,46.480 ,-19.688 ,-66.168 ,56.748 ,56.748 ,1.690 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-106.385 ,0 ,106.385 ,317.843 ,317.843 ,10.457 
21.,ČRNA NA KOROŠKEM,181.113 ,181.113 ,181.113 ,0 ,0 ,0 ,120.514 ,120.514 ,120.514 ,0 ,0 ,0 ,-4.402 ,60.599 ,61.300 ,13.266 ,13.266 ,12.210 
22.,ČRNOMELJ,312.748 ,312.748 ,0 ,312.748 ,0 ,0 ,463.070 ,463.070 ,0 ,312.711 ,150.359 ,0 ,93.645 ,-150.321 ,-245.005 ,313.654 ,313.654 ,84.932 
23.,DESTRNIK,0 ,0 ,0 ,0 ,0 ,0 ,16.191 ,16.191 ,16.191 ,0 ,0 ,0 ,-111.496 ,-16.191 ,95.305 ,350.104 ,350.104 ,0 
24.,DIVAČA,50.075 ,50.075 ,50.075 ,0 ,0 ,0 ,2.729 ,2.729 ,2.729 ,0 ,0 ,0 ,230.254 ,47.346 ,-182.908 ,570.456 ,570.456 ,32.436 
25.,DOBJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.442 ,0 ,-128.927 ,39.363 ,39.363 ,2.074 
26.,DOBREPOLJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45.389 ,0 ,-29.586 ,768.749 ,768.749 ,14.363 
27.,DOBRNA,0 ,0 ,0 ,0 ,0 ,0 ,12.410 ,12.410 ,12.410 ,0 ,0 ,0 ,61.484 ,-12.410 ,-73.894 ,110.220 ,110.220 ,8.000 
28.,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,374.266 ,0 ,-374.266 ,646.804 ,646.804 ,0 
29.,DOBROVNIK,779.110 ,779.110 ,779.110 ,0 ,0 ,0 ,798.623 ,798.623 ,779.110 ,0 ,19.513 ,0 ,-283.801 ,-19.513 ,264.288 ,50.943 ,50.943 ,0 
30.,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-173.928 ,0 ,173.928 ,660.674 ,660.674 ,0 
31.,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-61.171 ,0 ,52.020 ,86.776 ,86.776 ,0 
32.,DOMŽALE,0 ,0 ,0 ,0 ,0 ,0 ,178.355 ,178.355 ,152.639 ,0 ,25.716 ,0 ,2.630.785 ,-178.355 ,-2.535.412 ,6.726.782 ,6.726.782 ,0 
33.,DORNAVA,312.969 ,312.969 ,0 ,0 ,312.969 ,0 ,10.609 ,10.609 ,0 ,0 ,10.609 ,0 ,286.502 ,302.360 ,15.858 ,302.360 ,302.360 ,0 
34.,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-191.196 ,0 ,191.196 ,81.251 ,81.251 ,16.633 
35.,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,30.880 ,30.880 ,30.880 ,0 ,0 ,0 ,253.835 ,-30.880 ,-284.715 ,127.270 ,127.270 ,0 
36.,GORENJA VAS - POLJANE,20.566 ,20.566 ,20.566 ,0 ,0 ,0 ,25.038 ,25.038 ,25.038 ,0 ,0 ,0 ,359.095 ,-4.471 ,-370.243 ,155.529 ,155.529 ,11.017 
37.,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-200.096 ,0 ,200.096 ,236.534 ,236.534 ,0 
38.,GORNJA RADGONA,0 ,0 ,0 ,0 ,0 ,0 ,53.651 ,53.651 ,53.651 ,0 ,0 ,0 ,-64.200 ,-53.651 ,50.179 ,544.855 ,544.855 ,84.414 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,11.004 ,11.004 ,11.004 ,0 ,0 ,0 ,4.369 ,-11.004 ,-15.373 ,1.235 ,1.235 ,0 
40.,GORNJI PETROVCI,187.782 ,187.782 ,41.729 ,0 ,146.052 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.811 ,187.782 ,185.971 ,20.643 ,20.643 ,0 
41.,GRAD,0 ,0 ,0 ,0 ,0 ,0 ,17.993 ,17.993 ,17.993 ,0 ,0 ,0 ,-72.691 ,-17.993 ,56.236 ,113.099 ,113.099 ,0 
42.,GROSUPLJE,0 ,0 ,0 ,0 ,0 ,0 ,138.516 ,138.516 ,119.304 ,0 ,19.212 ,0 ,-453.009 ,-138.516 ,361.526 ,1.880.880 ,1.880.880 ,197.021 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.982 ,0 ,-12.982 ,-960 ,-960 ,0 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,229.511 ,229.511 ,229.511 ,0 ,0 ,0 ,158.771 ,-229.511 ,-388.282 ,184.786 ,184.786 ,0 
45.,HODOŠ,41.729 ,41.729 ,0 ,0 ,41.729 ,0 ,10.036 ,10.036 ,10.036 ,0 ,0 ,0 ,-935 ,31.693 ,32.628 ,6.656 ,6.656 ,0 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,919.244 ,0 ,-409.254 ,1.010.474 ,1.010.474 ,35.724 
47.,HRASTNIK,0 ,0 ,0 ,0 ,0 ,0 ,61.722 ,61.722 ,0 ,0 ,61.722 ,0 ,144.087 ,-61.722 ,-156.885 ,681.935 ,681.935 ,38.395 
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,296.261 ,0 ,-296.261 ,0 ,0 ,0 
49.,IDRIJA,811.859 ,811.859 ,811.859 ,0 ,0 ,0 ,251.869 ,251.869 ,152.020 ,0 ,99.850 ,0 ,47.763 ,559.990 ,571.044 ,739.902 ,739.902 ,57.265 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-398.195 ,0 ,398.195 ,1.297.646 ,1.297.646 ,-41.320 
51.,ILIRSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,20.589 ,20.589 ,11.567 ,0 ,9.022 ,0 ,-421.290 ,-20.589 ,408.125 ,2.048.398 ,2.048.398 ,0 
52.,IVANČNA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,3.209 ,3.209 ,0 ,0 ,3.209 ,0 ,887.047 ,-3.209 ,-843.202 ,2.290.073 ,2.290.073 ,100.017 
53.,IZOLA,1.728.030 ,1.728.030 ,0 ,0 ,1.728.030 ,0 ,26.419 ,26.419 ,6.539 ,0 ,19.880 ,0 ,-584.573 ,1.701.611 ,2.478.555 ,1.204.386 ,1.204.386 ,0 
54.,JESENICE,709.581 ,709.581 ,709.581 ,0 ,0 ,0 ,18.240 ,18.240 ,0 ,0 ,18.240 ,0 ,2.010.641 ,691.341 ,-1.317.689 ,1.572.722 ,1.572.722 ,0 
55.,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59.068 ,0 ,-57.812 ,45.948 ,45.948 ,0 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.791 ,0 ,21.324 ,27.028 ,27.028 ,2.675 
57.,KAMNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-37.865 ,0 ,40.102 ,0 ,0 ,0 
58.,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-558.517 ,0 ,592.312 ,817.564 ,817.564 ,0 
59.,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.467 ,0 ,-4.081 ,-371.657 ,-371.657 ,21.991 
60.,KOBARID,0 ,0 ,0 ,0 ,0 ,0 ,189.885 ,189.885 ,189.885 ,0 ,0 ,0 ,8.312 ,-189.885 ,-163.045 ,-1.039 ,-1.039 ,0 
61.,KOBILJE,10.717 ,10.717 ,10.717 ,0 ,0 ,0 ,22.899 ,22.899 ,22.899 ,0 ,0 ,0 ,11.455 ,-12.182 ,-23.636 ,0 ,0 ,0 
62.,KOČEVJE,0 ,0 ,0 ,0 ,0 ,0 ,164.797 ,164.797 ,164.797 ,0 ,0 ,0 ,-209.573 ,-164.797 ,44.776 ,954.031 ,954.031 ,0 
63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,71.695 ,0 ,-71.695 ,0 ,0 ,0 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.489.789 ,0 ,1.094.367 ,1.742.864 ,1.742.864 ,51.256 
65.,MESTNA OBČINA KOPER,0 ,0 ,0 ,0 ,0 ,0 ,98.560 ,98.560 ,86.939 ,0 ,11.622 ,0 ,9.216.521 ,-98.560 ,-9.072.162 ,10.180.416 ,10.180.416 ,0 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,868 ,0 ,-868 ,789 ,789 ,0 
67.,KOZJE,50.075 ,50.075 ,50.075 ,0 ,0 ,0 ,11.075 ,11.075 ,0 ,0 ,11.075 ,0 ,18.561 ,39.000 ,20.439 ,33.972 ,33.972 ,0 
68.,MESTNA OBČINA KRANJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.687.114 ,0 ,2.031.435 ,3.810.428 ,3.810.428 ,0 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-422.152 ,0 ,-120.328 ,1.380.304 ,1.380.304 ,84.118 
70.,KRIŽEVCI,23.510 ,23.510 ,0 ,0 ,23.510 ,0 ,6.067 ,6.067 ,0 ,0 ,6.067 ,0 ,199.456 ,17.443 ,-182.013 ,501.652 ,501.652 ,0 
71.,KRŠKO,667.668 ,667.668 ,667.668 ,0 ,0 ,0 ,1.402.182 ,1.402.182 ,420.235 ,959.773 ,22.175 ,0 ,1.179.469 ,-734.514 ,-2.061.154 ,162.335 ,162.335 ,130.291 
72.,KUNGOTA,0 ,0 ,0 ,0 ,0 ,0 ,15.891 ,15.891 ,0 ,2.934 ,12.957 ,0 ,90.457 ,-15.891 ,-106.347 ,5.684 ,5.684 ,0 
73.,KUZMA,417.293 ,417.293 ,0 ,0 ,417.293 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,112.827 ,417.293 ,308.393 ,1.048.145 ,1.048.145 ,0 
74.,LAŠKO,173.264 ,173.264 ,0 ,173.264 ,0 ,0 ,125.926 ,125.926 ,114.338 ,0 ,11.588 ,0 ,519.125 ,47.338 ,-360.628 ,260.328 ,260.328 ,49.841 
75.,LENART,874.825 ,874.825 ,874.825 ,0 ,0 ,0 ,85.612 ,85.612 ,63.136 ,0 ,22.475 ,0 ,569.258 ,789.213 ,219.955 ,-815.302 ,-815.302 ,35.545 
76.,LENDAVA,0 ,0 ,0 ,0 ,0 ,0 ,18.396 ,18.396 ,0 ,0 ,18.396 ,0 ,82.138 ,-18.396 ,-200.941 ,4.223.556 ,4.223.556 ,50.906 
77.,LITIJA,0 ,0 ,0 ,0 ,0 ,0 ,85.462 ,85.462 ,69.083 ,0 ,16.379 ,0 ,-20.072 ,-85.462 ,-71.111 ,1.662.210 ,1.662.210 ,88.107 
78.,MESTNA OBČINA LJUBLJANA,0 ,0 ,0 ,0 ,0 ,0 ,1.620.414 ,1.620.414 ,1.288.128 ,0 ,332.286 ,0 ,29.627.074 ,-1.620.414 ,-20.987.043 ,2.479.052 ,2.479.052 ,0 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.649 ,0 ,-29.649 ,0 ,0 ,0 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,100.092 ,100.092 ,100.092 ,0 ,0 ,0 ,-64.370 ,-100.092 ,-35.721 ,1.083.216 ,1.083.216 ,47.859 
81.,LOGATEC,167.209 ,167.209 ,167.209 ,0 ,0 ,0 ,93.468 ,93.468 ,24.453 ,0 ,69.015 ,0 ,574.771 ,73.741 ,-501.030 ,239.530 ,239.530 ,0 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,4.730 ,4.730 ,0 ,0 ,4.730 ,0 ,47.029 ,-4.730 ,-49.043 ,25.309 ,25.309 ,10.674 
83.,LOŠKI POTOK,0 ,0 ,0 ,0 ,0 ,0 ,15.648 ,15.648 ,0 ,0 ,15.648 ,0 ,39.968 ,-15.648 ,-55.617 ,3.489 ,3.489 ,0 
84.,LOVRENC NA POHORJU,417.293 ,417.293 ,0 ,0 ,417.293 ,0 ,2.863 ,2.863 ,0 ,0 ,2.863 ,0 ,-493.490 ,414.430 ,907.920 ,750.238 ,750.238 ,10.516 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-29.357 ,0 ,29.357 ,117.747 ,117.747 ,4.594 
86.,LUKOVICA,147.229 ,147.229 ,0 ,0 ,147.229 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.665.406 ,147.229 ,-1.093.073 ,276.231 ,276.231 ,32.820 
87.,MAJŠPERK,1.482.394 ,1.482.394 ,0 ,0 ,1.482.394 ,0 ,404.774 ,404.774 ,0 ,0 ,404.774 ,0 ,81.422 ,1.077.621 ,1.022.722 ,803.839 ,803.839 ,0 
88.,MESTNA OBČINA MARIBOR,1.236.117 ,1.236.117 ,1.236.117 ,0 ,0 ,0 ,304.415 ,304.415 ,295.589 ,0 ,8.826 ,0 ,7.658.075 ,931.702 ,-6.702.137 ,4.146.557 ,4.146.557 ,0 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,72.997 ,0 ,-68.252 ,0 ,0 ,0 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,43.816 ,43.816 ,43.816 ,0 ,0 ,0 ,319.162 ,-43.816 ,-362.978 ,-35.374 ,-35.374 ,0 
91.,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,180.816 ,0 ,-175.556 ,0 ,0 ,0 
92.,METLIKA,0 ,0 ,0 ,0 ,0 ,0 ,87.590 ,87.590 ,43.766 ,43.824 ,0 ,0 ,-89.568 ,-87.590 ,9.890 ,413.637 ,413.637 ,0 
93.,MEŽICA,96.048 ,96.048 ,96.048 ,0 ,0 ,0 ,83.459 ,83.459 ,83.459 ,0 ,0 ,0 ,-452.303 ,12.590 ,455.045 ,533.279 ,533.279 ,17.101 
94.,MIKLAVŽ NA DRAVSKEM POLJU,388.082 ,388.082 ,0 ,0 ,388.082 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,128.230 ,388.082 ,259.852 ,-1.736.688 ,-1.736.688 ,22.409 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,292 ,0 ,18.357 ,32.378 ,32.378 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74.950 ,0 ,-75.138 ,398.865 ,398.865 ,0 
97.,MISLINJA,39.317 ,39.317 ,39.317 ,0 ,0 ,0 ,1.206 ,1.206 ,0 ,0 ,1.206 ,0 ,-98.656 ,38.111 ,136.768 ,17.651 ,17.651 ,0 
98.,MORAVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,264.822 ,0 ,-258.600 ,87.285 ,87.285 ,0 
99.,MORAVSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,127.737 ,127.737 ,102.700 ,0 ,25.038 ,0 ,156.927 ,-127.737 ,-283.008 ,408.613 ,408.613 ,46.052 
100.,MOZIRJE,217.268 ,217.268 ,204.473 ,0 ,12.794 ,0 ,10.357 ,10.357 ,0 ,0 ,10.357 ,0 ,118.194 ,206.910 ,88.716 ,5.283 ,5.283 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,692.706 ,692.706 ,692.706 ,0 ,0 ,0 ,154.110 ,154.110 ,74.061 ,0 ,80.049 ,0 ,863.817 ,538.595 ,-325.522 ,371.970 ,371.970 ,106.255 
102.,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,13.374 ,13.374 ,0 ,0 ,13.374 ,0 ,-11.079 ,-13.374 ,-1.561 ,15.356 ,15.356 ,14.113 
103.,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.131.609 ,0 ,1.143.959 ,1.150.245 ,1.150.245 ,38.065 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,58.767 ,58.767 ,58.767 ,0 ,0 ,0 ,84.777 ,-58.767 ,-143.544 ,0 ,0 ,0 
105.,MESTNA OBČINA NOVA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.349.028 ,0 ,-1.221.862 ,375.851 ,375.851 ,0 
106.,MESTNA OBČINA NOVO MESTO,0 ,0 ,0 ,0 ,0 ,0 ,311.768 ,311.768 ,311.768 ,0 ,0 ,0 ,204.636 ,-311.768 ,-649.825 ,45.051 ,45.051 ,0 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,11.254 ,11.254 ,11.254 ,0 ,0 ,0 ,695.810 ,-11.254 ,-688.585 ,32.745 ,32.745 ,2.328 
108.,OPLOTNICA,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,47.292 ,47.292 ,47.292 ,0 ,0 ,0 ,181.723 ,-26.427 ,-208.150 ,94.362 ,94.362 ,0 
109.,ORMOŽ,424.065 ,424.065 ,173.176 ,0 ,250.889 ,0 ,320.760 ,320.760 ,272.546 ,0 ,48.214 ,0 ,564.676 ,103.305 ,-429.757 ,0 ,0 ,0 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,378.986 ,0 ,-378.986 ,186.296 ,186.296 ,0 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,1.168 ,1.168 ,1.168 ,0 ,0 ,0 ,1.023.097 ,-1.168 ,-1.024.266 ,0 ,0 ,0 
112.,PIRAN,570.969 ,570.969 ,570.969 ,0 ,0 ,0 ,41.700 ,41.700 ,41.700 ,0 ,0 ,0 ,-191.450 ,529.269 ,758.275 ,1.990.507 ,1.990.507 ,0 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-90.090 ,0 ,90.090 ,114.847 ,114.847 ,0 
114.,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,2.003 ,2.003 ,0 ,0 ,2.003 ,0 ,296.198 ,-2.003 ,-296.970 ,143.874 ,143.874 ,6.994 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,45.024 ,45.024 ,0 ,45.024 ,0 ,0 ,-18.938 ,-45.024 ,-40.691 ,0 ,0 ,0 
116.,PODVELKA,171.962 ,171.962 ,0 ,0 ,171.962 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,250.267 ,171.962 ,-50.230 ,0 ,0 ,151.924 
117.,POLZELA,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,17.151 ,17.151 ,13.942 ,0 ,3.209 ,0 ,17.339 ,37.097 ,21.086 ,41.721 ,41.721 ,0 
118.,POSTOJNA,0 ,0 ,0 ,0 ,0 ,0 ,193.761 ,193.761 ,63.107 ,0 ,130.654 ,0 ,366.241 ,-193.761 ,-560.224 ,94.354 ,94.354 ,111.926 
119.,PREBOLD,83.454 ,83.454 ,83.454 ,0 ,0 ,0 ,90.615 ,90.615 ,2.796 ,0 ,87.819 ,0 ,85.207 ,-7.161 ,-92.368 ,0 ,0 ,0 
120.,PREDDVOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-119.354 ,0 ,132.503 ,171.023 ,171.023 ,33.400 
121.,PREVALJE,69.517 ,69.517 ,0 ,0 ,69.517 ,0 ,28.647 ,28.647 ,27.821 ,0 ,826 ,0 ,167.284 ,40.870 ,-126.415 ,188.562 ,188.562 ,25.968 
122.,MESTNA OBČINA PTUJ,443.081 ,443.081 ,0 ,0 ,443.081 ,0 ,22.976 ,22.976 ,0 ,0 ,22.976 ,0 ,437.101 ,420.105 ,183.108 ,33.688 ,33.688 ,0 
123.,PUCONCI,0 ,0 ,0 ,0 ,0 ,0 ,45.202 ,45.202 ,0 ,0 ,45.202 ,0 ,786.277 ,-45.202 ,-828.085 ,282.465 ,282.465 ,0 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,292 ,292 ,292 ,0 ,0 ,0 ,517.973 ,-292 ,-518.265 ,805.704 ,805.704 ,0 
125.,RADEČE,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,39.251 ,-20.865 ,-60.115 ,0 ,0 ,0 
126.,RADENCI,0 ,0 ,0 ,0 ,0 ,0 ,37.008 ,37.008 ,37.008 ,0 ,0 ,0 ,-192.725 ,-37.008 ,155.108 ,175.918 ,175.918 ,0 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,23.348 ,23.348 ,16.692 ,6.656 ,0 ,0 ,-29.223 ,-23.348 ,26.047 ,263 ,263 ,0 
128.,RADOVLJICA,0 ,0 ,0 ,0 ,0 ,0 ,173.118 ,173.118 ,173.118 ,0 ,0 ,0 ,-442.944 ,-173.118 ,569.947 ,589.134 ,589.134 ,142.768 
