25.,DOBJE,503.038 ,189.326 ,156.360 ,136.680 ,136.680 ,17.935 ,15.628 ,0 ,417 ,1.890 ,1.744 ,0 ,0 ,1.744 ,0 ,0 ,32.966 ,50 ,0 ,50 ,0 ,634 ,634 ,0 ,0 ,20.435 ,20.435 ,11.847 ,11.847 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42 ,42 ,0 ,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,313.671 ,313.671 ,313.671 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
26.,DOBREPOLJE,2.237.552 ,1.275.017 ,1.027.817 ,746.253 ,746.253 ,151.456 ,118.444 ,117 ,3.605 ,29.290 ,130.108 ,459 ,0 ,129.649 ,0 ,0 ,247.200 ,84.443 ,0 ,29.448 ,54.995 ,10.407 ,10.407 ,2.366 ,2.366 ,1.753 ,1.753 ,148.231 ,148.231 ,33.179 ,0 ,0 ,0 ,0 ,0 ,0 ,33.179 ,0 ,33.179 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,929.357 ,929.357 ,929.357 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
27.,DOBRNA,1.405.471 ,842.434 ,552.379 ,392.155 ,392.155 ,50.159 ,37.752 ,0 ,5.529 ,6.877 ,110.065 ,697 ,0 ,109.368 ,0 ,0 ,290.056 ,65.961 ,0 ,2.053 ,63.908 ,1.957 ,1.957 ,1.102 ,1.102 ,33.788 ,33.788 ,187.248 ,187.248 ,25.780 ,25.780 ,25.780 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,835 ,835 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,536.421 ,536.421 ,533.671 ,2.750 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
28.,DOBROVA - POLHOV GRADEC,4.128.468 ,2.649.781 ,2.257.786 ,1.902.568 ,1.902.568 ,294.412 ,174.826 ,543 ,11.081 ,107.962 ,60.807 ,1.192 ,0 ,59.615 ,0 ,0 ,391.995 ,96.843 ,68.724 ,10.098 ,18.021 ,4.610 ,4.610 ,4.858 ,4.858 ,0 ,0 ,285.683 ,285.683 ,303.164 ,0 ,0 ,0 ,0 ,0 ,0 ,303.164 ,0 ,303.164 ,0 ,4.465 ,4.465 ,4.465 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.171.058 ,1.171.058 ,1.164.465 ,6.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
29.,DOBROVNIK,2.403.385 ,425.668 ,256.014 ,204.728 ,204.728 ,30.646 ,19.342 ,0 ,133 ,11.171 ,20.640 ,191 ,0 ,20.450 ,0 ,0 ,169.653 ,17.714 ,10 ,3.103 ,14.601 ,2.856 ,2.856 ,576 ,576 ,508 ,508 ,148.000 ,148.000 ,910.305 ,40.945 ,40.945 ,0 ,0 ,0 ,0 ,869.360 ,0 ,0 ,869.360 ,3.130 ,3.130 ,3.130 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.064.283 ,1.064.283 ,1.028.680 ,0 ,0 ,35.603 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
30.,DOL PRI LJUBLJANI,2.790.795 ,2.760.516 ,2.080.521 ,1.526.531 ,1.526.531 ,430.254 ,313.533 ,67 ,7.958 ,108.696 ,123.736 ,1.235 ,0 ,122.500 ,0 ,0 ,679.995 ,92.176 ,40.089 ,23.185 ,28.902 ,4.185 ,4.185 ,1.014 ,1.014 ,1.469 ,1.469 ,581.151 ,581.151 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.279 ,30.279 ,26.435 ,3.843 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
31.,DOLENJSKE TOPLICE,1.976.999 ,1.275.709 ,1.160.933 ,869.083 ,869.083 ,136.054 ,97.054 ,0 ,9.969 ,29.031 ,155.796 ,4.732 ,0 ,151.064 ,0 ,0 ,114.776 ,40.653 ,100 ,9.548 ,31.005 ,3.117 ,3.117 ,4.127 ,4.127 ,8.325 ,8.325 ,58.555 ,58.555 ,22.684 ,280 ,0 ,0 ,0 ,280 ,4.252 ,18.152 ,0 ,18.152 ,0 ,3.455 ,3.455 ,3.455 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,675.150 ,675.150 ,555.483 ,119.667 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
32.,DOMŽALE,18.087.368 ,16.363.688 ,14.340.082 ,10.632.078 ,10.632.078 ,2.637.758 ,1.735.519 ,82 ,106.103 ,796.054 ,1.070.246 ,31.586 ,0 ,1.038.661 ,0 ,0 ,2.023.606 ,888.129 ,234 ,176.020 ,711.875 ,50.112 ,50.112 ,59.982 ,59.982 ,29.778 ,29.778 ,995.605 ,995.605 ,518.065 ,321.961 ,321.961 ,0 ,0 ,0 ,0 ,196.104 ,0 ,196.104 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.205.614 ,1.205.614 ,1.205.614 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
33.,DORNAVA,1.536.133 ,597.555 ,509.290 ,387.544 ,387.544 ,45.181 ,42.902 ,0 ,341 ,1.938 ,76.565 ,661 ,0 ,75.904 ,0 ,0 ,88.265 ,29.097 ,825 ,2.823 ,25.449 ,4.039 ,4.039 ,3.995 ,3.995 ,0 ,0 ,51.134 ,51.134 ,5.030 ,0 ,0 ,0 ,0 ,0 ,0 ,5.030 ,5.030 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,933.549 ,933.549 ,829.226 ,0 ,0 ,104.323 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
34.,DRAVOGRAD,5.403.272 ,3.879.110 ,2.873.869 ,1.869.668 ,1.869.668 ,620.453 ,531.570 ,0 ,2.131 ,86.751 ,383.733 ,58.246 ,0 ,325.487 ,15 ,15 ,1.005.240 ,827.150 ,3.734 ,8.034 ,815.382 ,8.681 ,8.681 ,552 ,552 ,1.885 ,1.885 ,166.972 ,166.972 ,169.020 ,138.901 ,138.901 ,0 ,0 ,0 ,0 ,30.119 ,19.685 ,10.433 ,0 ,17.349 ,17.349 ,17.349 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.337.793 ,1.331.534 ,1.275.356 ,0 ,0 ,56.178 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 ,0 ,6.259 ,0 
35.,DUPLEK,3.377.679 ,1.898.640 ,1.513.086 ,1.131.489 ,1.131.489 ,217.835 ,166.592 ,0 ,2.754 ,48.489 ,163.762 ,1.231 ,0 ,162.531 ,0 ,0 ,385.553 ,86.851 ,13.737 ,5.855 ,67.259 ,8.442 ,8.442 ,4.236 ,4.236 ,2.195 ,2.195 ,283.830 ,283.830 ,164.931 ,0 ,0 ,0 ,0 ,0 ,0 ,164.931 ,0 ,164.931 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.314.109 ,1.314.109 ,1.314.109 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
36.,GORENJA VAS - POLJANE,5.559.689 ,2.161.393 ,1.630.237 ,1.311.997 ,1.311.997 ,251.952 ,209.747 ,0 ,3.422 ,38.783 ,66.288 ,2.734 ,0 ,63.554 ,0 ,0 ,531.156 ,184.583 ,8.560 ,24.798 ,151.225 ,9.579 ,9.579 ,2.816 ,2.816 ,6.031 ,6.031 ,328.148 ,328.148 ,41.729 ,41.729 ,0 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,329.870 ,329.870 ,329.870 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.026.697 ,3.026.697 ,2.976.722 ,49.975 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
37.,GORIŠNICA,3.456.559 ,2.086.164 ,1.419.367 ,888.121 ,888.121 ,345.146 ,316.181 ,0 ,3.114 ,25.851 ,186.100 ,17.327 ,0 ,168.774 ,0 ,0 ,666.796 ,344.247 ,1.612 ,5.085 ,337.550 ,11.050 ,11.050 ,2.599 ,2.599 ,0 ,0 ,308.900 ,308.900 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.328.666 ,1.328.666 ,1.258.454 ,26.397 ,0 ,43.816 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
38.,GORNJA RADGONA,8.288.128 ,4.510.082 ,2.983.609 ,2.052.483 ,2.052.483 ,595.681 ,450.513 ,0 ,29.699 ,115.469 ,335.445 ,5.462 ,0 ,329.982 ,0 ,0 ,1.526.473 ,553.802 ,0 ,47.968 ,505.834 ,10.633 ,10.633 ,19.771 ,19.771 ,27.996 ,27.996 ,914.271 ,914.271 ,418.181 ,113.783 ,113.783 ,0 ,0 ,0 ,0 ,304.398 ,0 ,304.398 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.359.865 ,3.359.865 ,3.084.402 ,0 ,0 ,78.530 ,196.933 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
39.,GORNJI GRAD,1.678.618 ,652.316 ,595.093 ,377.742 ,377.742 ,83.484 ,55.517 ,0 ,9.231 ,18.736 ,133.867 ,463 ,0 ,133.404 ,0 ,0 ,57.223 ,47.179 ,0 ,1.156 ,46.023 ,4.323 ,4.323 ,0 ,0 ,0 ,0 ,5.721 ,5.721 ,71.190 ,50.000 ,50.000 ,0 ,0 ,0 ,0 ,21.190 ,0 ,21.190 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,955.112 ,955.112 ,955.112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40.,GORNJI PETROVCI,1.584.168 ,377.850 ,323.514 ,256.055 ,256.055 ,57.407 ,50.455 ,0 ,2.854 ,4.098 ,10.053 ,300 ,0 ,9.752 ,0 ,0 ,54.336 ,3.860 ,0 ,701 ,3.159 ,1.995 ,1.995 ,38 ,38 ,0 ,0 ,48.444 ,48.444 ,1.202 ,0 ,0 ,0 ,0 ,0 ,0 ,1.202 ,1.064 ,138 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.205.116 ,1.114.451 ,1.114.451 ,0 ,0 ,0 ,0 ,90.665 ,0 ,0 ,0 ,0 ,0 ,0 ,90.665 ,0 
41.,GRAD,1.450.253 ,450.098 ,257.730 ,185.698 ,185.698 ,63.362 ,60.146 ,0 ,746 ,2.470 ,8.670 ,1.274 ,0 ,7.396 ,0 ,0 ,192.368 ,19.144 ,879 ,2.214 ,16.051 ,6.360 ,6.360 ,0 ,0 ,20.307 ,20.307 ,146.557 ,146.557 ,25.548 ,25.548 ,25.548 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.538 ,1.538 ,1.538 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,973.069 ,973.069 ,889.038 ,39.459 ,0 ,44.572 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
42.,GROSUPLJE,10.304.127 ,9.120.869 ,7.531.610 ,5.365.632 ,5.365.632 ,1.113.441 ,697.004 ,417 ,22.083 ,393.937 ,1.052.537 ,5.771 ,0 ,1.046.766 ,0 ,0 ,1.589.259 ,268.949 ,0 ,82.561 ,186.388 ,41.925 ,41.925 ,3.326 ,3.326 ,33.033 ,33.033 ,1.242.026 ,1.242.026 ,306.234 ,94.296 ,93.261 ,981 ,54 ,0 ,0 ,211.939 ,5.917 ,206.022 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,877.024 ,877.024 ,874.917 ,2.107 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
43.,HAJDINA,1.888.378 ,1.596.278 ,1.347.534 ,777.395 ,777.395 ,438.633 ,412.164 ,8 ,517 ,25.943 ,131.506 ,6.147 ,0 ,125.359 ,0 ,0 ,248.744 ,192.597 ,2.529 ,2.003 ,188.065 ,6.464 ,6.464 ,1.744 ,1.744 ,463 ,463 ,47.475 ,47.475 ,48.252 ,37.202 ,37.202 ,0 ,0 ,0 ,0 ,11.050 ,11.050 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,243.849 ,243.849 ,243.019 ,830 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,5.901.344 ,4.138.403 ,3.326.160 ,2.442.334 ,2.442.334 ,507.177 ,360.207 ,146 ,10.061 ,136.763 ,376.648 ,6.894 ,0 ,369.755 ,0 ,0 ,812.243 ,146.670 ,37.268 ,3.802 ,105.600 ,8.876 ,8.876 ,10.603 ,10.603 ,119.508 ,119.508 ,526.586 ,526.586 ,581.526 ,0 ,0 ,0 ,0 ,0 ,0 ,581.526 ,0 ,581.526 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.181.414 ,1.181.414 ,1.181.414 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
45.,HODOŠ,389.597 ,87.072 ,33.788 ,23.648 ,23.648 ,1.531 ,367 ,0 ,125 ,1.039 ,8.609 ,33 ,0 ,8.575 ,0 ,0 ,53.284 ,1.139 ,0 ,517 ,622 ,722 ,722 ,0 ,0 ,0 ,0 ,51.423 ,51.423 ,417 ,417 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,225 ,225 ,0 ,225 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,301.882 ,301.882 ,286.955 ,0 ,0 ,14.927 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
46.,HORJUL,2.515.893 ,1.053.248 ,814.555 ,697.233 ,697.233 ,76.118 ,49.640 ,0 ,6.784 ,19.695 ,41.204 ,657 ,0 ,40.548 ,0 ,0 ,238.693 ,176.971 ,27.362 ,46.013 ,103.595 ,1.708 ,1.708 ,763 ,763 ,0 ,0 ,59.251 ,59.251 ,166.329 ,0 ,0 ,0 ,0 ,0 ,0 ,166.329 ,0 ,166.329 ,0 ,835 ,835 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.295.482 ,1.295.482 ,375.038 ,836.986 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
47.,HRASTNIK,9.296.804 ,5.636.501 ,3.748.928 ,2.385.816 ,2.385.816 ,801.239 ,728.860 ,96 ,13.575 ,58.709 ,561.872 ,61.196 ,0 ,500.676 ,0 ,0 ,1.887.573 ,1.698.706 ,455 ,40.060 ,1.658.191 ,13.458 ,13.458 ,434 ,434 ,1.327 ,1.327 ,173.648 ,173.648 ,179.035 ,0 ,0 ,0 ,0 ,0 ,0 ,179.035 ,0 ,179.035 ,0 ,47.989 ,47.989 ,47.989 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.433.279 ,2.046.666 ,1.971.536 ,75.129 ,0 ,0 ,0 ,1.386.613 ,0 ,0 ,1.386.613 ,0 ,0 ,0 ,0 ,0 
48.,HRPELJE - KOZINA,4.516.846 ,2.253.722 ,1.492.998 ,1.021.912 ,1.021.912 ,329.440 ,200.747 ,284 ,9.919 ,118.490 ,141.646 ,3.151 ,0 ,138.495 ,0 ,0 ,760.724 ,622.112 ,7.002 ,34.226 ,580.884 ,4.853 ,4.853 ,0 ,0 ,0 ,0 ,133.759 ,133.759 ,1.600.063 ,121.299 ,121.299 ,0 ,0 ,0 ,0 ,1.478.764 ,0 ,1.478.764 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,663.061 ,663.061 ,650.542 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
49.,IDRIJA,8.112.711 ,6.150.017 ,5.152.149 ,4.018.461 ,4.018.461 ,761.818 ,644.529 ,0 ,14.998 ,102.291 ,371.870 ,5.308 ,0 ,366.562 ,0 ,0 ,997.868 ,943.920 ,601 ,22.150 ,921.169 ,11.058 ,11.058 ,9.698 ,9.698 ,7.177 ,7.177 ,26.014 ,26.014 ,203.593 ,155.008 ,155.008 ,0 ,0 ,0 ,0 ,48.585 ,1.473 ,47.112 ,0 ,52.170 ,16.383 ,16.383 ,0 ,35.787 ,0 ,35.787 ,0 ,0 ,0 ,0 ,1.706.931 ,1.672.805 ,1.649.458 ,23.348 ,0 ,0 ,0 ,34.126 ,34.126 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
50.,IG,3.730.712 ,2.939.306 ,2.297.579 ,1.779.126 ,1.779.126 ,337.808 ,190.882 ,0 ,12.993 ,133.932 ,180.645 ,1.385 ,0 ,179.260 ,0 ,0 ,641.727 ,171.297 ,58.224 ,63.362 ,49.711 ,7.041 ,7.041 ,9.436 ,9.436 ,54.093 ,54.093 ,399.860 ,399.860 ,472.427 ,0 ,0 ,0 ,0 ,0 ,0 ,472.427 ,0 ,472.427 ,0 ,13.424 ,13.424 ,13.424 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,305.555 ,305.555 ,299.969 ,5.586 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
51.,ILIRSKA BISTRICA,7.902.291 ,4.660.357 ,4.136.688 ,3.222.605 ,3.222.605 ,536.738 ,393.248 ,17 ,54.327 ,89.146 ,377.345 ,11.167 ,0 ,366.178 ,0 ,0 ,523.669 ,358.559 ,0 ,35.766 ,322.793 ,16.283 ,16.283 ,5.266 ,5.266 ,1.198 ,1.198 ,142.364 ,142.364 ,49.937 ,41.479 ,41.479 ,0 ,0 ,0 ,0 ,8.459 ,5.124 ,3.334 ,0 ,2.086 ,2.086 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.189.910 ,3.029.365 ,3.028.747 ,618 ,0 ,0 ,0 ,160.545 ,160.545 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
52.,IVANČNA GORICA,7.630.938 ,5.043.081 ,4.314.710 ,3.508.079 ,3.508.079 ,395.318 ,123.531 ,296 ,33.091 ,238.399 ,411.313 ,4.478 ,0 ,406.835 ,0 ,0 ,728.372 ,182.545 ,0 ,120.347 ,62.197 ,23.773 ,23.773 ,1.110 ,1.110 ,21.666 ,21.666 ,499.278 ,499.278 ,368.115 ,333.584 ,333.584 ,0 ,0 ,0 ,0 ,34.531 ,2.992 ,31.539 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.219.742 ,2.219.742 ,2.219.742 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
53.,IZOLA,15.048.306 ,12.538.320 ,7.169.212 ,4.654.561 ,4.654.561 ,1.309.164 ,730.016 ,2.074 ,54.999 ,522.075 ,1.205.487 ,49.266 ,0 ,1.156.222 ,0 ,0 ,5.369.108 ,993.211 ,1.335 ,171.027 ,820.848 ,37.139 ,37.139 ,136.893 ,136.893 ,174.866 ,174.866 ,4.026.999 ,4.026.999 ,1.867.831 ,725.426 ,725.426 ,0 ,0 ,0 ,0 ,1.142.405 ,0 ,1.142.405 ,0 ,2.086 ,2.086 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,640.068 ,640.068 ,571.820 ,12.519 ,0 ,55.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
54.,JESENICE,13.774.883 ,8.871.128 ,7.030.187 ,4.880.629 ,4.880.629 ,1.746.779 ,1.433.050 ,8 ,37.460 ,276.260 ,402.779 ,23.610 ,0 ,379.169 ,0 ,0 ,1.840.941 ,1.429.532 ,27.011 ,109.193 ,1.293.327 ,29.361 ,29.361 ,8.400 ,8.400 ,27.675 ,27.675 ,345.973 ,345.973 ,1.644.525 ,85.303 ,84.631 ,0 ,672 ,0 ,0 ,1.559.222 ,0 ,1.559.222 ,0 ,8.471 ,8.471 ,8.471 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.250.759 ,3.250.759 ,3.218.549 ,31.034 ,0 ,1.177 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
55.,JEZERSKO,532.666 ,264.822 ,227.383 ,179.932 ,179.932 ,26.773 ,26.773 ,0 ,0 ,0 ,20.677 ,0 ,0 ,20.677 ,0 ,0 ,37.439 ,29.511 ,7.770 ,1.519 ,20.222 ,618 ,618 ,0 ,0 ,0 ,0 ,7.311 ,7.311 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,267.843 ,264.376 ,264.376 ,0 ,0 ,0 ,0 ,3.468 ,3.468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
56.,JURŠINCI,1.141.112 ,344.546 ,292.021 ,195.502 ,195.502 ,41.391 ,33.905 ,0 ,3.184 ,4.302 ,55.129 ,121 ,0 ,55.008 ,0 ,0 ,52.525 ,11.083 ,480 ,647 ,9.957 ,4.323 ,4.323 ,2.078 ,2.078 ,1.114 ,1.114 ,33.926 ,33.926 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.907 ,1.907 ,1.803 ,104 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,794.659 ,794.659 ,782.808 ,11.851 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
57.,KAMNIK,15.933.655 ,12.290.515 ,9.909.523 ,7.511.000 ,7.511.000 ,1.880.888 ,1.218.720 ,192 ,72.976 ,589.000 ,517.635 ,32.904 ,0 ,484.731 ,0 ,0 ,2.380.992 ,603.751 ,0 ,104.373 ,499.378 ,40.148 ,40.148 ,39.618 ,39.618 ,89.484 ,89.484 ,1.607.991 ,1.607.991 ,785.658 ,245.577 ,240.632 ,4.173 ,772 ,0 ,0 ,540.081 ,5.287 ,534.794 ,0 ,26.285 ,26.285 ,8.930 ,17.355 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.831.197 ,2.831.197 ,2.686.334 ,141.429 ,0 ,3.434 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
58.,KANAL,4.558.123 ,3.890.479 ,2.108.198 ,1.456.749 ,1.456.749 ,470.346 ,407.899 ,0 ,36.110 ,26.337 ,181.103 ,1.253 ,0 ,179.851 ,0 ,0 ,1.782.280 ,1.231.047 ,8.203 ,18.561 ,1.204.283 ,5.566 ,5.566 ,1.399 ,1.399 ,108.779 ,108.779 ,435.489 ,435.489 ,107.965 ,74.402 ,74.402 ,0 ,0 ,0 ,0 ,33.563 ,32.172 ,1.391 ,0 ,9.786 ,9.786 ,9.244 ,542 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,549.893 ,441.494 ,437.019 ,0 ,0 ,4.475 ,0 ,108.399 ,108.399 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
59.,KIDRIČEVO,4.167.122 ,2.308.905 ,2.103.676 ,1.302.191 ,1.302.191 ,571.758 ,524.770 ,0 ,6.113 ,40.874 ,229.728 ,4.757 ,0 ,224.971 ,0 ,0 ,205.229 ,94.755 ,8.997 ,10.666 ,75.092 ,12.907 ,12.907 ,5.842 ,5.842 ,714 ,714 ,91.012 ,91.012 ,397.183 ,286.342 ,286.342 ,0 ,0 ,0 ,0 ,110.841 ,50.522 ,60.320 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.461.033 ,1.461.033 ,1.427.341 ,33.692 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
60.,KOBARID,3.411.413 ,1.704.336 ,1.297.388 ,979.816 ,979.816 ,143.206 ,97.246 ,0 ,23.485 ,22.475 ,174.366 ,426 ,0 ,173.940 ,0 ,0 ,406.948 ,375.004 ,234 ,601 ,374.170 ,5.446 ,5.446 ,680 ,680 ,0 ,0 ,25.818 ,25.818 ,125.855 ,8.513 ,8.513 ,0 ,0 ,0 ,0 ,117.343 ,0 ,117.343 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.581.222 ,1.581.222 ,1.581.222 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
61.,KOBILJE,380.322 ,144.548 ,86.663 ,73.811 ,73.811 ,8.277 ,3.938 ,0 ,585 ,3.754 ,4.575 ,0 ,0 ,4.575 ,0 ,0 ,57.885 ,11.311 ,0 ,86 ,11.225 ,734 ,734 ,0 ,0 ,0 ,0 ,45.840 ,45.840 ,83 ,0 ,0 ,0 ,0 ,0 ,0 ,83 ,83 ,0 ,0 ,11.628 ,11.628 ,1.603 ,10.025 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,224.061 ,224.061 ,200.475 ,0 ,0 ,23.586 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
62.,KOČEVJE,10.161.880 ,6.061.972 ,4.675.847 ,3.617.076 ,3.617.076 ,502.387 ,362.919 ,209 ,18.119 ,121.140 ,556.385 ,10.946 ,0 ,545.439 ,0 ,0 ,1.386.125 ,765.674 ,159 ,51.452 ,714.063 ,19.116 ,19.116 ,63 ,63 ,57.787 ,57.787 ,543.486 ,543.486 ,459.235 ,184.485 ,184.485 ,0 ,0 ,0 ,0 ,274.750 ,0 ,274.750 ,0 ,3.096 ,3.096 ,3.096 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.637.577 ,3.637.577 ,3.627.191 ,46 ,0 ,10.341 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
63.,KOMEN,2.906.764 ,1.964.818 ,1.410.140 ,1.077.854 ,1.077.854 ,239.054 ,78.497 ,0 ,5.191 ,155.366 ,93.232 ,417 ,0 ,92.814 ,0 ,0 ,554.678 ,512.431 ,2.450 ,8.459 ,501.523 ,7.970 ,7.970 ,718 ,718 ,32.941 ,32.941 ,618 ,618 ,153.105 ,141.258 ,141.258 ,0 ,0 ,0 ,0 ,11.847 ,0 ,11.847 ,0 ,13.650 ,2.817 ,2.817 ,0 ,10.833 ,10.833 ,0 ,0 ,0 ,0 ,0 ,775.192 ,775.092 ,551.461 ,223.631 ,0 ,0 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,100 
