5.,BLED,8.329.953 ,6.685.991 ,5.830.141 ,3.549.024 ,3.549.024 ,1.137.577 ,758.125 ,2.817 ,28.267 ,348.368 ,1.143.540 ,22.396 ,0 ,1.121.144 ,0 ,0 ,855.850 ,183.438 ,0 ,24.683 ,158.755 ,23.911 ,23.911 ,48.322 ,48.322 ,91.992 ,91.992 ,508.187 ,508.187 ,1.161.642 ,1.132.774 ,1.132.766 ,0 ,8 ,0 ,0 ,28.868 ,0 ,28.868 ,0 ,18.419 ,18.419 ,18.419 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,463.900 ,463.900 ,463.900 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
6.,BLOKE,1.355.872 ,613.898 ,494.019 ,371.396 ,371.396 ,74.497 ,65.334 ,0 ,723 ,8.440 ,48.126 ,479 ,0 ,47.647 ,0 ,0 ,119.879 ,15.037 ,0 ,1.024 ,14.013 ,2.223 ,2.223 ,31.925 ,31.925 ,0 ,0 ,70.695 ,70.695 ,75.212 ,642 ,642 ,0 ,0 ,0 ,0 ,74.570 ,8.429 ,66.141 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,666.761 ,666.761 ,593.536 ,16.192 ,0 ,0 ,57.033 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
7.,BOHINJ,4.472.413 ,3.265.657 ,2.048.235 ,1.156.864 ,1.156.864 ,464.071 ,324.466 ,0 ,11.342 ,128.263 ,427.299 ,2.182 ,0 ,425.117 ,0 ,0 ,1.217.422 ,382.949 ,6.664 ,41.625 ,334.660 ,12.185 ,12.185 ,33.792 ,33.792 ,691.266 ,691.266 ,97.229 ,97.229 ,16.203 ,16.195 ,14.597 ,1.598 ,0 ,0 ,0 ,8 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.190.553 ,1.190.553 ,1.172.692 ,0 ,17.860 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
8.,BOROVNICA ,2.350.897 ,1.440.248 ,1.305.074 ,1.034.030 ,1.034.030 ,149.983 ,97.805 ,0 ,8.204 ,43.974 ,121.061 ,1.719 ,0 ,119.342 ,0 ,0 ,135.174 ,102.575 ,6.022 ,40.769 ,55.784 ,2.470 ,2.470 ,267 ,267 ,2.571 ,2.571 ,27.291 ,27.291 ,318.795 ,235.553 ,235.553 ,0 ,0 ,0 ,0 ,83.242 ,0 ,83.242 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,591.854 ,591.854 ,591.854 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9.,BOVEC,4.254.306 ,2.145.702 ,1.278.939 ,803.338 ,803.338 ,221.920 ,128.864 ,0 ,10.457 ,82.599 ,253.681 ,1.811 ,0 ,251.869 ,0 ,0 ,866.763 ,753.497 ,0 ,14.376 ,739.121 ,4.377 ,4.377 ,1.110 ,1.110 ,94.091 ,94.091 ,13.687 ,13.687 ,263.257 ,186.859 ,186.859 ,0 ,0 ,0 ,0 ,76.398 ,113 ,76.285 ,0 ,18.390 ,12.611 ,12.611 ,0 ,0 ,0 ,0 ,0 ,0 ,5.780 ,5.780 ,1.826.957 ,1.776.260 ,1.565.511 ,0 ,0 ,6.339 ,204.411 ,50.697 ,0 ,0 ,0 ,0 ,0 ,0 ,50.697 ,0 
10.,BRASLOVČE,2.545.168 ,1.710.278 ,1.563.211 ,1.250.868 ,1.250.868 ,148.623 ,89.935 ,1.365 ,5.062 ,52.262 ,163.721 ,1.369 ,0 ,162.352 ,0 ,0 ,147.066 ,72.329 ,26.665 ,10.445 ,35.220 ,8.734 ,8.734 ,0 ,0 ,7.340 ,7.340 ,58.663 ,58.663 ,55.558 ,0 ,0 ,0 ,0 ,0 ,0 ,55.558 ,0 ,55.558 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,779.332 ,779.332 ,766.491 ,3.989 ,0 ,8.851 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
11.,BRDA,3.651.982 ,2.586.985 ,1.854.198 ,1.448.673 ,1.448.673 ,222.012 ,178.247 ,0 ,19.483 ,24.282 ,183.513 ,401 ,0 ,183.112 ,0 ,0 ,732.787 ,633.959 ,6.835 ,11.605 ,615.519 ,4.332 ,4.332 ,3.910 ,3.910 ,17.318 ,17.318 ,73.268 ,73.268 ,108.980 ,103.117 ,103.117 ,0 ,0 ,0 ,0 ,5.863 ,463 ,5.400 ,0 ,3.138 ,3.138 ,1.857 ,1.281 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,952.879 ,952.879 ,936.517 ,5.008 ,0 ,11.355 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
12.,BREZOVICA,5.079.086 ,4.852.741 ,3.939.783 ,3.227.224 ,3.227.224 ,514.278 ,258.959 ,1.178 ,79.812 ,174.329 ,198.281 ,28.184 ,0 ,170.097 ,0 ,0 ,912.958 ,127.492 ,87.814 ,10.889 ,28.789 ,6.420 ,6.420 ,6.165 ,6.165 ,3.619 ,3.619 ,769.261 ,769.261 ,35.516 ,0 ,0 ,0 ,0 ,0 ,0 ,35.516 ,0 ,35.516 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,190.830 ,190.830 ,172.583 ,15.326 ,0 ,2.921 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
13.,BREŽICE,15.788.316 ,10.042.756 ,8.006.706 ,4.971.753 ,4.971.753 ,1.090.244 ,789.509 ,0 ,22.555 ,278.180 ,1.944.709 ,8.121 ,0 ,1.936.588 ,0 ,0 ,2.036.050 ,381.727 ,338 ,32.745 ,348.644 ,195.694 ,195.694 ,17.080 ,17.080 ,15.840 ,15.840 ,1.425.709 ,1.425.709 ,295.118 ,258.204 ,258.204 ,0 ,0 ,0 ,0 ,36.914 ,6.047 ,30.867 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.450.442 ,5.450.442 ,5.450.442 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
14.,CANKOVA,1.109.489 ,392.039 ,339.071 ,262.399 ,262.399 ,60.768 ,45.372 ,0 ,855 ,14.541 ,15.904 ,664 ,0 ,15.240 ,0 ,0 ,52.968 ,7.377 ,1.245 ,552 ,5.579 ,2.925 ,2.925 ,2.936 ,2.936 ,595 ,595 ,39.135 ,39.135 ,9.976 ,42 ,0 ,0 ,42 ,0 ,0 ,9.934 ,9.934 ,0 ,0 ,4.987 ,4.987 ,4.987 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,702.488 ,702.488 ,699.598 ,0 ,0 ,2.890 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
