84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.390 
85.,LUČE,255 ,255 ,0 ,0 ,0 ,255 ,0 ,0 ,0 ,0 ,0 ,0 ,2.975 ,2.921 ,0 ,0 ,0 ,0 ,2.921 ,0 ,54 ,54 ,0 ,0 ,0 ,0 ,-2.721 ,-4.586 
86.,LUKOVICA,27.508 ,8.980 ,8.980 ,0 ,0 ,0 ,0 ,0 ,18.528 ,18.528 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27.508 ,-246.224 
87.,MAJŠPERK,1.096.094 ,1.096.094 ,0 ,0 ,1.033.500 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,1.206.693 ,1.206.693 ,0 ,0 ,0 ,1.144.099 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-110.599 ,2.074 
88.,MARIBOR (M),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63.128 ,63.128 ,0 ,0 ,0 ,0 ,63.128 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-63.128 ,-4.947.421 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-57.044 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,482.202 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,482.202 ,0 ,0 ,0 ,482.202 ,0 ,-482.202 ,531.118 
91.,MENGEŠ,34.005 ,12.389 ,12.389 ,0 ,0 ,0 ,0 ,0 ,21.616 ,0 ,0 ,21.616 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34.005 ,90.260 
92.,METLIKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-232.090 
93.,MEŽICA,138 ,138 ,0 ,0 ,0 ,138 ,0 ,0 ,0 ,0 ,0 ,0 ,11.434 ,2.399 ,0 ,0 ,0 ,0 ,2.399 ,0 ,9.034 ,8.763 ,271 ,0 ,0 ,0 ,-11.296 ,13.078 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.226 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.035 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.035 ,1.035 ,0 ,0 ,0 ,0 ,-1.035 ,81.026 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68.836 
97.,MISLINJA,384 ,384 ,384 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,810 ,484 ,484 ,0 ,0 ,0 ,0 ,0 ,325 ,325 ,0 ,0 ,0 ,0 ,-426 ,-13.641 
98.,MORAVČE,28.585 ,10.057 ,10.057 ,0 ,0 ,0 ,0 ,0 ,18.528 ,0 ,0 ,18.528 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28.585 ,-68.098 
99.,MORAVSKE TOPLICE,49.120 ,46.040 ,46.040 ,0 ,0 ,0 ,0 ,0 ,3.080 ,3.080 ,0 ,0 ,19.575 ,8.726 ,0 ,0 ,0 ,0 ,8.726 ,0 ,10.850 ,10.850 ,0 ,0 ,0 ,0 ,29.544 ,-24.892 
100.,MOZIRJE,47.763 ,47.763 ,6.243 ,0 ,41.521 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47.763 ,37.669 
101.,MURSKA SOBOTA (M),20.443 ,20.360 ,17.422 ,0 ,2.938 ,0 ,0 ,0 ,83 ,83 ,0 ,0 ,5.842 ,5.842 ,0 ,5.842 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.601 ,-1.468.035 
102.,MUTA,22.926 ,835 ,835 ,0 ,0 ,0 ,0 ,0 ,22.091 ,22.091 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.926 ,-39.029 
103.,NAKLO,14.121 ,14.121 ,8.671 ,0 ,0 ,5.450 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.121 ,74.499 
104.,NAZARJE,745.180 ,745.180 ,6.960 ,0 ,208.646 ,529.574 ,0 ,0 ,0 ,0 ,0 ,0 ,1.265.870 ,765.068 ,0 ,0 ,0 ,208.646 ,556.422 ,0 ,500.801 ,50 ,0 ,500.751 ,0 ,0 ,-520.689 ,51.836 
105.,NOVA GORICA (M),196.249 ,196.249 ,196.249 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,213.299 ,152.066 ,0 ,0 ,152.066 ,0 ,0 ,0 ,61.234 ,61.234 ,0 ,0 ,0 ,0 ,-17.051 ,-764.013 
106.,NOVO MESTO (M),273.035 ,273.035 ,186.897 ,0 ,0 ,86.138 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,273.035 ,286.968 
107.,ODRANCI,8.667 ,8.667 ,8.667 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.667 ,-3.167 
108.,OPLOTNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-52.608 
109.,ORMOŽ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,150.225 ,150.225 ,0 ,0 ,0 ,150.225 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-150.225 ,150.255 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-24.203 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,301.402 
112.,PIRAN,58.421 ,58.421 ,58.421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58.421 ,746.357 
113.,PIVKA,20.865 ,20.865 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.797 ,5.633 ,0 ,0 ,0 ,5.633 ,0 ,0 ,6.163 ,4.173 ,0 ,1.990 ,0 ,0 ,9.068 ,-41.462 
114.,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,2.086 ,0 ,0 ,-2.086 ,70.276 
115.,PODLEHNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-42.981 
116.,PODVELKA,8.408 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.408 ,8.408 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.408 ,14.472 
117.,POLZELA,8.421 ,8.421 ,8.421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.421 ,-29.945 
118.,POSTOJNA,20.931 ,20.931 ,5.537 ,2.984 ,12.410 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.210 ,25.038 ,0 ,0 ,0 ,25.038 ,0 ,0 ,4.173 ,0 ,0 ,0 ,4.173 ,0 ,-8.279 ,883.041 
119.,PREBOLD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,230.362 
120.,PREDDVOR,17.247 ,17.247 ,17.117 ,0 ,0 ,129 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.247 ,-1.652 
121.,PREVALJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,57.261 
122.,PTUJ (M),1.075.380 ,574.629 ,0 ,0 ,7.065 ,524.979 ,42.585 ,0 ,500.751 ,500.751 ,0 ,0 ,165.636 ,165.636 ,82.177 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,909.744 ,735.307 
123.,PUCONCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.344 ,87.214 ,0 ,0 ,0 ,0 ,80.120 ,7.094 ,3.130 ,0 ,0 ,3.130 ,0 ,0 ,-90.344 ,-276.548 
124.,RAČE - FRAM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-31.652 
125.,RADEČE,5.437 ,5.437 ,0 ,0 ,0 ,5.437 ,0 ,0 ,0 ,0 ,0 ,0 ,876 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,876 ,0 ,0 ,876 ,0 ,0 ,4.561 ,8.559 
126.,RADENCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19.371 ,19.371 ,0 ,0 ,0 ,19.371 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-19.371 ,-98.348 
127.,RADLJE OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-108.538 
128.,RADOVLJICA,150.146 ,150.096 ,109.326 ,0 ,0 ,40.769 ,0 ,0 ,50 ,0 ,0 ,50 ,55.734 ,3.134 ,3.134 ,0 ,0 ,0 ,0 ,0 ,52.600 ,0 ,0 ,52.600 ,0 ,0 ,94.412 ,195.326 
129.,RAVNE NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,92.914 
130.,RAZKRIŽJE,860 ,860 ,0 ,0 ,860 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,860 ,8.922 
131.,RIBNICA,1.790 ,1.790 ,0 ,0 ,0 ,1.790 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.790 ,-72.317 
132.,RIBNICA NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.535 
133.,ROGAŠKA SLATINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,237.181 
134.,ROGAŠOVCI,11.259 ,11.259 ,11.259 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.259 ,15.665 
135.,ROGATEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90.916 
136.,RUŠE,2.721 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.721 ,0 ,0 ,2.721 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.721 ,-202.783 
137.,SELNICA OB DRAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-19.800 
138.,SEMIČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37.594 
139.,SEVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-99.929 
140.,SEŽANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,137.665 
141.,SLOVENJ GRADEC (M),69.721 ,69.721 ,1.039 ,54.912 ,13.771 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,240.160 ,238.967 ,0 ,34.619 ,204.348 ,0 ,0 ,0 ,1.193 ,0 ,0 ,1.193 ,0 ,0 ,-170.439 ,640.557 
142.,SLOVENSKA BISTRICA,36.221 ,36.221 ,0 ,0 ,36.221 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.221 ,663.020 
143.,SLOVENSKE KONJICE,21.182 ,7.866 ,7.866 ,0 ,0 ,0 ,0 ,0 ,13.316 ,0 ,0 ,13.316 ,21.324 ,21.324 ,21.324 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-142 ,51.590 
144.,SODRAŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.781 
145.,SOLČAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.628 ,10.432 ,10.432 ,0 ,0 ,0 ,0 ,0 ,196 ,0 ,0 ,0 ,196 ,0 ,-10.628 ,-4.924 
146.,STARŠE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,341.491 
147.,SVETA ANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9.155 
148.,SVETI ANDRAŽ V SLOV. GORICAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.929 
149.,SVETI JURIJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94.496 
150.,ŠALOVCI,33.383 ,33.383 ,0 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33.383 ,33.383 ,0 ,0 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-79.765 
151.,ŠEMPETER - VRTOJBA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,556.732 
152.,ŠENČUR,63.883 ,63.883 ,62.435 ,0 ,0 ,1.448 ,0 ,0 ,0 ,0 ,0 ,0 ,70.940 ,70.940 ,70.940 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.056 ,493.227 
153.,ŠENTILJ,36.434 ,36.434 ,0 ,0 ,0 ,0 ,36.434 ,0 ,0 ,0 ,0 ,0 ,41.729 ,41.729 ,0 ,0 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.295 ,254.444 
154.,ŠENTJERNEJ,11.325 ,11.325 ,11.325 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.325 ,43.240 
155.,ŠENTJUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,177.938 
156.,ŠKOCJAN,3.142 ,3.142 ,3.142 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.142 ,54.945 
157.,ŠKOFJA LOKA,9.852 ,9.852 ,659 ,0 ,0 ,9.193 ,0 ,0 ,0 ,0 ,0 ,0 ,2.717 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.717 ,0 ,0 ,2.717 ,0 ,0 ,7.136 ,232.482 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62.594 ,62.594 ,0 ,0 ,0 ,62.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-62.594 ,17.468 
159.,ŠMARJE PRI JELŠAH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,127.541 
160.,ŠMARTNO OB PAKI,6.259 ,6.259 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.259 ,32.582 
161.,ŠOŠTANJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-87.256 
162.,ŠTORE,89.526 ,87.631 ,0 ,0 ,0 ,87.631 ,0 ,0 ,1.895 ,1.895 ,0 ,0 ,87.631 ,87.631 ,87.631 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.895 ,36.221 
163.,TABOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.561 
164.,TIŠINA,26.903 ,26.903 ,26.903 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26.903 ,-34.030 
165.,TOLMIN,55.283 ,55.283 ,40.039 ,15.244 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55.283 ,112.172 
166.,TRBOVLJE,18.378 ,18.378 ,0 ,0 ,0 ,8 ,18.369 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18.378 ,-145.285 
167.,TREBNJE,13.562 ,13.562 ,0 ,0 ,0 ,0 ,13.562 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.562 ,705.721 
168.,TRNOVSKA VAS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13.575 
169.,TRZIN,9.017 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.017 ,0 ,0 ,9.017 ,42.689 ,42.689 ,0 ,0 ,42.689 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-33.672 ,496.025 
170.,TRŽIČ,4.273 ,4.273 ,4.273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.273 ,167.330 
171.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-174.090 
172.,VELENJE (M),14.509 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.509 ,0 ,0 ,14.509 ,20.865 ,20.865 ,0 ,0 ,0 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6.355 ,252.395 
173.,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.127 ,1.127 ,0 ,0 ,1.127 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.127 ,32.361 
174.,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63 
175.,VERŽEJ,1.448 ,1.448 ,0 ,0 ,1.448 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.448 ,-25.801 
176.,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-80.408 
177.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,193.574 
178.,VITANJE,5.275 ,5.275 ,5.275 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.275 ,-50.538 
179.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-277.775 
180.,VOJNIK,468.878 ,232.382 ,0 ,0 ,232.382 ,0 ,0 ,0 ,236.496 ,0 ,0 ,236.496 ,229.511 ,229.511 ,0 ,0 ,0 ,229.511 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,239.367 ,10.704 
181.,VRANSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-222.884 
182.,VRHNIKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-334.310 
183.,VUZENICA,11.638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.638 ,11.638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.638 ,-112.189 
184.,ZAGORJE OB SAVI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,71.970 
185.,ZAVRČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-63.946 
186.,ZREČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,118.536 
187.,ŽALEC,195.322 ,186.092 ,186.092 ,0 ,0 ,0 ,0 ,0 ,9.231 ,9.231 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,195.322 ,-6.748 
188.,ŽELEZNIKI,17.902 ,17.902 ,0 ,0 ,13.416 ,4.486 ,0 ,0 ,0 ,0 ,0 ,0 ,1.607 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.607 ,1.060 ,0 ,547 ,0 ,0 ,16.295 ,487.172 
