6.,BLOKE,7.031 ,7.031 ,0 ,0 ,0 ,7.031 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.031 ,-672 
7.,BOHINJ,14.459 ,14.459 ,14.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.459 ,-42.560 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-35.866 
9.,BOVEC,9.727 ,9.727 ,9.727 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,0 ,0 ,41.729 ,0 ,0 ,-32.002 ,-17.151 
10.,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-194.663 
11.,BRDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53.247 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53.247 ,12.936 ,21.282 ,19.029 ,0 ,0 ,-53.247 ,5.951 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,550.751 
13.,BREŽICE,296 ,296 ,0 ,0 ,0 ,296 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,296 ,208.538 
14.,CANKOVA,7.232 ,7.232 ,7.232 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.232 ,-51.511 
15.,CELJE (M),956.489 ,84.994 ,1.536 ,0 ,83.459 ,0 ,0 ,0 ,871.495 ,18.378 ,0 ,853.117 ,1.199.228 ,1.098.999 ,0 ,0 ,0 ,417.293 ,0 ,681.706 ,100.230 ,100.230 ,0 ,0 ,0 ,0 ,-242.739 ,2.604.674 
16.,CERKLJE NA GORENJSKEM,37.765 ,37.765 ,37.081 ,0 ,0 ,684 ,0 ,0 ,0 ,0 ,0 ,0 ,40.014 ,40.014 ,40.014 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.249 ,-996.524 
17.,CERKNICA,18.711 ,18.711 ,0 ,0 ,18.711 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,0 ,0 ,2.086 ,0 ,16.625 ,-30.746 
18.,CERKNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15.444 
19.,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-210.808 
20.,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,281.481 
21.,ČRNA NA KOROŠKEM,843 ,843 ,843 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,271 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,271 ,0 ,0 ,271 ,0 ,0 ,572 ,-85.457 
