,,I.,7,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7046,7047,706,7060,71,710,7100,7101,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,74,740,7400,7401,7402,7403
,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,
,,70+71+72+73+74,70+71,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI
,,,,700+703+704+706,"DAVKI NA DOHODEK IN
DOBIČEK","DAVKI NA DOHODEK IN
DOBIČEK",DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,710+711+712+713+714,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,DENARNE KAZNI ,DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,720+721+722,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,730+731,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,740,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ
,- v EUR,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve ,Dovoljenja za poslovanje in za opravljanje dejavnosti ,Letna povračila za uporabo cest,Drugi davki na uporabo blaga in storitev,,Drugi davki,,,"Prihodki od udeležbe na dobičku in divident javnih podjetij, javnih skladov in javnih finančnih institucij",Prihodki od udeležbe na dobič. drugih podjetij in finančnih institucij,Prihodki od obresti,Prihodki od premoženja ,,Upravne takse in pristojbine,,Denarne kazni,,Prihodki od prodaje blaga in storitev,,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje prevoznih sredstev,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje premoženjskih pravic in drugih neopredmetenih dolgoročnih sredstev,,,Prejete donacije iz domačih virov za tekočo porabo,Prejete donacije iz domačih virov za investicije,,Prejete donacije iz tujine za tekočo porabo,Prejete donacije iz tujine za investicije,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz proračunov lokalnih skupnosti,Prejeta sredstva iz skladov socialnega zavarovanja ,Prejeta sredstva iz drugih javnih skladov
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,10.676.440 ,7.191.980 ,6.233.734 ,4.294.742 ,4.294.742 ,588.278 ,453.989 ,0 ,21.182 ,113.107 ,1.350.714 ,26.319 ,0 ,0 ,1.324.395 ,0 ,0 ,958.246 ,578.576 ,0 ,0 ,22.071 ,556.506 ,31.894 ,31.894 ,9.965 ,9.965 ,8.363 ,8.363 ,329.448 ,329.448 ,235.962 ,164.747 ,164.747 ,0 ,0 ,0 ,0 ,71.215 ,0 ,71.215 ,0 ,756.297 ,0 ,0 ,0 ,756.297 ,17.059 ,739.238 ,2.492.201 ,2.492.201 ,2.253.985 ,238.216 ,0 ,0 
2.,BELTINCI,3.820.809 ,2.228.612 ,1.714.210 ,1.285.946 ,1.285.946 ,321.665 ,303.051 ,0 ,4.251 ,14.363 ,106.598 ,1.338 ,0 ,0 ,105.260 ,0 ,0 ,514.402 ,50.556 ,6.794 ,0 ,13.869 ,29.893 ,13.489 ,13.489 ,69 ,69 ,36.574 ,36.574 ,413.713 ,413.713 ,62.712 ,20.955 ,20.955 ,0 ,0 ,0 ,0 ,41.757 ,323 ,41.434 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.529.486 ,1.529.486 ,1.522.893 ,6.593 ,0 ,0 
3.,BENEDIKT,1.803.561 ,477.948 ,315.590 ,203.750 ,203.750 ,34.388 ,26.072 ,0 ,51 ,8.265 ,77.452 ,290 ,0 ,0 ,77.161 ,0 ,0 ,162.358 ,10.547 ,0 ,871 ,566 ,9.110 ,4.751 ,4.751 ,196 ,196 ,90.891 ,90.891 ,55.973 ,55.973 ,87.313 ,1.509 ,1.509 ,0 ,0 ,0 ,0 ,85.805 ,0 ,85.805 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.238.300 ,1.238.300 ,1.238.300 ,0 ,0 ,0 
4.,BISTRICA OB SOTLI,893.953 ,292.439 ,236.446 ,155.775 ,155.775 ,39.088 ,25.138 ,0 ,10.745 ,3.205 ,41.583 ,0 ,0 ,0 ,41.583 ,0 ,0 ,55.992 ,21.161 ,0 ,0 ,2.575 ,18.586 ,2.775 ,2.775 ,447 ,447 ,3.276 ,3.276 ,28.334 ,28.334 ,11.004 ,572 ,572 ,0 ,0 ,0 ,0 ,10.432 ,0 ,10.432 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,590.511 ,590.511 ,484.101 ,0 ,0 ,106.410 
