6,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.745 
7,BOHINJ,19.997 ,19.997 ,19.997 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19.997 ,-68.244 
8,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,140.169 
9,BOVEC,5.696 ,5.696 ,5.696 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44.358 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44.358 ,2.629 ,0 ,41.729 ,0 ,0 ,-38.662 ,2.266 
10,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,233.688 
11,BRDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-96.478 
12,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,307.645 
13,BREŽICE,613 ,613 ,0 ,0 ,0 ,613 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,613 ,-127.224 
14,CANKOVA,8.066 ,8.066 ,8.066 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.434 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.434 ,3.434 ,0 ,0 ,0 ,0 ,4.632 ,165.386 
15,CELJE (M),32.036 ,4.077 ,4.077 ,0 ,0 ,0 ,0 ,0 ,27.959 ,27.959 ,0 ,0 ,94.851 ,86.087 ,0 ,0 ,0 ,83.459 ,0 ,2.629 ,8.763 ,8.763 ,0 ,0 ,0 ,0 ,-62.815 ,535.086 
16,CERKLJE NA GORENJSKEM,33.746 ,33.746 ,32.699 ,0 ,0 ,1.047 ,0 ,0 ,0 ,0 ,0 ,0 ,35.178 ,35.178 ,35.178 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.431 ,898.907 
17,CERKNICA,24.303 ,24.303 ,0 ,0 ,24.303 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24.303 ,-65.436 
18,CERKNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,0 ,4.173 ,0 ,0 ,-4.173 ,-45.351 
19,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,200.901 
20,ČRENŠOVCI,7.557 ,7.557 ,7.557 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.557 ,222.705 
21,ČRNA NA KOROŠKEM,789 ,789 ,789 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,789 ,37.172 
22,ČRNOMELJ,47.133 ,11.213 ,11.213 ,0 ,0 ,0 ,0 ,0 ,35.921 ,0 ,35.921 ,0 ,5.926 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.926 ,0 ,0 ,0 ,5.926 ,0 ,41.208 ,241.646 
23,DESTRNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,244.942 
24,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-143.636 
25,DOBJE,48.151 ,48.151 ,0 ,0 ,48.151 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,81.372 ,81.372 ,0 ,0 ,0 ,81.372 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-33.221 ,31.468 
26,DOBREPOLJE,7.628 ,7.628 ,4.398 ,0 ,3.230 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.012 ,8.012 ,0 ,8.012 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-384 ,381.309 
27,DOBRNA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,41.729 ,0 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-41.729 ,-217 
28,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18.899 
29,DOBROVNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75.609 
30,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61.743 
31,DOLENJSKE TOPLICE,11.901 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.901 ,0 ,11.901 ,0 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.252 ,0 ,0 ,1.252 ,0 ,0 ,10.649 ,94.162 
32,DOMŽALE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,335.754 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,335.754 ,0 ,335.754 ,0 ,0 ,0 ,-335.754 ,-867.973 
33,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-146.449 
34,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,381.301 
35,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,392.510 
36,GORENJA VAS - POLJANE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.921 ,38.921 ,0 ,0 ,0 ,0 ,38.921 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-38.921 ,-312.243 
37,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.016 
38,GORNJA RADGONA,80.734 ,80.734 ,80.734 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41.341 ,41.341 ,22.951 ,18.390 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39.392 ,274.670 
39,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.676 
40,GORNJI PETROVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18.962 
41,GRAD,7.745 ,7.745 ,7.745 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.745 ,156.839 
42,GROSUPLJE,17.543 ,17.543 ,9.919 ,0 ,0 ,7.624 ,0 ,0 ,0 ,0 ,0 ,0 ,127.274 ,77.199 ,77.199 ,0 ,0 ,0 ,0 ,0 ,50.075 ,0 ,0 ,0 ,50.075 ,0 ,-109.731 ,-336.409 
43,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.603 
44,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,546.415 
45,HODOŠ,15.690 ,15.690 ,0 ,0 ,15.690 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15.440 ,15.440 ,0 ,0 ,0 ,15.440 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,250 ,33.634 
46,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.432 ,4.432 ,0 ,0 ,0 ,0 ,0 ,4.432 ,0 ,0 ,0 ,0 ,0 ,0 ,-4.432 ,52.099 
47,HRASTNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-197.400 
48,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58.421 ,58.421 ,0 ,0 ,0 ,58.421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-58.421 ,-51.135 
49,IDRIJA,10.674 ,10.674 ,914 ,0 ,0 ,0 ,9.760 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,6.501 ,53.689 
50,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.864 
51,ILIRSKA BISTRICA,56.635 ,56.635 ,17.568 ,0 ,39.067 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,56.635 ,1.285.487 
52,IVANČNA GORICA,41.341 ,41.341 ,34.681 ,0 ,0 ,6.660 ,0 ,0 ,0 ,0 ,0 ,0 ,408.446 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,408.446 ,0 ,0 ,0 ,408.446 ,0 ,-367.105 ,202.984 
53,IZOLA,275.773 ,275.773 ,275.773 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,232.303 ,232.303 ,0 ,26.022 ,0 ,0 ,206.280 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.471 ,1.298.689 
54,JESENICE,43.882 ,43.882 ,263 ,0 ,0 ,43.620 ,0 ,0 ,0 ,0 ,0 ,0 ,5.425 ,5.425 ,0 ,0 ,0 ,0 ,4.173 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,38.458 ,-329.482 
55,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.966 
56,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.448 
57,KAMNIK,4.219 ,4.219 ,4.219 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.219 ,-293.323 
58,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.338 ,2.504 ,2.504 ,0 ,0 ,0 ,0 ,0 ,835 ,835 ,0 ,0 ,0 ,0 ,-3.338 ,368.463 
59,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.038 ,25.038 ,0 ,0 ,0 ,0 ,25.038 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.038 ,-232.374 
60,KOBARID,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-63.199 
61,KOBILJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-27.591 
62,KOČEVJE,58.596 ,58.596 ,58.596 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58.596 ,-32.557 
63,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.405 
64,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-67.593 
65,KOPER (M),2.115.056 ,29.081 ,413 ,0 ,0 ,0 ,28.668 ,0 ,2.085.975 ,0 ,0 ,2.085.975 ,551.335 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,551.335 ,0 ,0 ,551.335 ,0 ,0 ,1.563.721 ,2.064.697 
66,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.848 
67,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53.564 
68,KRANJ (M),477.575 ,477.575 ,397.684 ,0 ,0 ,79.891 ,0 ,0 ,0 ,0 ,0 ,0 ,490.273 ,490.273 ,490.273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12.698 ,9.727 
69,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27.424 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27.424 ,0 ,0 ,27.424 ,0 ,0 ,-27.424 ,122.889 
70,KRIŽEVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,627.253 
71,KRŠKO,34.076 ,34.076 ,1.419 ,0 ,32.657 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34.076 ,-869.400 
72,KUNGOTA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44.884 
73,KUZMA,16.959 ,16.959 ,16.959 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.959 ,25.789 
74,LAŠKO,38.787 ,38.787 ,0 ,0 ,0 ,38.787 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.787 ,302.487 
75,LENART,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-30.254 
76,LENDAVA,13.671 ,13.671 ,3.497 ,0 ,10.174 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.382 ,4.382 ,4.382 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.289 ,35.791 
77,LITIJA,693 ,693 ,693 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,693 ,89.409 
78,LJUBLJANA (M),285.094 ,285.094 ,191.675 ,0 ,83.459 ,9.961 ,0 ,0 ,0 ,0 ,0 ,0 ,253.080 ,107.027 ,0 ,0 ,0 ,107.027 ,0 ,0 ,146.052 ,0 ,146.052 ,0 ,0 ,0 ,32.015 ,-4.547.004 
79,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68.866 
80,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,261.964 
81,LOGATEC,23.368 ,23.368 ,0 ,23.368 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.368 ,-96.357 
82,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,217.672 
83,LOŠKI POTOK,5.008 ,5.008 ,5.008 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.008 ,-60.149 
84,LOVRENC NA POHORJU,8.893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.893 ,8.893 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.893 ,60.424 
85,LUČE,1.206 ,1.206 ,0 ,1.014 ,0 ,192 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.206 ,626 
86,LUKOVICA,8.650 ,8.650 ,8.650 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.255 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.255 ,0 ,14.255 ,0 ,0 ,0 ,-5.604 ,-74.412 
87,MAJŠPERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,160.658 ,160.658 ,0 ,0 ,0 ,160.658 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-160.658 ,133.680 
88,MARIBOR (M),134.218 ,134.218 ,0 ,0 ,134.218 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,134.218 ,1.208.659 
89,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,542.480 ,542.480 ,83.459 ,0 ,375.563 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-542.480 ,135.482 
