,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR
,,,01,011,0111,0112,0113,012,0121,013,0131,0132,0133,015,0150,016,0160,017,0171,018,0180,02,022,0220,03,031,0310,032,0320,04,041,0411,0412,042,0421,0422,0423,043,0432,0435,0436,045,0451,0452,0453,0454,046,0460,047,0473,049,0490,05,051,0510,052,0520,053,0530,054,0540,056,0560,06,061,0610,062,0620,063,0630,064,0640,07,071,0711,072,0721,073,0731,0732,074,0740,08,081,0810,082,0820,083,0830,084,0840,09,091,0911,0912,092,0920,0921,0922,0923,093,0930,094,0941,095,0950,096,0960,10,101,1012,104,1040,107,1070,109,1090,XI.
,,,"01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","01
JAVNA UPRAVA","02
OBRAMBA","02
OBRAMBA","02
OBRAMBA","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","03
JAVNI RED IN VARNOST","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","04
GOSPODARSKE DEJAVNOSTI","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","05
VARSTVO OKOLJA","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","06
STANOVANJSKA DEJAVNOST IN PROSTORSKI RAZVOJ","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","07
ZDRAVSTVO","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","08
REKREACIJA, KULTURA IN DEJAVNOSTI NEPROFITNIH ORGANIZACIJ, DRUŠTEV, ZDRUŽENJ IN DRUGIH INSTITUCIJ","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","09
IZOBRAŽEVANJE","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","10
SOCIALNA VARNOST","SKUPAJ VSE DEJAVNOSTI
(OD 01 DO 10)
(vlookup)"
,,TEKOČI ODHODKI (K2=40),,"011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev","011 Dejavnosti izvršilnih in zakonodajnih organov, ter dejavnosti s področja finančnih in fiskalnih ter zunanjih zadev",012 Gospodarska pomoč drugim državam,012 Gospodarska pomoč drugim državam,013 Splošne zadeve,013 Splošne zadeve,013 Splošne zadeve,013 Splošne zadeve,015 Raziskave in razvoj na področju javne uprave,015 Raziskave in razvoj na področju javne uprave,016 Druge dejavnosti javne uprave,016 Druge dejavnosti javne uprave,017 Servisiranje javnega dolga,017 Servisiranje javnega dolga,018 Splošni transferi med javnofinančnimi institucijami na različnih ravneh države,018 Splošni transferi med javnofinančnimi institucijami na različnih ravneh države,,022 Civilna zaščita,022 Civilna zaščita,,031 Policija,031 Policija,032 Protipožarna varnost,032 Protipožarna varnost,,"041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","041 Dejavnosti s področja splošnih gospodarskih zadev ter zadev, povezanih z delom","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov","042 Kmetijstvo, gozdarstvo, ribištvo in lov",043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,043 Pridobivanje in distribucija energetskih surovin,045 Promet,045 Promet,045 Promet,045 Promet,045 Promet,046 Komunikacije,046 Komunikacije,047 Druge gospodarske dejavnosti,047 Druge gospodarske dejavnosti,049 Druge dejavnosti s področja gospodarskih zadev,049 Druge dejavnosti s področja gospodarskih zadev,,051 Zbiranje in ravnanje z odpadki,051 Zbiranje in ravnanje z odpadki,052 Ravnanje z odpadno vodo,052 Ravnanje z odpadno vodo,053 Zmanjševanje onesnaževanja,053 Zmanjševanje onesnaževanja,054 Varstvo biološke raznovrstnosti in krajine,054 Varstvo biološke raznovrstnosti in krajine,056 Druge dejavnosti s področja varstva okolja,056 Druge dejavnosti s področja varstva okolja,,061 Stanovanjska dejavnost,061 Stanovanjska dejavnost,062 Dejavnosti na področju prostorskega načrtovanja in razvoja,062 Dejavnosti na področju prostorskega načrtovanja in razvoja,063 Oskrba z vodo,063 Oskrba z vodo,064 Cestna razsvetljava,064 Cestna razsvetljava,,"071 Oskrba z zdravili, drugimi farmacevtskimi izdelki in ortopedskimi pripomočki","071 Oskrba z zdravili, drugimi farmacevtskimi izdelki in ortopedskimi pripomočki",072 Izvenbolnišnične zdravstvene storitve,072 Izvenbolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,073 Bolnišnične zdravstvene storitve,074 Storitve splošnega zdravstvenega varstva,074 Storitve splošnega zdravstvenega varstva,,081 Dejavnosti na področju športa in rekreacije,081 Dejavnosti na področju športa in rekreacije,082 Kulturne dejavnosti,082 Kulturne dejavnosti,083 Dejavnosti radia in televizije ter založništva,083 Dejavnosti radia in televizije ter založništva,"084 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij","084 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij",,091 Predšolska vzgoja in osnovnošolsko izobraževanje,091 Predšolska vzgoja in osnovnošolsko izobraževanje,091 Predšolska vzgoja in osnovnošolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,092 Srednješolsko izobraževanje,093 Višješolsko izobraževanje,093 Višješolsko izobraževanje,094 Visokošolsko izobraževanje,094 Visokošolsko izobraževanje,"095 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah","095 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah",096 Podporne storitve pri izobraževanju,096 Podporne storitve pri izobraževanju,,101 Varstvo obolelih in invalidnih oseb,101 Varstvo obolelih in invalidnih oseb,104 Varstvo otrok in družine,104 Varstvo otrok in družine,107 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,107 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,109 Druge dejavnosti na področju socialnega varstva,109 Druge dejavnosti na področju socialnega varstva,
"Zap.
št.",ID,OBČINA,,,0111 Dejavnosti izvršilnih in zakonodajnih organov,0112 Dejavnosti s področja finančnih in fiskalnih zadev,0113 Dejavnosti s področja zunanjih zadev,,0121 Gospodarska pomoč drugim državam,,0131 Splošne kadrovske zadeve,0132 Razvojno načrtovanje in statistične storitve,0133 Druge splošne zadeve in storitve,,0150 Raziskave in razvoj na področju javne uprave,,0160 Druge dejavnosti javne uprave,,0171 Servisiranje javnega dolga države,,0180 Splošni transferi med javnofinančnimi institucijami  na različnih ravneh države,,,0220 Civilna zaščita,,,0310 Policija,,0320 Protipožarna varnost,,,0411 Dejavnosti s področja splošnih gospodarskih in trgovinskih zadev,"0412 Dejavnosti s področja splošnih zadev, povezanih z delom in zaposlovanjem",,0421 Kmetijstvo,0422 Gozdarstvo,0423 Ribištvo in lov,,0432 Pridobivanje in distribucija nafte in zemeljskega plina,0435 Pridobivanje in distribucija električne energije,0436 Pridobivanje in distribucija druge energije,,0451 Cestni promet,0452 Vodni promet,0453 Železniški promet,0454 Zračni promet,,0460 Komunikacije,,0473 Turizem,,0490 Druge dejavnosti s področja gospodarskih zadev,,,0510 Zbiranje in ravnanje z odpadki,,0520 Ravnanje z odpadno vodo,,0530 Zmanjševanje onesnaževanja,,0540 Varstvo biološke raznovrstnosti in krajine,,0560 Druge dejavnosti s področja varstva okolja,,,0610 Stanovanjska dejavnost,,0620 Dejavnosti na področju prostorskega načrtovanja in razvoja,,0630 Oskrba z vodo,,0640 Cestna razsvetljava,,,0711 Oskrba z zdravili,,0721 Splošne zdravstvene storitve,,0731 Storitve splošnih bolnišnic,0732 Storitve specializiranih bolnišnic,,0740 Storitve splošnega zdravstvenega varstva,,,0810 Dejavnosti na področju športa in rekreacije,,0820 Kulturne dejavnosti,,0830 Dejavnosti radia in televizije ter založništva,,"0840 Dejavnosti neprofitnih organizacij, društev, združenj in drugih institucij",,,0911 Predšolska vzgoja,0912 Osnovnošolsko izobraževanje,,0920 Srednje izobraževanje,0921 Srednje poklicno izobraževanje,0922 Srednje strokovno izobraževanje,0923 Srednje splošno izobraževanje,,0930 Višješolsko izobraževanje,,0941 Visokošolsko izobraževanje,,"0950 Izobraževanje, ki ga ni mogoče opredeliti po stopnjah",,0960 Podporne storitve pri izobraževanju,,,1012 Varstvo invalidnih oseb,,1040 Varstvo otrok in družine,,1070 Zagotavljanje socialne varnosti socialno ogroženih in socialno izključenih kategorij prebivalstva,,1090 Druge dejavnosti na področju socialne varnosti,
1.,1 ,OBČINA AJDOVŠČINA,"1.659.351,90 ","1.243.436,38 ","1.234.917,59 ","8.518,79 ","0,00 ","0,00 ","0,00 ","222.536,41 ","0,00 ","0,00 ","222.536,41 ","0,00 ","0,00 ","80.635,09 ","80.635,09 ","40.000,00 ","40.000,00 ","72.744,02 ","72.744,02 ","39.867,66 ","39.867,66 ","39.867,66 ","6.960,76 ","6.960,76 ","6.960,76 ","0,00 ","0,00 ","1.318.980,06 ","90.801,57 ","90.801,57 ","0,00 ","138.893,61 ","83.940,14 ","54.953,47 ","0,00 ","13.183,61 ","0,00 ","0,00 ","13.183,61 ","905.695,85 ","905.695,85 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","58.496,20 ","58.496,20 ","111.909,22 ","111.909,22 ","5.061,98 ","0,00 ","0,00 ","1.842,66 ","1.842,66 ","109,20 ","109,20 ","0,00 ","0,00 ","3.110,12 ","3.110,12 ","397.900,27 ","142.749,20 ","142.749,20 ","50.861,66 ","50.861,66 ","37.785,20 ","37.785,20 ","166.504,21 ","166.504,21 ","24.322,69 ","0,00 ","0,00 ","24.322,69 ","24.322,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","69.606,59 ","31.383,43 ","31.383,43 ","20.953,66 ","20.953,66 ","17.029,50 ","17.029,50 ","240,00 ","240,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","282.555,14 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","282.555,14 ","282.555,14 ","3.804.607,05 "
2.,195 ,OBČINA APAČE,"400.791,36 ","336.736,42 ","334.670,96 ","2.065,46 ","0,00 ","0,00 ","0,00 ","15.409,14 ","622,60 ","0,00 ","14.786,54 ","0,00 ","0,00 ","25.618,00 ","25.618,00 ","10.534,72 ","10.534,72 ","12.493,08 ","12.493,08 ","494,89 ","494,89 ","494,89 ","17.880,45 ","3.100,71 ","3.100,71 ","14.779,74 ","14.779,74 ","282.005,85 ","58.257,24 ","6.436,31 ","51.820,93 ","17.555,53 ","17.555,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","156.131,32 ","156.131,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","31.674,49 ","31.674,49 ","18.387,27 ","18.387,27 ","6.919,17 ","6.919,17 ","6.919,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","47.999,49 ","10.456,67 ","10.456,67 ","2.116,70 ","2.116,70 ","8.934,52 ","8.934,52 ","26.491,60 ","26.491,60 ","3.037,21 ","0,00 ","0,00 ","1.362,67 ","1.362,67 ","0,00 ","0,00 ","0,00 ","1.674,54 ","1.674,54 ","9.260,00 ","3.000,00 ","3.000,00 ","4.320,00 ","4.320,00 ","0,00 ","0,00 ","1.940,00 ","1.940,00 ","5.125,22 ","5.125,22 ","0,00 ","5.125,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","38.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","38.000,00 ","38.000,00 ","811.513,64 "
3.,2 ,OBČINA BELTINCI,"726.642,27 ","474.211,21 ","462.632,53 ","11.578,68 ","0,00 ","0,00 ","0,00 ","106.093,53 ","472,12 ","0,00 ","105.621,41 ","0,00 ","0,00 ","17.118,34 ","17.118,34 ","18.595,97 ","18.595,97 ","110.623,22 ","110.623,22 ","3.245,67 ","3.245,67 ","3.245,67 ","13.731,19 ","7.643,41 ","7.643,41 ","6.087,78 ","6.087,78 ","475.947,97 ","9.000,00 ","9.000,00 ","0,00 ","7.824,82 ","4.482,20 ","3.342,62 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","355.210,40 ","354.488,96 ","721,44 ","0,00 ","0,00 ","20.397,29 ","20.397,29 ","8.220,05 ","8.220,05 ","75.295,41 ","75.295,41 ","21.355,98 ","17.406,87 ","17.406,87 ","3.949,11 ","3.949,11 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","164.403,53 ","5.588,25 ","5.588,25 ","28.933,60 ","28.933,60 ","4.291,41 ","4.291,41 ","125.590,27 ","125.590,27 ","9.227,70 ","0,00 ","0,00 ","9.227,70 ","9.227,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","42.898,11 ","0,00 ","0,00 ","0,00 ","0,00 ","42.898,11 ","42.898,11 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.457.452,42 "
4.,148 ,OBČINA BENEDIKT,"328.552,76 ","211.729,25 ","205.921,08 ","5.808,17 ","0,00 ","0,00 ","0,00 ","38.742,25 ","0,00 ","0,00 ","38.742,25 ","0,00 ","0,00 ","14.839,38 ","14.839,38 ","63.241,88 ","63.241,88 ","0,00 ","0,00 ","1.548,65 ","1.548,65 ","1.548,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","166.477,29 ","0,00 ","0,00 ","0,00 ","50,00 ","50,00 ","0,00 ","0,00 ","15.572,19 ","0,00 ","0,00 ","15.572,19 ","129.413,89 ","129.413,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","21.441,21 ","21.441,21 ","3.079,15 ","2.651,60 ","2.651,60 ","427,55 ","427,55 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","76.486,14 ","0,00 ","0,00 ","0,00 ","0,00 ","45.780,98 ","45.780,98 ","30.705,16 ","30.705,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","57.840,47 ","55.929,93 ","55.929,93 ","1.910,54 ","1.910,54 ","0,00 ","0,00 ","0,00 ","0,00 ","12.338,39 ","12.338,39 ","0,00 ","12.338,39 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.475,36 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.475,36 ","2.475,36 ","648.798,21 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"232.650,48 ","181.906,04 ","173.567,36 ","2.901,59 ","5.437,09 ","0,00 ","0,00 ","35.808,72 ","0,00 ","0,00 ","35.808,72 ","0,00 ","0,00 ","4.331,83 ","4.331,83 ","10.603,89 ","10.603,89 ","0,00 ","0,00 ","1.458,56 ","1.458,56 ","1.458,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","122.152,69 ","43.684,19 ","20.835,69 ","22.848,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","43.612,70 ","43.612,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13.800,95 ","13.800,95 ","21.054,85 ","21.054,85 ","2.794,01 ","2.794,01 ","2.794,01 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.193,30 ","3.565,47 ","3.565,47 ","0,00 ","0,00 ","106,42 ","106,42 ","4.521,41 ","4.521,41 ","7.365,05 ","0,00 ","0,00 ","7.365,05 ","7.365,05 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.117,46 ","0,00 ","0,00 ","11.117,46 ","11.117,46 ","0,00 ","0,00 ","0,00 ","0,00 ","19.939,41 ","19.939,41 ","0,00 ","19.939,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.205,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.205,70 ","19.205,70 ","424.876,66 "
6.,3 ,OBČINA BLED,"1.378.321,10 ","1.089.464,90 ","1.029.620,72 ","15.745,33 ","44.098,85 ","0,00 ","0,00 ","219.335,17 ","0,00 ","12.706,89 ","206.628,28 ","0,00 ","0,00 ","49.004,17 ","49.004,17 ","2.514,86 ","2.514,86 ","18.002,00 ","18.002,00 ","0,00 ","0,00 ","0,00 ","32.270,76 ","32.270,76 ","32.270,76 ","0,00 ","0,00 ","795.207,00 ","1.553,00 ","1.553,00 ","0,00 ","24.597,77 ","4.101,61 ","20.496,16 ","0,00 ","2.440,00 ","0,00 ","0,00 ","2.440,00 ","404.356,37 ","403.683,78 ","672,59 ","0,00 ","0,00 ","19.233,63 ","19.233,63 ","53.124,64 ","53.124,64 ","289.901,59 ","289.901,59 ","1.004.188,36 ","47.466,95 ","47.466,95 ","951.721,44 ","951.721,44 ","0,00 ","0,00 ","4.999,97 ","4.999,97 ","0,00 ","0,00 ","183.430,35 ","50.726,62 ","50.726,62 ","22.457,74 ","22.457,74 ","7.674,40 ","7.674,40 ","102.571,59 ","102.571,59 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","201.581,70 ","178.117,19 ","178.117,19 ","16.398,00 ","16.398,00 ","0,00 ","0,00 ","7.066,51 ","7.066,51 ","121.998,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","121.998,08 ","121.998,08 ","72.500,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.500,00 ","2.500,00 ","70.000,00 ","70.000,00 ","3.789.497,35 "
