,,,,,,,,,,,- V EUR,,,,,- V EUR
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","419.098,56 ","419.098,56 ","419.098,56 ","0,00 ","0,00 ","-1.011.903,93 ","-419.098,56 ","480.363,16 ","4.242.170,35 "
2.,195 ,OBČINA APAČE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","61.019,68 ","61.019,68 ","61.019,68 ","0,00 ","0,00 ","-334.503,79 ","-61.019,68 ","273.484,11 ","655.852,04 "
3.,2 ,OBČINA BELTINCI,"700.000,00 ","700.000,00 ","700.000,00 ","0,00 ","0,00 ","250.000,00 ","250.000,00 ","250.000,00 ","0,00 ","0,00 ","21.478,09 ","450.000,00 ","428.521,91 ","721.409,11 "
4.,148 ,OBČINA BENEDIKT,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","222.094,30 ","222.094,30 ","222.094,30 ","0,00 ","0,00 ","1.933,42 ","-222.094,30 ","-224.027,72 ","22.502,46 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.662,49 ","16.662,49 ","0,00 ","0,00 ","16.662,49 ","-447.190,00 ","-16.662,49 ","430.527,51 ","458.252,13 "
6.,3 ,OBČINA BLED,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","138.364,26 ","138.364,26 ","138.364,26 ","0,00 ","0,00 ","41.106,50 ","-138.364,26 ","-177.560,75 ","651.476,44 "
